,web-scraper-order,web-scraper-start-url,Games,Games-href,League,Date,HomeTeam,AwayTeam,ODDH,ODDD,ODDA,ODD_25+,ODD_25-,Tag25,ODD_15+,ODD_15-,Tag15,ODD_35+,ODD_35-,Tag35,ODD_BthScore_Yes,ODD_BthScore_No,TagBS,ODD_1X,ODD_12,ODD_X2,Tag1X,Tag12,TagX2,Current_Date,SOdds
0,1601401433-130,https://www.betano.pt/sport/futebol/italia/serie-a/1635/,"FC Crotone
              
                Juventus",https://www.betano.pt/odds/fc-crotone-juventus/6650714/,Série A,"Sábado, 17 Outubro 2020 19:45",FC Crotone,Juventus,9.0,5.4,1.28,1.50,2.16,Mais de2.5,1.13,4.1,Mais de1.5,2.25,1.45,Mais de3.5,1.88,1.67,Ambas Equipas Marcam (Sim/Não),3.35,1.13,1.04,1X,12.0,2X,"Terça-feira, 29 Setembro 2020 18:43",
1,1601401701-162,https://www.betano.pt/sport/futebol/inglaterra/premier-league/1/,"Leeds United
              
                Manchester City",https://www.betano.pt/odds/leeds-united-manchester-city/6493287/,Premier League,"Sábado, 3 Outubro 2020 15:00",Leeds United,Manchester City,8.0,5.2,1.31,1.80,1.75,Mais de3.5,1.07,5.1,Mais de1.5,1.31,2.72,Mais de2.5,1.5,2.13,Ambas Equipas Marcam (Sim/Não),3.15,1.1,1.04,1X,12.0,2X,"Terça-feira, 29 Setembro 2020 18:45",
2,1601401048-85,https://www.betano.pt/sport/futebol/liga-europa/liga-europa-jogos/182761r/,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Terça-feira, 29 Setembro 2020 18:37",
3,1601400894-68,https://www.betano.pt/sport/futebol/inglaterra/championship/2r/,"Luton Town
              
                Wycombe",https://www.betano.pt/odds/luton-town-wycombe/6411295/,Championship,"Sábado, 3 Outubro 2020 15:00",Luton Town,Wycombe,1.75,3.45,4.5,1.83,1.65,Mais de2.5,1.26,2.8,Mais de1.5,3.05,1.22,Mais de3.5,1.75,1.72,Ambas Equipas Marcam (Sim/Não),1.17,1.22,1.95,1X,12.0,2X,"Terça-feira, 29 Setembro 2020 18:31",
4,1601401072-87,https://www.betano.pt/sport/futebol/espanha/laliga/5/,"Barcelona
              
                Real Madrid",https://www.betano.pt/odds/barcelona-real-madrid/6385298/,LaLiga,"Domingo, 25 Outubro 2020 20:00",Barcelona,Real Madrid,2.35,3.6,2.65,1.47,2.2,Mais de2.5,1.13,4.05,Mais de1.5,2.2,1.47,Mais de3.5,1.42,2.37,Ambas Equipas Marcam (Sim/Não),1.42,1.22,1.53,1X,12.0,2X,"Terça-feira, 29 Setembro 2020 18:37",
5,1601400592-32,https://www.betano.pt/sport/futebol/alemanha/bundesliga/216r/,"Werder Bremen
              
                Arminia Bielefeld",https://www.betano.pt/odds/werder-bremen-arminia-bielefeld/6562365/,Bundesliga,"Sábado, 3 Outubro 2020 14:30",Werder Bremen,Arminia Bielefeld,2.15,3.4,3.1,1.67,1.88,Mais de2.5,1.2,3.35,Mais de1.5,2.63,1.33,Mais de3.5,1.53,2.1,Ambas Equipas Marcam (Sim/Não),1.31,1.25,1.63,1X,12.0,2X,"Terça-feira, 29 Setembro 2020 18:27",
6,1601401161-98,https://www.betano.pt/sport/futebol/espanha/laliga/5/,"Celta de Vigo
              
                Barcelona",https://www.betano.pt/odds/celta-de-vigo-barcelona/6567451/,LaLiga,"Quinta-feira, 1 Outubro 2020 20:30",Celta de Vigo,Barcelona,5.35,4.3,1.5,1.50,2.13,Mais de2.5,1.14,3.95,Mais de1.5,2.3,1.44,Mais de3.5,1.61,1.95,Ambas Equipas Marcam (Sim/Não),2.37,1.16,1.12,1X,12.0,2X,"Terça-feira, 29 Setembro 2020 18:37",
7,1601401001-79,https://www.betano.pt/sport/futebol/russia/premier-liga/17098r/,"Rubin Kazan
              
                FC Akhmat Grozny",https://www.betano.pt/odds/rubin-kazan-fc-akhmat-grozny/6419925/,Premier Liga,"Domingo, 4 Outubro 2020 14:30",Rubin Kazan,FC Akhmat Grozny,2.05,3.1,3.7,1.91,1.57,Mais de2.5,1.28,2.62,Mais de1.5,3.2,1.18,Mais de3.5,1.7,1.75,Ambas Equipas Marcam (Sim/Não),1.23,1.27,1.7,1X,12.0,2X,"Terça-feira, 29 Setembro 2020 18:36",
8,1601401089-89,https://www.betano.pt/sport/futebol/espanha/laliga/5/,"Cádiz CF
              
                Granada CF",https://www.betano.pt/odds/cadiz-cf-granada-cf/6641042/,LaLiga,"Domingo, 4 Outubro 2020 17:30",Cádiz CF,Granada CF,2.9,2.84,2.62,1.47,2.2,Mais de1.5,2.4,1.4,Mais de2.5,4.45,1.1,Mais de3.5,2.0,1.6,Ambas Equipas Marcam (Sim/Não),1.44,1.33,1.36,1X,12.0,2X,"Terça-feira, 29 Setembro 2020 18:37",
9,1601400544-26,https://www.betano.pt/sport/futebol/alemanha/bundesliga/216r/,"Friburgo
              
                Werder Bremen",https://www.betano.pt/odds/friburgo-werder-bremen/6632978/,Bundesliga,"Sábado, 17 Outubro 2020 14:30",Friburgo,Werder Bremen,2.25,3.3,3.0,1.80,1.75,Mais de2.5,1.25,3.05,Mais de1.5,2.96,1.26,Mais de3.5,1.63,1.95,Ambas Equipas Marcam (Sim/Não),1.33,1.25,1.57,1X,12.0,2X,"Terça-feira, 29 Setembro 2020 18:27",
10,1601400347-2,https://www.betano.pt/sport/futebol/holanda/eredivisie/17067r/,"PEC Zwolle
              
                PSV Eindhoven",https://www.betano.pt/odds/pec-zwolle-psv-eindhoven/6549969/,Eredivisie,"Domingo, 18 Outubro 2020 15:45",PEC Zwolle,PSV Eindhoven,6.75,4.35,1.42,2.45,1.04,1X,,,,,,,,,,,,,,,,"Terça-feira, 29 Setembro 2020 18:25",
11,1601401269-111,https://www.betano.pt/sport/futebol/portugal/primeira-liga/17083/,"SC Braga
              
                CD Nacional Madeira",https://www.betano.pt/odds/sc-braga-cd-nacional-madeira/6644921/,Primeira Liga,"Terça-feira, 20 Outubro 2020 20:00",SC Braga,CD Nacional Madeira,1.35,4.75,7.75,1.55,2.0,Mais de2.5,1.15,3.55,Mais de1.5,2.37,1.38,Mais de3.5,1.8,1.67,Ambas Equipas Marcam (Sim/Não),1.05,1.11,2.94,1X,12.0,2X,"Terça-feira, 29 Setembro 2020 18:40",
12,1601400854-63,https://www.betano.pt/sport/futebol/inglaterra/championship/2r/,"Sheffield Wednesday
              
                Queens Park Rangers",https://www.betano.pt/odds/sheffield-wednesday-queens-park-rangers/6411319/,Championship,"Sábado, 3 Outubro 2020 15:00",Sheffield Wednesday,Queens Park Rangers,2.0,3.25,3.7,1.80,1.67,Mais de2.5,1.25,2.86,Mais de1.5,2.94,1.23,Mais de3.5,1.65,1.83,Ambas Equipas Marcam (Sim/Não),1.23,1.25,1.72,1X,12.0,2X,"Terça-feira, 29 Setembro 2020 18:31",
13,1601401251-109,https://www.betano.pt/sport/futebol/portugal/primeira-liga/17083/,"SC Farense
              
                Famalicão",https://www.betano.pt/odds/sc-farense-famalicao/6644923/,Primeira Liga,"Terça-feira, 20 Outubro 2020 20:00",SC Farense,Famalicão,3.55,3.45,1.95,1.75,1.72,Mais de2.5,1.23,2.98,Mais de1.5,2.86,1.25,Mais de3.5,1.65,1.85,Ambas Equipas Marcam (Sim/Não),1.75,1.22,1.25,1X,12.0,2X,"Terça-feira, 29 Setembro 2020 18:40",
