,web-scraper-order,web-scraper-start-url,Games,Games-href,League,Date,HomeTeam,AwayTeam,ODDH,ODDD,ODDA,ODD_25+,ODD_25-,Tag25,ODD_15+,ODD_15-,Tag15,ODD_35+,ODD_35-,Tag35,ODD_BthScore_Yes,ODD_BthScore_No,TagBS,ODD_1X,ODD_12,ODD_X2,Tag1X,Tag12,TagX2,Current_Date
0,1598196993-83,https://www.betano.pt/sport/futebol/alemanha/bundesliga/216r/,"Friburgo
              
                Wolfsburgo",https://www.betano.pt/odds/friburgo-wolfsburgo/6172673/,Bundesliga,"Domingo, 27 Setembro 2020 17:00",Friburgo,Wolfsburgo,2.82,3.35,2.35,1.75,1.78,Mais de2.5,1.24,3.1,Mais de1.5,2.92,1.27,Mais de3.5,1.63,1.95,Ambas Equipas Marcam (Sim/Não),1.53,1.25,1.38,1X,12,2X,"Domingo, 23 Agosto 2020 16:36"
1,1598197038-88,https://www.betano.pt/sport/futebol/alemanha/bundesliga/216r/,"Bayer Leverkusen
              
                RB Leipzig",https://www.betano.pt/odds/bayer-leverkusen-rb-leipzig/6172671/,Bundesliga,"Sábado, 26 Setembro 2020 14:30",Bayer Leverkusen,RB Leipzig,2.72,3.5,2.35,2.15,1.5,Mais de3.5,1.13,4.05,Mais de1.5,1.47,2.2,Mais de2.5,1.38,2.45,Ambas Equipas Marcam (Sim/Não),1.53,1.23,1.4,1X,12,2X,"Domingo, 23 Agosto 2020 16:36"
2,1598197011-85,https://www.betano.pt/sport/futebol/alemanha/bundesliga/216r/,"FC Schalke 04
              
                Werder Bremen",https://www.betano.pt/odds/fc-schalke-04-werder-bremen/6172677/,Bundesliga,"Sábado, 26 Setembro 2020 17:30",FC Schalke 04,Werder Bremen,2.25,3.3,3.0,2.0,1.6,Mais de2.5,1.31,2.74,Mais de1.5,3.45,1.19,Mais de3.5,1.78,1.75,Ambas Equipas Marcam (Sim/Não),1.33,1.25,1.57,1X,12,2X,"Domingo, 23 Agosto 2020 16:36"
3,1598197620-147,https://www.betano.pt/sport/futebol/inglaterra/premier-league/1/,"Arsenal
              
                West Ham",https://www.betano.pt/odds/arsenal-west-ham/6283410/,Premier League,"Sábado, 19 Setembro 2020 16:00",Arsenal,West Ham,1.53,3.7,6.55,1.63,1.95,Mais de2.5,1.19,3.45,Mais de1.5,2.52,1.36,Mais de3.5,1.63,1.95,Ambas Equipas Marcam (Sim/Não),1.06,1.2,2.25,1X,12,2X,"Domingo, 23 Agosto 2020 16:46"
4,1598197735-159,https://www.betano.pt/sport/futebol/inglaterra/premier-league/1/,"West Brom
              
                Leicester",https://www.betano.pt/odds/west-brom-leicester/6282780/,Premier League,"Sábado, 12 Setembro 2020 15:00",West Brom,Leicester,3.7,3.45,1.91,1.72,1.83,Mais de2.5,1.22,3.2,Mais de1.5,2.78,1.3,Mais de3.5,1.63,1.95,Ambas Equipas Marcam (Sim/Não),1.78,1.23,1.24,1X,12,2X,"Domingo, 23 Agosto 2020 16:46"
5,1598197536-140,https://www.betano.pt/sport/futebol/liga-europa/liga-europa-jogos/182761r/,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Domingo, 23 Agosto 2020 16:45"
6,1598197638-149,https://www.betano.pt/sport/futebol/inglaterra/premier-league/1/,"Southampton
              
                Tottenham",https://www.betano.pt/odds/southampton-tottenham/6283449/,Premier League,"Sábado, 19 Setembro 2020 15:00",Southampton,Tottenham,3.7,3.35,1.95,1.75,1.78,Mais de2.5,1.24,3.1,Mais de1.5,2.86,1.28,Mais de3.5,1.63,1.95,Ambas Equipas Marcam (Sim/Não),1.75,1.25,1.24,1X,12,2X,"Domingo, 23 Agosto 2020 16:46"
7,1598197406-126,https://www.betano.pt/sport/futebol/escocia/premiership/1647r/,"Kilmarnock FC
              
                Dundee United",https://www.betano.pt/odds/kilmarnock-fc-dundee-united/6102842/,Premiership,"Sábado, 29 Agosto 2020 15:00",Kilmarnock FC,Dundee United,2.2,3.1,3.3,1.95,1.57,Mais de2.5,1.31,2.6,Mais de1.5,3.3,1.18,Mais de3.5,1.72,1.75,Ambas Equipas Marcam (Sim/Não),1.28,1.27,1.6,1X,12,2X,"Domingo, 23 Agosto 2020 16:42"
8,1598197237-109,https://www.betano.pt/sport/futebol/franca/ligue-1/215r/,"Lyon
              
                Dijon",https://www.betano.pt/odds/lyon-dijon/6304101/,Ligue 1,"Sexta-feira, 28 Agosto 2020 20:00",Lyon,Dijon,1.33,4.85,8.0,1.55,2.05,Mais de2.5,1.16,3.75,Mais de1.5,2.35,1.42,Mais de3.5,1.83,1.72,Ambas Equipas Marcam (Sim/Não),1.04,1.16,3.05,1X,12,2X,"Domingo, 23 Agosto 2020 16:39"
9,1598197610-146,https://www.betano.pt/sport/futebol/inglaterra/premier-league/1/,"Everton
              
                West Brom",https://www.betano.pt/odds/everton-west-brom/6283413/,Premier League,"Sábado, 19 Setembro 2020 16:00",Everton,West Brom,1.57,3.45,6.45,1.63,1.95,Mais de2.5,1.18,3.55,Mais de1.5,2.54,1.36,Mais de3.5,1.61,1.95,Ambas Equipas Marcam (Sim/Não),1.06,1.23,2.16,1X,12,2X,"Domingo, 23 Agosto 2020 16:46"
10,1598197584-144,https://www.betano.pt/sport/futebol/eua/mls/195161/,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Domingo, 23 Agosto 2020 16:46"
11,1598197576-143,https://www.betano.pt/sport/futebol/portugal/primeira-liga/17083/,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Domingo, 23 Agosto 2020 16:46"
