,web-scraper-order,web-scraper-start-url,Games,Games-href,League,Date,HomeTeam,AwayTeam,ODDH,ODDD,ODDA,ODD_25+,ODD_25-,Tag25,ODD_15+,ODD_15-,Tag15,ODD_35+,ODD_35-,Tag35,ODD_BthScore_Yes,ODD_BthScore_No,TagBS,ODD_1X,ODD_12,ODD_X2,Tag1X,Tag12,TagX2,Current_Date
0,1600379787-69,https://www.betano.pt/sport/futebol/escocia/premiership/1647r/,"Aberdeen FC
              
                Motherwell FC",https://www.betano.pt/odds/aberdeen-fc-motherwell-fc/6284806/,Premiership,"Domingo, 20 Setembro 2020 15:00",Aberdeen FC,Motherwell FC,1.83,3.4,4.15,2.00,1.53,Mais de2.5,1.31,2.58,Mais de1.5,3.45,1.16,Mais de3.5,1.85,1.65,Ambas Equipas Marcam (Sim/Não),1.20,1.23,1.85,1X,12.0,2X,"Quinta-feira, 17 Setembro 2020 22:56"
1,1600380578-153,https://www.betano.pt/sport/futebol/inglaterra/premier-league/1/,"Southampton
              
                Tottenham",https://www.betano.pt/odds/southampton-tottenham/6283449/,Premier League,"Domingo, 20 Setembro 2020 12:00",Southampton,Tottenham,3.05,3.2,2.25,1.83,1.72,Mais de2.5,1.26,2.96,Mais de1.5,3.0,1.26,Mais de3.5,1.63,1.95,Ambas Equipas Marcam (Sim/Não),1.55,1.27,1.33,1X,12.0,2X,"Quinta-feira, 17 Setembro 2020 23:07"
2,1600380158-108,https://www.betano.pt/sport/futebol/portugal/primeira-liga/17083/,"SC Braga
              
                CD Santa Clara",https://www.betano.pt/odds/sc-braga-cd-santa-clara/6486164/,Primeira Liga,"Sexta-feira, 25 Setembro 2020 20:30",SC Braga,CD Santa Clara,1.38,4.55,7.4,1.60,1.91,Mais de2.5,1.17,3.4,Mais de1.5,2.45,1.35,Mais de3.5,1.8,1.67,Ambas Equipas Marcam (Sim/Não),1.05,1.12,2.82,1X,12.0,2X,"Quinta-feira, 17 Setembro 2020 23:01"
3,1600380416-136,https://www.betano.pt/sport/futebol/italia/serie-a/1635/,"Hellas Verona
              
                AS Roma",https://www.betano.pt/odds/hellas-verona-as-roma/6400678/,Série A,"Sábado, 19 Setembro 2020 19:45",Hellas Verona,AS Roma,3.45,3.45,2.0,1.67,1.88,Mais de2.5,1.20,3.35,Mais de1.5,2.66,1.33,Mais de3.5,1.57,2.02,Ambas Equipas Marcam (Sim/Não),1.72,1.23,1.26,1X,12.0,2X,"Quinta-feira, 17 Setembro 2020 23:03"
4,1600379576-46,https://www.betano.pt/sport/futebol/inglaterra/championship/2r/,"Queens Park Rangers
              
                Middlesbrough",https://www.betano.pt/odds/queens-park-rangers-middlesbrough/6347474/,Championship,"Sábado, 26 Setembro 2020 15:00",Queens Park Rangers,Middlesbrough,2.45,3.2,2.8,1.33,1.42,1X,,,,,,,,,,,,,,,,"Quinta-feira, 17 Setembro 2020 22:52"
5,1600380044-96,https://www.betano.pt/sport/futebol/espanha/laliga/5/,"Granada CF
              
                Alavés",https://www.betano.pt/odds/granada-cf-alaves/6444109/,LaLiga,"Domingo, 20 Setembro 2020 17:30",Granada CF,Alavés,2.04,2.94,4.0,1.47,2.2,Mais de1.5,2.40,1.4,Mais de2.5,4.45,1.1,Mais de3.5,2.05,1.55,Ambas Equipas Marcam (Sim/Não),1.20,1.32,1.7,1X,12.0,2X,"Quinta-feira, 17 Setembro 2020 22:58"
6,1600379651-55,https://www.betano.pt/sport/futebol/inglaterra/championship/2r/,"Wycombe
              
                Swansea City",https://www.betano.pt/odds/wycombe-swansea-city/6347486/,Championship,"Sábado, 26 Setembro 2020 12:30",Wycombe,Swansea City,3.85,3.4,1.9,1.72,1.18,1X,,,,,,,,,,,,,,,,"Quinta-feira, 17 Setembro 2020 22:52"
7,1600380079-100,https://www.betano.pt/sport/futebol/espanha/laliga/5/,"Villarreal
              
                Eibar",https://www.betano.pt/odds/villarreal-eibar/6444106/,LaLiga,"Sábado, 19 Setembro 2020 15:00",Villarreal,Eibar,1.6,3.9,5.15,1.75,1.8,Mais de2.5,1.22,3.2,Mais de1.5,2.86,1.28,Mais de3.5,1.78,1.75,Ambas Equipas Marcam (Sim/Não),1.13,1.19,2.2,1X,12.0,2X,"Quinta-feira, 17 Setembro 2020 22:58"
8,1600380254-118,https://www.betano.pt/sport/futebol/italia/serie-a/1635/,"Lázio
              
                Atalanta",https://www.betano.pt/odds/lazio-atalanta/6400671/,Série A,"Quarta-feira, 30 Setembro 2020 19:45",Lázio,Atalanta,2.35,3.35,2.82,1.50,2.18,Mais de2.5,1.14,3.95,Mais de1.5,2.18,1.5,Mais de3.5,1.4,2.4,Ambas Equipas Marcam (Sim/Não),1.38,1.25,1.53,1X,12.0,2X,"Quinta-feira, 17 Setembro 2020 23:03"
9,1600379919-83,https://www.betano.pt/sport/futebol/liga-dos-campeoes/liga-dos-campeoes-jogos/182748r/,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Quinta-feira, 17 Setembro 2020 22:58"
