,web-scraper-order,web-scraper-start-url,Games,Games-href,League,Date,HomeTeam,AwayTeam,ODDH,ODDD,ODDA,ODD_25+,ODD_25-,Tag25,ODD_15+,ODD_15-,Tag15,ODD_35+,ODD_35-,Tag35,ODD_BthScore_Yes,ODD_BthScore_No,TagBS,ODD_1X,ODD_12,ODD_X2,Tag1X,Tag12,TagX2,Current_Date,SOdds
61,1601466933-89,https://www.betano.pt/sport/futebol/espanha/laliga/5/,"Cádiz CF
              
                Granada CF",https://www.betano.pt/odds/cadiz-cf-granada-cf/6641042/,LaLiga,"Domingo, 4 Outubro 2020 17:30",Cádiz CF,Granada CF,2.86,2.86,2.62,1.47,2.2,Mais de1.5,2.4,1.4,Mais de2.5,4.45,1.1,Mais de3.5,2.0,1.6,Ambas Equipas Marcam (Sim/Não),1.44,1.33,1.36,1X,12.0,2X,"Quarta-feira, 30 Setembro 2020 12:55",
62,1601467233-122,https://www.betano.pt/sport/futebol/portugal/primeira-liga/17083/,"Moreirense FC
              
                Boavista FC",https://www.betano.pt/odds/moreirense-fc-boavista-fc/6568903/,Primeira Liga,"Sexta-feira, 2 Outubro 2020 19:00",Moreirense FC,Boavista FC,2.3,2.9,3.35,1.44,2.2,Mais de1.5,2.3,1.4,Mais de2.5,4.15,1.1,Mais de3.5,1.95,1.57,Ambas Equipas Marcam (Sim/Não),1.28,1.31,1.55,1X,12.0,2X,"Quarta-feira, 30 Setembro 2020 12:57",
63,1601467179-116,https://www.betano.pt/sport/futebol/portugal/primeira-liga/17083/,"Famalicão
              
                Rio Ave FC",https://www.betano.pt/odds/famalicao-rio-ave-fc/6568909/,Primeira Liga,"Domingo, 4 Outubro 2020 18:30",Famalicão,Rio Ave FC,2.82,3.15,2.45,1.83,1.65,Mais de2.5,1.27,2.78,Mais de1.5,3.05,1.22,Mais de3.5,1.63,1.87,Ambas Equipas Marcam (Sim/Não),1.47,1.26,1.38,1X,12.0,2X,"Quarta-feira, 30 Setembro 2020 12:57",
64,1601466898-86,https://www.betano.pt/sport/futebol/liga-dos-campeoes/liga-dos-campeoes-jogos/182748r/,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Quarta-feira, 30 Setembro 2020 12:54",
65,1601467152-113,https://www.betano.pt/sport/futebol/portugal/primeira-liga/17083/,"Gil Vicente FC
              
                CD Tondela",https://www.betano.pt/odds/gil-vicente-fc-cd-tondela/6644913/,Primeira Liga,"Terça-feira, 20 Outubro 2020 20:00",Gil Vicente FC,CD Tondela,2.25,3.25,3.05,2.13,1.47,Mais de2.5,1.35,2.45,Mais de1.5,3.75,1.13,Mais de3.5,1.87,1.63,Ambas Equipas Marcam (Sim/Não),1.33,1.25,1.55,1X,12.0,2X,"Quarta-feira, 30 Setembro 2020 12:57",
66,1601467573-158,https://www.betano.pt/sport/futebol/inglaterra/premier-league/1/,"Leicester
              
                West Ham",https://www.betano.pt/odds/leicester-west-ham/6458222/,Premier League,"Domingo, 4 Outubro 2020 12:00",Leicester,West Ham,1.63,3.95,4.7,1.55,2.05,Mais de2.5,1.16,3.7,Mais de1.5,2.4,1.4,Mais de3.5,1.57,2.02,Ambas Equipas Marcam (Sim/Não),1.16,1.18,2.13,1X,12.0,2X,"Quarta-feira, 30 Setembro 2020 13:03",
67,1601467592-160,https://www.betano.pt/sport/futebol/inglaterra/premier-league/1/,"Leeds United
              
                Manchester City",https://www.betano.pt/odds/leeds-united-manchester-city/6493287/,Premier League,"Sábado, 3 Outubro 2020 17:30",Leeds United,Manchester City,7.6,5.1,1.33,1.75,1.78,Mais de3.5,1.07,5.2,Mais de1.5,1.3,2.78,Mais de2.5,1.47,2.2,Ambas Equipas Marcam (Sim/Não),3.05,1.11,1.05,1X,12.0,2X,"Quarta-feira, 30 Setembro 2020 13:03",
68,1601466158-7,https://www.betano.pt/sport/futebol/holanda/eredivisie/17067r/,"Heracles Almelo
              
                RKC Waalwijk",https://www.betano.pt/odds/heracles-almelo-rkc-waalwijk/6542330/,Eredivisie,"Sábado, 17 Outubro 2020 19:00",Heracles Almelo,RKC Waalwijk,1.42,4.35,6.75,1.04,2.45,1X,,,,,,,,,,,,,,,,"Quarta-feira, 30 Setembro 2020 12:41",
69,1601467278-126,https://www.betano.pt/sport/futebol/italia/serie-a/1635/,"Torino
              
                Cagliari",https://www.betano.pt/odds/torino-cagliari/6650716/,Série A,"Domingo, 18 Outubro 2020 14:00",Torino,Cagliari,2.4,3.15,2.86,1.75,1.8,Mais de2.5,1.23,3.15,Mais de1.5,2.8,1.3,Mais de3.5,1.57,2.02,Ambas Equipas Marcam (Sim/Não),1.36,1.28,1.5,1X,12.0,2X,"Quarta-feira, 30 Setembro 2020 13:00",
70,1601466548-48,https://www.betano.pt/sport/futebol/inglaterra/championship/2r/,"Luton Town
              
                Stoke City",https://www.betano.pt/odds/luton-town-stoke-city/6539939/,Championship,"Sábado, 17 Outubro 2020 15:00",Luton Town,Stoke City,2.96,3.25,2.3,1.47,1.3,1X,,,,,,,,,,,,,,,,"Quarta-feira, 30 Setembro 2020 12:48",
