,web-scraper-order,web-scraper-start-url,Games,Games-href,League,Date,HomeTeam,AwayTeam,ODDH,ODDD,ODDA,ODD_25+,ODD_25-,Tag25,ODD_15+,ODD_15-,Tag15,ODD_35+,ODD_35-,Tag35,ODD_BthScore_Yes,ODD_BthScore_No,TagBS,ODD_1X,ODD_12,ODD_X2,Tag1X,Tag12,TagX2,Current_Date,SOdds
0,1601495781-74,https://www.betano.pt/sport/futebol/inglaterra/championship/2r/,"Rotherham
              
                Huddersfield",https://www.betano.pt/odds/rotherham-huddersfield/6411310/,Championship,"Sábado, 3 Outubro 2020 15:00",Rotherham,Huddersfield,2.4,2.98,3.05,2.05,1.50,Mais de2.5,1.35,2.45,Mais de1.5,3.55,1.15,Mais de3.5,1.75,1.72,Ambas Equipas Marcam (Sim/Não),1.33,1.3,1.5,1X,12.0,2X,"Quarta-feira, 30 Setembro 2020 20:53",
1,1601495155-6,https://www.betano.pt/sport/futebol/holanda/eredivisie/17067r/,"AZ Alkmaar
              
                VVV Venlo",https://www.betano.pt/odds/az-alkmaar-vvv-venlo/6542812/,Eredivisie,"Sábado, 17 Outubro 2020 20:00",AZ Alkmaar,VVV Venlo,1.23,5.9,10.0,-,2.84,1X,,,,,,,,,,,,,,,,"Quarta-feira, 30 Setembro 2020 20:44",
2,1601496100-107,https://www.betano.pt/sport/futebol/espanha/laliga/5/,"Real Valladolid
              
                Eibar",https://www.betano.pt/odds/real-valladolid-eibar/6641033/,LaLiga,"Sábado, 3 Outubro 2020 12:00",Real Valladolid,Eibar,2.4,2.98,3.05,2.25,1.45,Mais de2.5,1.42,2.37,Mais de1.5,4.1,1.13,Mais de3.5,1.91,1.65,Ambas Equipas Marcam (Sim/Não),1.33,1.31,1.5,1X,12.0,2X,"Quarta-feira, 30 Setembro 2020 20:59",
3,1601495635-57,https://www.betano.pt/sport/futebol/inglaterra/championship/2r/,"Preston
              
                Cardiff",https://www.betano.pt/odds/preston-cardiff/6539920/,Championship,"Domingo, 18 Outubro 2020 12:00",Preston,Cardiff,2.3,3.25,2.96,1.30,1.47,1X,,,,,,,,,,,,,,,,"Quarta-feira, 30 Setembro 2020 20:53",
4,1601496461-146,https://www.betano.pt/sport/futebol/italia/serie-a/1635/,"Udinese
              
                AS Roma",https://www.betano.pt/odds/udinese-as-roma/6595028/,Série A,"Sábado, 3 Outubro 2020 19:45",Udinese,AS Roma,4.5,3.95,1.65,1.61,1.95,Mais de2.5,1.17,3.6,Mais de1.5,2.52,1.36,Mais de3.5,1.63,1.95,Ambas Equipas Marcam (Sim/Não),2.10,1.18,1.16,1X,12.0,2X,"Quarta-feira, 30 Setembro 2020 21:05",
5,1601495685-63,https://www.betano.pt/sport/futebol/inglaterra/championship/2r/,"Barnsley FC
              
                Bristol City",https://www.betano.pt/odds/barnsley-fc-bristol-city/6539927/,Championship,"Sábado, 17 Outubro 2020 15:00",Barnsley FC,Bristol City,2.4,3.25,2.82,1.33,1.44,1X,,,,,,,,,,,,,,,,"Quarta-feira, 30 Setembro 2020 20:53",
6,1601495254-17,https://www.betano.pt/sport/futebol/holanda/eredivisie/17067r/,"Vitesse
              
                Heracles Almelo",https://www.betano.pt/odds/vitesse-heracles-almelo/6411664/,Eredivisie,"Sábado, 3 Outubro 2020 15:30",Vitesse,Heracles Almelo,1.65,3.9,4.6,1.47,2.11,Mais de2.5,1.13,3.75,Mais de1.5,2.2,1.44,Mais de3.5,1.47,2.1,Ambas Equipas Marcam (Sim/Não),1.16,1.17,2.11,1X,12.0,2X,"Quarta-feira, 30 Setembro 2020 20:44",
7,1601496416-141,https://www.betano.pt/sport/futebol/italia/serie-a/1635/,"AC Milão
              
                Spezia",https://www.betano.pt/odds/ac-milao-spezia/6595033/,Série A,"Domingo, 4 Outubro 2020 17:00",AC Milão,Spezia,1.24,5.85,10.0,1.47,2.20,Mais de2.5,1.12,4.2,Mais de1.5,2.2,1.47,Mais de3.5,1.95,1.63,Ambas Equipas Marcam (Sim/Não),1.03,1.11,3.7,1X,12.0,2X,"Quarta-feira, 30 Setembro 2020 21:05",
8,1601495544-48,https://www.betano.pt/sport/futebol/franca/ligue-1/215r/,"Rennes
              
                Stade Reims",https://www.betano.pt/odds/rennes-stade-reims/6422094/,Ligue 1,"Domingo, 4 Outubro 2020 16:00",Rennes,Stade Reims,1.67,3.55,5.0,2.00,1.53,Mais de2.5,1.31,2.58,Mais de1.5,3.45,1.16,Mais de3.5,1.95,1.57,Ambas Equipas Marcam (Sim/Não),1.13,1.21,2.05,1X,12.0,2X,"Quarta-feira, 30 Setembro 2020 20:50",
9,1601495870-83,https://www.betano.pt/sport/futebol/escocia/premiership/1647r/,"Kilmarnock FC
              
                Motherwell FC",https://www.betano.pt/odds/kilmarnock-fc-motherwell-fc/6403492/,Premiership,"Sexta-feira, 2 Outubro 2020 19:45",Kilmarnock FC,Motherwell FC,2.4,3.2,2.82,1.90,1.61,Mais de2.5,1.28,2.72,Mais de1.5,3.2,1.19,Mais de3.5,1.67,1.8,Ambas Equipas Marcam (Sim/Não),1.38,1.26,1.5,1X,12.0,2X,"Quarta-feira, 30 Setembro 2020 20:57",
10,1601496668-168,https://www.betano.pt/sport/futebol/inglaterra/premier-league/1/,"Chelsea
              
                Crystal Palace FC",https://www.betano.pt/odds/chelsea-crystal-palace-fc/6458174/,Premier League,"Sábado, 3 Outubro 2020 12:30",Chelsea,Crystal Palace FC,1.4,4.5,6.95,1.53,2.10,Mais de2.5,1.15,3.8,Mais de1.5,2.33,1.42,Mais de3.5,1.7,1.85,Ambas Equipas Marcam (Sim/Não),1.06,1.14,2.72,1X,12.0,2X,"Quarta-feira, 30 Setembro 2020 21:08",
