,web-scraper-order,web-scraper-start-url,Games,Games-href,League,Date,HomeTeam,AwayTeam,ODDH,ODDD,ODDA,ODD_25+,ODD_25-,Tag25,ODD_15+,ODD_15-,Tag15,ODD_35+,ODD_35-,Tag35,ODD_BthScore_Yes,ODD_BthScore_No,TagBS,ODD_1X,ODD_12,ODD_X2,Tag1X,Tag12,TagX2,Current_Date
0,1601030823-61,https://www.betano.pt/sport/futebol/inglaterra/championship/2r/,"Norwich City
              
                Derby County",https://www.betano.pt/odds/norwich-city-derby-county/6411301/,Championship,"Sábado, 3 Outubro 2020 12:30",Norwich City,Derby County,1.75,3.8,4.0,1.65,1.83,Mais de2.5,1.18,3.3,Mais de1.5,2.65,1.3,Mais de3.5,1.61,1.88,Ambas Equipas Marcam (Sim/Não),1.20,1.18,1.95,1X,12.0,2X,"Sexta-feira, 25 Setembro 2020 11:45"
1,1601030805-59,https://www.betano.pt/sport/futebol/inglaterra/championship/2r/,"Middlesbrough
              
                Barnsley FC",https://www.betano.pt/odds/middlesbrough-barnsley-fc/6411298/,Championship,"Sábado, 3 Outubro 2020 15:00",Middlesbrough,Barnsley FC,2.13,3.25,3.3,1.90,1.61,Mais de2.5,1.27,2.74,Mais de1.5,3.15,1.2,Mais de3.5,1.7,1.78,Ambas Equipas Marcam (Sim/Não),1.28,1.24,1.63,1X,12.0,2X,"Sexta-feira, 25 Setembro 2020 11:45"
2,1601030787-57,https://www.betano.pt/sport/futebol/inglaterra/championship/2r/,"Reading
              
                Watford",https://www.betano.pt/odds/reading-watford/6411307/,Championship,"Sábado, 3 Outubro 2020 15:00",Reading,Watford,2.86,3.15,2.4,1.87,1.63,Mais de2.5,1.27,2.76,Mais de1.5,3.1,1.21,Mais de3.5,1.65,1.83,Ambas Equipas Marcam (Sim/Não),1.50,1.26,1.36,1X,12.0,2X,"Sexta-feira, 25 Setembro 2020 11:45"
3,1601030914-71,https://www.betano.pt/sport/futebol/inglaterra/championship/2r/,"Barnsley FC
              
                Coventry City",https://www.betano.pt/odds/barnsley-fc-coventry-city/6347426/,Championship,"Sábado, 26 Setembro 2020 15:00",Barnsley FC,Coventry City,2.18,3.2,3.25,1.85,1.65,Mais de2.5,1.27,2.76,Mais de1.5,3.05,1.22,Mais de3.5,1.65,1.83,Ambas Equipas Marcam (Sim/Não),1.30,1.26,1.61,1X,12.0,2X,"Sexta-feira, 25 Setembro 2020 11:45"
4,1601031461-128,https://www.betano.pt/sport/futebol/portugal/primeira-liga/17083/,"Rio Ave FC
              
                Vitória Guimarães",https://www.betano.pt/odds/rio-ave-fc-vitoria-guimaraes/6486171/,Primeira Liga,"Domingo, 27 Setembro 2020 21:00",Rio Ave FC,Vitória Guimarães,2.8,3.1,2.5,1.95,1.57,Mais de2.5,1.31,2.58,Mais de1.5,3.35,1.17,Mais de3.5,1.72,1.75,Ambas Equipas Marcam (Sim/Não),1.47,1.27,1.38,1X,12.0,2X,"Sexta-feira, 25 Setembro 2020 11:55"
5,1601030603-38,https://www.betano.pt/sport/futebol/franca/ligue-1/215r/,"Nice
              
                Nantes",https://www.betano.pt/odds/nice-nantes/6422093/,Ligue 1,"Sábado, 3 Outubro 2020 20:00",Nice,Nantes,2.35,3.2,2.92,1.30,1.47,1X,,,,,,,,,,,,,,,,"Sexta-feira, 25 Setembro 2020 11:42"
6,1601030496-27,https://www.betano.pt/sport/futebol/alemanha/bundesliga/216r/,"Friburgo
              
                Wolfsburgo",https://www.betano.pt/odds/friburgo-wolfsburgo/6172673/,Bundesliga,"Domingo, 27 Setembro 2020 17:00",Friburgo,Wolfsburgo,3.0,3.35,2.25,1.72,1.83,Mais de2.5,1.23,3.15,Mais de1.5,2.8,1.3,Mais de3.5,1.57,2.02,Ambas Equipas Marcam (Sim/Não),1.57,1.25,1.33,1X,12.0,2X,"Sexta-feira, 25 Setembro 2020 11:40"
7,1601031523-135,https://www.betano.pt/sport/futebol/portugal/primeira-liga/17083/,"SC Braga
              
                CD Santa Clara",https://www.betano.pt/odds/sc-braga-cd-santa-clara/6486164/,Primeira Liga,"Sexta-feira, 25 Setembro 2020 20:30",SC Braga,CD Santa Clara,1.45,4.1,6.8,1.67,1.8,Mais de2.5,1.2,3.15,Mais de1.5,2.63,1.3,Mais de3.5,1.8,1.67,Ambas Equipas Marcam (Sim/Não),1.07,1.15,2.56,1X,12.0,2X,"Sexta-feira, 25 Setembro 2020 11:55"
8,1601030586-36,https://www.betano.pt/sport/futebol/franca/ligue-1/215r/,"Bordéus
              
                Dijon",https://www.betano.pt/odds/bordeus-dijon/6422098/,Ligue 1,"Domingo, 4 Outubro 2020 14:00",Bordéus,Dijon,1.72,3.55,4.6,1.12,1.88,1X,,,,,,,,,,,,,,,,"Sexta-feira, 25 Setembro 2020 11:42"
9,1601030646-43,https://www.betano.pt/sport/futebol/franca/ligue-1/215r/,"FC Lorient
              
                Lyon",https://www.betano.pt/odds/fc-lorient-lyon/6374167/,Ligue 1,"Domingo, 27 Setembro 2020 16:00",FC Lorient,Lyon,4.9,4.0,1.6,1.61,1.88,Mais de2.5,1.17,3.4,Mais de1.5,2.54,1.32,Mais de3.5,1.65,1.83,Ambas Equipas Marcam (Sim/Não),2.20,1.17,1.14,1X,12.0,2X,"Sexta-feira, 25 Setembro 2020 11:42"
