web-scraper-order,web-scraper-start-url,Games,Games-href,League,Date,HomeTeam,AwayTeam,ODDH,ODDD,ODDA,ODD_25+,ODD_25-,Tag25,ODD_15+,ODD_15-,Tag15,ODD_35+,ODD_35-,Tag35,ODD_BthScore_Yes,ODD_BthScore_No,TagBS,ODD_1X,ODD_12,ODD_X2,Tag1X,Tag12,TagX2,Current_Date,SOdds
1601849294-159,https://www.betano.pt/sport/futebol/portugal/primeira-liga/17083/,"FC Paços Ferreira
              
                CD Santa Clara",https://www.betano.pt/odds/fc-pacos-ferreira-cd-santa-clara/6644915/,Primeira Liga,"Terça-feira, 20 Outubro 2020 20:00",FC Paços Ferreira,CD Santa Clara,2.54,3.3,2.6,2.05,1.5,Mais de2.5,1.32,2.54,Mais de1.5,3.6,1.15,Mais de3.5,1.8,1.67,Ambas Equipas Marcam (Sim/Não),1.44,1.23,1.45,1X,12.0,2X,"Domingo, 4 Outubro 2020 23:07",
1601849278-157,https://www.betano.pt/sport/futebol/portugal/primeira-liga/17083/,"Boavista FC
              
                Vitória Guimarães",https://www.betano.pt/odds/boavista-fc-vitoria-guimaraes/6644919/,Primeira Liga,"Terça-feira, 20 Outubro 2020 20:00",Boavista FC,Vitória Guimarães,3.2,3.2,2.2,2.05,1.5,Mais de2.5,1.33,2.5,Mais de1.5,3.6,1.15,Mais de3.5,1.8,1.67,Ambas Equipas Marcam (Sim/Não),1.57,1.26,1.31,1X,12.0,2X,"Domingo, 4 Outubro 2020 23:07",
1601848355-44,https://www.betano.pt/sport/futebol/inglaterra/championship/2r/,"Reading
              
                Wycombe",https://www.betano.pt/odds/reading-wycombe/6569860/,Championship,"Terça-feira, 20 Outubro 2020 20:00",Reading,Wycombe,1.6,4.1,4.85,1.11,2.05,1X,,,,,,,,,,,,,,,,"Domingo, 4 Outubro 2020 22:51",
1601848110-14,https://www.betano.pt/sport/futebol/alemanha/bundesliga/216r/,"1. FC Union Berlin
              
                Friburgo",https://www.betano.pt/odds/1-fc-union-berlin-friburgo/6700531/,Bundesliga,"Sábado, 24 Outubro 2020 14:30",1. FC Union Berlin,Friburgo,2.37,3.55,2.67,1.38,1.47,1X,,,,,,,,,,,,,,,,"Domingo, 4 Outubro 2020 22:47",
1601848423-53,https://www.betano.pt/sport/futebol/inglaterra/championship/2r/,"Bournemouth
              
                Queens Park Rangers",https://www.betano.pt/odds/bournemouth-queens-park-rangers/6539930/,Championship,"Sábado, 17 Outubro 2020 15:00",Bournemouth,Queens Park Rangers,1.85,3.4,4.05,1.75,1.72,Mais de2.5,1.23,2.96,Mais de1.5,2.8,1.26,Mais de3.5,1.63,1.87,Ambas Equipas Marcam (Sim/Não),1.20,1.22,1.85,1X,12.0,2X,"Domingo, 4 Outubro 2020 22:51",
1601849043-129,https://www.betano.pt/sport/futebol/liga-dos-campeoes/liga-dos-campeoes-jogos/182748r/,"Bayern Munique
              
                Atlético de Madrid",https://www.betano.pt/odds/bayern-munique-atletico-de-madrid/6687460/,Liga dos Campeões - Jogos,"Quarta-feira, 21 Outubro 2020 20:00",Bayern Munique,Atlético de Madrid,1.61,3.95,4.85,1.55,2.05,Mais de2.5,1.16,3.75,Mais de1.5,2.37,1.42,Mais de3.5,1.57,2.02,Ambas Equipas Marcam (Sim/Não),1.14,1.18,2.18,1X,12.0,2X,"Domingo, 4 Outubro 2020 22:59",
1601848447-56,https://www.betano.pt/sport/futebol/inglaterra/championship/2r/,"Barnsley FC
              
                Bristol City",https://www.betano.pt/odds/barnsley-fc-bristol-city/6539927/,Championship,"Sábado, 17 Outubro 2020 15:00",Barnsley FC,Bristol City,2.54,3.3,2.6,1.78,1.7,Mais de2.5,1.23,2.94,Mais de1.5,2.94,1.23,Mais de3.5,1.61,1.9,Ambas Equipas Marcam (Sim/Não),1.44,1.23,1.45,1X,12.0,2X,"Domingo, 4 Outubro 2020 22:51",
1601848743-92,https://www.betano.pt/sport/futebol/liga-europa/liga-europa-jogos/182761r/,"CSKA Sófia
              
                Cluj",https://www.betano.pt/odds/cska-sofia-cluj/6687645/,Liga Europa - Jogos,"Quinta-feira, 22 Outubro 2020 17:55",CSKA Sófia,Cluj,2.67,3.15,2.58,2.05,1.5,Mais de2.5,1.33,2.5,Mais de1.5,3.6,1.15,Mais de3.5,1.8,1.67,Ambas Equipas Marcam (Sim/Não),1.44,1.27,1.42,1X,12.0,2X,"Domingo, 4 Outubro 2020 22:56",
1601849224-151,https://www.betano.pt/sport/futebol/espanha/laliga/5/,"Alavés
              
                Elche CF",https://www.betano.pt/odds/alaves-elche-cf/6692094/,LaLiga,"Domingo, 18 Outubro 2020 20:00",Alavés,Elche CF,2.05,3.0,3.8,1.50,2.13,Mais de1.5,2.58,1.35,Mais de2.5,4.9,1.08,Mais de3.5,2.18,1.5,Ambas Equipas Marcam (Sim/Não),1.23,1.31,1.67,1X,12.0,2X,"Domingo, 4 Outubro 2020 23:05",
1601849011-125,https://www.betano.pt/sport/futebol/liga-dos-campeoes/liga-dos-campeoes-jogos/182748r/,"Inter de Milão
              
                Borussia Mönchengladbach",https://www.betano.pt/odds/inter-de-milao-borussia-monchengladbach/6687602/,Liga dos Campeões - Jogos,"Quarta-feira, 21 Outubro 2020 20:00",Inter de Milão,Borussia Mönchengladbach,1.7,3.7,4.5,1.65,1.91,Mais de2.5,1.19,3.45,Mais de1.5,2.56,1.35,Mais de3.5,1.61,1.95,Ambas Equipas Marcam (Sim/Não),1.17,1.2,2.02,1X,12.0,2X,"Domingo, 4 Outubro 2020 22:59",
1601848674-83,https://www.betano.pt/sport/futebol/liga-europa/liga-europa-jogos/182761r/,"Nápoles
              
                AZ Alkmaar",https://www.betano.pt/odds/napoles-az-alkmaar/6692840/,Liga Europa - Jogos,"Quinta-feira, 22 Outubro 2020 17:55",Nápoles,AZ Alkmaar,1.47,4.33,5.85,1.47,2.15,Mais de2.5,1.12,3.9,Mais de1.5,2.15,1.47,Mais de3.5,1.57,1.95,Ambas Equipas Marcam (Sim/Não),1.10,1.14,2.45,1X,12.0,2X,"Domingo, 4 Outubro 2020 22:56",
1601848578-71,https://www.betano.pt/sport/futebol/liga-europa/liga-europa-jogos/182761r/,"Maccabi Tel Aviv
              
                Qarabağ FK",https://www.betano.pt/odds/maccabi-tel-aviv-qarabag-fk/6693000/,Liga Europa - Jogos,"Quinta-feira, 22 Outubro 2020 20:00",Maccabi Tel Aviv,Qarabağ FK,1.87,3.25,4.25,2.00,1.55,Mais de2.5,1.32,2.56,Mais de1.5,3.4,1.17,Mais de3.5,1.8,1.67,Ambas Equipas Marcam (Sim/Não),1.18,1.25,1.83,1X,12.0,2X,"Domingo, 4 Outubro 2020 22:56",
