web-scraper-order,web-scraper-start-url,Games,Games-href,League,Date,HomeTeam,AwayTeam,ODDH,ODDD,ODDA,ODD_25+,ODD_25-,Tag25,ODD_15+,ODD_15-,Tag15,ODD_35+,ODD_35-,Tag35,ODD_BthScore_Yes,ODD_BthScore_No,TagBS,ODD_1X,ODD_12,ODD_X2,Tag1X,Tag12,TagX2,Current_Date,SOdds
"1604186593-71","https://www.betano.pt/sport/futebol/russia/premier-liga/17098r/","FK Khimki
              
                Zenit São Petersburgo","https://www.betano.pt/odds/fk-khimki-zenit-sao-petersburgo/6684736/","Premier Liga","Domingo, 1 Novembro 2020 11:00","FK Khimki","Zenit São Petersburgo","5.85","4.35","1.44","1.50","2.02","Mais de2.5","1.13","3.65","Mais de1.5","2.30","1.38","Mais de3.5","1.65","1.80","Ambas Equipas Marcam (Sim/Não)","2.58","1.13","1.09","1X","12","2X","Sábado, 31 Outubro 2020 23:21","null"
"1604186912-108","https://www.betano.pt/sport/futebol/italia/serie-a/1635/","Cagliari
              
                Sampdoria","https://www.betano.pt/odds/cagliari-sampdoria/6910872/","Série A","Sábado, 7 Novembro 2020 14:00","Cagliari","Sampdoria","2.76","3.55","2.30","1.50","2.18","Mais de2.5","1.14","3.95","Mais de1.5","2.20","1.47","Mais de3.5","1.40","2.40","Ambas Equipas Marcam (Sim/Não)","1.55","1.22","1.38","1X","12","2X","Sábado, 31 Outubro 2020 23:27","null"
"1604186206-26","https://www.betano.pt/sport/futebol/alemanha/bundesliga/216r/","Friburgo
              
                Bayer Leverkusen","https://www.betano.pt/odds/friburgo-bayer-leverkusen/6710250/","Bundesliga","Domingo, 1 Novembro 2020 14:30","Friburgo","Bayer Leverkusen","3.40","3.45","2.02","1.57","2.02","Mais de2.5","1.17","3.65","Mais de1.5","2.40","1.40","Mais de3.5","1.50","2.19","Ambas Equipas Marcam (Sim/Não)","1.72","1.24","1.27","1X","12","2X","Sábado, 31 Outubro 2020 23:15","null"
"1604186872-103","https://www.betano.pt/sport/futebol/italia/serie-a/1635/","AC Milão
              
                Hellas Verona","https://www.betano.pt/odds/ac-milao-hellas-verona/6910875/","Série A","Domingo, 8 Novembro 2020 19:45","AC Milão","Hellas Verona","1.50","4.33","5.50","1.50","2.16","Mais de2.5","1.14","4.00","Mais de1.5","2.25","1.45","Mais de3.5","1.61","1.95","Ambas Equipas Marcam (Sim/Não)","1.11","1.15","2.45","1X","12","2X","Sábado, 31 Outubro 2020 23:27","null"
"1604186538-64","https://www.betano.pt/sport/futebol/russia/premier-liga/17098r/","FK Khimki
              
                Rubin Kazan","https://www.betano.pt/odds/fk-khimki-rubin-kazan/6748000/","Premier Liga","Domingo, 8 Novembro 2020 11:00","FK Khimki","Rubin Kazan","3.35","3.20","2.05","1.85","1.61","Mais de2.5","1.26","2.72","Mais de1.5","3.05","1.20","Mais de3.5","1.67","1.78","Ambas Equipas Marcam (Sim/Não)","1.67","1.24","1.27","1X","12","2X","Sábado, 31 Outubro 2020 23:21","null"
"1604186724-86","https://www.betano.pt/sport/futebol/espanha/laliga/5/","Celta de Vigo
              
                Real Sociedad","https://www.betano.pt/odds/celta-de-vigo-real-sociedad/6828739/","LaLiga","Domingo, 1 Novembro 2020 15:00","Celta de Vigo","Real Sociedad","2.96","3.05","2.40","2.05","1.55","Mais de2.5","1.35","2.58","Mais de1.5","3.60","1.17","Mais de3.5","1.78","1.75","Ambas Equipas Marcam (Sim/Não)","1.50","1.28","1.35","1X","12","2X","Sábado, 31 Outubro 2020 23:23","null"
"1604186777-92","https://www.betano.pt/sport/futebol/portugal/primeira-liga/17083/","Vitória Guimarães
              
                Sporting CP","https://www.betano.pt/odds/vitoria-guimaraes-sporting-cp/6930466/","Primeira Liga","Sábado, 7 Novembro 2020 20:30","Vitória Guimarães","Sporting CP","3.20","3.20","2.20","1.75","1.72","Mais de2.5","1.23","2.94","Mais de1.5","2.84","1.25","Mais de3.5","1.60","1.91","Ambas Equipas Marcam (Sim/Não)","1.60","1.25","1.30","1X","12","2X","Sábado, 31 Outubro 2020 23:25","null"
"1604186746-88","https://www.betano.pt/sport/futebol/portugal/primeira-liga/17083/","SL Benfica
              
                SC Braga","https://www.betano.pt/odds/sl-benfica-sc-braga/6930471/","Primeira Liga","Domingo, 8 Novembro 2020 20:00","SL Benfica","SC Braga","1.61","4.15","4.60","2.05","1.50","Mais de3.5","1.10","4.15","Mais de1.5","1.42","2.25","Mais de2.5","1.45","2.17","Ambas Equipas Marcam (Sim/Não)","1.16","1.15","2.18","1X","12","2X","Sábado, 31 Outubro 2020 23:25","null"
"1604186831-99","https://www.betano.pt/sport/futebol/portugal/primeira-liga/17083/","Sporting CP
              
                CD Tondela","https://www.betano.pt/odds/sporting-cp-cd-tondela/6879518/","Primeira Liga","Domingo, 1 Novembro 2020 20:00","Sporting CP","CD Tondela","1.42","4.33","6.70","1.75","1.72","Mais de2.5","1.21","3.10","Mais de1.5","2.86","1.25","Mais de3.5","1.95","1.57","Ambas Equipas Marcam (Sim/Não)","1.07","1.14","2.63","1X","12","2X","Sábado, 31 Outubro 2020 23:25","null"
"1604186290-36","https://www.betano.pt/sport/futebol/franca/ligue-1/215r/","Estrasburgo
              
                Marselha","https://www.betano.pt/odds/estrasburgo-marselha/6751311/","Ligue 1","Sexta-feira, 6 Novembro 2020 20:00","Estrasburgo","Marselha","2.65","3.20","2.56","1.90","1.60","Mais de2.5","1.28","2.70","Mais de1.5","3.25","1.19","Mais de3.5","1.67","1.80","Ambas Equipas Marcam (Sim/Não)","1.44","1.26","1.42","1X","12","2X","Sábado, 31 Outubro 2020 23:16","null"
"1604187114-133","https://www.betano.pt/sport/futebol/inglaterra/premier-league/1/","Aston Villa
              
                Southampton","https://www.betano.pt/odds/aston-villa-southampton/6457870/","Premier League","Domingo, 1 Novembro 2020 12:00","Aston Villa","Southampton","2.40","3.40","2.70","1.57","2.04","Mais de2.5","1.17","3.65","Mais de1.5","2.37","1.42","Mais de3.5","1.45","2.25","Ambas Equipas Marcam (Sim/Não)","1.40","1.24","1.50","1X","12","2X","Sábado, 31 Outubro 2020 23:29","null"
"1604186428-52","https://www.betano.pt/sport/futebol/inglaterra/championship/2r/","Sheffield Wednesday
              
                Bournemouth","https://www.betano.pt/odds/sheffield-wednesday-bournemouth/6704634/","Championship","Terça-feira, 3 Novembro 2020 19:00","Sheffield Wednesday","Bournemouth","3.25","2.96","2.19","1.90","1.60","Mais de2.5","1.28","2.70","Mais de1.5","3.15","1.20","Mais de3.5","1.67","1.80","Ambas Equipas Marcam (Sim/Não)","1.57","1.28","1.28","1X","12","2X","Sábado, 31 Outubro 2020 23:19","null"
"1604186275-34","https://www.betano.pt/sport/futebol/franca/ligue-1/215r/","PSG
              
                Rennes","https://www.betano.pt/odds/psg-rennes/6751297/","Ligue 1","Sábado, 7 Novembro 2020 20:00","PSG","Rennes","1.18","6.45","12.85","-","2.98","1X","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Sábado, 31 Outubro 2020 23:16","null"
"1604186944-112","https://www.betano.pt/sport/futebol/italia/serie-a/1635/","Sampdoria
              
                Génova","https://www.betano.pt/odds/sampdoria-genova/6850079/","Série A","Domingo, 1 Novembro 2020 19:45","Sampdoria","Génova","1.88","3.50","3.80","1.72","1.83","Mais de2.5","1.22","3.20","Mais de1.5","2.76","1.30","Mais de3.5","1.63","1.95","Ambas Equipas Marcam (Sim/Não)","1.22","1.23","1.80","1X","12","2X","Sábado, 31 Outubro 2020 23:27","null"
"1604186373-45","https://www.betano.pt/sport/futebol/inglaterra/championship/2r/","Nottingham Forest
              
                Coventry City","https://www.betano.pt/odds/nottingham-forest-coventry-city/6713849/","Championship","Quarta-feira, 4 Novembro 2020 19:45","Nottingham Forest","Coventry City","1.70","3.35","4.65","1.83","1.65","Mais de2.5","1.26","2.80","Mais de1.5","3.05","1.22","Mais de3.5","1.75","1.72","Ambas Equipas Marcam (Sim/Não)","1.15","1.22","2.00","1X","12","2X","Sábado, 31 Outubro 2020 23:19","null"
"1604186562-67","https://www.betano.pt/sport/futebol/russia/premier-liga/17098r/","Ural Sverdlovskaya Oblast
              
                Spartak Moscovo","https://www.betano.pt/odds/ural-sverdlovskaya-oblast-spartak-moscovo/6737722/","Premier Liga","Sábado, 7 Novembro 2020 11:00","Ural Sverdlovskaya Oblast","Spartak Moscovo","5.25","2.96","1.75","1.90","1.57","Mais de2.5","1.27","2.68","Mais de1.5","3.05","1.20","Mais de3.5","1.75","1.70","Ambas Equipas Marcam (Sim/Não)","1.91","1.28","1.12","1X","12","2X","Sábado, 31 Outubro 2020 23:21","null"
"1604186762-90","https://www.betano.pt/sport/futebol/portugal/primeira-liga/17083/","SC Farense
              
                Boavista FC","https://www.betano.pt/odds/sc-farense-boavista-fc/6930469/","Primeira Liga","Domingo, 8 Novembro 2020 15:00","SC Farense","Boavista FC","2.58","2.98","2.80","2.02","1.53","Mais de2.5","1.32","2.54","Mais de1.5","3.40","1.17","Mais de3.5","1.72","1.75","Ambas Equipas Marcam (Sim/Não)","1.38","1.30","1.44","1X","12","2X","Sábado, 31 Outubro 2020 23:25","null"
"1604186341-42","https://www.betano.pt/sport/futebol/franca/ligue-1/215r/","Dijon
              
                FC Lorient","https://www.betano.pt/odds/dijon-fc-lorient/6686762/","Ligue 1","Domingo, 1 Novembro 2020 14:00","Dijon","FC Lorient","2.98","3.35","2.25","1.75","1.72","Mais de2.5","1.23","2.96","Mais de1.5","2.90","1.24","Mais de3.5","1.61","1.90","Ambas Equipas Marcam (Sim/Não)","1.57","1.24","1.33","1X","12","2X","Sábado, 31 Outubro 2020 23:16","null"
"1604186298-37","https://www.betano.pt/sport/futebol/franca/ligue-1/215r/","Lille
              
                Lyon","https://www.betano.pt/odds/lille-lyon/6686770/","Ligue 1","Domingo, 1 Novembro 2020 20:00","Lille","Lyon","2.65","3.20","2.56","1.75","1.72","Mais de2.5","1.24","2.92","Mais de1.5","2.86","1.25","Mais de3.5","1.57","1.95","Ambas Equipas Marcam (Sim/Não)","1.45","1.26","1.42","1X","12","2X","Sábado, 31 Outubro 2020 23:16","null"
"1604186840-100","https://www.betano.pt/sport/futebol/portugal/primeira-liga/17083/","Gil Vicente FC
              
                Vitória Guimarães","https://www.betano.pt/odds/gil-vicente-fc-vitoria-guimaraes/6879517/","Primeira Liga","Domingo, 1 Novembro 2020 17:30","Gil Vicente FC","Vitória Guimarães","3.20","2.96","2.33","2.15","1.47","Mais de2.5","1.38","2.37","Mais de1.5","3.75","1.13","Mais de3.5","1.83","1.65","Ambas Equipas Marcam (Sim/Não)","1.53","1.28","1.30","1X","12","2X","Sábado, 31 Outubro 2020 23:25","null"
"1604186333-41","https://www.betano.pt/sport/futebol/franca/ligue-1/215r/","Stade Reims
              
                Estrasburgo","https://www.betano.pt/odds/stade-reims-estrasburgo/6686763/","Ligue 1","Domingo, 1 Novembro 2020 14:00","Stade Reims","Estrasburgo","2.37","3.15","2.94","1.95","1.57","Mais de2.5","1.31","2.58","Mais de1.5","3.40","1.17","Mais de3.5","1.72","1.75","Ambas Equipas Marcam (Sim/Não)","1.35","1.26","1.53","1X","12","2X","Sábado, 31 Outubro 2020 23:16","null"
"1604186880-104","https://www.betano.pt/sport/futebol/italia/serie-a/1635/","Bolonha
              
                Nápoles","https://www.betano.pt/odds/bolonha-napoles/6910874/","Série A","Domingo, 8 Novembro 2020 17:00","Bolonha","Nápoles","4.45","4.00","1.65","2.11","1.53","Mais de3.5","1.12","4.20","Mais de1.5","1.44","2.30","Mais de2.5","1.45","2.25","Ambas Equipas Marcam (Sim/Não)","2.10","1.18","1.17","1X","12","2X","Sábado, 31 Outubro 2020 23:27","null"
"1604186323-40","https://www.betano.pt/sport/futebol/franca/ligue-1/215r/","Nimes
              
                FC Metz","https://www.betano.pt/odds/nimes-fc-metz/6686767/","Ligue 1","Domingo, 1 Novembro 2020 14:00","Nimes","FC Metz","2.56","3.15","2.68","1.95","1.57","Mais de2.5","1.30","2.62","Mais de1.5","3.30","1.18","Mais de3.5","1.72","1.75","Ambas Equipas Marcam (Sim/Não)","1.42","1.27","1.45","1X","12","2X","Sábado, 31 Outubro 2020 23:16","null"
"1604186816-97","https://www.betano.pt/sport/futebol/portugal/primeira-liga/17083/","Boavista FC
              
                SL Benfica","https://www.betano.pt/odds/boavista-fc-sl-benfica/6879520/","Primeira Liga","Segunda-feira, 2 Novembro 2020 21:00","Boavista FC","SL Benfica","10.00","5.35","1.26","2.04","1.53","Mais de3.5","1.10","4.10","Mais de1.5","1.42","2.25","Mais de2.5","1.75","1.72","Ambas Equipas Marcam (Sim/Não)","3.50","1.12","1.03","1X","12","2X","Sábado, 31 Outubro 2020 23:25","null"
