,web-scraper-order,web-scraper-start-url,Games,Games-href,League,Date,HomeTeam,AwayTeam,ODDH,ODDD,ODDA,ODD_25+,ODD_25-,Tag25,ODD_15+,ODD_15-,Tag15,ODD_35+,ODD_35-,Tag35,ODD_BthScore_Yes,ODD_BthScore_No,TagBS,ODD_1X,ODD_12,ODD_X2,Tag1X,Tag12,TagX2,Current_Date
0,1599411003-63,https://www.betano.pt/sport/futebol/russia/premier-liga/17098r/,"FC Akhmat Grozny
              
                PFC Sochi",https://www.betano.pt/odds/fc-akhmat-grozny-pfc-sochi/6232014/,Premier Liga,"Sábado, 12 Setembro 2020 17:00",FC Akhmat Grozny,PFC Sochi,2.4,2.96,3.05,1.4,2.25,Mais de1.5,2.25,1.4,Mais de2.5,4.0,1.1,Mais de3.5,1.9,1.57,Ambas Equipas Marcam (Sim/Não),1.33,1.3,1.50,1X,12.0,2X,"Domingo, 6 Setembro 2020 17:49"
1,1599410843-47,https://www.betano.pt/sport/futebol/inglaterra/championship/2r/,"Bournemouth
              
                Blackburn Rovers",https://www.betano.pt/odds/bournemouth-blackburn-rovers/6292084/,Championship,"Sábado, 12 Setembro 2020 15:00",Bournemouth,Blackburn Rovers,2.0,3.3,3.6,1.83,1.65,Mais de2.5,1.26,2.8,Mais de1.5,3.05,1.22,Mais de3.5,1.67,1.8,Ambas Equipas Marcam (Sim/Não),1.24,1.24,1.72,1X,12.0,2X,"Domingo, 6 Setembro 2020 17:46"
2,1599411055-68,https://www.betano.pt/sport/futebol/espanha/laliga/5/,"Barcelona
              
                Real Madrid",https://www.betano.pt/odds/barcelona-real-madrid/6385298/,LaLiga,"Domingo, 25 Outubro 2020 20:00",Barcelona,Real Madrid,2.45,3.6,2.54,1.47,2.2,Mais de2.5,1.13,4.05,Mais de1.5,2.2,1.47,Mais de3.5,1.42,2.37,Ambas Equipas Marcam (Sim/Não),1.45,1.21,1.47,1X,12.0,2X,"Domingo, 6 Setembro 2020 17:50"
3,1599411242-87,https://www.betano.pt/sport/futebol/italia/serie-a/1635/,"Lázio
              
                Atalanta",https://www.betano.pt/odds/lazio-atalanta/6400671/,Série A,"Quarta-feira, 30 Setembro 2020 14:00",Lázio,Atalanta,2.3,3.4,2.84,1.5,2.19,Mais de2.5,1.14,3.95,Mais de1.5,2.19,1.5,Mais de3.5,1.4,2.4,Ambas Equipas Marcam (Sim/Não),1.36,1.25,1.55,1X,12.0,2X,"Domingo, 6 Setembro 2020 17:53"
4,1599410878-51,https://www.betano.pt/sport/futebol/inglaterra/championship/2r/,"Watford
              
                Middlesbrough",https://www.betano.pt/odds/watford-middlesbrough/6292092/,Championship,"Sexta-feira, 11 Setembro 2020 19:45",Watford,Middlesbrough,1.91,3.4,3.75,1.95,1.57,Mais de2.5,1.3,2.64,Mais de1.5,3.4,1.17,Mais de3.5,1.8,1.67,Ambas Equipas Marcam (Sim/Não),1.23,1.23,1.78,1X,12.0,2X,"Domingo, 6 Setembro 2020 17:46"
5,1599411458-110,https://www.betano.pt/sport/futebol/inglaterra/premier-league/1/,"Liverpool
              
                Leeds United",https://www.betano.pt/odds/liverpool-leeds-united/6282778/,Premier League,"Sábado, 12 Setembro 2020 17:30",Liverpool,Leeds United,1.28,5.9,7.75,2.12,1.53,Mais de3.5,1.1,4.45,Mais de1.5,1.42,2.35,Mais de2.5,1.75,1.78,Ambas Equipas Marcam (Sim/Não),1.05,1.07,3.35,1X,12.0,2X,"Domingo, 6 Setembro 2020 17:55"
6,1599411073-70,https://www.betano.pt/sport/futebol/espanha/laliga/5/,"Valência
              
                Levante",https://www.betano.pt/odds/valencia-levante/6384928/,LaLiga,"Domingo, 13 Setembro 2020 20:00",Valência,Levante,2.0,3.45,3.5,1.65,1.91,Mais de2.5,1.2,3.35,Mais de1.5,2.58,1.35,Mais de3.5,1.55,2.05,Ambas Equipas Marcam (Sim/Não),1.26,1.24,1.72,1X,12.0,2X,"Domingo, 6 Setembro 2020 17:50"
7,1599410958-58,https://www.betano.pt/sport/futebol/russia/premier-liga/17098r/,"Rostov
              
                Lokomotiv Moscovo",https://www.betano.pt/odds/rostov-lokomotiv-moscovo/6232013/,Premier Liga,"Segunda-feira, 14 Setembro 2020 18:30",Rostov,Lokomotiv Moscovo,2.33,3.15,3.0,1.9,1.57,Mais de2.5,1.28,2.64,Mais de1.5,3.15,1.19,Mais de3.5,1.67,1.78,Ambas Equipas Marcam (Sim/Não),1.35,1.26,1.53,1X,12.0,2X,"Domingo, 6 Setembro 2020 17:49"
8,1599410798-42,https://www.betano.pt/sport/futebol/inglaterra/championship/2r/,"Millwall FC
              
                Stoke City",https://www.betano.pt/odds/millwall-fc-stoke-city/6292089/,Championship,"Sábado, 12 Setembro 2020 15:00",Millwall FC,Stoke City,2.52,3.0,2.86,2.15,1.47,Mais de2.5,1.38,2.37,Mais de1.5,3.75,1.13,Mais de3.5,1.83,1.65,Ambas Equipas Marcam (Sim/Não),1.36,1.28,1.45,1X,12.0,2X,"Domingo, 6 Setembro 2020 17:46"
9,1599410458-6,https://www.betano.pt/sport/futebol/alemanha/bundesliga/216r/,"Bayer Leverkusen
              
                RB Leipzig",https://www.betano.pt/odds/bayer-leverkusen-rb-leipzig/6172671/,Bundesliga,"Sábado, 26 Setembro 2020 14:30",Bayer Leverkusen,RB Leipzig,2.7,3.4,2.4,1.5,2.13,Mais de2.5,1.15,3.85,Mais de1.5,2.25,1.45,Mais de3.5,1.42,2.35,Ambas Equipas Marcam (Sim/Não),1.50,1.24,1.40,1X,12.0,2X,"Domingo, 6 Setembro 2020 17:39"
