,web-scraper-order,web-scraper-start-url,Games,Games-href,League,Date,HomeTeam,AwayTeam,ODDH,ODDD,ODDA,ODD_25+,ODD_25-,Tag25,ODD_15+,ODD_15-,Tag15,ODD_35+,ODD_35-,Tag35,ODD_BthScore_Yes,ODD_BthScore_No,TagBS,ODD_1X,ODD_12,ODD_X2,Tag1X,Tag12,TagX2,Current_Date
0,1595600803-22,https://www.betano.pt/sport/futebol/liga-dos-campeoes/liga-dos-campeoes-jogos/182748r/,"Manchester City
              
                Real Madrid
                         
            Primeira mão: 2-1",https://www.betano.pt/odds/manchester-city-real-madrid/5916498/,Liga dos Campeões - Jogos,"Sexta-feira, 7 Agosto 2020 20:00",Manchester City,Real Madrid,1.67,4.2,4.05,1.09,4.95,Manchester City,,,,,,,-,7.0,Total de Golos Mais/Menos (alternativas),1.53,2.35,7.0,Manchester City,Real Madrid,Sem Golos,"Sexta-feira, 24 Julho 2020 15:25"
1,1595600704-13,https://www.betano.pt/sport/futebol/liga-europa/liga-europa-jogos/182761r/,"Bayer Leverkusen
              
                Rangers
                         
            Primeira mão: 3-1",https://www.betano.pt/odds/bayer-leverkusen-rangers/5916106/,Liga Europa - Jogos,"Quinta-feira, 6 Agosto 2020 17:55",Bayer Leverkusen,Rangers,1.65,3.9,4.55,-,14.25,Bayer Leverkusen,,,,,,,1.02,6.8,Total de Golos Mais/Menos (alternativas),1.53,2.63,6.8,Bayer Leverkusen,Rangers,Sem Golos,"Sexta-feira, 24 Julho 2020 15:24"
2,1595600933-36,https://www.betano.pt/sport/futebol/eua/mls/195161/,"Seattle Sounders
              
                Los Angeles FC",https://www.betano.pt/odds/seattle-sounders-los-angeles-fc/6048742/,MLS,"Terça-feira, 28 Julho 2020 04:00",Seattle Sounders,Los Angeles FC,3.15,3.9,2.0,2.10,1.5,Seattle Sounders,,,,,,,-,10.0,Total de Golos Mais/Menos (alternativas),1.95,1.65,10.0,Seattle Sounders,Los Angeles FC,Sem Golos,"Sexta-feira, 24 Julho 2020 15:28"
3,1595600811-23,https://www.betano.pt/sport/futebol/liga-dos-campeoes/liga-dos-campeoes-jogos/182748r/,"Juventus
              
                Lyon
                         
            Primeira mão: 0-1",https://www.betano.pt/odds/juventus-lyon/5916466/,Liga dos Campeões - Jogos,"Sexta-feira, 7 Agosto 2020 20:00",Juventus,Lyon,1.4,4.4,7.2,1.70,1.88,Juventus,,,,,,,1.02,6.7,Total de Golos Mais/Menos (alternativas),1.36,3.4,6.7,Juventus,Lyon,Sem Golos,"Sexta-feira, 24 Julho 2020 15:25"
4,1595600884-31,https://www.betano.pt/sport/futebol/portugal/primeira-liga/17083/,"Boavista
              
                Rio Ave",https://www.betano.pt/odds/boavista-rio-ave/6020638/,Primeira Liga,"Sábado, 25 Julho 2020 19:00",Boavista,Rio Ave,4.35,3.8,1.7,1.70,1.85,Mais de2.5,1.2,3.35,Mais de1.5,2.74,1.31,Mais de3.5,1.67,1.87,Ambas Equipas Marcam (Sim/Não),2.04,1.19,1.18,1X,12,2X,"Sexta-feira, 24 Julho 2020 15:27"
5,1595600647-7,https://www.betano.pt/sport/futebol/escocia/premiership/1647r/,"Hibernian FC
              
                Kilmarnock FC",https://www.betano.pt/odds/hibernian-fc-kilmarnock-fc/5906396/,Premiership,"Sábado, 1 Agosto 2020 15:00",Hibernian FC,Kilmarnock FC,2.1,3.4,3.25,1.83,1.65,Mais de2.5,1.25,2.84,Mais de1.5,3.1,1.21,Mais de3.5,1.67,1.8,Ambas Equipas Marcam (Sim/Não),1.28,1.23,1.65,1X,12,2X,"Sexta-feira, 24 Julho 2020 15:23"
6,1595600860-28,https://www.betano.pt/sport/futebol/portugal/primeira-liga/17083/,"SC Braga
              
                FC Porto",https://www.betano.pt/odds/sc-braga-fc-porto/6020641/,Primeira Liga,"Sábado, 25 Julho 2020 21:15",SC Braga,FC Porto,2.67,3.55,2.35,1.55,2.05,Mais de2.5,1.16,3.75,Mais de1.5,2.4,1.4,Mais de3.5,1.47,2.2,Ambas Equipas Marcam (Sim/Não),1.53,1.22,1.42,1X,12,2X,"Sexta-feira, 24 Julho 2020 15:27"
7,1595600688-11,https://www.betano.pt/sport/futebol/liga-europa/liga-europa-jogos/182761r/,"Wolverhampton
              
                Olympiacos
                         
            Primeira mão: 1-1",https://www.betano.pt/odds/wolverhampton-olympiacos/5915663/,Liga Europa - Jogos,"Quinta-feira, 6 Agosto 2020 20:00",Wolverhampton,Olympiacos,1.83,3.35,4.3,1.30,2.86,Wolverhampton,,,,,,,1.04,6.05,Total de Golos Mais/Menos (alternativas),1.61,2.7,6.05,Wolverhampton,Olympiacos,Sem Golos,"Sexta-feira, 24 Julho 2020 15:24"
8,1595600679-10,https://www.betano.pt/sport/futebol/liga-europa/liga-europa-jogos/182761r/,"Basileia
              
                Eintracht Frankfurt
                         
            Primeira mão: 3-0",https://www.betano.pt/odds/basileia-eintracht-frankfurt/5916075/,Liga Europa - Jogos,"Quinta-feira, 6 Agosto 2020 20:00",Basileia,Eintracht Frankfurt,2.58,3.35,2.54,-,10.0,Basileia,,,,,,,1.02,6.6,Total de Golos Mais/Menos (alternativas),1.95,1.95,6.6,Basileia,Eintracht Frankfurt,Sem Golos,"Sexta-feira, 24 Julho 2020 15:24"
9,1595601234-59,https://www.betano.pt/sport/futebol/inglaterra/premier-league/1/,"Burnley
              
                Brighton",https://www.betano.pt/odds/burnley-brighton/5793746/,Premier League,"Domingo, 26 Julho 2020 16:00",Burnley,Brighton,2.25,3.35,2.96,1.75,1.8,Mais de2.5,1.24,3.1,Mais de1.5,2.86,1.28,Mais de3.5,1.61,1.95,Ambas Equipas Marcam (Sim/Não),1.35,1.25,1.57,1X,12,2X,"Sexta-feira, 24 Julho 2020 15:31"
