web-scraper-order,web-scraper-start-url,Games,Games-href,League,Date,HomeTeam,AwayTeam,ODDH,ODDD,ODDA,ODD_25+,ODD_25-,Tag25,ODD_15+,ODD_15-,Tag15,ODD_35+,ODD_35-,Tag35,ODD_BthScore_Yes,ODD_BthScore_No,TagBS,ODD_1X,ODD_12,ODD_X2,Tag1X,Tag12,TagX2,Current_Date,SOdds
"1603016737-30","https://www.betano.pt/sport/futebol/alemanha/bundesliga/216r/","RB Leipzig
              
                Hertha Berlin","https://www.betano.pt/odds/rb-leipzig-hertha-berlin/6700530/","Bundesliga","Sábado, 24 Outubro 2020 14:30","RB Leipzig","Hertha Berlin","1.44","4.55","6.20","1.87","1.67","Mais de3.5","1.08","4.85","Mais de1.5","1.35","2.60","Mais de2.5","1.45","2.25","Ambas Equipas Marcam (Sim/Não)","1.08","1.14","2.60","1X","12","2X","Domingo, 18 Outubro 2020 11:23","null"
"1603016633-18","https://www.betano.pt/sport/futebol/alemanha/bundesliga/216r/","Friburgo
              
                Bayer Leverkusen","https://www.betano.pt/odds/friburgo-bayer-leverkusen/6710250/","Bundesliga","Domingo, 1 Novembro 2020 14:30","Friburgo","Bayer Leverkusen","3.35","3.60","2.00","1.67","1.25","1X","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Domingo, 18 Outubro 2020 11:23","null"
"1603017768-139","https://www.betano.pt/sport/futebol/inglaterra/premier-league/1/","Arsenal
              
                Leicester","https://www.betano.pt/odds/arsenal-leicester/6422371/","Premier League","Domingo, 25 Outubro 2020 19:15","Arsenal","Leicester","2.02","3.90","3.05","1.61","1.95","Mais de2.5","1.17","3.60","Mais de1.5","2.56","1.35","Mais de3.5","1.55","2.05","Ambas Equipas Marcam (Sim/Não)","1.33","1.19","1.70","1X","12","2X","Domingo, 18 Outubro 2020 11:41","null"
"1603017451-105","https://www.betano.pt/sport/futebol/portugal/primeira-liga/17083/","Famalicão
              
                Boavista FC","https://www.betano.pt/odds/famalicao-boavista-fc/6820091/","Primeira Liga","Domingo, 25 Outubro 2020 17:30","Famalicão","Boavista FC","2.45","2.92","3.00","1.85","1.65","Mais de2.5","1.26","2.80","Mais de1.5","3.00","1.22","Mais de3.5","1.61","1.90","Ambas Equipas Marcam (Sim/Não)","1.33","1.31","1.47","1X","12","2X","Domingo, 18 Outubro 2020 11:36","null"
"1603017085-67","https://www.betano.pt/sport/futebol/inglaterra/championship/2r/","Reading
              
                Wycombe","https://www.betano.pt/odds/reading-wycombe/6569860/","Championship","Terça-feira, 20 Outubro 2020 20:00","Reading","Wycombe","1.57","3.90","5.45","1.75","1.72","Mais de2.5","1.23","2.98","Mais de1.5","2.90","1.24","Mais de3.5","1.80","1.67","Ambas Equipas Marcam (Sim/Não)","1.11","1.17","2.25","1X","12","2X","Domingo, 18 Outubro 2020 11:28","null"
"1603017138-73","https://www.betano.pt/sport/futebol/inglaterra/championship/2r/","Bristol City
              
                Middlesbrough","https://www.betano.pt/odds/bristol-city-middlesbrough/6569742/","Championship","Terça-feira, 20 Outubro 2020 19:45","Bristol City","Middlesbrough","2.37","3.15","2.92","1.95","1.57","Mais de2.5","1.30","2.62","Mais de1.5","3.30","1.18","Mais de3.5","1.72","1.75","Ambas Equipas Marcam (Sim/Não)","1.35","1.26","1.50","1X","12","2X","Domingo, 18 Outubro 2020 11:28","null"
"1603016537-8","https://www.betano.pt/sport/futebol/holanda/eredivisie/17067r/","FC Utrecht
              
                FC Twente Enschede","https://www.betano.pt/odds/fc-utrecht-fc-twente-enschede/6606632/","Eredivisie","Sábado, 24 Outubro 2020 17:45","FC Utrecht","FC Twente Enschede","1.57","4.20","4.85","1.47","2.12","Mais de2.5","1.12","3.90","Mais de1.5","2.20","1.44","Mais de3.5","1.53","2.00","Ambas Equipas Marcam (Sim/Não)","1.15","1.15","2.25","1X","12","2X","Domingo, 18 Outubro 2020 11:20","null"
"1603016880-45","https://www.betano.pt/sport/futebol/franca/ligue-1/215r/","Lille
              
                RC Lens","https://www.betano.pt/odds/lille-rc-lens/6551756/","Ligue 1","Domingo, 18 Outubro 2020 20:00","Lille","RC Lens","1.95","3.15","4.00","2.05","1.50","Mais de2.5","1.35","2.45","Mais de1.5","3.55","1.15","Mais de3.5","1.83","1.65","Ambas Equipas Marcam (Sim/Não)","1.21","1.26","1.75","1X","12","2X","Domingo, 18 Outubro 2020 11:26","null"
"1603017382-98","https://www.betano.pt/sport/futebol/espanha/laliga/5/","Huesca
              
                Real Valladolid","https://www.betano.pt/odds/huesca-real-valladolid/6692100/","LaLiga","Domingo, 18 Outubro 2020 17:30","Huesca","Real Valladolid","2.17","2.86","3.70","1.53","2.10","Mais de1.5","2.60","1.35","Mais de2.5","4.90","1.08","Mais de3.5","2.15","1.50","Ambas Equipas Marcam (Sim/Não)","1.23","1.33","1.61","1X","12","2X","Domingo, 18 Outubro 2020 11:34","null"
"1603017644-126","https://www.betano.pt/sport/futebol/italia/serie-a/1635/","Spezia
              
                Fiorentina","https://www.betano.pt/odds/spezia-fiorentina/6708476/","Série A","Domingo, 18 Outubro 2020 14:00","Spezia","Fiorentina","4.90","4.00","1.60","1.60","2.00","Mais de2.5","1.17","3.65","Mais de1.5","2.45","1.38","Mais de3.5","1.63","1.95","Ambas Equipas Marcam (Sim/Não)","2.20","1.18","1.14","1X","12","2X","Domingo, 18 Outubro 2020 11:39","null"
