web-scraper-order,web-scraper-start-url,Games,Games-href,League,Date,HomeTeam,AwayTeam,ODDH,ODDD,ODDA,ODD_25+,ODD_25-,Tag25,ODD_15+,ODD_15-,Tag15,ODD_35+,ODD_35-,Tag35,ODD_BthScore_Yes,ODD_BthScore_No,TagBS,ODD_1X,ODD_12,ODD_X2,Tag1X,Tag12,TagX2,Current_Date,SOdds
1603399727-28,https://www.betano.pt/sport/futebol/alemanha/bundesliga/216r/,"Werder Bremen
              
                Hoffenheim",https://www.betano.pt/odds/werder-bremen-hoffenheim/6700534/,Bundesliga,"Domingo, 25 Outubro 2020 17:00",Werder Bremen,Hoffenheim,2.9,3.55,2.2,1.50,2.19,Mais de2.5,1.14,3.95,Mais de1.5,2.2,1.47,Mais de3.5,1.42,2.37,Ambas Equipas Marcam (Sim/Não),1.60,1.22,1.36,1X,12.0,2X,"Quinta-feira, 22 Outubro 2020 21:47",
1603400351-94,https://www.betano.pt/sport/futebol/espanha/laliga/5/,"Granada CF
              
                Levante",https://www.betano.pt/odds/granada-cf-levante/6830252/,LaLiga,"Domingo, 1 Novembro 2020 17:30",Granada CF,Levante,2.19,3.1,3.35,2.16,1.5,Mais de2.5,1.38,2.45,Mais de1.5,3.85,1.15,Mais de3.5,1.87,1.67,Ambas Equipas Marcam (Sim/Não),1.28,1.3,1.6,1X,12.0,2X,"Quinta-feira, 22 Outubro 2020 21:58",
1603399867-43,https://www.betano.pt/sport/futebol/franca/ligue-1/215r/,"Nantes
              
                PSG",https://www.betano.pt/odds/nantes-psg/6686768/,Ligue 1,"Sábado, 31 Outubro 2020 20:00",Nantes,PSG,6.65,4.75,1.4,1.95,1.57,Mais de3.5,1.09,4.3,Mais de1.5,1.38,2.35,Mais de2.5,1.53,2.02,Ambas Equipas Marcam (Sim/Não),2.76,1.11,1.07,1X,12.0,2X,"Quinta-feira, 22 Outubro 2020 21:49",
1603400529-113,https://www.betano.pt/sport/futebol/portugal/primeira-liga/17083/,"Vitória Guimarães
              
                SC Braga",https://www.betano.pt/odds/vitoria-guimaraes-sc-braga/6820092/,Primeira Liga,"Domingo, 25 Outubro 2020 20:00",Vitória Guimarães,SC Braga,2.72,3.3,2.45,1.80,1.67,Mais de2.5,1.24,2.92,Mais de1.5,2.96,1.23,Mais de3.5,1.61,1.88,Ambas Equipas Marcam (Sim/Não),1.50,1.24,1.4,1X,12.0,2X,"Quinta-feira, 22 Outubro 2020 22:01",
1603399944-52,https://www.betano.pt/sport/futebol/franca/ligue-1/215r/,"PSG
              
                Dijon",https://www.betano.pt/odds/psg-dijon/6618956/,Ligue 1,"Sábado, 24 Outubro 2020 20:00",PSG,Dijon,1.04,12.25,25.0,1.85,1.65,Mais de4.5,-,6.2,Mais de1.5,1.11,4.05,Mais de2.5,2.02,1.53,Ambas Equipas Marcam (Sim/Não),-,1.02,8.5,1X,12.0,2X,"Quinta-feira, 22 Outubro 2020 21:49",
1603400085-67,https://www.betano.pt/sport/futebol/inglaterra/championship/2r/,"Stoke City
              
                Brentford FC",https://www.betano.pt/odds/stoke-city-brentford-fc/6604633/,Championship,"Sábado, 24 Outubro 2020 15:00",Stoke City,Brentford FC,3.05,3.15,2.3,1.87,1.63,Mais de2.5,1.28,2.72,Mais de1.5,3.1,1.21,Mais de3.5,1.67,1.8,Ambas Equipas Marcam (Sim/Não),1.55,1.26,1.33,1X,12.0,2X,"Quinta-feira, 22 Outubro 2020 21:52",
1603400200-79,https://www.betano.pt/sport/futebol/escocia/premiership/1647r/,"Rangers
              
                Livingston FC",https://www.betano.pt/odds/rangers-livingston-fc/6604787/,Premiership,"Domingo, 25 Outubro 2020 15:00",Rangers,Livingston FC,1.17,6.1,16.0,1.47,2.11,Mais de2.5,1.12,3.85,Mais de1.5,2.2,1.44,Mais de3.5,2.16,1.45,Ambas Equipas Marcam (Sim/Não),-,1.08,4.4,1X,12.0,2X,"Quinta-feira, 22 Outubro 2020 21:56",
1603400546-115,https://www.betano.pt/sport/futebol/portugal/primeira-liga/17083/,"SC Farense
              
                Rio Ave FC",https://www.betano.pt/odds/sc-farense-rio-ave-fc/6820090/,Primeira Liga,"Domingo, 25 Outubro 2020 15:00",SC Farense,Rio Ave FC,3.2,3.2,2.2,1.91,1.6,Mais de2.5,1.28,2.68,Mais de1.5,3.25,1.19,Mais de3.5,1.72,1.75,Ambas Equipas Marcam (Sim/Não),1.60,1.25,1.31,1X,12.0,2X,"Quinta-feira, 22 Outubro 2020 22:01",
1603399664-21,https://www.betano.pt/sport/futebol/alemanha/bundesliga/216r/,"Borussia Mönchengladbach
              
                RB Leipzig",https://www.betano.pt/odds/borussia-monchengladbach-rb-leipzig/6710249/,Bundesliga,"Sábado, 31 Outubro 2020 17:30",Borussia Mönchengladbach,RB Leipzig,2.9,3.45,2.25,2.16,1.5,Mais de3.5,1.13,4.05,Mais de1.5,1.47,2.2,Mais de2.5,1.4,2.4,Ambas Equipas Marcam (Sim/Não),1.55,1.24,1.36,1X,12.0,2X,"Quinta-feira, 22 Outubro 2020 21:47",
1603400060-64,https://www.betano.pt/sport/futebol/inglaterra/championship/2r/,"Wycombe
              
                Watford",https://www.betano.pt/odds/wycombe-watford/6637363/,Championship,"Terça-feira, 27 Outubro 2020 19:45",Wycombe,Watford,6.6,4.05,1.47,1.80,1.67,Mais de2.5,1.24,2.9,Mais de1.5,2.98,1.23,Mais de3.5,1.95,1.57,Ambas Equipas Marcam (Sim/Não),2.52,1.16,1.07,1X,12.0,2X,"Quinta-feira, 22 Outubro 2020 21:52",
