,web-scraper-order,web-scraper-start-url,Games,Games-href,League,Date,HomeTeam,AwayTeam,ODDH,ODDD,ODDA,ODD_25+,ODD_25-,Tag25,ODD_15+,ODD_15-,Tag15,ODD_35+,ODD_35-,Tag35,ODD_BthScore_Yes,ODD_BthScore_No,TagBS,ODD_1X,ODD_12,ODD_X2,Tag1X,Tag12,TagX2,Current_Date
113,1600686814-8,https://www.betano.pt/sport/futebol/holanda/eredivisie/17067r/,"FC Twente Enschede
              
                FC Groningen",https://www.betano.pt/odds/fc-twente-enschede-fc-groningen/6340356/,Eredivisie,"Sexta-feira, 25 Setembro 2020 19:00",FC Twente Enschede,FC Groningen,2.4,3.2,2.86,1.9,1.6,Mais de2.5,1.28,2.68,Mais de1.5,3.2,1.19,Mais de3.5,1.67,1.8,Ambas Equipas Marcam (Sim/Não),1.36,1.26,1.5,1X,12.0,2X,"Segunda-feira, 21 Setembro 2020 12:12"
114,1600687652-95,https://www.betano.pt/sport/futebol/espanha/laliga/5/,"Alavés
              
                Getafe",https://www.betano.pt/odds/alaves-getafe/6502445/,LaLiga,"Sábado, 26 Setembro 2020 12:00",Alavés,Getafe,3.55,2.7,2.33,1.57,2.04,Mais de1.5,2.68,1.32,Mais de2.5,5.05,1.07,Mais de3.5,2.16,1.5,Ambas Equipas Marcam (Sim/Não),1.53,1.36,1.25,1X,12.0,2X,"Segunda-feira, 21 Setembro 2020 12:24"
115,1600687352-63,https://www.betano.pt/sport/futebol/escocia/premiership/1647r/,"Motherwell FC
              
                Rangers",https://www.betano.pt/odds/motherwell-fc-rangers/6347499/,Premiership,"Domingo, 27 Setembro 2020 12:00",Motherwell FC,Rangers,7.8,4.9,1.33,1.5,2.05,Mais de2.5,1.13,3.75,Mais de1.5,2.3,1.4,Mais de3.5,1.75,1.72,Ambas Equipas Marcam (Sim/Não),3.00,1.1,1.05,1X,12.0,2X,"Segunda-feira, 21 Setembro 2020 12:22"
116,1600686904-17,https://www.betano.pt/sport/futebol/alemanha/bundesliga/216r/,"1. FC Union Berlin
              
                Mainz 05",https://www.betano.pt/odds/1-fc-union-berlin-mainz-05/6562361/,Bundesliga,"Sexta-feira, 2 Outubro 2020 19:30",1. FC Union Berlin,Mainz 05,2.35,3.35,2.82,1.78,1.75,Mais de2.5,1.24,3.1,Mais de1.5,2.92,1.27,Mais de3.5,1.63,1.95,Ambas Equipas Marcam (Sim/Não),1.38,1.25,1.53,1X,12.0,2X,"Segunda-feira, 21 Setembro 2020 12:13"
117,1600687974-129,https://www.betano.pt/sport/futebol/italia/serie-a/1635/,"Torino
              
                Atalanta",https://www.betano.pt/odds/torino-atalanta/6470815/,Série A,"Sábado, 26 Setembro 2020 14:00",Torino,Atalanta,4.05,3.95,1.72,1.5,2.17,Mais de2.5,1.14,4.0,Mais de1.5,2.25,1.45,Mais de3.5,1.5,2.18,Ambas Equipas Marcam (Sim/Não),1.95,1.19,1.2,1X,12.0,2X,"Segunda-feira, 21 Setembro 2020 12:30"
118,1600688026-134,https://www.betano.pt/sport/futebol/inglaterra/premier-league/1/,"Manchester United
              
                Tottenham",https://www.betano.pt/odds/manchester-united-tottenham/6458225/,Premier League,"Sábado, 3 Outubro 2020 15:00",Manchester United,Tottenham,1.91,3.6,3.6,1.75,1.8,Mais de2.5,1.22,3.2,Mais de1.5,2.84,1.28,Mais de3.5,1.65,1.91,Ambas Equipas Marcam (Sim/Não),1.24,1.22,1.8,1X,12.0,2X,"Segunda-feira, 21 Setembro 2020 12:33"
119,1600687174-44,https://www.betano.pt/sport/futebol/inglaterra/championship/2r/,"Reading
              
                Watford",https://www.betano.pt/odds/reading-watford/6411307/,Championship,"Sábado, 3 Outubro 2020 15:00",Reading,Watford,3.1,3.2,2.25,1.5,1.27,1X,,,,,,,,,,,,,,,,"Segunda-feira, 21 Setembro 2020 12:18"
120,1600687999-131,https://www.betano.pt/sport/futebol/inglaterra/premier-league/1/,"Wolverhampton
              
                Fulham",https://www.betano.pt/odds/wolverhampton-fulham/6479800/,Premier League,"Sábado, 3 Outubro 2020 15:00",Wolverhampton,Fulham,1.47,3.95,6.65,2.05,1.55,Mais de2.5,1.33,2.63,Mais de1.5,3.65,1.17,Mais de3.5,2.2,1.47,Ambas Equipas Marcam (Sim/Não),1.07,1.18,2.45,1X,12.0,2X,"Segunda-feira, 21 Setembro 2020 12:33"
121,1600686992-26,https://www.betano.pt/sport/futebol/alemanha/bundesliga/216r/,"Hertha Berlin
              
                Eintracht Frankfurt",https://www.betano.pt/odds/hertha-berlin-eintracht-frankfurt/6172674/,Bundesliga,"Sexta-feira, 25 Setembro 2020 19:30",Hertha Berlin,Eintracht Frankfurt,2.2,3.45,2.96,1.57,2.02,Mais de2.5,1.17,3.65,Mais de1.5,2.4,1.4,Mais de3.5,1.47,2.2,Ambas Equipas Marcam (Sim/Não),1.35,1.24,1.57,1X,12.0,2X,"Segunda-feira, 21 Setembro 2020 12:13"
122,1600687271-55,https://www.betano.pt/sport/futebol/inglaterra/championship/2r/,"Derby County
              
                Blackburn Rovers",https://www.betano.pt/odds/derby-county-blackburn-rovers/6347448/,Championship,"Sábado, 26 Setembro 2020 15:00",Derby County,Blackburn Rovers,2.62,3.1,2.66,1.87,1.63,Mais de2.5,1.27,2.76,Mais de1.5,3.1,1.21,Mais de3.5,1.65,1.85,Ambas Equipas Marcam (Sim/Não),1.42,1.27,1.44,1X,12.0,2X,"Segunda-feira, 21 Setembro 2020 12:18"
123,1600687307-59,https://www.betano.pt/sport/futebol/inglaterra/championship/2r/,"Wycombe
              
                Swansea City",https://www.betano.pt/odds/wycombe-swansea-city/6347486/,Championship,"Sábado, 26 Setembro 2020 12:30",Wycombe,Swansea City,4.75,3.35,1.75,2.02,1.53,Mais de2.5,1.32,2.54,Mais de1.5,3.45,1.16,Mais de3.5,1.88,1.61,Ambas Equipas Marcam (Sim/Não),1.95,1.24,1.15,1X,12.0,2X,"Segunda-feira, 21 Setembro 2020 12:18"
124,1600687244-52,https://www.betano.pt/sport/futebol/inglaterra/championship/2r/,"Queens Park Rangers
              
                Middlesbrough",https://www.betano.pt/odds/queens-park-rangers-middlesbrough/6347474/,Championship,"Sábado, 26 Setembro 2020 15:00",Queens Park Rangers,Middlesbrough,2.56,3.1,2.72,1.95,1.57,Mais de2.5,1.3,2.62,Mais de1.5,3.3,1.18,Mais de3.5,1.72,1.75,Ambas Equipas Marcam (Sim/Não),1.40,1.27,1.45,1X,12.0,2X,"Segunda-feira, 21 Setembro 2020 12:18"
125,1600687010-27,https://www.betano.pt/sport/futebol/franca/ligue-1/215r/,"Stade Reims
              
                PSG",https://www.betano.pt/odds/stade-reims-psg/6374161/,Ligue 1,"Domingo, 27 Setembro 2020 20:00",Stade Reims,PSG,7.85,4.33,1.38,1.65,1.83,Mais de2.5,1.19,3.2,Mais de1.5,2.62,1.3,Mais de3.5,1.87,1.63,Ambas Equipas Marcam (Sim/Não),2.78,1.13,1.05,1X,12.0,2X,"Segunda-feira, 21 Setembro 2020 12:16"
126,1600687466-75,https://www.betano.pt/sport/futebol/liga-europa/liga-europa-jogos/182761r/,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Segunda-feira, 21 Setembro 2020 12:24"
127,1600687396-67,https://www.betano.pt/sport/futebol/russia/premier-liga/17098r/,"FK Khimki
              
                Dinamo Moscovo",https://www.betano.pt/odds/fk-khimki-dinamo-moscovo/6357060/,Premier Liga,"Segunda-feira, 28 Setembro 2020 17:00",FK Khimki,Dinamo Moscovo,3.85,3.1,2.0,1.95,1.55,Mais de2.5,1.3,2.54,Mais de1.5,3.3,1.17,Mais de3.5,1.75,1.7,Ambas Equipas Marcam (Sim/Não),1.72,1.27,1.22,1X,12.0,2X,"Segunda-feira, 21 Setembro 2020 12:23"
128,1600687581-87,https://www.betano.pt/sport/futebol/espanha/laliga/5/,"Cádiz CF
              
                Sevilha",https://www.betano.pt/odds/cadiz-cf-sevilha/6502450/,LaLiga,"Segunda-feira, 28 Setembro 2020 20:00",Cádiz CF,Sevilha,4.85,3.15,1.8,2.25,1.45,Mais de2.5,1.42,2.35,Mais de1.5,4.1,1.13,Mais de3.5,2.05,1.55,Ambas Equipas Marcam (Sim/Não),1.91,1.28,1.14,1X,12.0,2X,"Segunda-feira, 21 Setembro 2020 12:24"
129,1600687696-99,https://www.betano.pt/sport/futebol/portugal/primeira-liga/17083/,"Famalicão
              
                Rio Ave FC",https://www.betano.pt/odds/famalicao-rio-ave-fc/6568909/,Primeira Liga,"Domingo, 4 Outubro 2020 18:30",Famalicão,Rio Ave FC,2.7,3.4,2.4,1.67,1.8,Mais de2.5,1.2,3.15,Mais de1.5,2.65,1.3,Mais de3.5,1.53,2.02,Ambas Equipas Marcam (Sim/Não),1.50,1.23,1.4,1X,12.0,2X,"Segunda-feira, 21 Setembro 2020 12:27"
130,1600687777-108,https://www.betano.pt/sport/futebol/portugal/primeira-liga/17083/,"FC Paços Ferreira
              
                Sporting CP",https://www.betano.pt/odds/fc-pacos-ferreira-sporting-cp/6486170/,Primeira Liga,"Domingo, 27 Setembro 2020 18:30",FC Paços Ferreira,Sporting CP,4.55,3.35,1.78,1.67,1.8,Mais de2.5,1.21,3.1,Mais de1.5,2.65,1.3,Mais de3.5,1.6,1.9,Ambas Equipas Marcam (Sim/Não),1.91,1.23,1.16,1X,12.0,2X,"Segunda-feira, 21 Setembro 2020 12:27"
131,1600687821-113,https://www.betano.pt/sport/futebol/portugal/primeira-liga/17083/,"CS Marítimo
              
                CD Tondela",https://www.betano.pt/odds/cs-maritimo-cd-tondela/6486165/,Primeira Liga,"Sábado, 26 Setembro 2020 15:30",CS Marítimo,CD Tondela,2.2,3.3,3.1,2.05,1.5,Mais de2.5,1.32,2.54,Mais de1.5,3.6,1.15,Mais de3.5,1.8,1.67,Ambas Equipas Marcam (Sim/Não),1.32,1.24,1.6,1X,12.0,2X,"Segunda-feira, 21 Setembro 2020 12:27"
132,1600687140-40,https://www.betano.pt/sport/futebol/inglaterra/championship/2r/,"Swansea City
              
                Millwall FC",https://www.betano.pt/odds/swansea-city-millwall-fc/6411322/,Championship,"Sábado, 3 Outubro 2020 15:00",Swansea City,Millwall FC,2.2,3.25,3.15,1.26,1.53,1X,,,,,,,,,,,,,,,,"Segunda-feira, 21 Setembro 2020 12:18"
133,1600687634-93,https://www.betano.pt/sport/futebol/espanha/laliga/5/,"Elche CF
              
                Real Sociedad",https://www.betano.pt/odds/elche-cf-real-sociedad/6502454/,LaLiga,"Sábado, 26 Setembro 2020 17:30",Elche CF,Real Sociedad,3.4,3.2,2.11,1.44,2.3,Mais de1.5,2.35,1.42,Mais de2.5,4.35,1.11,Mais de3.5,2.05,1.55,Ambas Equipas Marcam (Sim/Não),1.65,1.27,1.27,1X,12.0,2X,"Segunda-feira, 21 Setembro 2020 12:24"
134,1600687449-73,https://www.betano.pt/sport/futebol/russia/premier-liga/17098r/,"Tambov
              
                Spartak Moscovo",https://www.betano.pt/odds/tambov-spartak-moscovo/6357054/,Premier Liga,"Sábado, 26 Setembro 2020 12:00",Tambov,Spartak Moscovo,5.25,3.7,1.61,1.78,1.67,Mais de2.5,1.24,2.82,Mais de1.5,2.94,1.22,Mais de3.5,1.78,1.67,Ambas Equipas Marcam (Sim/Não),2.16,1.19,1.12,1X,12.0,2X,"Segunda-feira, 21 Setembro 2020 12:23"
135,1600687812-112,https://www.betano.pt/sport/futebol/portugal/primeira-liga/17083/,"SL Benfica
              
                Moreirense FC",https://www.betano.pt/odds/sl-benfica-moreirense-fc/6486166/,Primeira Liga,"Sábado, 26 Setembro 2020 18:30",SL Benfica,Moreirense FC,1.19,6.25,12.25,2.05,1.5,Mais de3.5,1.1,4.15,Mais de1.5,1.42,2.25,Mais de2.5,1.95,1.57,Ambas Equipas Marcam (Sim/Não),1.02,1.09,4.1,1X,12.0,2X,"Segunda-feira, 21 Setembro 2020 12:27"
136,1600688151-148,https://www.betano.pt/sport/futebol/inglaterra/premier-league/1/,"Crystal Palace FC
              
                Everton",https://www.betano.pt/odds/crystal-palace-fc-everton/6385781/,Premier League,"Sábado, 26 Setembro 2020 15:00",Crystal Palace FC,Everton,3.55,3.2,2.05,2.02,1.57,Mais de2.5,1.33,2.64,Mais de1.5,3.55,1.18,Mais de3.5,1.8,1.75,Ambas Equipas Marcam (Sim/Não),1.67,1.27,1.25,1X,12.0,2X,"Segunda-feira, 21 Setembro 2020 12:33"
137,1600687750-105,https://www.betano.pt/sport/futebol/portugal/primeira-liga/17083/,"Moreirense FC
              
                Boavista FC",https://www.betano.pt/odds/moreirense-fc-boavista-fc/6568903/,Primeira Liga,"Sexta-feira, 2 Outubro 2020 19:00",Moreirense FC,Boavista FC,2.45,3.2,2.78,1.42,2.25,Mais de1.5,2.3,1.4,Mais de2.5,4.15,1.1,Mais de3.5,1.95,1.57,Ambas Equipas Marcam (Sim/Não),1.38,1.26,1.47,1X,12.0,2X,"Segunda-feira, 21 Setembro 2020 12:27"
138,1600688142-147,https://www.betano.pt/sport/futebol/inglaterra/premier-league/1/,"West Brom
              
                Chelsea",https://www.betano.pt/odds/west-brom-chelsea/6387647/,Premier League,"Sábado, 26 Setembro 2020 17:30",West Brom,Chelsea,7.85,4.7,1.35,1.57,2.02,Mais de2.5,1.17,3.65,Mais de1.5,2.4,1.4,Mais de3.5,1.8,1.75,Ambas Equipas Marcam (Sim/Não),2.92,1.13,1.04,1X,12.0,2X,"Segunda-feira, 21 Setembro 2020 12:33"
139,1600687928-124,https://www.betano.pt/sport/futebol/italia/serie-a/1635/,"Hellas Verona
              
                Udinese",https://www.betano.pt/odds/hellas-verona-udinese/6470820/,Série A,"Domingo, 27 Setembro 2020 14:00",Hellas Verona,Udinese,2.65,3.0,2.7,2.2,1.47,Mais de2.5,1.4,2.4,Mais de1.5,4.05,1.13,Mais de3.5,1.88,1.67,Ambas Equipas Marcam (Sim/Não),1.40,1.31,1.42,1X,12.0,2X,"Segunda-feira, 21 Setembro 2020 12:30"
140,1600686922-19,https://www.betano.pt/sport/futebol/alemanha/bundesliga/216r/,"Hoffenheim
              
                Bayern Munique",https://www.betano.pt/odds/hoffenheim-bayern-munique/6172675/,Bundesliga,"Domingo, 27 Setembro 2020 14:30",Hoffenheim,Bayern Munique,9.0,6.7,1.22,1.53,2.11,Mais de3.5,1.03,6.45,Mais de1.5,1.18,3.55,Mais de2.5,1.47,2.2,Ambas Equipas Marcam (Sim/Não),3.90,1.09,1.03,1X,12.0,2X,"Segunda-feira, 21 Setembro 2020 12:13"
141,1600687280-56,https://www.betano.pt/sport/futebol/inglaterra/championship/2r/,"Cardiff
              
                Reading",https://www.betano.pt/odds/cardiff-reading/6347442/,Championship,"Sábado, 26 Setembro 2020 15:00",Cardiff,Reading,2.1,3.15,3.55,1.87,1.63,Mais de2.5,1.27,2.76,Mais de1.5,3.05,1.22,Mais de3.5,1.67,1.8,Ambas Equipas Marcam (Sim/Não),1.25,1.27,1.65,1X,12.0,2X,"Segunda-feira, 21 Setembro 2020 12:18"
142,1600688053-137,https://www.betano.pt/sport/futebol/inglaterra/premier-league/1/,"Aston Villa
              
                Liverpool",https://www.betano.pt/odds/aston-villa-liverpool/6458189/,Premier League,"Sábado, 3 Outubro 2020 15:00",Aston Villa,Liverpool,8.0,4.8,1.33,1.5,2.18,Mais de2.5,1.14,3.95,Mais de1.5,2.2,1.47,Mais de3.5,1.72,1.83,Ambas Equipas Marcam (Sim/Não),3.00,1.12,1.04,1X,12.0,2X,"Segunda-feira, 21 Setembro 2020 12:33"
143,1600687616-91,https://www.betano.pt/sport/futebol/espanha/laliga/5/,"CA Osasuna
              
                Levante",https://www.betano.pt/odds/ca-osasuna-levante/6502451/,LaLiga,"Domingo, 27 Setembro 2020 11:00",CA Osasuna,Levante,2.35,3.1,3.0,1.91,1.65,Mais de2.5,1.3,2.8,Mais de1.5,3.2,1.22,Mais de3.5,1.67,1.87,Ambas Equipas Marcam (Sim/Não),1.33,1.28,1.53,1X,12.0,2X,"Segunda-feira, 21 Setembro 2020 12:24"
144,1600687208-48,https://www.betano.pt/sport/futebol/inglaterra/championship/2r/,"Luton Town
              
                Wycombe",https://www.betano.pt/odds/luton-town-wycombe/6411295/,Championship,"Sábado, 3 Outubro 2020 15:00",Luton Town,Wycombe,1.8,3.65,3.95,1.16,1.8,1X,,,,,,,,,,,,,,,,"Segunda-feira, 21 Setembro 2020 12:18"
145,1600687563-85,https://www.betano.pt/sport/futebol/espanha/laliga/5/,"Celta de Vigo
              
                Barcelona",https://www.betano.pt/odds/celta-de-vigo-barcelona/6567451/,LaLiga,"Quarta-feira, 30 Setembro 2020 18:00",Celta de Vigo,Barcelona,5.6,3.85,1.55,1.57,2.02,Mais de2.5,1.17,3.65,Mais de1.5,2.4,1.4,Mais de3.5,1.63,1.95,Ambas Equipas Marcam (Sim/Não),2.25,1.19,1.11,1X,12.0,2X,"Segunda-feira, 21 Setembro 2020 12:24"
146,1600687262-54,https://www.betano.pt/sport/futebol/inglaterra/championship/2r/,"Millwall FC
              
                Brentford FC",https://www.betano.pt/odds/millwall-fc-brentford-fc/6347460/,Championship,"Sábado, 26 Setembro 2020 15:00",Millwall FC,Brentford FC,3.4,3.1,2.15,2.1,1.47,Mais de2.5,1.35,2.45,Mais de1.5,3.65,1.14,Mais de3.5,1.83,1.65,Ambas Equipas Marcam (Sim/Não),1.63,1.27,1.27,1X,12.0,2X,"Segunda-feira, 21 Setembro 2020 12:18"
147,1600687982-130,https://www.betano.pt/sport/futebol/italia/serie-a/1635/,"AC Milão
              
                Bolonha",https://www.betano.pt/odds/ac-milao-bolonha/6400672/,Série A,"Segunda-feira, 21 Setembro 2020 19:45",AC Milão,Bolonha,1.57,4.4,5.6,1.53,2.2,Mais de2.5,1.15,4.15,Mais de1.5,2.3,1.47,Mais de3.5,1.55,2.05,Ambas Equipas Marcam (Sim/Não),1.12,1.17,2.33,1X,12.0,2X,"Segunda-feira, 21 Setembro 2020 12:30"
148,1600686841-10,https://www.betano.pt/sport/futebol/alemanha/bundesliga/216r/,"Wolfsburgo
              
                Augsburgo",https://www.betano.pt/odds/wolfsburgo-augsburgo/6562369/,Bundesliga,"Domingo, 4 Outubro 2020 14:30",Wolfsburgo,Augsburgo,1.72,3.7,4.4,1.7,1.85,Mais de2.5,1.21,3.3,Mais de1.5,2.72,1.31,Mais de3.5,1.65,1.9,Ambas Equipas Marcam (Sim/Não),1.17,1.21,2.0,1X,12.0,2X,"Segunda-feira, 21 Setembro 2020 12:13"
149,1600687414-69,https://www.betano.pt/sport/futebol/russia/premier-liga/17098r/,"FC Akhmat Grozny
              
                Ural Sverdlovskaya Oblast",https://www.betano.pt/odds/fc-akhmat-grozny-ural-sverdlovskaya-oblast/6357055/,Premier Liga,"Domingo, 27 Setembro 2020 14:30",FC Akhmat Grozny,Ural Sverdlovskaya Oblast,2.14,3.2,3.35,1.8,1.65,Mais de2.5,1.25,2.76,Mais de1.5,2.98,1.21,Mais de3.5,1.63,1.83,Ambas Equipas Marcam (Sim/Não),1.28,1.26,1.63,1X,12.0,2X,"Segunda-feira, 21 Setembro 2020 12:23"
150,1600687590-88,https://www.betano.pt/sport/futebol/espanha/laliga/5/,"Barcelona
              
                Villarreal",https://www.betano.pt/odds/barcelona-villarreal/6502447/,LaLiga,"Domingo, 27 Setembro 2020 20:00",Barcelona,Villarreal,1.45,4.45,6.05,2.05,1.55,Mais de3.5,1.11,4.3,Mais de1.5,1.42,2.35,Mais de2.5,1.53,2.1,Ambas Equipas Marcam (Sim/Não),1.09,1.14,2.56,1X,12.0,2X,"Segunda-feira, 21 Setembro 2020 12:24"
