web-scraper-order,web-scraper-start-url,Games,Games-href,League,Date,HomeTeam,AwayTeam,ODDH,ODDD,ODDA,ODD_25+,ODD_25-,Tag25,ODD_15+,ODD_15-,Tag15,ODD_35+,ODD_35-,Tag35,ODD_BthScore_Yes,ODD_BthScore_No,TagBS,ODD_1X,ODD_12,ODD_X2,Tag1X,Tag12,TagX2,Current_Date,SOdds
1601984674-69,https://www.betano.pt/sport/futebol/inglaterra/championship/2r/,"Luton Town
              
                Stoke City",https://www.betano.pt/odds/luton-town-stoke-city/6539939/,Championship,"Sábado, 17 Outubro 2020 15:00",Luton Town,Stoke City,2.8,3.05,2.52,1.90,1.60,Mais de2.5,1.28,2.67,Mais de1.5,3.2,1.19,Mais de3.5,1.67,1.8,Ambas Equipas Marcam (Sim/Não),1.47,1.28,1.38,1X,12.0,2X,"Terça-feira, 6 Outubro 2020 12:42",
1601985188-131,https://www.betano.pt/sport/futebol/liga-dos-campeoes/liga-dos-campeoes-jogos/182748r/,"FC Midtjylland
              
                Ajax",https://www.betano.pt/odds/fc-midtjylland-ajax/6692721/,Liga dos Campeões - Jogos,"Terça-feira, 3 Novembro 2020 20:00",FC Midtjylland,Ajax,3.0,3.4,2.2,2.16,1.50,Mais de3.5,1.14,4.0,Mais de1.5,1.47,2.2,Mais de2.5,1.4,2.4,Ambas Equipas Marcam (Sim/Não),1.60,1.24,1.33,1X,12.0,2X,"Terça-feira, 6 Outubro 2020 12:51",
1601985292-144,https://www.betano.pt/sport/futebol/liga-dos-campeoes/liga-dos-campeoes-jogos/182748r/,"Istanbul Basaksehir
              
                PSG",https://www.betano.pt/odds/istanbul-basaksehir-psg/6692700/,Liga dos Campeões - Jogos,"Quarta-feira, 28 Outubro 2020 17:55",Istanbul Basaksehir,PSG,8.5,4.15,1.38,1.65,1.91,Mais de2.5,1.19,3.45,Mais de1.5,2.54,1.36,Mais de3.5,1.85,1.7,Ambas Equipas Marcam (Sim/Não),2.78,1.2,1.04,1X,12.0,2X,"Terça-feira, 6 Outubro 2020 12:51",
1601984297-24,https://www.betano.pt/sport/futebol/alemanha/bundesliga/216r/,"Augsburgo
              
                Mainz 05",https://www.betano.pt/odds/augsburgo-mainz-05/6710247/,Bundesliga,"Sábado, 31 Outubro 2020 14:30",Augsburgo,Mainz 05,1.83,3.55,3.95,1.18,1.80,1X,,,,,,,,,,,,,,,,"Terça-feira, 6 Outubro 2020 12:37",
1601984159-7,https://www.betano.pt/sport/futebol/holanda/eredivisie/17067r/,"Den Haag
              
                AZ Alkmaar",https://www.betano.pt/odds/den-haag-az-alkmaar/6607273/,Eredivisie,"Sábado, 24 Outubro 2020 19:00",Den Haag,AZ Alkmaar,5.6,3.75,1.57,2.10,1.07,1X,,,,,,,,,,,,,,,,"Terça-feira, 6 Outubro 2020 12:35",
1601984917-98,https://www.betano.pt/sport/futebol/liga-europa/liga-europa-jogos/182761r/,"Maccabi Tel Aviv
              
                Qarabağ FK",https://www.betano.pt/odds/maccabi-tel-aviv-qarabag-fk/6693000/,Liga Europa - Jogos,"Quinta-feira, 22 Outubro 2020 20:00",Maccabi Tel Aviv,Qarabağ FK,1.9,3.35,3.9,1.95,1.57,Mais de2.5,1.3,2.64,Mais de1.5,3.4,1.17,Mais de3.5,1.8,1.67,Ambas Equipas Marcam (Sim/Não),1.21,1.23,1.8,1X,12.0,2X,"Terça-feira, 6 Outubro 2020 12:47",
1601984981-106,https://www.betano.pt/sport/futebol/liga-europa/liga-europa-jogos/182761r/,"Celtic
              
                AC Milão",https://www.betano.pt/odds/celtic-ac-milao/6692844/,Liga Europa - Jogos,"Quinta-feira, 22 Outubro 2020 20:00",Celtic,AC Milão,3.25,3.5,2.05,1.78,1.70,Mais de2.5,1.23,2.96,Mais de1.5,2.96,1.23,Mais de3.5,1.65,1.83,Ambas Equipas Marcam (Sim/Não),1.67,1.22,1.28,1X,12.0,2X,"Terça-feira, 6 Outubro 2020 12:47",
1601985682-191,https://www.betano.pt/sport/futebol/portugal/primeira-liga/17083/,"CS Marítimo
              
                Portimonense",https://www.betano.pt/odds/cs-maritimo-portimonense/6644922/,Primeira Liga,"Terça-feira, 20 Outubro 2020 20:00",CS Marítimo,Portimonense,2.3,3.15,3.05,2.05,1.50,Mais de2.5,1.35,2.45,Mais de1.5,3.65,1.14,Mais de3.5,1.8,1.67,Ambas Equipas Marcam (Sim/Não),1.33,1.27,1.55,1X,12.0,2X,"Terça-feira, 6 Outubro 2020 13:00",
1601985196-132,https://www.betano.pt/sport/futebol/liga-dos-campeoes/liga-dos-campeoes-jogos/182748r/,"Manchester City
              
                Olympiacos",https://www.betano.pt/odds/manchester-city-olympiacos/6692720/,Liga dos Campeões - Jogos,"Terça-feira, 3 Novembro 2020 20:00",Manchester City,Olympiacos,1.15,6.45,17.0,1.87,1.67,Mais de3.5,1.08,4.9,Mais de1.5,1.35,2.6,Mais de2.5,1.95,1.63,Ambas Equipas Marcam (Sim/Não),-,1.08,4.7,1X,12.0,2X,"Terça-feira, 6 Outubro 2020 12:51",
1601985706-194,https://www.betano.pt/sport/futebol/portugal/primeira-liga/17083/,"Belenenses SAD
              
                Moreirense FC",https://www.betano.pt/odds/belenenses-sad-moreirense-fc/6644918/,Primeira Liga,"Terça-feira, 20 Outubro 2020 20:00",Belenenses SAD,Moreirense FC,2.35,3.2,2.92,2.05,1.50,Mais de2.5,1.33,2.5,Mais de1.5,3.65,1.14,Mais de3.5,1.83,1.65,Ambas Equipas Marcam (Sim/Não),1.36,1.25,1.53,1X,12.0,2X,"Terça-feira, 6 Outubro 2020 13:00",
