Unnamed: 0,AT,Date,HT,League,Time
42,RC Lens,2020-10-30,Marseille,Ligue_1,2000
97,Crystal Palace,2020-10-30,Wolverhampton Wanderers,Premier_League,2000
98,Manchester City,2020-10-31,Sheffield United,Premier_League,1230
8,SD Huesca,2020-10-31,Real Madrid,La_Liga,1300
22,Atalanta,2020-10-31,Crotone,Serie_A,1400
137,Werder Bremen,2020-10-31,Eintracht Frankfurt,Bundesliga,1430
138,Mainz,2020-10-31,FC Augsburg,Bundesliga,1430
140,Borussia Dortmund,2020-10-31,Arminia Bielefeld,Bundesliga,1430
141,Bayern Munich,2020-10-31,Cologne,Bundesliga,1430
4,Sevilla,2020-10-31,Athletic Bilbao,La_Liga,1500
62,Motherwell,2020-10-31,Livingston,Premiership,1500
65,Ross County,2020-10-31,Dundee United,Premiership,1500
96,Chelsea,2020-10-31,Burnley,Premier_League,1500
40,Brest,2020-10-31,Rennes,Ligue_1,1600
19,Parma,2020-10-31,Inter Milan,Serie_A,1700
3,Atletico Madrid,2020-10-31,Osasuna,La_Liga,1730
99,West Ham United,2020-10-31,Liverpool,Premier_League,1730
135,RB Leipzig,2020-10-31,M'gladbach,Bundesliga,1730
119,PEC Zwolle,2020-10-31,FC Twente,Eredivisie,1745
121,Fortuna Sittard,2020-10-31,Ajax,Eredivisie,1900
123,VVV-Venlo,2020-10-31,Groningen,Eredivisie,1900
21,Cagliari,2020-10-31,Bologna,Serie_A,1945
1,Barcelona,2020-10-31,Alaves,La_Liga,2000
38,Paris Saint-Germain,2020-10-31,Nantes,Ligue_1,2000
120,Vitesse Arnhem,2020-10-31,Willem II,Eredivisie,2000
118,FC Utrecht,2020-11-01,Heracles Almelo,Eredivisie,1115
20,AC Milan,2020-11-01,Udinese,Serie_A,1130
37,Montpellier,2020-11-01,St Etienne,Ligue_1,1200
61,Rangers,2020-11-01,Kilmarnock,Premiership,1200
101,Southampton,2020-11-01,Aston Villa,Premier_League,1200
2,Elche,2020-11-01,Real Betis,La_Liga,1300
115,Heerenveen,2020-11-01,Sparta Rotterdam,Eredivisie,1330
117,Feyenoord,2020-11-01,Emmen,Eredivisie,1330
18,Juventus,2020-11-01,Spezia,Serie_A,1400
24,Lazio,2020-11-01,Torino,Serie_A,1400
34,Strasbourg,2020-11-01,Reims,Ligue_1,1400
35,Metz,2020-11-01,Nimes,Ligue_1,1400
36,Nice,2020-11-01,Angers,Ligue_1,1400
39,Lorient,2020-11-01,Dijon,Ligue_1,1400
95,Everton,2020-11-01,Newcastle United,Premier_League,1400
139,Bayer Leverkusen,2020-11-01,SC Freiburg,Bundesliga,1430
6,Real Sociedad,2020-11-01,Celta Vigo,La_Liga,1500
113,ADO Den Haag,2020-11-01,PSV Eindhoven,Eredivisie,1545
32,Bordeaux,2020-11-01,Monaco,Ligue_1,1600
94,Arsenal,2020-11-01,Manchester United,Premier_League,1630
16,Sassuolo,2020-11-01,Napoli,Serie_A,1700
17,Fiorentina,2020-11-01,Roma,Serie_A,1700
136,Wolfsburg,2020-11-01,Hertha Berlin,Bundesliga,1700
5,Levante,2020-11-01,Granada,La_Liga,1730
112,RKC Waalwijk,2020-11-01,AZ Alkmaar,Eredivisie,1900
93,Brighton and Hove Albion,2020-11-01,Tottenham Hotspur,Premier_League,1915
15,Genoa,2020-11-01,Sampdoria,Serie_A,1945
33,Lyon,2020-11-01,Lille,Ligue_1,2000
152,Getafe,2020-11-01,Valencia,La_Liga,2000
14,1. FC Union Berlin,2020-11-02,Hoffenheim,Bundesliga,1930
9,Real Valladolid,2020-11-02,Villarreal,La_Liga,2000
116,PEC Zwolle,2020-11-06,Fortuna Sittard,Eredivisie,1900
134,Cologne,2020-11-06,Werder Bremen,Bundesliga,1930
57,Kilmarnock,2020-11-06,St. Johnstone,Premiership,1945
58,Dundee United,2020-11-06,St Mirren,Premiership,1945
59,Hibernian,2020-11-06,Aberdeen,Premiership,1945
60,Livingston,2020-11-06,Ross County,Premiership,1945
132,Arminia Bielefeld,2020-11-07,1. FC Union Berlin,Bundesliga,1430
55,Celtic,2020-11-08,Motherwell,Premiership,1200
56,Hamilton Academical,2020-11-08,Rangers,Premiership,1500
53,Hamilton Academical,2020-11-21,Dundee United,Premiership,1500
