AAD,ABS,ACCC,ACorn,AF,AOff,AP,APass,AR,AS,ASOT,AST,ASaves,AT,ATack,AY,Attendance,Date,FTAG,FTHG,GameCheck,GameID,HAD,HBS,HCCC,HCorn,HF,HOff,HP,HPass,HR,HS,HSOT,HST,HSaves,HT,HTack,HY,League
,,,,,,,,,,,,,Burnley,,,,"5:30pm, Friday 6th November 2020.",0,0,,428908,,,,,,,,,,,,,,Brighton and Hove Albion,,, Premier League
,,,,,,,,,,,,,Tottenham Hotspur,,,,"12:00pm, Sunday 8th November 2020.",0,0,,428915,,,,,,,,,,,,,,West Bromwich Albion,,, Premier League
,,,,,,,,,,,,,Sheffield United,,,,"5:30pm, Saturday 7th November 2020.",0,0,,428909,,,,,,,,,,,,,,Chelsea,,, Premier League
,,,,,,,,,,,,,Fulham,,,,"8:00pm, Saturday 7th November 2020.",0,0,,428916,,,,,,,,,,,,,,West Ham United,,, Premier League
,,,,,,,,,,,,,Manchester United,,,,"12:30pm, Saturday 7th November 2020.",0,0,,428911,,,,,,,,,,,,,,Everton,,, Premier League
,,,,,,,,,,,,,Newcastle United,,,,"8:00pm, Friday 6th November 2020.",0,0,,428914,,,,,,,,,,,,,,Southampton,,, Premier League
,,,,,,,,,,,,,Leeds United,,,,"3:00pm, Saturday 7th November 2020.",0,0,,428910,,,,,,,,,,,,,,Crystal Palace,,, Premier League
,,,,,,,,,,,,,Manchester City,,,,"5:30pm, Saturday 21st November 2020.",0,0,,428925,,,,,,,,,,,,,,Tottenham Hotspur,,, Premier League
,,,,,,,,,,,,,Arsenal,,,,"4:30pm, Sunday 22nd November 2020.",0,0,,428920,,,,,,,,,,,,,,Leeds United,,, Premier League
,,,,,,,,,,,,,West Ham United,,,,"2:00pm, Sunday 22nd November 2020.",0,0,,428924,,,,,,,,,,,,,,Sheffield United,,, Premier League
,,,,,,,,,,,,,Southampton,,,,"3:00pm, Saturday 21st November 2020.",0,0,,428926,,,,,,,,,,,,,,Wolverhampton Wanderers,,, Premier League
,,,,,,,,,,,,,1. FC Union Berlin,,,,"5:00pm, Sunday 22nd November 2020.",0,0,,427508,,,,,,,,,,,,,,Cologne,,, German Bundesliga
,,,,,,,,,,,,,Eintracht Frankfurt,,,,"2:30pm, Saturday 28th November 2020.",0,0,,427517,,,,,,,,,,,,,,1. FC Union Berlin,,, German Bundesliga
,,,,,,,,,,,,,Werder Bremen,,,,"7:30pm, Friday 27th November 2020.",0,0,,427525,,,,,,,,,,,,,,Wolfsburg,,, German Bundesliga
,,,,,,,,,,,,,Mainz,,,,"2:30pm, Sunday 22nd November 2020.",0,0,,427515,,,,,,,,,,,,,,SC Freiburg,,, German Bundesliga
,,,,,,,,,,,,,Lyon,,,,"4:00pm, Sunday 22nd November 2020.",0,0,,431461,,,,,,,,,,,,,,Angers,,, French Ligue 1
,,,,,,,,,,,,,Lorient,,,,"8:00pm, Sunday 22nd November 2020.",0,0,,431464,,,,,,,,,,,,,,Lille,,, French Ligue 1
,,,,,,,,,,,,,Nimes,,,,"2:00pm, Sunday 22nd November 2020.",0,0,,431469,,,,,,,,,,,,,,Reims,,, French Ligue 1
,,,,,,,,,,,,,Luton Town,,,,"3:00pm, Saturday 7th November 2020.",0,0,,429830,,,,,,,,,,,,,,Huddersfield Town,,, Sky Bet Championship
,,,,,,,,,,,,,Swansea City,,,,"3:00pm, Saturday 7th November 2020.",0,0,,429831,,,,,,,,,,,,,,Norwich City,,, Sky Bet Championship
,,,,,,,,,,,,,Middlesbrough,,,,"3:00pm, Saturday 7th November 2020.",0,0,,429827,,,,,,,,,,,,,,Brentford,,, Sky Bet Championship
,,,,,,,,,,,,,Barnsley,,,,"3:00pm, Saturday 7th November 2020.",0,0,,429829,,,,,,,,,,,,,,Derby County,,, Sky Bet Championship
,,,,,,,,,,,,,Queens Park Rangers,,,,"3:00pm, Saturday 7th November 2020.",0,0,,429826,,,,,,,,,,,,,,Blackburn Rovers,,, Sky Bet Championship
,,,,,,,,,,,,,Bournemouth,,,,"3:00pm, Saturday 7th November 2020.",0,0,,429825,,,,,,,,,,,,,,Birmingham City,,, Sky Bet Championship
,,,,,,,,,,,,,Luton Town,,,,"7:45pm, Wednesday 4th November 2020.",0,0,,429823,,,,,,,,,,,,,,Rotherham United,,, Sky Bet Championship
,,,,,,,,,,,,,Stoke City,,,,"12:30pm, Saturday 7th November 2020.",0,0,,429833,,,,,,,,,,,,,,Reading,,, Sky Bet Championship
,,,,,,,,,,,,,Bristol City,,,,"6:00pm, Friday 6th November 2020.",0,0,,429828,,,,,,,,,,,,,,Cardiff City,,, Sky Bet Championship
,,,,,,,,,,,,,Queens Park Rangers,,,,"7:45pm, Wednesday 4th November 2020.",0,0,,429820,,,,,,,,,,,,,,Derby County,,, Sky Bet Championship
,,,,,,,,,,,,,Coventry City,,,,"7:45pm, Wednesday 4th November 2020.",0,0,,429821,,,,,,,,,,,,,,Nottingham Forest,,, Sky Bet Championship
,,,,,,,,,,,,,Preston North End,,,,"7:00pm, Wednesday 4th November 2020.",0,0,,429822,,,,,,,,,,,,,,Reading,,, Sky Bet Championship
