AAD,ABS,ACCC,ACorn,AF,AOff,AP,APass,AR,AS,ASOT,AST,ASaves,AT,ATack,AY,Attendance,Date,FTAG,FTHG,GameCheck,GameID,HAD,HBS,HCCC,HCorn,HF,HOff,HP,HPass,HR,HS,HSOT,HST,HSaves,HT,HTack,HY,League
52.0,2,1,2,12,5,42.8,79.3,0,9,2,5,2,Strasbourg,69.2,1,,"2:00pm, Sunday 27th September 2020.",2,3,,431407,48.0,3,3,6,11,3,57.2,81.8,2,11,3,5,3,Monaco,55.6,1, French Ligue 1
55.8,4,1,7,16,1,49.7,74.6,0,15,6,5,3,RC Lens,66.7,3,,"2:00pm, Sunday 27th September 2020.",1,1,,431408,44.2,5,0,5,10,2,50.3,71.8,0,13,4,4,4,Nimes,27.8,0, French Ligue 1
40.5,3,2,13,11,2,61.0,80.6,0,14,6,5,3,Montpellier,80.0,1,,"2:00pm, Sunday 27th September 2020.",2,2,,431403,59.5,8,1,6,15,2,39.0,72.0,0,15,2,5,2,Dijon,47.6,4, French Ligue 1
47.8,3,1,2,15,0,48.1,76.6,0,8,4,1,2,Nimes,61.5,1,,"12:00pm, Sunday 4th October 2020.",1,0,,431416,52.2,5,0,8,14,2,51.9,72.5,0,12,5,2,0,Montpellier,57.1,2, French Ligue 1
45.5,1,3,2,9,0,42.9,87.4,0,8,5,2,6,Angers,52.6,2,,"8:00pm, Friday 2nd October 2020.",1,6,,431418,54.5,4,4,6,11,2,57.1,91.7,0,18,2,12,1,Paris Saint-Germain,71.4,1, French Ligue 1
33.3,4,0,5,16,0,37.6,72.6,0,14,8,2,5,1. FC Union Berlin,70.0,2,"10,383.","2:30pm, Saturday 26th September 2020.",1,1,,427456,66.7,5,2,7,11,4,62.4,84.2,0,14,3,6,1,M'gladbach,50.0,1, German Bundesliga
44.4,4,0,2,8,2,27.0,70.7,1,11,6,1,5,Nantes,57.1,1,,"8:00pm, Saturday 3rd October 2020.",1,2,,431417,55.6,5,2,9,13,2,73.0,90.1,0,18,6,7,1,Nice,78.6,2, French Ligue 1
63.4,2,3,1,21,1,47.6,77.1,0,14,6,6,1,Brest,65.5,2,,"2:00pm, Sunday 27th September 2020.",2,3,,431401,36.6,3,1,6,17,5,52.4,80.6,0,12,4,5,4,Angers,81.3,3, French Ligue 1
50.0,2,1,7,15,0,54.0,86.8,0,13,9,2,5,Nice,55.6,1,,"12:00pm, Sunday 27th September 2020.",0,0,,431402,50.0,6,0,7,9,1,46.0,86.1,0,18,7,5,2,Bordeaux,64.7,1, French Ligue 1
35.7,0,0,0,10,0,33.3,72.0,2,2,1,1,4,St Etienne,53.8,1,,"4:00pm, Saturday 3rd October 2020.",0,2,,431413,64.3,2,1,12,23,2,66.7,85.7,0,13,6,5,1,RC Lens,60.0,1, French Ligue 1
45.0,5,2,11,8,0,79.8,91.2,0,18,7,6,2,Borussia Dortmund,33.3,4,"6,000.","2:30pm, Saturday 26th September 2020.",0,2,,427458,55.0,0,2,3,7,3,20.2,65.2,0,6,2,4,6,FC Augsburg,71.4,3, German Bundesliga
70.0,0,2,0,13,2,41.2,75.9,0,8,5,3,2,Alaves,35.7,2,,"6:00pm, Wednesday 30th September 2020.",1,3,,433812,30.0,0,3,2,11,4,58.8,83.4,0,10,4,6,2,Villarreal,80.0,0, Spanish La Liga
38.2,0,1,5,10,0,32.3,71.4,1,3,2,1,2,Marseille,53.8,1,,"8:00pm, Sunday 4th October 2020.",1,1,,431414,61.8,6,4,19,14,1,67.7,88.3,0,24,15,3,0,Lyon,58.8,1, French Ligue 1
45.5,1,1,8,10,2,56.2,85.6,1,7,2,4,3,Barcelona,40.0,3,,"8:30pm, Thursday 1st October 2020.",3,0,,433804,54.5,5,0,3,22,1,43.8,81.2,0,10,2,3,2,Celta Vigo,58.3,5, Spanish La Liga
45.5,0,1,1,15,2,50.5,74.5,0,4,4,0,4,Luton Town,60.0,2,,"12:30pm, Saturday 26th September 2020.",0,1,,429739,54.5,5,1,11,12,1,49.5,73.7,0,14,4,5,0,Watford,68.8,0, Sky Bet Championship
56.7,5,0,8,13,0,63.6,86.5,0,14,4,5,4,Norwich City,40.0,1,,"4:00pm, Sunday 27th September 2020.",0,1,,429731,43.3,4,1,3,8,2,36.4,78.5,0,13,4,5,5,Bournemouth,61.5,1, Sky Bet Championship
41.7,1,1,2,18,2,42.3,65.9,0,7,4,2,1,Sheffield Wednesday,46.7,1,,"1:00pm, Sunday 27th September 2020.",0,2,,429732,58.3,3,1,6,12,0,57.7,74.0,0,16,10,3,2,Bristol City,66.7,2, Sky Bet Championship
52.8,7,3,7,10,2,63.4,86.4,0,16,7,2,3,Atletico Madrid,66.7,0,,"6:00pm, Wednesday 30th September 2020.",0,0,,433808,47.2,2,0,5,13,1,36.6,76.1,0,9,4,3,2,SD Huesca,56.3,1, Spanish La Liga
36.8,2,1,5,9,3,46.5,75.1,0,12,7,3,2,New York Red Bulls,68.4,1,,"9:30pm, Saturday 3rd October 2020.",1,3,,438678,63.2,1,5,4,12,1,53.5,81.4,0,8,2,5,2,Orlando City SC,58.3,1, American MLS League
57.1,2,3,4,8,4,51.4,80.3,0,10,3,5,4,Atlanta United FC,61.5,1,,"12:30am, Monday 28th September 2020.",0,2,,438319,42.9,3,4,3,14,5,48.6,82.7,0,15,6,6,5,Chicago Fire,38.5,0, American MLS League
68.4,2,0,3,10,5,61.8,84.3,1,7,1,4,1,Montreal Impact,71.4,1,,"12:00am, Monday 28th September 2020.",1,4,,438326,31.6,5,5,5,9,5,38.2,76.0,0,14,4,5,3,New York Red Bulls,57.1,0, American MLS League
58.1,3,1,4,14,1,38.5,72.3,0,9,5,1,4,Los Angeles Galaxy,66.7,4,,"3:30am, Sunday 4th October 2020.",1,2,,438687,41.9,3,0,3,13,4,61.5,82.1,0,14,5,6,0,San Jose Earthquakes,45.5,3, American MLS League
24.1,2,3,5,13,2,45.7,77.4,0,12,5,5,1,Columbus Crew,56.3,3,"3,572.","1:30am, Sunday 4th October 2020.",2,2,,438681,75.9,3,2,4,15,2,54.3,81.4,0,13,7,3,3,FC Dallas,58.8,1, American MLS League
