AAD,ABS,ACCC,ACorn,AF,AOff,AP,APass,AR,AS,ASOT,AST,ASaves,AT,ATack,AY,Attendance,Date,FTAG,FTHG,GameCheck,GameID,HAD,HBS,HCCC,HCorn,HF,HOff,HP,HPass,HR,HS,HSOT,HST,HSaves,HT,HTack,HY,League
59.5,3,3,7,11,2,59.9,82.6,0,21,6,12,5,M'gladbach,72.2,3,100.,"2:30pm, Saturday 24th October 2020.",3,2,,427482,40.5,5,1,3,18,1,40.1,71.9,0,15,3,7,8,Mainz,65.0,5, German Bundesliga
58.5,1,0,2,14,0,49.2,76.5,0,8,3,4,6,SC Freiburg,70.0,4,"4,500.","2:30pm, Saturday 24th October 2020.",1,1,,427481,41.5,4,2,4,9,2,50.8,78.4,0,19,8,7,3,1. FC Union Berlin,55.6,1, German Bundesliga
61.9,1,0,3,12,7,39.1,76.5,0,8,5,2,4,Eintracht Frankfurt,47.8,0,,"2:30pm, Saturday 24th October 2020.",0,5,,427485,38.1,5,6,10,11,3,60.9,88.3,0,20,6,9,2,Bayern Munich,84.6,3, German Bundesliga
40.6,4,1,4,20,4,50.6,81.5,0,14,6,4,1,Hoffenheim,66.7,2,,"5:00pm, Sunday 25th October 2020.",1,1,,427487,59.4,0,0,1,10,3,49.4,79.8,0,5,3,2,3,Werder Bremen,43.8,2, German Bundesliga
61.9,3,0,3,10,0,36.6,82.3,0,5,0,2,3,Newcastle United,43.5,1,,"4:30pm, Sunday 25th October 2020.",1,1,,428896,38.1,5,0,2,10,0,63.4,91.2,0,16,8,3,1,Wolverhampton Wanderers,54.5,0, Premier League
57.7,1,2,3,9,0,43.7,81.5,0,6,3,2,4,Leicester City,54.5,5,,"7:15pm, Sunday 25th October 2020.",1,0,,428887,42.3,4,0,9,13,1,56.3,86.1,0,12,4,4,1,Arsenal,73.3,3, Premier League
47.2,7,1,6,11,4,60.0,84.4,0,18,4,7,3,Bayer Leverkusen,70.0,2,,"2:30pm, Sunday 1st November 2020.",4,2,,427497,52.8,0,3,4,10,3,40.0,77.2,0,8,3,5,3,SC Freiburg,41.7,2, German Bundesliga
40.0,0,5,6,13,3,39.8,78.9,0,9,3,6,3,1. FC Union Berlin,53.3,2,,"7:30pm, Monday 2nd November 2020.",3,1,,427498,60.0,1,2,3,19,2,60.2,84.4,1,10,4,5,3,Hoffenheim,62.5,1, German Bundesliga
45.8,2,1,1,10,3,50.2,81.1,0,9,3,4,3,Mainz,62.5,1,,"2:30pm, Saturday 31st October 2020.",1,3,,427494,54.2,3,2,4,12,2,49.8,80.8,0,13,4,6,3,FC Augsburg,75.0,5, German Bundesliga
60.0,1,0,1,13,1,62.7,86.0,0,6,1,4,1,Bayern Munich,40.0,2,,"2:30pm, Saturday 31st October 2020.",2,1,,427490,40.0,1,1,5,12,1,37.3,74.1,0,9,6,2,2,Cologne,57.9,1, German Bundesliga
55.6,3,0,6,15,2,47.9,71.7,0,11,4,4,4,Wolfsburg,57.1,1,,"5:00pm, Sunday 1st November 2020.",1,1,,427496,44.4,7,3,8,8,3,52.1,76.6,0,20,8,5,3,Hertha Berlin,66.7,3, German Bundesliga
57.6,2,1,3,14,4,27.6,68.5,0,11,5,4,5,Werder Bremen,68.8,3,,"2:30pm, Saturday 31st October 2020.",1,1,,427493,42.4,3,3,5,12,4,72.4,87.0,0,15,7,5,3,Eintracht Frankfurt,61.5,1, German Bundesliga
47.2,6,1,9,14,1,56.1,76.8,0,20,10,4,4,Rangers,63.6,3,,"12:00pm, Sunday 1st November 2020.",1,0,,425641,52.8,2,0,4,14,2,43.9,69.4,0,8,2,4,3,Kilmarnock,80.0,3, Scottish Premiership
25.0,4,2,5,16,3,51.7,82.2,0,12,4,4,4,Colorado Rapids,66.7,2,,"12:00am, Thursday 29th October 2020.",1,2,,438754,75.0,10,2,10,8,3,48.3,81.1,0,25,10,5,3,Minnesota United FC,50.0,0, American MLS League
57.7,4,1,5,10,1,49.5,87.1,0,13,3,6,2,Los Angeles Galaxy,63.6,0,,"2:00am, Thursday 29th October 2020.",2,5,,438755,42.3,4,2,5,8,2,50.5,85.1,0,13,2,7,4,Portland Timbers,66.7,0, American MLS League
25.0,3,2,8,13,0,43.6,80.6,0,10,1,6,3,Inter Miami CF,71.4,4,"3,233.","12:30am, Thursday 29th October 2020.",1,2,,438752,75.0,4,4,3,13,2,56.4,83.4,0,12,2,6,5,FC Dallas,80.0,1, American MLS League
60.0,7,1,12,15,0,65.9,85.2,0,18,6,5,2,Monaco,68.8,4,,"8:00pm, Sunday 25th October 2020.",1,4,,431435,40.0,3,4,2,12,3,34.1,77.0,1,15,6,6,4,Lyon,66.7,3, French Ligue 1
60.0,2,1,3,19,3,46.9,87.8,0,12,6,4,2,Lille,66.7,6,"1,000.","4:00pm, Sunday 25th October 2020.",1,1,,431438,40.0,2,2,5,13,1,53.1,87.5,0,8,3,3,3,Nice,76.9,1, French Ligue 1
61.9,6,2,8,11,2,67.8,92.3,0,24,9,9,1,Reims,78.6,0,,"2:00pm, Sunday 25th October 2020.",4,0,,431437,38.1,1,0,3,7,0,32.2,79.3,2,5,3,1,5,Montpellier,50.0,1, French Ligue 1
40.0,0,1,4,16,1,40.7,79.6,0,8,4,4,4,Nimes,65.0,3,,"2:00pm, Sunday 25th October 2020.",0,2,,431431,60.0,5,1,7,9,2,59.3,88.6,0,20,9,6,4,Bordeaux,64.3,3, French Ligue 1
55.3,4,1,3,18,1,57.6,79.5,0,10,6,0,2,St Etienne,71.4,3,"5,000.","2:00pm, Sunday 25th October 2020.",0,2,,431436,44.7,0,1,5,11,1,42.4,71.8,0,6,3,3,0,Metz,86.4,3, French Ligue 1
58.3,5,3,5,14,0,56.5,78.9,1,15,5,5,3,Benevento,35.7,4,,"7:45pm, Monday 2nd November 2020.",1,3,,434383,41.7,4,4,4,20,0,43.5,74.9,0,14,4,6,4,Verona,55.6,5, Italian Serie A
