AAD,ABS,ACCC,ACorn,AF,AOff,AP,APass,AR,AS,ASOT,AST,ASaves,AT,ATack,AY,Attendance,Date,FTAG,FTHG,GameID,HAD,HBS,HCCC,HCorn,HF,HOff,HP,HPass,HR,HS,HSOT,HST,HSaves,HT,HTack,HY,League
0,1,0,5,13,0,42.6,0,0,9,6,2,5,Livingston,0,1,"15,553.","3:00pm, Saturday 22nd February 2020.",1,1,411385,0,4,0,11,7,0,57.4,0,0,12,2,6,1,Hibernian,0,1, Scottish Premiership
0,1,0,3,14,0,54.9,0,0,8,2,5,2,Celtic,0,2,"14,135.","12:00pm, Sunday 16th February 2020.",2,1,411376,0,1,0,5,10,0,45.1,0,0,9,5,3,3,Aberdeen,0,2, Scottish Premiership
0,0,0,2,11,0,59,0,0,8,3,5,1,Ross County,0,1,"14,860.","3:00pm, Saturday 22nd February 2020.",2,1,411382,0,0,0,4,12,0,41,0,1,9,7,2,3,Aberdeen,0,0, Scottish Premiership
0,1,0,2,9,0,24.9,0,1,3,1,1,10,Kilmarnock,0,1,"58,883.","3:00pm, Sunday 23rd February 2020.",1,3,411383,0,11,0,7,7,0,75.1,0,0,33,9,13,0,Celtic,0,1, Scottish Premiership
0,3,0,5,15,0,45.8,0,1,11,3,5,3,Motherwell,0,3,"2,531.","3:00pm, Saturday 22nd February 2020.",0,0,411384,0,8,0,5,16,0,54.2,0,0,18,7,3,5,Hamilton Academical,0,2, Scottish Premiership
0,2,0,6,9,0,49,0,0,9,4,3,5,St Mirren,0,5,"3,636.","7:45pm, Tuesday 25th February 2020.",2,1,411379,0,3,0,11,13,0,51,0,0,14,5,6,1,Motherwell,0,1, Scottish Premiership
53.5,1,1,3,16,0,32.1,68.6,0,8,6,1,3,Cologne,78.6,2,,"7:30pm, Wednesday 17th June 2020.",1,3,413013,46.5,0,3,7,12,3,67.9,85.2,0,13,7,6,0,Bayer Leverkusen,75,2, German Bundesliga
66.7,2,0,6,5,1,55.6,82.3,0,12,8,2,3,Reims,75,1,"24,868.","2:00pm, Sunday 23rd February 2020.",1,1,408621,33.3,3,1,8,14,0,44.4,78.7,0,7,0,4,1,St Etienne,58.8,1, French Ligue 1
44.2,3,1,4,13,0,36.8,67.2,0,13,7,3,1,Reading,64.7,0,,"3:00pm, Saturday 18th July 2020.",3,4,409877,55.8,5,1,5,15,2,63.2,80.5,0,17,7,5,0,Blackburn Rovers,44.4,1, Sky Bet Championship
40.5,0,2,3,16,7,36.1,74,1,7,2,5,2,Schalke,76.9,3,,"5:30pm, Wednesday 17th June 2020.",1,2,413016,59.5,3,4,5,9,1,63.9,83.6,0,14,7,4,3,Eintracht Frankfurt,64.7,3, German Bundesliga
0,7,0,6,5,0,70.5,0,0,23,8,8,3,Rangers,0,0,"8,286.","1:30pm, Sunday 23rd February 2020.",2,2,411386,0,1,0,5,9,0,29.5,0,0,9,3,5,6,St. Johnstone,0,1, Scottish Premiership
57.7,2,2,4,18,0,52,86,0,18,10,6,2,Espanyol,61.5,4,,"8:00pm, Thursday 16th July 2020.",0,1,416011,42.3,4,2,4,9,1,48,84.3,1,9,2,3,6,Valencia,61.5,2, Spanish La Liga
58.6,4,2,4,6,3,68.9,81,0,14,7,3,1,Brentford,71.4,0,,"12:30pm, Saturday 18th July 2020.",0,1,409886,41.4,2,0,0,14,2,31.1,56.7,0,6,2,2,3,Stoke City,48,2, Sky Bet Championship
63.3,2,0,6,17,2,48.3,72.6,0,7,5,0,1,New York Red Bulls,71.4,2,,"3:30am, Friday 17th July 2020.",0,2,425341,36.7,1,3,5,14,0,51.7,77,0,11,7,3,0,Columbus Crew,50,2, American MLS League
51.9,1,1,2,13,3,62.3,83.3,0,8,4,3,4,Sevilla,55.6,2,,"8:00pm, Thursday 16th July 2020.",0,0,416000,48.1,4,1,3,16,1,37.7,75.6,0,11,3,4,3,Real Sociedad,66.7,1, Spanish La Liga
55.2,8,2,8,16,1,57.7,86.3,0,23,7,8,2,Burnley,53.8,0,,"5:30pm, Saturday 18th July 2020.",2,0,408346,44.8,2,0,6,9,1,42.3,75.4,2,6,2,2,7,Norwich City,66.7,0, Premier League
61.1,10,0,13,10,0,71,90.4,0,24,8,6,1,Leicester City,50,1,,"4:00pm, Sunday 19th July 2020.",0,3,408348,38.9,3,1,4,15,4,29,71.9,0,7,1,3,6,Tottenham Hotspur,70.6,2, Premier League
53.8,4,1,5,9,3,50.6,76.4,0,16,9,3,1,Groningen,64.7,4,"13,607.","7:00pm, Friday 28th February 2020.",1,3,408960,46.2,0,2,5,10,3,49.4,74.8,0,9,5,4,2,Willem II,72.2,0, Dutch Eredivisie
38.9,3,0,1,10,0,29.8,69.9,0,7,3,1,1,Sparta Rotterdam,60,0,"20,624.","11:15am, Sunday 8th March 2020.",1,5,408975,61.1,2,3,7,5,1,70.2,86.3,0,15,7,6,0,FC Utrecht,58.3,0, Dutch Eredivisie
76.2,1,1,2,19,3,35,73.3,0,9,7,1,7,PEC Zwolle,53.3,2,"15,306.","1:30pm, Sunday 23rd February 2020.",0,2,408952,23.8,3,2,7,11,2,65,82.9,0,17,5,9,1,AZ Alkmaar,68.2,0, Dutch Eredivisie
47.4,1,1,6,13,1,43.9,78.5,0,15,6,8,4,Vitesse Arnhem,66.7,2,"13,088.","6:45pm, Saturday 29th February 2020.",3,4,408963,52.6,3,2,7,17,3,56.1,82.1,0,15,4,8,5,PEC Zwolle,66.7,0, Dutch Eredivisie
65.2,6,4,2,8,4,46.6,72.3,0,13,5,2,2,FC Twente,71.4,2,"18,491.","11:15am, Sunday 23rd February 2020.",1,2,408956,34.8,2,0,7,12,2,53.4,79.4,0,13,7,4,1,FC Utrecht,58.3,2, Dutch Eredivisie
48.4,4,1,8,9,4,39.4,72.6,0,20,5,11,6,Heerenveen,66.7,1,"27,000.","7:45pm, Saturday 29th February 2020.",3,2,408962,51.6,1,1,8,8,0,60.6,82,0,14,5,8,8,FC Twente,55.6,0, Dutch Eredivisie
40.6,1,5,1,10,1,38.2,77.4,0,12,5,6,5,AZ Alkmaar,52.2,2,"52,707.","7:00pm, Sunday 1st March 2020.",2,0,408965,59.4,6,0,9,4,1,61.8,86.5,0,20,9,5,4,Ajax,50,0, Dutch Eredivisie
55.6,1,0,4,11,2,58,80.6,0,7,4,2,3,Fortuna Sittard,61.1,3,"7,115.","6:45pm, Saturday 29th February 2020.",0,0,408964,44.4,5,0,2,16,1,42,74,0,13,5,3,2,VVV-Venlo,57.1,2, Dutch Eredivisie
42.9,3,5,9,5,4,62.5,77.2,0,14,4,7,3,Ajax,65,1,"25,950.","7:45pm, Saturday 7th March 2020.",3,1,408973,57.1,1,1,3,9,2,37.5,69.3,0,8,2,5,4,Heerenveen,52,1, Dutch Eredivisie
51.6,4,1,9,9,0,73.5,87.1,0,12,5,3,3,Emmen,55.6,2,"10,600.","3:45pm, Sunday 1st March 2020.",1,5,408968,48.4,2,3,2,8,0,26.5,62.9,0,12,3,7,2,Sparta Rotterdam,40,0, Dutch Eredivisie
37.5,3,1,2,9,2,44.4,73.7,0,12,7,2,3,FC Utrecht,50,0,"5,134.","11:15am, Sunday 1st March 2020.",1,2,408967,62.5,4,1,3,9,0,55.6,80.7,0,14,5,5,0,RKC Waalwijk,75,3, Dutch Eredivisie
57.6,1,2,4,17,0,54,78.9,0,13,7,5,1,PEC Zwolle,50,2,"10,071.","7:00pm, Friday 6th March 2020.",1,1,408971,42.4,2,0,4,11,1,46,78.3,0,9,5,2,4,Fortuna Sittard,61.5,2, Dutch Eredivisie
33.3,3,1,8,8,5,49.1,83.1,0,13,4,6,1,Feyenoord,80,2,"35,000.","1:30pm, Sunday 1st March 2020.",1,1,408966,66.7,5,2,3,11,1,50.9,83.1,0,12,5,2,5,PSV Eindhoven,68.8,1, Dutch Eredivisie
50,4,0,5,20,1,58.5,74.3,0,12,5,3,4,Heracles Almelo,58.3,2,"11,207.","5:30pm, Saturday 29th February 2020.",0,0,408961,50,3,1,4,15,0,41.5,62.6,1,9,2,4,3,ADO Den Haag,61.1,1, Dutch Eredivisie
36.4,3,1,2,13,3,53.1,76.5,0,8,3,2,1,FC Twente,50,3,"14,210.","6:45pm, Saturday 7th March 2020.",0,1,408972,63.6,2,1,4,16,6,46.9,74.3,0,9,5,2,2,Vitesse Arnhem,65.2,3, Dutch Eredivisie
46.8,6,0,7,13,3,52.6,76.2,0,16,6,4,1,Atalanta,62.5,1,,"8:45pm, Friday 24th July 2020.",1,1,419429,53.2,4,0,3,17,2,47.4,74.1,0,10,4,2,3,AC Milan,47.1,1, Italian Serie A
44.4,3,0,4,13,4,40.2,72,0,7,4,0,3,VVV-Venlo,58.8,1,"8,100.","6:45pm, Saturday 7th March 2020.",0,3,408969,55.6,3,5,5,11,2,59.8,79.7,0,17,8,6,0,Emmen,62.5,0, Dutch Eredivisie
50,1,0,2,9,2,24.2,69.6,0,6,4,1,4,ADO Den Haag,73.3,3,"16,117.","5:30pm, Saturday 7th March 2020.",0,4,408970,50,5,0,6,9,2,75.8,88.3,0,16,3,8,1,AZ Alkmaar,63.6,1, Dutch Eredivisie
54.8,2,0,6,11,2,43.2,75.6,0,7,3,2,4,PSV Eindhoven,80,0,"19,116.","3:45pm, Sunday 8th March 2020.",1,0,408974,45.2,4,0,11,5,0,56.8,78.9,0,13,5,4,1,Groningen,58.3,1, Dutch Eredivisie
56.5,1,0,3,12,2,42.2,75.6,0,3,2,0,1,Willem II,68.2,1,"47,500.","1:30pm, Sunday 8th March 2020.",0,2,408976,43.5,4,3,6,15,0,57.8,80.7,0,12,5,3,0,Feyenoord,84.6,4, Dutch Eredivisie
25,2,0,4,11,2,41.5,76.3,0,11,5,4,6,RKC Waalwijk,52.6,3,"10,412.","1:30pm, Sunday 8th March 2020.",2,4,408977,75,4,8,7,11,3,58.5,82.9,0,23,9,10,2,Heracles Almelo,53.3,2, Dutch Eredivisie
57.1,0,1,1,19,2,49.4,77.8,0,5,3,2,0,Everton,70,3,,"6:00pm, Monday 20th July 2020.",1,0,408347,42.9,5,0,7,11,1,50.6,78.8,0,8,3,0,1,Sheffield United,64.7,1, Premier League
45,3,0,2,15,1,46.6,77.7,0,7,1,3,3,Crystal Palace,38.5,1,,"8:15pm, Monday 20th July 2020.",0,2,408350,55,3,2,5,11,0,53.4,81.7,0,11,3,5,3,Wolverhampton Wanderers,50,2, Premier League
41.4,10,3,8,11,3,76.9,89.9,0,26,6,10,1,Manchester City,45.5,0,,"6:00pm, Tuesday 21st July 2020.",4,0,408349,58.6,0,0,0,14,4,23.1,66.4,0,2,2,0,6,Watford,50,2, Premier League
52.6,5,3,6,11,1,57,69,0,16,3,8,3,Southampton,54.5,2,,"2:00pm, Sunday 19th July 2020.",2,0,408342,47.4,4,0,12,12,2,43,60.4,0,11,4,3,6,Bournemouth,41.2,2, Premier League
54.2,3,0,3,9,1,42.8,79.1,0,12,6,3,3,West Ham United,30,1,,"6:00pm, Wednesday 22nd July 2020.",1,1,408345,45.8,2,1,2,10,3,57.2,86.5,0,11,5,4,2,Manchester United,66.7,3, Premier League
48.3,7,1,7,12,1,37.5,76.5,0,12,4,1,3,Newcastle United,53.3,2,,"6:00pm, Monday 20th July 2020.",0,0,408343,51.7,3,1,9,13,1,62.5,88,0,11,5,3,1,Brighton and Hove Albion,58.3,4, Premier League
40.5,3,1,7,13,1,37,67.1,0,13,6,4,0,Aston Villa,23.1,1,,"4:00pm, Sunday 26th July 2020.",1,1,408360,59.5,3,0,0,16,0,63,81.5,0,10,6,1,3,West Ham United,53.3,2, Premier League
53.1,3,0,4,5,1,74.7,89,0,14,5,6,1,Liverpool,41.7,0,,"4:00pm, Sunday 26th July 2020.",3,1,408358,46.9,0,1,2,11,3,25.3,65.5,0,3,1,2,3,Newcastle United,65.2,1, Premier League
55.9,2,3,1,16,2,27.9,61.9,0,5,0,3,1,Sheffield United,75,1,,"4:00pm, Sunday 26th July 2020.",1,3,408359,44.1,6,0,9,9,2,72.1,85.8,0,13,3,4,2,Southampton,90.9,0, Premier League
52.2,1,0,3,11,2,54.2,82.2,0,7,3,3,3,Manchester United,57.1,5,,"4:00pm, Sunday 26th July 2020.",2,0,408356,47.8,4,0,3,12,2,45.8,80.9,1,14,7,3,1,Leicester City,47.8,1, Premier League
51.6,3,1,9,19,1,69,88.4,0,7,4,0,2,Arsenal,100,4,,"8:15pm, Tuesday 21st July 2020.",0,1,408341,48.4,1,1,8,13,1,31,75.8,0,8,4,3,0,Aston Villa,56.3,2, Premier League
43.8,0,2,0,4,2,26.9,71.6,0,5,1,4,4,Norwich City,35.7,1,,"4:00pm, Sunday 26th July 2020.",0,5,408357,56.3,9,1,9,7,0,73.1,91.6,0,31,12,10,4,Manchester City,66.7,1, Premier League
51.2,4,1,5,9,1,30,67,0,13,2,7,4,Bournemouth,72.2,0,,"4:00pm, Sunday 26th July 2020.",3,1,408355,48.8,3,2,2,11,0,70,85.7,0,13,5,5,4,Everton,61.5,1, Premier League
43.3,2,0,2,13,0,52.8,83,0,7,3,2,1,Tottenham Hotspur,80.8,2,,"4:00pm, Sunday 26th July 2020.",1,1,408354,56.7,2,1,7,11,1,47.2,79.9,0,13,9,2,1,Crystal Palace,54.5,3, Premier League
42.3,0,4,0,11,3,50,83.7,0,10,5,5,2,Chelsea,44.4,0,,"8:15pm, Wednesday 22nd July 2020.",3,5,408344,57.7,1,4,6,8,0,50,81.2,0,10,2,7,2,Liverpool,42.1,1, Premier League
55.3,3,0,3,16,1,37.1,69.2,0,5,1,1,1,Wolverhampton Wanderers,72.7,3,,"4:00pm, Sunday 26th July 2020.",0,2,408353,44.7,3,1,3,10,3,62.9,82.8,0,11,5,3,1,Chelsea,63.3,2, Premier League
61,5,2,7,11,2,45.8,77.5,0,15,6,4,1,Brighton and Hove Albion,66.7,0,,"4:00pm, Sunday 26th July 2020.",2,1,408352,39,3,3,6,11,3,54.2,74.9,0,13,8,2,2,Burnley,55,3, Premier League
41.2,1,1,2,13,1,43.3,85.2,0,8,3,4,5,Villarreal,36.4,2,,"8:00pm, Thursday 16th July 2020.",1,2,415999,58.8,1,1,4,13,2,56.7,88.6,0,12,4,7,3,Real Madrid,53.8,3, Spanish La Liga
62.2,6,5,8,12,3,48.9,83.7,0,19,7,6,2,Watford,71.4,3,,"4:00pm, Sunday 26th July 2020.",2,3,408351,37.8,4,1,4,9,1,51.1,83.3,0,13,4,5,4,Arsenal,57.1,3, Premier League
57.4,4,1,6,18,3,47.3,74.4,0,14,4,6,4,Granada,71.4,5,,"8:00pm, Thursday 16th July 2020.",2,1,415997,42.6,6,1,5,14,0,52.7,80.7,2,18,7,5,4,Real Mallorca,55.6,5, Spanish La Liga
48.8,1,4,6,18,3,27.3,68.9,1,8,3,4,6,Alaves,53.8,4,,"8:00pm, Thursday 16th July 2020.",2,1,415998,51.2,3,3,6,14,2,72.7,87.8,1,14,4,7,2,Real Betis,66.7,6, Spanish La Liga
38.5,4,3,12,13,4,50.4,68.3,0,17,5,8,4,Real Valladolid,72.7,0,,"5:30pm, Thursday 16th July 2020.",1,3,415995,61.5,1,1,3,19,0,49.6,70,0,13,5,7,8,Eibar,50,4, Spanish La Liga
44.7,6,3,3,11,1,39.2,76.6,0,16,6,4,3,Leganes,56.3,3,,"8:00pm, Thursday 16th July 2020.",2,0,415992,55.3,2,1,3,11,3,60.8,84.4,1,10,5,3,2,Athletic Bilbao,72.7,2, Spanish La Liga
44,1,3,4,15,1,42.9,74.5,1,8,3,4,4,Levante,57.1,0,,"8:00pm, Thursday 16th July 2020.",3,2,415994,56,4,2,8,11,3,57.1,80.1,1,17,7,6,1,Celta Vigo,58.3,1, Spanish La Liga
44.8,0,1,2,14,1,20.4,61.4,1,9,4,5,1,Osasuna,62.5,1,,"8:00pm, Thursday 16th July 2020.",2,1,415993,55.2,4,1,10,7,2,79.6,90,0,18,12,2,3,Barcelona,70,4, Spanish La Liga
61.1,0,2,2,11,0,64.8,88.9,0,7,3,4,5,Real Madrid,59.1,1,,"8:00pm, Sunday 19th July 2020.",2,2,416006,38.9,4,2,5,9,2,35.2,75.7,0,15,4,7,2,Leganes,55,4, Spanish La Liga
60,1,1,5,10,1,56.3,84.6,0,12,7,4,3,Real Mallorca,50,0,,"8:00pm, Sunday 19th July 2020.",2,2,416008,40,1,1,3,17,0,43.7,80.1,0,12,6,5,2,Osasuna,73.7,2, Spanish La Liga
45.9,2,0,7,6,3,37.6,78.9,0,8,4,2,3,Valencia,66.7,1,,"8:00pm, Sunday 19th July 2020.",0,1,416010,54.1,2,1,4,11,1,62.4,87.4,0,16,10,4,2,Sevilla,50,0, Spanish La Liga
48.4,1,1,4,11,2,50.3,78.5,0,9,5,3,1,Celta Vigo,68.4,3,,"8:00pm, Sunday 19th July 2020.",0,0,416004,51.6,0,0,1,11,6,49.7,75.7,0,8,7,1,3,Espanyol,59.1,2, Spanish La Liga
