AAD,ABS,ACCC,ACorn,AF,AOff,AP,APass,AR,AS,ASOT,AST,ASaves,AT,ATack,AY,Attendance,Date,FTAG,FTHG,GameID,HAD,HBS,HCCC,HCorn,HF,HOff,HP,HPass,HR,HS,HSOT,HST,HSaves,HT,HTack,HY,League
56.8,0,2,3,12,5,59.4,87.3,0,11,7,4,2,Rennes,40,1,"13,301.","7:00pm, Saturday 29th February 2020.",2,0,408632,43.2,5,0,9,13,1,40.6,78.7,0,15,8,2,2,Toulouse,73.3,3, French Ligue 1
66.7,2,0,6,5,1,55.6,82.3,0,12,8,2,3,Reims,75,1,"24,868.","2:00pm, Sunday 23rd February 2020.",1,1,408621,33.3,3,1,8,14,0,44.4,78.7,0,7,0,4,1,St Etienne,58.8,1, French Ligue 1
53.1,3,3,9,14,1,52.1,74.8,0,13,6,4,4,Marseille,57.7,3,"13,755.","7:45pm, Friday 28th February 2020.",3,2,408630,46.9,4,3,8,15,1,47.9,72.5,0,16,6,6,1,Nimes,65.2,4, French Ligue 1
61.7,4,4,12,13,3,48.7,72.1,0,15,6,5,3,Lille,64.3,3,"20,704.","2:00pm, Sunday 1st March 2020.",1,0,408629,38.3,1,0,3,13,2,51.3,70.8,0,6,2,3,4,Nantes,60,4, French Ligue 1
64.7,3,2,3,15,0,49.2,84.6,1,14,7,4,3,Monaco,60,4,"21,001.","7:00pm, Saturday 7th March 2020.",1,2,408638,35.3,4,2,6,11,1,50.8,87.4,0,12,3,5,3,Nice,64.7,1, French Ligue 1
56.4,3,2,4,17,4,44.5,77.7,0,12,6,3,4,Amiens,40,2,"49,748.","8:00pm, Friday 6th March 2020.",2,2,408636,43.6,3,1,4,13,0,55.5,81.6,0,13,4,6,1,Marseille,73.9,2, French Ligue 1
48.4,2,0,5,13,0,51.7,85.9,0,12,6,4,2,Brest,40,2,"11,062.","7:00pm, Saturday 7th March 2020.",0,1,408639,51.6,2,1,5,7,1,48.3,84.4,1,12,7,3,4,Reims,61.5,1, French Ligue 1
37.9,0,1,3,12,2,29.6,76.7,0,7,4,3,6,Watford,62.5,2,,"8:00pm, Saturday 4th July 2020.",0,3,408302,62.1,8,1,5,9,1,70.4,90.3,0,21,4,9,3,Chelsea,61.5,0, Premier League
43.3,2,2,5,11,0,48.1,82.4,0,8,1,5,1,Arsenal,65.5,4,,"5:30pm, Saturday 4th July 2020.",2,0,408310,56.7,4,2,3,6,1,51.9,85.5,0,10,5,1,2,Wolverhampton Wanderers,53.8,2, Premier League
44.4,1,1,3,12,4,30.7,75.6,0,7,3,3,6,Bournemouth,40,1,,"3:00pm, Saturday 4th July 2020.",2,5,408305,55.6,5,3,8,3,4,69.3,88.7,0,19,4,10,1,Manchester United,56.3,0, Premier League
54.4,5,2,6,11,1,43.4,69.6,0,16,4,7,3,Nimes,50,0,"14,797.","7:00pm, Saturday 7th March 2020.",1,2,408637,45.6,2,2,8,9,2,56.6,75.9,0,14,7,5,6,Metz,82.4,0, French Ligue 1
63.9,14,0,10,6,1,57.5,79.4,0,27,11,2,2,Fortuna Dusseldorf,66.7,1,,"2:30pm, Saturday 27th June 2020.",0,3,413030,36.1,2,4,6,15,2,42.5,69.3,0,11,4,5,2,1. FC Union Berlin,58.8,0, German Bundesliga
24.1,5,1,2,13,4,42.9,80.7,0,16,3,8,6,Reims,68.8,3,"4,237.","7:00pm, Saturday 29th February 2020.",1,1,408627,75.9,6,1,3,20,1,57.1,82.9,0,19,6,7,7,Monaco,75,2, French Ligue 1
62.5,1,0,0,9,1,35.1,77.4,0,6,3,2,4,Angers,87.5,1,"13,313.","7:00pm, Saturday 29th February 2020.",1,0,408625,37.5,5,0,12,12,1,64.9,87.6,0,16,7,4,1,Brest,60,3, French Ligue 1
52.6,4,1,7,15,1,54.6,84.4,0,15,4,7,8,Strasbourg,55.6,2,"11,799.","7:00pm, Saturday 29th February 2020.",0,3,408628,47.4,3,2,5,8,0,45.4,83.4,0,23,9,11,7,Montpellier,80,1, French Ligue 1
45.1,1,1,4,14,0,33.9,69.8,0,8,3,4,7,St Etienne,37.5,4,"52,772.","8:00pm, Sunday 1st March 2020.",0,2,408626,54.9,3,2,5,15,4,66.1,85.2,0,16,4,9,4,Lyon,60,4, French Ligue 1
