AAD,ABS,ACCC,ACorn,AF,AOff,AP,APass,AR,AS,ASOT,AST,ASaves,AT,ATack,AY,Attendance,Date,FTAG,FTHG,GameID,HAD,HBS,HCCC,HCorn,HF,HOff,HP,HPass,HR,HS,HSOT,HST,HSaves,HT,HTack,HY,League
38.9,3,0,1,10,0,29.8,69.9,0,7,3,1,1,Sparta Rotterdam,60,0,"20,624.","11:15am, Sunday 8th March 2020.",1,5,408975,61.1,2,3,7,5,1,70.2,86.3,0,15,7,6,0,FC Utrecht,58.3,0, Dutch Eredivisie
41.2,2,0,4,18,1,56.8,81.8,0,14,7,5,2,Genoa,62.5,2,,"6:30pm, Thursday 16th July 2020.",0,3,419402,58.8,3,2,8,20,1,43.2,75.9,0,12,4,5,5,Torino,55,2, Italian Serie A
47.4,1,1,6,13,1,43.9,78.5,0,15,6,8,4,Vitesse Arnhem,66.7,2,"13,088.","6:45pm, Saturday 29th February 2020.",3,4,408963,52.6,3,2,7,17,3,56.1,82.1,0,15,4,8,5,PEC Zwolle,66.7,0, Dutch Eredivisie
76.2,1,1,2,19,3,35,73.3,0,9,7,1,7,PEC Zwolle,53.3,2,"15,306.","1:30pm, Sunday 23rd February 2020.",0,2,408952,23.8,3,2,7,11,2,65,82.9,0,17,5,9,1,AZ Alkmaar,68.2,0, Dutch Eredivisie
53.8,4,1,5,9,3,50.6,76.4,0,16,9,3,1,Groningen,64.7,4,"13,607.","7:00pm, Friday 28th February 2020.",1,3,408960,46.2,0,2,5,10,3,49.4,74.8,0,9,5,4,2,Willem II,72.2,0, Dutch Eredivisie
51.6,4,1,9,9,0,73.5,87.1,0,12,5,3,3,Emmen,55.6,2,"10,600.","3:45pm, Sunday 1st March 2020.",1,5,408968,48.4,2,3,2,8,0,26.5,62.9,0,12,3,7,2,Sparta Rotterdam,40,0, Dutch Eredivisie
48.4,4,1,8,9,4,39.4,72.6,0,20,5,11,6,Heerenveen,66.7,1,"27,000.","7:45pm, Saturday 29th February 2020.",3,2,408962,51.6,1,1,8,8,0,60.6,82,0,14,5,8,8,FC Twente,55.6,0, Dutch Eredivisie
65.2,6,4,2,8,4,46.6,72.3,0,13,5,2,2,FC Twente,71.4,2,"18,491.","11:15am, Sunday 23rd February 2020.",1,2,408956,34.8,2,0,7,12,2,53.4,79.4,0,13,7,4,1,FC Utrecht,58.3,2, Dutch Eredivisie
55.6,1,0,4,11,2,58,80.6,0,7,4,2,3,Fortuna Sittard,61.1,3,"7,115.","6:45pm, Saturday 29th February 2020.",0,0,408964,44.4,5,0,2,16,1,42,74,0,13,5,3,2,VVV-Venlo,57.1,2, Dutch Eredivisie
40.6,1,5,1,10,1,38.2,77.4,0,12,5,6,5,AZ Alkmaar,52.2,2,"52,707.","7:00pm, Sunday 1st March 2020.",2,0,408965,59.4,6,0,9,4,1,61.8,86.5,0,20,9,5,4,Ajax,50,0, Dutch Eredivisie
50,4,0,5,20,1,58.5,74.3,0,12,5,3,4,Heracles Almelo,58.3,2,"11,207.","5:30pm, Saturday 29th February 2020.",0,0,408961,50,3,1,4,15,0,41.5,62.6,1,9,2,4,3,ADO Den Haag,61.1,1, Dutch Eredivisie
38.5,4,3,12,13,4,50.3,67.9,0,17,5,8,4,Real Valladolid,72.7,0,,"5:30pm, Thursday 16th July 2020.",1,3,415995,61.5,1,1,3,19,0,49.7,70.1,0,13,5,7,8,Eibar,50,4, Spanish La Liga
52.4,4,4,8,16,1,61.1,89.9,0,19,9,6,4,Roma,61.1,2,,"6:30pm, Saturday 11th July 2020.",3,0,419384,47.6,2,1,3,19,2,38.9,78.5,0,11,5,4,4,Brescia,66.7,1, Italian Serie A
42.9,11,0,22,11,1,67.8,88.7,0,30,8,11,0,San Jose Earthquakes,35.7,3,,"2:00am, Thursday 16th July 2020.",4,3,425340,57.1,2,1,4,9,2,32.2,75.4,0,7,3,2,8,Vancouver Whitecaps,33.3,1, American MLS League
57.1,5,0,4,18,0,50.8,86.9,0,13,6,2,3,Atalanta,57.9,2,,"8:45pm, Saturday 11th July 2020.",2,2,419389,42.9,2,1,2,11,1,49.2,86.7,0,9,2,5,0,Juventus,58.3,3, Italian Serie A
54.5,7,2,5,7,1,63.3,87.2,0,18,8,3,0,Sassuolo,60,2,,"4:15pm, Saturday 11th July 2020.",2,1,419390,45.5,3,0,1,13,2,36.7,78.9,0,10,6,1,1,Lazio,60,4, Italian Serie A
43.6,3,0,4,17,2,47.9,77.4,0,8,3,2,3,Bordeaux,50,3,"24,912.","2:00pm, Sunday 8th March 2020.",1,1,408641,56.4,5,1,7,14,1,52.1,80.4,1,11,2,4,1,St Etienne,66.7,2, French Ligue 1
30.8,3,1,7,13,1,44,75.7,0,9,5,1,3,Houston Dynamo,66.7,5,"21,188.","1:30am, Sunday 8th March 2020.",0,4,421634,69.2,6,1,5,12,3,56,82.6,0,17,4,7,1,Sporting Kansas City,50,2, American MLS League
43.8,4,2,8,10,1,37.8,74.4,0,18,4,10,4,Minnesota United FC,44,1,"12,223.","1:00am, Sunday 8th March 2020.",5,2,421894,56.3,6,1,6,7,1,62.2,84.3,0,20,8,6,5,San Jose Earthquakes,58.8,0, American MLS League
42.1,5,1,3,16,1,42.3,80.4,0,14,5,4,2,FC Cincinnati,37.5,4,"69,301.","12:00am, Sunday 8th March 2020.",1,2,421631,57.9,0,3,2,9,4,57.7,84.8,0,8,4,4,3,Atlanta United FC,36.4,1, American MLS League
76,2,0,3,10,1,40.5,77.9,0,8,2,4,7,Philadelphia Union,63.2,3,,"2:00pm, Thursday 9th July 2020.",1,0,425322,24,4,3,8,9,2,59.5,87.5,0,17,6,7,3,New York City FC,55.6,1, American MLS League
36.8,3,0,9,10,1,62.2,89.6,0,16,5,8,6,San Jose Earthquakes,80,1,,"2:00am, Saturday 11th July 2020.",0,0,425326,63.2,4,1,1,10,2,37.8,81.8,0,12,2,6,8,Seattle Sounders FC,60,1, American MLS League
63.6,5,1,9,6,0,44.4,86.3,0,19,10,4,2,New England Revolution,45,1,,"1:00am, Friday 10th July 2020.",1,0,425325,36.4,3,1,8,12,2,55.6,84.4,0,7,2,2,3,Montreal Impact,73.3,1, American MLS League
44.7,0,2,2,12,0,41.9,74.4,0,8,7,1,1,Inter Miami CF,73.3,2,,"1:00am, Thursday 9th July 2020.",1,2,425323,55.3,2,3,3,17,1,58.1,81.4,0,10,5,3,0,Orlando City SC,50,3, American MLS League
64.3,3,2,6,6,2,62.1,91.1,0,13,4,6,3,Columbus Crew,72.7,1,,"4:20am, Sunday 12th July 2020.",4,0,425329,35.7,2,0,1,14,1,37.9,85.2,0,6,1,3,2,FC Cincinnati,100,2, American MLS League
71,2,1,4,11,7,37.5,69.2,0,9,2,5,8,Philadelphia Union,60,4,"22,112.","2:30am, Monday 9th March 2020.",3,3,421896,29,5,4,12,8,2,62.5,81.9,0,21,5,11,2,Los Angeles Football Club,72,1, American MLS League
57.1,3,2,2,12,0,48.3,82.9,1,12,3,6,3,Portland Timbers,75,1,,"3:30am, Tuesday 14th July 2020.",2,1,425333,42.9,4,1,2,9,4,51.7,86.7,0,13,5,4,4,Los Angeles Galaxy,36.4,0, American MLS League
40.5,0,4,4,13,2,30.9,60.3,0,6,2,4,4,New York Red Bulls,61.5,1,,"1:00am, Sunday 12th July 2020.",1,0,425328,59.5,1,2,4,11,4,69.1,83.2,0,14,9,4,3,Atlanta United FC,54.5,2, American MLS League
40,2,2,0,9,2,28.5,69.5,0,9,2,5,3,Houston Dynamo,42.9,2,,"1:00am, Tuesday 14th July 2020.",3,3,425334,60,9,3,8,13,0,71.5,84.7,0,23,8,6,2,Los Angeles Football Club,76.9,1, American MLS League
64.7,0,2,5,11,0,33.6,78,1,8,3,5,5,D.C. United,68.8,2,,"2:00pm, Monday 13th July 2020.",2,2,425327,35.3,4,3,4,11,2,66.4,89.8,0,17,6,7,3,Toronto FC,53.8,0, American MLS League
54.2,3,1,2,11,4,60.7,90.3,0,7,3,1,3,Seattle Sounders FC,66.7,3,,"2:00pm, Tuesday 14th July 2020.",1,2,426049,45.8,3,2,5,10,0,39.3,81.7,0,10,2,5,0,Chicago Fire,75,1, American MLS League
50,1,1,4,8,1,53.2,81.2,0,11,6,4,4,Colorado Rapids,62.5,3,,"3:30am, Monday 13th July 2020.",0,2,425330,50,2,1,5,14,0,46.8,80.4,0,10,2,6,4,Real Salt Lake,43.8,3, American MLS League
53.6,2,2,5,16,2,55.2,78.5,1,10,4,4,1,Inter Miami CF,37.5,1,,"3:30am, Wednesday 15th July 2020.",1,2,425349,46.4,3,0,2,19,2,44.8,74.5,0,8,2,3,3,Philadelphia Union,70.6,1, American MLS League
40,4,4,2,10,1,48.3,82.2,0,12,1,7,6,Orlando City SC,44.4,4,,"1:00am, Wednesday 15th July 2020.",3,1,425335,60,4,3,13,12,1,51.7,82.2,0,26,15,7,4,New York City FC,38.9,3, American MLS League
66.7,5,1,5,19,0,53,88.8,0,12,4,3,3,FC Cincinnati,81.8,3,,"2:00pm, Thursday 16th July 2020.",1,0,425338,33.3,1,0,4,12,1,47,91.3,2,8,4,3,2,Atlanta United FC,66.7,3, American MLS League
50,1,1,3,12,3,37.7,74.4,0,9,6,2,2,Minnesota United FC,65,3,,"1:00am, Monday 13th July 2020.",2,1,425331,50,5,1,9,14,1,62.3,83.5,1,13,5,3,1,Sporting Kansas City,66.7,2, American MLS League
53.5,1,1,3,16,0,32.1,68.6,0,8,6,1,3,Cologne,78.6,2,,"7:30pm, Wednesday 17th June 2020.",1,3,413013,46.5,0,3,7,12,3,67.9,85.2,0,13,7,6,0,Bayer Leverkusen,75,2, German Bundesliga
40.5,0,2,3,16,7,36.1,74,1,7,2,5,2,Schalke,76.9,3,,"5:30pm, Wednesday 17th June 2020.",1,2,413016,59.5,3,4,5,9,1,63.9,83.6,0,14,7,4,3,Eintracht Frankfurt,64.7,3, German Bundesliga
67.9,3,1,4,16,0,50.7,77.9,0,10,2,5,2,Wolfsburg,85.2,3,,"2:30pm, Saturday 20th June 2020.",4,1,413024,32.1,3,0,2,12,0,49.3,80.9,0,11,5,3,1,Schalke,55.2,4, German Bundesliga
41.7,5,1,8,15,3,60.8,80.8,0,18,7,6,8,Werder Bremen,57.1,3,,"2:30pm, Saturday 20th June 2020.",1,3,413022,58.3,2,1,7,13,2,39.2,78.9,0,20,6,12,5,Mainz,53.8,2, German Bundesliga
37.5,3,5,5,13,4,50.8,86.6,0,22,8,11,0,M'gladbach,60.7,2,,"2:30pm, Saturday 20th June 2020.",3,1,413028,62.5,4,1,3,11,1,49.2,84.1,1,11,6,1,8,SC Paderborn 07,57.1,2, German Bundesliga
31.8,1,5,1,7,3,52.8,85.9,0,11,3,7,4,Borussia Dortmund,57.9,3,,"2:30pm, Saturday 20th June 2020.",2,0,413027,68.2,4,1,4,13,0,47.2,87.3,0,16,8,4,5,RB Leipzig,52.6,3, German Bundesliga
60,4,1,3,12,2,42.9,72.8,0,11,4,3,1,FC Augsburg,69.2,0,,"2:30pm, Saturday 20th June 2020.",1,1,413025,40,2,0,5,14,0,57.1,80.9,0,8,4,2,2,Fortuna Dusseldorf,62.5,1, German Bundesliga
32.3,1,2,2,8,2,39,79.6,0,11,7,3,6,SC Freiburg,84.6,0,,"2:30pm, Saturday 20th June 2020.",1,3,413023,67.7,6,1,8,13,1,61,86.6,0,23,8,9,2,Bayern Munich,50,0, German Bundesliga
50,2,0,4,15,3,68.6,86.5,0,12,8,2,3,Bayer Leverkusen,62.5,3,,"2:30pm, Saturday 20th June 2020.",0,2,413026,50,3,3,5,14,3,31.4,64.7,0,14,6,5,2,Hertha Berlin,57.9,4, German Bundesliga
65.4,2,1,9,15,0,61.8,76.4,0,9,4,3,1,Eintracht Frankfurt,58.8,2,,"2:30pm, Saturday 20th June 2020.",1,1,413021,34.6,2,0,5,8,5,38.2,68.2,0,4,0,2,2,Cologne,66.7,1, German Bundesliga
52.9,1,0,5,16,1,47.1,78.6,0,6,3,2,3,Cologne,75,2,,"2:30pm, Saturday 27th June 2020.",1,6,413036,47.1,5,3,7,22,1,52.9,83.6,0,18,4,9,1,Werder Bremen,50,1, German Bundesliga
51.4,1,2,4,15,1,40.9,76.2,0,7,4,2,4,1. FC Union Berlin,50,3,,"2:30pm, Saturday 20th June 2020.",0,4,413029,48.6,4,1,6,10,1,59.1,83.8,0,16,4,8,2,Hoffenheim,55.6,1, German Bundesliga
21.1,1,1,3,15,2,44.2,81.3,0,5,2,2,6,Hertha Berlin,85.7,2,,"2:30pm, Saturday 27th June 2020.",1,2,413033,78.9,6,3,3,7,0,55.8,86,0,23,9,8,1,M'gladbach,72.7,1, German Bundesliga
45.5,0,5,6,9,1,61.1,85.9,0,16,7,9,4,Bayern Munich,45,0,,"2:30pm, Saturday 27th June 2020.",4,0,413038,54.5,1,1,3,13,1,38.9,78.2,1,12,7,4,6,Wolfsburg,50,1, German Bundesliga
61.5,4,2,8,10,3,65.3,83.4,0,14,5,5,0,RB Leipzig,70.6,1,,"2:30pm, Saturday 27th June 2020.",2,1,413035,38.5,3,0,2,12,1,34.7,73.1,0,5,1,1,3,FC Augsburg,43.3,4, German Bundesliga
32.1,3,2,2,3,2,39,74.8,0,17,9,5,1,SC Paderborn 07,75,1,,"2:30pm, Saturday 27th June 2020.",2,3,413034,67.9,4,3,6,13,3,61,85.2,0,13,5,4,3,Eintracht Frankfurt,53.3,0, German Bundesliga
57.1,1,0,4,10,3,33,73.6,0,6,4,1,1,Mainz,38.5,1,,"2:30pm, Saturday 27th June 2020.",0,1,413031,42.9,8,2,11,10,3,67,89.1,0,13,3,2,1,Bayer Leverkusen,63.2,1, German Bundesliga
58.3,5,5,5,5,0,40.9,85.6,0,16,4,7,4,Hoffenheim,70,0,,"2:30pm, Saturday 27th June 2020.",4,0,413032,41.7,2,0,2,7,0,59.1,89,0,7,1,4,3,Borussia Dortmund,58.3,1, German Bundesliga
63.9,14,0,10,6,1,57.5,79.4,0,27,11,2,2,Fortuna Dusseldorf,66.7,1,,"2:30pm, Saturday 27th June 2020.",0,3,413030,36.1,2,4,6,15,2,42.5,69.3,0,11,4,5,2,1. FC Union Berlin,58.8,0, German Bundesliga
31.6,6,0,5,5,1,43.8,85.6,0,22,10,6,4,Schalke,72.7,0,,"2:30pm, Saturday 27th June 2020.",0,4,413037,68.4,4,1,1,14,3,56.2,86.9,0,15,3,8,6,SC Freiburg,41.7,1, German Bundesliga
64.4,5,0,12,14,0,64.3,81.2,0,9,4,0,2,Tottenham Hotspur,76.2,2,,"6:00pm, Thursday 9th July 2020.",0,0,408313,35.6,4,1,8,11,1,35.7,67.9,0,9,3,2,0,Bournemouth,73.3,3, Premier League
42.6,0,2,4,15,3,52.3,72.8,0,8,4,4,3,Newcastle United,92.3,4,,"12:30pm, Saturday 11th July 2020.",1,2,408329,57.4,7,1,2,23,3,47.7,68.4,0,17,5,5,3,Watford,75,1, Premier League
50,6,7,7,3,1,70.2,90.5,0,26,12,8,0,Manchester City,81.3,0,,"8:00pm, Saturday 11th July 2020.",5,0,408323,50,0,0,2,7,6,29.8,76.4,0,3,3,0,3,Brighton and Hove Albion,58.3,1, Premier League
48.4,2,0,6,4,3,29.2,59.6,0,6,2,2,8,Burnley,36.4,2,,"3:00pm, Saturday 11th July 2020.",1,1,408324,51.6,9,1,12,7,2,70.8,85.6,0,23,5,9,1,Liverpool,60,1, Premier League
44.4,4,2,6,6,0,76.3,88,0,15,7,4,1,Chelsea,87.5,0,,"5:30pm, Saturday 11th July 2020.",0,3,408327,55.6,2,1,4,8,1,23.7,63.3,0,9,3,4,4,Sheffield United,42.9,1, Premier League
42.9,2,0,1,9,1,32.3,76.7,0,2,0,0,5,Norwich City,80,2,,"8:15pm, Tuesday 14th July 2020.",0,1,408333,57.1,4,3,8,10,0,67.7,89.2,0,22,12,6,0,Chelsea,87.5,2, Premier League
59.3,1,5,6,8,0,47.5,83.3,0,19,11,7,2,West Ham United,66.7,0,,"12:30pm, Saturday 11th July 2020.",4,0,408326,40.7,3,0,1,9,1,52.5,86.9,0,11,6,2,3,Norwich City,31.3,1, Premier League
52.5,1,1,1,21,0,55.1,79.3,1,9,3,5,7,Crystal Palace,53.3,4,,"2:15pm, Sunday 12th July 2020.",0,2,408321,47.5,2,3,5,21,1,44.9,73.6,0,12,1,9,5,Aston Villa,66.7,2, Premier League
52.8,9,3,13,10,4,68.9,85,0,24,7,8,0,Liverpool,83.3,1,,"8:15pm, Wednesday 15th July 2020.",1,2,408331,47.2,0,1,2,14,5,31.1,64,0,3,1,2,8,Arsenal,42.9,3, Premier League
41.4,2,2,4,13,1,47.2,86.4,0,8,1,5,5,Tottenham Hotspur,35.7,3,,"6:00pm, Wednesday 15th July 2020.",3,1,408338,58.6,6,1,5,6,0,52.8,87.5,0,22,10,6,2,Newcastle United,57.1,2, Premier League
56.1,5,0,6,12,1,55.9,80.4,1,13,3,5,1,Leicester City,58.8,1,,"7:00pm, Sunday 12th July 2020.",1,4,408322,43.9,2,1,2,11,4,44.1,72.2,0,9,3,4,4,Bournemouth,100,2, Premier League
48.3,2,2,6,15,0,52.5,80.8,0,9,2,5,2,Southampton,60,3,,"8:00pm, Monday 13th July 2020.",2,2,408325,51.7,1,2,4,14,1,47.5,79.5,0,8,3,4,3,Manchester United,53.8,1, Premier League
41.4,3,0,5,11,0,62.7,89,0,13,6,4,7,Arsenal,58.3,3,,"4:30pm, Sunday 12th July 2020.",1,2,408328,58.6,5,3,6,16,2,37.3,81,0,15,1,9,3,Tottenham Hotspur,59.1,5, Premier League
71.4,3,1,7,15,0,59.6,87.2,0,17,9,5,5,Manchester United,78.6,2,,"8:15pm, Thursday 16th July 2020.",2,0,408334,28.6,4,0,2,10,1,40.4,78.8,0,13,4,5,3,Crystal Palace,46.2,1, Premier League
48.2,3,1,8,8,1,53.3,76.8,0,14,6,5,0,Wolverhampton Wanderers,77.8,0,,"6:00pm, Wednesday 15th July 2020.",1,1,408332,51.8,4,1,3,10,1,46.7,71,0,9,4,1,4,Burnley,50,0, Premier League
57.1,6,2,5,10,2,27.5,65.1,0,15,6,3,2,Bournemouth,66.7,1,,"6:00pm, Wednesday 15th July 2020.",1,2,408337,42.9,0,0,3,10,2,72.5,88.5,0,8,4,4,2,Manchester City,60,1, Premier League
57.8,4,0,2,10,2,32.2,59.5,0,10,4,2,4,Brighton and Hove Albion,73.7,0,,"8:15pm, Thursday 16th July 2020.",1,1,408339,42.2,8,3,8,6,1,67.8,82,0,21,7,6,1,Southampton,80,1, Premier League
50,7,2,5,13,0,45.1,80.3,0,15,7,1,0,Aston Villa,60,1,,"6:00pm, Thursday 16th July 2020.",1,1,408335,50,2,1,5,15,0,54.9,86.2,0,9,6,1,0,Everton,70,2, Premier League
53.8,1,1,5,10,4,45.8,74.1,0,5,3,1,5,Sheffield United,54.5,2,,"6:00pm, Thursday 16th July 2020.",0,2,408336,46.2,5,5,9,12,3,54.2,79.1,0,15,3,7,1,Leicester City,50,1, Premier League
66.7,2,0,6,5,1,55.6,82.3,0,12,8,2,3,Reims,75,1,"24,868.","2:00pm, Sunday 23rd February 2020.",1,1,408621,33.3,3,1,8,14,0,44.4,78.7,0,7,0,4,1,St Etienne,58.8,1, French Ligue 1
56.8,0,2,3,12,5,59.4,87.3,0,11,7,4,2,Rennes,40,1,"13,301.","7:00pm, Saturday 29th February 2020.",2,0,408632,43.2,5,0,9,13,1,40.6,78.7,0,15,8,2,2,Toulouse,73.3,3, French Ligue 1
52.6,4,1,7,15,1,54.6,84.4,0,15,4,7,8,Strasbourg,55.6,2,"11,799.","7:00pm, Saturday 29th February 2020.",0,3,408628,47.4,3,2,5,8,0,45.4,83.4,0,23,9,11,7,Montpellier,80,1, French Ligue 1
53.1,3,3,9,14,1,52.1,74.8,0,13,6,4,4,Marseille,57.7,3,"13,755.","7:45pm, Friday 28th February 2020.",3,2,408630,46.9,4,3,8,15,1,47.9,72.5,0,16,6,6,1,Nimes,65.2,4, French Ligue 1
24.1,5,1,2,13,4,42.9,80.7,0,16,3,8,6,Reims,68.8,3,"4,237.","7:00pm, Saturday 29th February 2020.",1,1,408627,75.9,6,1,3,20,1,57.1,82.9,0,19,6,7,7,Monaco,75,2, French Ligue 1
62.5,1,0,0,9,1,35.1,77.4,0,6,3,2,4,Angers,87.5,1,"13,313.","7:00pm, Saturday 29th February 2020.",1,0,408625,37.5,5,0,12,12,1,64.9,87.6,0,16,7,4,1,Brest,60,3, French Ligue 1
66.7,1,0,3,12,0,58.8,87.4,0,9,4,4,3,Nice,63.6,3,"15,799.","4:00pm, Sunday 1st March 2020.",1,1,408624,33.3,3,3,10,18,2,41.2,82.7,0,12,5,4,3,Bordeaux,31.3,3, French Ligue 1
56.1,2,1,3,10,0,40.9,67,0,13,5,6,5,Metz,66.7,1,"12,375.","7:00pm, Saturday 29th February 2020.",1,0,408623,43.9,1,1,6,17,1,59.1,77.9,0,12,6,5,5,Amiens,66.7,2, French Ligue 1
47.8,0,0,0,3,1,30.3,81.3,0,9,6,3,7,Dijon,70,0,"47,542.","4:30pm, Saturday 29th February 2020.",0,4,408631,52.2,2,5,8,7,2,69.7,90.1,0,23,10,11,3,Paris Saint-Germain,46.2,1, French Ligue 1
45.1,1,1,4,14,0,33.9,69.8,0,8,3,4,7,St Etienne,37.5,4,"52,772.","8:00pm, Sunday 1st March 2020.",0,2,408626,54.9,3,2,5,15,4,66.1,85.2,0,16,4,9,4,Lyon,60,4, French Ligue 1
56.4,3,2,4,17,4,44.5,77.7,0,12,6,3,4,Amiens,40,2,"49,748.","8:00pm, Friday 6th March 2020.",2,2,408636,43.6,3,1,4,13,0,55.5,81.6,0,13,4,6,1,Marseille,73.9,2, French Ligue 1
48.4,2,0,5,13,0,51.7,85.9,0,12,6,4,2,Brest,40,2,"11,062.","7:00pm, Saturday 7th March 2020.",0,1,408639,51.6,2,1,5,7,1,48.3,84.4,1,12,7,3,4,Reims,61.5,1, French Ligue 1
61.7,4,4,12,13,3,48.7,72.1,0,15,6,5,3,Lille,64.3,3,"20,704.","2:00pm, Sunday 1st March 2020.",1,0,408629,38.3,1,0,3,13,2,51.3,70.8,0,6,2,3,4,Nantes,60,4, French Ligue 1
54.4,5,2,6,11,1,43.4,69.6,0,16,4,7,3,Nimes,50,0,"14,797.","7:00pm, Saturday 7th March 2020.",1,2,408637,45.6,2,2,8,9,2,56.6,75.9,0,14,7,5,6,Metz,82.4,0, French Ligue 1
64.7,3,2,3,15,0,49.2,84.6,1,14,7,4,3,Monaco,60,4,"21,001.","7:00pm, Saturday 7th March 2020.",1,2,408638,35.3,4,2,6,11,1,50.8,87.4,0,12,3,5,3,Nice,64.7,1, French Ligue 1
76.5,3,2,6,6,1,54.9,84.1,0,15,8,4,1,Nantes,63.2,3,"12,132.","7:00pm, Saturday 7th March 2020.",0,2,408633,23.5,3,1,4,9,3,45.1,79.8,0,8,2,3,4,Angers,56.5,0, French Ligue 1
32.6,2,1,1,17,1,43.8,72.9,0,6,2,2,1,Toulouse,66.7,2,"12,549.","7:00pm, Saturday 7th March 2020.",1,2,408634,67.4,4,0,5,14,2,56.2,81,0,14,7,3,1,Dijon,60,2, French Ligue 1
45,2,2,3,13,2,56.7,79,0,9,5,2,2,Lyon,60.9,3,"40,164.","8:00pm, Sunday 8th March 2020.",0,1,408635,55,1,4,4,21,0,43.3,73.2,0,12,8,3,2,Lille,87.5,1, French Ligue 1
76.2,2,1,5,13,0,64.7,87.9,0,9,1,6,4,Barcelona,64.3,2,,"6:30pm, Saturday 11th July 2020.",1,0,416001,23.8,3,1,4,15,0,35.3,81.4,0,13,6,4,5,Real Valladolid,62.5,2, Spanish La Liga
