AAD,ABS,ACCC,ACorn,AF,AOff,AP,APass,AR,AS,ASOT,AST,ASaves,AT,ATack,AY,Attendance,Date,FTAG,FTHG,GameID,HAD,HBS,HCCC,HCorn,HF,HOff,HP,HPass,HR,HS,HSOT,HST,HSaves,HT,HTack,HY,League
32.3,2,2,7,8,1,51.1,81.9,0,8,3,3,1,Sampdoria,68.4,1,"37,582.","2:00pm, Sunday 11th November 2018.",1,4,399947,67.7,4,2,7,8,5,48.9,80.4,0,16,7,5,2,Roma,62.5,1, Italian Serie A
61.1,3,1,6,13,3,52.1,84.7,0,13,7,3,1,Cagliari,80,4,"13,250.","5:00pm, Saturday 10th November 2018.",2,2,399948,38.9,3,2,1,13,1,47.9,83.4,0,11,5,3,1,Spal,58.8,2, Italian Serie A
59.3,7,0,6,13,2,41.1,81,0,14,5,2,3,Lazio,40.9,3,"11,317.","5:00pm, Sunday 11th November 2018.",1,1,399949,40.7,5,0,2,13,2,58.9,88.3,0,16,7,4,0,Sassuolo,66.7,4, Italian Serie A
51.8,3,1,7,14,1,33.8,61.4,0,14,6,5,3,Parma,68.4,4,"17,431.","2:00pm, Saturday 10th November 2018.",2,1,399950,48.2,3,2,7,14,1,66.2,83.2,0,16,9,4,3,Torino,64.3,2, Italian Serie A
52.2,9,2,9,11,2,56.7,78.6,0,20,6,5,4,Fiorentina,66.7,1,"21,241.","2:00pm, Sunday 25th November 2018.",0,0,399951,47.8,1,0,4,11,1,43.3,71.1,0,8,3,4,5,Bologna,63.2,3, Italian Serie A
42,5,0,4,11,4,50.1,79.2,0,15,5,5,0,Torino,35.3,0,"15,804.","7:30pm, Monday 26th November 2018.",0,0,399952,58,1,0,3,11,1,49.9,76.9,0,4,3,0,5,Cagliari,36.4,2, Italian Serie A
60.7,3,1,3,14,3,59.2,84.8,1,14,6,5,5,Atalanta,85.7,3,"8,736.","2:00pm, Sunday 25th November 2018.",2,3,399953,39.3,4,2,7,14,2,40.8,79,0,17,6,7,3,Empoli,65,2, Italian Serie A
48.7,1,1,6,17,1,59,82.1,0,8,5,2,3,Sampdoria,64.3,1,"33,727.","7:30pm, Sunday 25th November 2018.",1,1,399954,51.3,5,1,7,17,4,41,72.3,0,18,9,4,1,Genoa,44.4,2, Italian Serie A
53.1,1,0,0,11,1,28.2,75.7,0,6,1,4,10,Frosinone,54.5,3,"63,645.","7:30pm, Saturday 24th November 2018.",0,3,399955,46.9,5,4,11,11,0,71.8,93.2,0,30,12,13,4,Inter Milan,54.5,1, Italian Serie A
61.9,3,0,3,19,0,54.7,90.3,0,11,7,1,5,Spal,55.6,3,,"5:00pm, Saturday 24th November 2018.",0,2,399956,38.1,3,2,6,19,3,45.3,88.3,0,15,5,7,1,Juventus,55.6,1, Italian Serie A
38.5,3,0,4,11,0,45.2,83.5,0,11,5,3,4,AC Milan,66.7,1,"38,000.","5:00pm, Sunday 25th November 2018.",1,1,399957,61.5,5,0,9,11,3,54.8,85,0,21,11,5,3,Lazio,68.2,1, Italian Serie A
55.2,3,0,2,11,2,30.4,74.8,0,9,4,2,8,Chievo,82.4,2,"44,408.","2:00pm, Sunday 25th November 2018.",0,0,399958,44.8,4,1,20,11,0,69.6,88,0,21,9,8,2,Napoli,42.9,2, Italian Serie A
54.2,0,0,3,14,0,73.9,88.1,0,14,8,6,3,Sassuolo,53.8,4,"14,354.","11:30am, Sunday 25th November 2018.",1,2,399959,45.8,3,0,2,14,3,26.1,74.8,0,14,6,5,4,Parma,63.2,3, Italian Serie A
50,4,1,12,8,0,75.5,87.9,0,26,13,9,1,Roma,71.4,0,"21,986.","2:00pm, Saturday 24th November 2018.",0,1,399960,50,1,3,0,8,4,24.5,59.1,0,9,6,2,9,Udinese,64,2, Italian Serie A
27.3,0,5,6,8,4,44.5,79.1,0,10,4,6,1,Napoli,55,2,"19,536.","7:30pm, Monday 3rd December 2018.",2,1,399961,72.7,4,1,12,8,0,55.5,84.1,0,14,8,2,4,Atalanta,77.8,1, Italian Serie A
65.3,3,1,6,11,3,69.5,83.6,0,17,9,5,0,Lazio,50,2,"10,000.","5:00pm, Sunday 2nd December 2018.",1,1,399962,34.7,1,3,4,11,4,30.5,65.2,0,4,2,1,4,Chievo,60,4, Italian Serie A
68.8,6,0,9,16,0,54.4,81.1,0,16,4,6,5,Juventus,63.6,3,"40,872.","5:00pm, Saturday 1st December 2018.",3,0,399963,31.3,6,0,4,16,0,45.6,73.8,0,17,6,5,3,Fiorentina,68.8,6, Italian Serie A
51.1,4,1,1,13,2,61.1,86.1,1,17,7,6,10,Cagliari,86.7,5,"12,377.","2:00pm, Sunday 2nd December 2018.",1,1,399964,48.9,5,1,5,13,1,38.9,80.1,0,22,6,11,6,Frosinone,60,1, Italian Serie A
48.6,2,3,8,8,1,38.1,75.5,0,7,4,1,3,Parma,50,2,"53,275.","11:30am, Sunday 2nd December 2018.",1,2,399965,51.4,3,0,8,8,1,61.9,84.9,0,18,10,5,0,AC Milan,71.4,2, Italian Serie A
37.9,6,4,6,10,4,54.7,83.6,0,17,4,7,3,Inter Milan,64.3,1,"41,009.","7:30pm, Sunday 2nd December 2018.",2,2,399966,62.1,2,1,5,10,1,45.3,82,0,15,8,5,5,Roma,69.2,1, Italian Serie A
45.8,6,2,9,14,4,48.6,78.2,0,18,5,7,3,Empoli,64.3,3,"12,622.","2:00pm, Saturday 1st December 2018.",2,2,399967,54.2,1,1,4,14,3,51.4,82.4,1,10,4,5,5,Spal,58.8,3, Italian Serie A
58.8,3,1,4,15,1,54.5,82.3,0,11,5,3,2,Bologna,38.1,3,"17,844.","7:30pm, Saturday 1st December 2018.",1,4,399968,41.2,2,2,1,15,4,45.5,81.8,0,10,2,6,2,Sampdoria,68.8,3, Italian Serie A
48.3,0,0,2,14,2,34.3,75.6,0,3,2,1,3,Udinese,57.7,2,"10,655.","2:00pm, Sunday 2nd December 2018.",0,0,399969,51.7,8,2,13,14,2,65.7,88.3,0,18,7,3,1,Sassuolo,82.4,3, Italian Serie A
52.1,2,1,5,13,1,33.8,55.8,1,9,6,1,8,Genoa,61.5,2,"15,324.","2:00pm, Sunday 2nd December 2018.",1,2,399970,47.9,4,2,5,13,4,66.2,82.4,0,22,8,10,0,Torino,76.9,3, Italian Serie A
53.3,4,1,5,17,3,44.8,77.2,0,24,14,6,3,Roma,38.9,1,"14,938.","5:00pm, Saturday 8th December 2018.",2,2,399971,46.7,3,2,7,17,2,55.2,76.9,2,16,8,5,4,Cagliari,46.2,4, Italian Serie A
60.5,6,3,8,6,3,58.3,86.9,0,22,8,8,2,Bologna,83.3,2,"8,379.","2:00pm, Sunday 9th December 2018.",1,2,399972,39.5,3,3,4,6,1,41.7,81.8,0,12,5,4,6,Empoli,80,2, Italian Serie A
53.7,4,2,6,10,0,72.8,88.3,0,23,14,5,1,Spal,50,5,"19,571.","5:00pm, Sunday 9th December 2018.",1,1,399973,46.3,0,0,1,10,3,27.2,61.6,1,5,3,2,5,Genoa,66.7,1, Italian Serie A
50,6,0,8,13,1,50.2,86.3,0,12,5,1,4,Inter Milan,62.5,2,"41,495.","7:30pm, Friday 7th December 2018.",0,1,399974,50,4,1,10,13,2,49.8,83,0,18,9,5,1,Juventus,76.9,2, Italian Serie A
45.5,1,2,6,12,3,46.6,75,1,5,2,2,8,Sampdoria,65,4,"28,000.","7:30pm, Saturday 8th December 2018.",2,2,399975,54.5,7,5,10,12,6,53.4,82,0,29,11,11,0,Lazio,69.2,3, Italian Serie A
50,2,1,3,10,0,42.4,76.6,0,13,7,4,3,Torino,48.5,3,"44,572.","7:30pm, Sunday 9th December 2018.",0,0,399976,50,6,1,11,10,1,57.6,83.7,0,16,7,3,4,AC Milan,64.7,2, Italian Serie A
57.9,2,0,3,7,1,33,81.3,0,8,4,2,4,Frosinone,73.3,2,"34,631.","2:00pm, Saturday 8th December 2018.",0,4,399977,42.1,5,3,9,7,2,67,91.5,0,22,9,8,2,Napoli,61.5,1, Italian Serie A
57.1,4,2,2,16,0,48.2,77.5,1,16,11,1,5,Chievo,86.7,2,"13,994.","2:00pm, Sunday 9th December 2018.",1,1,399978,42.9,3,3,8,16,0,51.8,80.6,0,17,8,6,0,Parma,77.8,4, Italian Serie A
50,4,2,10,13,0,46,78.5,1,18,8,6,4,Fiorentina,78.6,3,"11,436.","11:30am, Sunday 9th December 2018.",3,3,399979,50,7,1,6,13,2,54,80.5,1,17,3,7,2,Sassuolo,58.3,4, Italian Serie A
