web-scraper-order,web-scraper-start-url,Games,Games-href,HomeTeam,AwayTeam,League,Date,HGoals,AGoals,HxG,AxG,HShots,AShots,HST,AST,HDEEP,ADEEP,HPPDA,APPDA,HxPTS,AxPTS
"1595326745-113","https://understat.com/league/RFPL","222.610.62","https://understat.com/match/11140","FC Krasnodar","FC Rostov","RFPL","Nov 03 2019","2","2","2.61","0.62","22","5","8","3","15","0","10.08","9.64","2.67","0.21"
"1595329950-1553","https://understat.com/league/La_liga","201.350.57","https://understat.com/match/12329","Real Madrid","Mallorca","La liga","Jun 24 2020","2","0","1.35","0.57","14","11","6","4","8","0","7.81","14.61","2.03","0.69"
"1595326809-143","https://understat.com/league/RFPL","111.161.04","https://understat.com/match/11168","PFC Sochi","Rubin Kazan","RFPL","Dec 08 2019","1","1","1.16","1.04","11","17","2","4","6","10","24.09","19.40","1.45","1.25"
"1595329089-1165","https://understat.com/league/EPL","121.571.14","https://understat.com/match/11933","Aston Villa","Chelsea","EPL","Jun 21 2020","1","2","1.57","1.14","8","19","4","5","0","10","22.40","6.13","1.78","0.94"
"1595329717-1443","https://understat.com/league/La_liga","302.690.89","https://understat.com/match/12229","Real Sociedad","Mallorca","La liga","Jan 26 2020","3","0","2.69","0.89","14","8","6","4","9","2","4.91","18.62","2.59","0.28"
"1595326950-208","https://understat.com/league/RFPL","202.650.78","https://understat.com/match/11241","Dinamo Moscow","Krylya Sovetov Samara","RFPL","Jul 12 2020","2","0","2.65","0.78","14","13","8","5","4","8","11.26","8.42","2.66","0.23"
"1595326779-129","https://understat.com/league/RFPL","101.250.66","https://understat.com/match/11153","CSKA Moscow","Krylya Sovetov Samara","RFPL","Nov 24 2019","1","0","1.25","0.66","20","9","8","4","17","2","15.60","39.50","1.82","0.87"
"1595327064-248","https://understat.com/league/Serie_A","103.760.85","https://understat.com/match/13099","Bologna","SPAL 2013","Serie A","Aug 30 2019","1","0","3.76","0.85","23","9","9","1","5","6","5.15","8.35","2.85","0.10"
"1595329607-1391","https://understat.com/league/La_liga","110.661.47","https://understat.com/match/12179","Osasuna","Sevilla","La liga","Dec 08 2019","1","1","0.66","1.47","10","13","1","4","2","5","8.47","8.56","0.69","2.04"
"1595327918-634","https://understat.com/league/Bundesliga","302.420.57","https://understat.com/match/12467","FC Cologne","Paderborn","Bundesliga","Oct 20 2019","3","0","2.42","0.57","17","9","6","1","3","2","15.71","9.28","2.58","0.28"
"1595329963-1559","https://understat.com/league/La_liga","221.091.26","https://understat.com/match/12331","Villarreal","Sevilla","La liga","Jun 22 2020","2","2","1.09","1.26","7","14","5","7","7","6","14.30","6.03","1.20","1.47"
"1595327528-465","https://understat.com/league/Serie_A","000.791.08","https://understat.com/match/13328","Udinese","Verona","Serie A","Feb 16 2020","0","0","0.79","1.08","17","9","5","5","5","4","10.05","6.08","1.01","1.66"
"1595328781-1023","https://understat.com/league/EPL","030.153.04","https://understat.com/match/11794","Bournemouth","Liverpool","EPL","Dec 07 2019","0","3","0.15","3.04","3","22","0","9","2","19","43.92","9.35","0.05","2.91"
"1595328009-676","https://understat.com/league/Bundesliga","113.971.25","https://understat.com/match/12503","Bayer Leverkusen","Freiburg","Bundesliga","Nov 23 2019","1","1","3.97","1.25","27","8","9","2","7","4","6.85","19.70","2.80","0.13"
"1595327787-573","https://understat.com/league/Bundesliga","210.980.66","https://understat.com/match/12408","Wolfsburg","FC Cologne","Bundesliga","Aug 17 2019","2","1","0.98","0.66","15","11","5","2","5","2","8.56","7.10","1.62","1.03"
"1595327178-301","https://understat.com/league/Serie_A","101.880.60","https://understat.com/match/13168","Udinese","Torino","Serie A","Oct 20 2019","1","0","1.88","0.60","18","11","4","3","8","3","12.78","4.06","2.47","0.35"
"1595327637-516","https://understat.com/league/Serie_A","122.721.07","https://understat.com/match/13387","Inter","Bologna","Serie A","Jul 05 2020","1","2","2.72","1.07","18","13","6","7","22","1","4.48","13.78","2.54","0.32"
"1595327116-272","https://understat.com/league/Serie_A","100.840.76","https://understat.com/match/13148","Udinese","Bologna","Serie A","Sep 29 2019","1","0","0.84","0.76","11","12","3","3","6","7","11.61","4.75","1.39","1.25"
"1595329491-1337","https://understat.com/league/La_liga","201.950.33","https://understat.com/match/12115","Atletico Madrid","Athletic Club","La liga","Oct 26 2019","2","0","1.95","0.33","9","9","2","2","4","4","9.33","15.77","2.72","0.17"
"1595329187-1211","https://understat.com/league/EPL","112.180.45","https://understat.com/match/11986","Liverpool","Burnley","EPL","Jul 11 2020","1","1","2.18","0.45","23","6","9","2","19","2","8.69","23.47","2.56","0.29"
"1595327201-312","https://understat.com/league/Serie_A","715.830.48","https://understat.com/match/13169","Atalanta","Udinese","Serie A","Oct 27 2019","7","1","5.83","0.48","24","7","13","3","16","2","6.39","23.82","3.00","0.00"
"1595327291-354","https://understat.com/league/Serie_A","030.431.46","https://understat.com/match/13218","Torino","Inter","Serie A","Nov 23 2019","0","3","0.43","1.46","12","12","2","5","5","4","9.50","7.57","0.52","2.24"
"1595328141-738","https://understat.com/league/Bundesliga","121.141.72","https://understat.com/match/12569","Wolfsburg","Hertha Berlin","Bundesliga","Jan 25 2020","1","2","1.14","1.72","20","9","7","4","13","4","7.88","22.85","0.89","1.85"
"1595326933-200","https://understat.com/league/RFPL","111.352.27","https://understat.com/match/11215","FC Rostov","FC Krasnodar","RFPL","Jul 01 2020","1","1","1.35","2.27","7","13","2","3","8","11","10.10","10.00","0.71","2.06"
"1595327854-604","https://understat.com/league/Bundesliga","211.122.08","https://understat.com/match/12431","Mainz 05","Hertha Berlin","Bundesliga","Sep 14 2019","2","1","1.12","2.08","12","16","5","8","4","8","10.52","14.83","0.71","2.06"
