web-scraper-order,web-scraper-start-url,Games,Games-href,League,Date,Teams,Warning,Country
1600881842-149,https://www.oddsportal.com/soccer/germany/bundesliga/,Eintracht Frankfurt - Hoffenheim,https://www.oddsportal.com/soccer/germany/bundesliga/eintracht-frankfurt-hoffenheim-UeMUzDra/,Bundesliga,"Saturday, 03 Oct  2020, 13:30",Eintracht Frankfurt - Hoffenheim,,Germany
1600881552-99,https://www.oddsportal.com/soccer/scotland/premiership/,Hamilton - Dundee Utd,https://www.oddsportal.com/soccer/scotland/premiership/hamilton-dundee-utd-z9FQ47JD/,Premiership,"Saturday, 26 Sep  2020, 14:00",Hamilton - Dundee Utd,,Scotland
1600882129-199,https://www.oddsportal.com/soccer/france/ligue-1/,Bordeaux - Dijon,https://www.oddsportal.com/soccer/france/ligue-1/bordeaux-dijon-p6Bv3ps8/,Ligue 1,"Sunday, 04 Oct  2020, 13:00",Bordeaux - Dijon,,France
1600881384-70,https://www.oddsportal.com/soccer/spain/laliga/,Barcelona - Villarreal,https://www.oddsportal.com/soccer/spain/laliga/barcelona-villarreal-489MVWYA/,LaLiga,"Sunday, 27 Sep  2020, 19:00",Barcelona - Villarreal,,Spain
1600881536-96,https://www.oddsportal.com/soccer/scotland/premiership/,Motherwell - Rangers,https://www.oddsportal.com/soccer/scotland/premiership/motherwell-rangers-jHqBCJxK/,Premiership,"Sunday, 27 Sep  2020, 11:00",Motherwell - Rangers,,Scotland
1600882312-231,https://www.oddsportal.com/soccer/england/championship/,Derby - Blackburn,https://www.oddsportal.com/soccer/england/championship/derby-blackburn-jPReWGZC/,Championship,"Saturday, 26 Sep  2020, 14:00",Derby - Blackburn,,England
1600881444-80,https://www.oddsportal.com/soccer/russia/premier-league/,Rubin Kazan - Akhmat Grozny,https://www.oddsportal.com/soccer/russia/premier-league/rubin-kazan-akhmat-grozny-d6dEuEZp/,Premier League,"Sunday, 04 Oct  2020, 13:30",Rubin Kazan - Akhmat Grozny,,Russia
1600881787-140,https://www.oddsportal.com/soccer/netherlands/eredivisie/,Heerenveen - Venlo,https://www.oddsportal.com/soccer/netherlands/eredivisie/heerenveen-venlo-ENv4yx4H/,Eredivisie,"Saturday, 26 Sep  2020, 18:00",Heerenveen - Venlo,,Netherlands
1600882362-239,https://www.oddsportal.com/soccer/england/premier-league/,Southampton - West Brom,https://www.oddsportal.com/soccer/england/premier-league/southampton-west-brom-0j3RLP6K/,Premier League,"Saturday, 03 Oct  2020, 14:00",Southampton - West Brom,,England
1600882220-214,https://www.oddsportal.com/soccer/england/championship/,Swansea - Millwall,https://www.oddsportal.com/soccer/england/championship/swansea-millwall-0b39B42h/,Championship,"Saturday, 03 Oct  2020, 14:00",Swansea - Millwall,,England
1600881323-59,https://www.oddsportal.com/soccer/spain/laliga/,Villarreal - Alaves,https://www.oddsportal.com/soccer/spain/laliga/villarreal-alaves-d6l1OlRp/,LaLiga,"Wednesday, 30 Sep  2020, 15:00",Villarreal - Alaves,,Spain
1600881869-154,https://www.oddsportal.com/soccer/germany/bundesliga/,Hoffenheim - Bayern Munich,https://www.oddsportal.com/soccer/germany/bundesliga/hoffenheim-bayern-munich-lvpJu2UQ/,Bundesliga,"Sunday, 27 Sep  2020, 13:30",Hoffenheim - Bayern Munich,,Germany
1600881693-124,https://www.oddsportal.com/soccer/usa/mls/,Atlanta Utd - FC Dallas,https://www.oddsportal.com/soccer/usa/mls/atlanta-united-fc-dallas-hWAOQcI6/,MLS,"Today, 23 Sep  2020, 23:00",Atlanta Utd - FC Dallas,,USA
1600881885-157,https://www.oddsportal.com/soccer/germany/bundesliga/,Bayer Leverkusen - RB Leipzig,https://www.oddsportal.com/soccer/germany/bundesliga/bayer-leverkusen-rb-leipzig-AmoFtrFK/,Bundesliga,"Saturday, 26 Sep  2020, 13:30",Bayer Leverkusen - RB Leipzig,,Germany
1600881923-163,https://www.oddsportal.com/soccer/portugal/primeira-liga/,Rio Ave - Vitoria Guimaraes,https://www.oddsportal.com/soccer/portugal/primeira-liga/rio-ave-vitoria-guimaraes-8rFJAC7p/,Primeira Liga,"Sunday, 27 Sep  2020, 20:00",Rio Ave - Vitoria Guimaraes,,Portugal
1600881797-142,https://www.oddsportal.com/soccer/netherlands/eredivisie/,Zwolle - Sparta Rotterdam,https://www.oddsportal.com/soccer/netherlands/eredivisie/zwolle-sparta-rotterdam-h8jewbZ4/,Eredivisie,"Saturday, 26 Sep  2020, 14:30",Zwolle - Sparta Rotterdam,,Netherlands
