web-scraper-order,web-scraper-start-url,Games,Games-href,League,Date,Teams,Warning,Country
1601551727-223,https://www.oddsportal.com/soccer/england/premier-league/,Newcastle - Manchester Utd,https://www.oddsportal.com/soccer/england/premier-league/newcastle-utd-manchester-united-MTZMAabJ/,Premier League,"Saturday, 17 Oct  2020, 14:00",Newcastle - Manchester Utd,,England
1601551674-214,https://www.oddsportal.com/soccer/england/championship/,Reading - Watford,https://www.oddsportal.com/soccer/england/championship/reading-watford-j5VHfiIU/,Championship,"Saturday, 03 Oct  2020, 14:00",Reading - Watford,,England
1601551332-153,https://www.oddsportal.com/soccer/portugal/primeira-liga/,Nacional - Belenenses,https://www.oddsportal.com/soccer/portugal/primeira-liga/nacional-belenenses-lvh6YFai/,Primeira Liga,"Sunday, 04 Oct  2020, 14:30",Nacional - Belenenses,,Portugal
1601550858-70,https://www.oddsportal.com/soccer/spain/laliga/,Alaves - Ath Bilbao,https://www.oddsportal.com/soccer/spain/laliga/alaves-ath-bilbao-KbfLnP92/,LaLiga,"Sunday, 04 Oct  2020, 12:00",Alaves - Ath Bilbao,,Spain
1601551797-236,https://www.oddsportal.com/soccer/england/premier-league/,Newcastle - Burnley,https://www.oddsportal.com/soccer/england/premier-league/newcastle-utd-burnley-25pOM5iE/,Premier League,"Saturday, 03 Oct  2020, 19:00",Newcastle - Burnley,,England
1601551530-188,https://www.oddsportal.com/soccer/france/ligue-1/,Rennes - Reims,https://www.oddsportal.com/soccer/france/ligue-1/rennes-reims-AV3Qgt4f/,Ligue 1,"Sunday, 04 Oct  2020, 15:00",Rennes - Reims,,France
1601551082-109,https://www.oddsportal.com/soccer/usa/mls/,Toronto FC - Philadelphia Union,https://www.oddsportal.com/soccer/usa/mls/toronto-fc-philadelphia-union-I7eckwp2/,MLS,"Saturday, 03 Oct  2020, 23:30",Toronto FC - Philadelphia Union,,USA
1601551135-118,https://www.oddsportal.com/soccer/netherlands/eredivisie/,Feyenoord - Sparta Rotterdam,https://www.oddsportal.com/soccer/netherlands/eredivisie/feyenoord-sparta-rotterdam-xYXuonXr/,Eredivisie,"Sunday, 18 Oct  2020, 10:15",Feyenoord - Sparta Rotterdam,,Netherlands
1601551247-138,https://www.oddsportal.com/soccer/germany/bundesliga/,Hertha Berlin - Stuttgart,https://www.oddsportal.com/soccer/germany/bundesliga/hertha-berlin-vfb-stuttgart-fDOekCch/,Bundesliga,"Saturday, 17 Oct  2020, 13:30",Hertha Berlin - Stuttgart,,Germany
1601551231-135,https://www.oddsportal.com/soccer/germany/bundesliga/,Arminia Bielefeld - Bayern Munich,https://www.oddsportal.com/soccer/germany/bundesliga/arminia-bielefeld-bayern-munich-2qFGplCN/,Bundesliga,"Saturday, 17 Oct  2020, 16:30",Arminia Bielefeld - Bayern Munich,,Germany
1601551642-208,https://www.oddsportal.com/soccer/england/championship/,Derby - Watford,https://www.oddsportal.com/soccer/england/championship/derby-watford-zXZalACe/,Championship,"Friday, 16 Oct  2020, 18:45",Derby - Watford,,England
1601551562-194,https://www.oddsportal.com/soccer/france/ligue-1/,Nice - Nantes,https://www.oddsportal.com/soccer/france/ligue-1/nice-nantes-G84MfMll/,Ligue 1,"Saturday, 03 Oct  2020, 19:00",Nice - Nantes,,France
1601551013-97,https://www.oddsportal.com/soccer/scotland/premiership/,Kilmarnock - Motherwell,https://www.oddsportal.com/soccer/scotland/premiership/kilmarnock-motherwell-juSc3Fa6/,Premiership,"Tomorrow, 02 Oct  2020, 18:45",Kilmarnock - Motherwell,,Scotland
1601551396-164,https://www.oddsportal.com/soccer/italy/serie-a/,Sampdoria - Lazio,https://www.oddsportal.com/soccer/italy/serie-a/sampdoria-lazio-2y3jhj11/,Serie A,"Saturday, 17 Oct  2020, 16:00",Sampdoria - Lazio,,Italy
1601551658-211,https://www.oddsportal.com/soccer/england/championship/,Swansea - Millwall,https://www.oddsportal.com/soccer/england/championship/swansea-millwall-0b39B42h/,Championship,"Saturday, 03 Oct  2020, 14:00",Swansea - Millwall,,England
1601551279-144,https://www.oddsportal.com/soccer/germany/bundesliga/,Werder Bremen - Arminia Bielefeld,https://www.oddsportal.com/soccer/germany/bundesliga/werder-bremen-arminia-bielefeld-GCOtYASH/,Bundesliga,"Saturday, 03 Oct  2020, 13:30",Werder Bremen - Arminia Bielefeld,,Germany
1601550991-94,https://www.oddsportal.com/soccer/russia/premier-league/,Ufa - R. Volgograd,https://www.oddsportal.com/soccer/russia/premier-league/ufa-r-volgograd-YNuc4cCo/,Premier League,"Saturday, 03 Oct  2020, 11:00",Ufa - R. Volgograd,,Russia
1601551125-116,https://www.oddsportal.com/soccer/netherlands/eredivisie/,FC Emmen - Sittard,https://www.oddsportal.com/soccer/netherlands/eredivisie/fc-emmen-sittard-KdNpp6nk/,Eredivisie,"Sunday, 18 Oct  2020, 12:30",FC Emmen - Sittard,,Netherlands
1601551428-170,https://www.oddsportal.com/soccer/italy/serie-a/,Lazio - Inter,https://www.oddsportal.com/soccer/italy/serie-a/lazio-inter-GKv9uDHe/,Serie A,"Sunday, 04 Oct  2020, 13:00",Lazio - Inter,,Italy
1601551519-186,https://www.oddsportal.com/soccer/france/ligue-1/,Angers - Metz,https://www.oddsportal.com/soccer/france/ligue-1/angers-metz-plI86Jm0/,Ligue 1,"Saturday, 17 Oct  2020, 18:00",Angers - Metz,,France
1601551754-228,https://www.oddsportal.com/soccer/england/premier-league/,Crystal Palace - Brighton,https://www.oddsportal.com/soccer/england/premier-league/crystal-palace-brighton-Ecq2FNql/,Premier League,"Saturday, 17 Oct  2020, 14:00",Crystal Palace - Brighton,,England
1601551684-216,https://www.oddsportal.com/soccer/england/championship/,Middlesbrough - Barnsley,https://www.oddsportal.com/soccer/england/championship/middlesbrough-barnsley-2NNa0elg/,Championship,"Saturday, 03 Oct  2020, 14:00",Middlesbrough - Barnsley,,England
1601551567-195,https://www.oddsportal.com/soccer/france/ligue-1/,Lens - St Etienne,https://www.oddsportal.com/soccer/france/ligue-1/lens-st-etienne-tYpbfhw8/,Ligue 1,"Saturday, 03 Oct  2020, 15:00",Lens - St Etienne,,France
1601551141-119,https://www.oddsportal.com/soccer/netherlands/eredivisie/,AZ Alkmaar - Venlo,https://www.oddsportal.com/soccer/netherlands/eredivisie/az-alkmaar-venlo-0CtEkSOR/,Eredivisie,"Saturday, 17 Oct  2020, 19:00",AZ Alkmaar - Venlo,,Netherlands
1601551300-148,https://www.oddsportal.com/soccer/germany/bundesliga/,FC Koln - B. Monchengladbach,https://www.oddsportal.com/soccer/germany/bundesliga/1-fc-koln-b-monchengladbach-xMPxZjDB/,Bundesliga,"Saturday, 03 Oct  2020, 13:30",FC Koln - B. Monchengladbach,,Germany
1601551498-182,https://www.oddsportal.com/soccer/france/ligue-1/,Monaco - Montpellier,https://www.oddsportal.com/soccer/france/ligue-1/monaco-montpellier-bipLFNQD/,Ligue 1,"Saturday, 17 Oct  2020, 18:00",Monaco - Montpellier,,France
1601550954-87,https://www.oddsportal.com/soccer/russia/premier-league/,Dynamo Moscow - Krasnodar,https://www.oddsportal.com/soccer/russia/premier-league/dynamo-moscow-krasnodar-48HZndsB/,Premier League,"Sunday, 04 Oct  2020, 17:00",Dynamo Moscow - Krasnodar,,Russia
1601551594-199,https://www.oddsportal.com/soccer/england/championship/,Swansea - Huddersfield,https://www.oddsportal.com/soccer/england/championship/swansea-huddersfield-6e6H9rX4/,Championship,"Saturday, 17 Oct  2020, 14:00",Swansea - Huddersfield,,England
1601551717-221,https://www.oddsportal.com/soccer/england/premier-league/,West Brom - Burnley,https://www.oddsportal.com/soccer/england/premier-league/west-brom-burnley-KKDRDVPt/,Premier League,"Saturday, 17 Oct  2020, 14:00",West Brom - Burnley,,England
1601551743-226,https://www.oddsportal.com/soccer/england/premier-league/,Leeds - Wolves,https://www.oddsportal.com/soccer/england/premier-league/leeds-wolves-zDXAD1E0/,Premier League,"Saturday, 17 Oct  2020, 14:00",Leeds - Wolves,,England
1601551679-215,https://www.oddsportal.com/soccer/england/championship/,Nottingham - Bristol City,https://www.oddsportal.com/soccer/england/championship/nottingham-bristol-city-Uks9dDmI/,Championship,"Saturday, 03 Oct  2020, 14:00",Nottingham - Bristol City,,England
1601551663-212,https://www.oddsportal.com/soccer/england/championship/,Sheffield Wed - QPR,https://www.oddsportal.com/soccer/england/championship/sheffield-wed-qpr-MwJZCYXb/,Championship,"Saturday, 03 Oct  2020, 14:00",Sheffield Wed - QPR,,England
1601551220-133,https://www.oddsportal.com/soccer/germany/bundesliga/,FC Koln - Eintracht Frankfurt,https://www.oddsportal.com/soccer/germany/bundesliga/1-fc-koln-eintracht-frankfurt-tUQ7nAsB/,Bundesliga,"Sunday, 18 Oct  2020, 13:30",FC Koln - Eintracht Frankfurt,,Germany
1601551749-227,https://www.oddsportal.com/soccer/england/premier-league/,Everton - Liverpool,https://www.oddsportal.com/soccer/england/premier-league/everton-liverpool-hlr6Esaf/,Premier League,"Saturday, 17 Oct  2020, 14:00",Everton - Liverpool,,England
1601551653-210,https://www.oddsportal.com/soccer/england/championship/,Brentford - Preston,https://www.oddsportal.com/soccer/england/championship/brentford-preston-rJjZqz4C/,Championship,"Sunday, 04 Oct  2020, 13:00",Brentford - Preston,,England
1601551284-145,https://www.oddsportal.com/soccer/germany/bundesliga/,Stuttgart - Bayer Leverkusen,https://www.oddsportal.com/soccer/germany/bundesliga/vfb-stuttgart-bayer-leverkusen-byEoXUsO/,Bundesliga,"Saturday, 03 Oct  2020, 13:30",Stuttgart - Bayer Leverkusen,,Germany
1601551236-136,https://www.oddsportal.com/soccer/germany/bundesliga/,Mainz - Bayer Leverkusen,https://www.oddsportal.com/soccer/germany/bundesliga/mainz-bayer-leverkusen-SQM3mjS4/,Bundesliga,"Saturday, 17 Oct  2020, 13:30",Mainz - Bayer Leverkusen,,Germany
1601551188-128,https://www.oddsportal.com/soccer/netherlands/eredivisie/,Venlo - Den Haag,https://www.oddsportal.com/soccer/netherlands/eredivisie/venlo-den-haag-Srfrx9fS/,Eredivisie,"Saturday, 03 Oct  2020, 18:00",Venlo - Den Haag,,Netherlands
1601550900-78,https://www.oddsportal.com/soccer/spain/laliga/,Sevilla - Levante,https://www.oddsportal.com/soccer/spain/laliga/sevilla-levante-Qwngqj3A/,LaLiga,"Today, 01 Oct  2020, 17:00",Sevilla - Levante,,Spain
1601551807-238,https://www.oddsportal.com/soccer/england/premier-league/,Everton - Brighton,https://www.oddsportal.com/soccer/england/premier-league/everton-brighton-Eq4T0OUf/,Premier League,"Saturday, 03 Oct  2020, 14:00",Everton - Brighton,,England
1601551008-96,https://www.oddsportal.com/soccer/scotland/premiership/,St Johnstone - Celtic,https://www.oddsportal.com/soccer/scotland/premiership/st-johnstone-celtic-CfG61gUI/,Premiership,"Sunday, 04 Oct  2020, 11:00",St Johnstone - Celtic,,Scotland
1601551802-237,https://www.oddsportal.com/soccer/england/premier-league/,Leeds - Manchester City,https://www.oddsportal.com/soccer/england/premier-league/leeds-manchester-city-hz3Xarp1/,Premier League,"Saturday, 03 Oct  2020, 16:30",Leeds - Manchester City,,England
1601551733-224,https://www.oddsportal.com/soccer/england/premier-league/,Manchester City - Arsenal,https://www.oddsportal.com/soccer/england/premier-league/manchester-city-arsenal-rwyJBuqD/,Premier League,"Saturday, 17 Oct  2020, 14:00",Manchester City - Arsenal,,England
1601551423-169,https://www.oddsportal.com/soccer/italy/serie-a/,Parma - Verona,https://www.oddsportal.com/soccer/italy/serie-a/parma-verona-8ERf3G92/,Serie A,"Sunday, 04 Oct  2020, 13:00",Parma - Verona,,Italy
1601551066-106,https://www.oddsportal.com/soccer/usa/mls/,Minnesota United - FC Cincinnati,https://www.oddsportal.com/soccer/usa/mls/minnesota-united-fc-cincinnati-MJ89ZZmm/,MLS,"Sunday, 04 Oct  2020, 00:00",Minnesota United - FC Cincinnati,,USA
1601550965-89,https://www.oddsportal.com/soccer/russia/premier-league/,Sochi - FK Rostov,https://www.oddsportal.com/soccer/russia/premier-league/pfc-sochi-fk-rostov-fcAnpfRT/,Premier League,"Sunday, 04 Oct  2020, 13:30",Sochi - FK Rostov,,Russia
1601551599-200,https://www.oddsportal.com/soccer/england/championship/,Rotherham - Norwich,https://www.oddsportal.com/soccer/england/championship/rotherham-norwich-UkJ28V3R/,Championship,"Saturday, 17 Oct  2020, 14:00",Rotherham - Norwich,,England
1601550949-86,https://www.oddsportal.com/soccer/russia/premier-league/,Arsenal Tula - Ural,https://www.oddsportal.com/soccer/russia/premier-league/arsenal-tula-ural-niZPcDeT/,Premier League,"Saturday, 17 Oct  2020, 13:00",Arsenal Tula - Ural,,Russia
1601551306-149,https://www.oddsportal.com/soccer/germany/bundesliga/,Union Berlin - Mainz,https://www.oddsportal.com/soccer/germany/bundesliga/union-berlin-mainz-8nLYZWc5/,Bundesliga,"Tomorrow, 02 Oct  2020, 18:30",Union Berlin - Mainz,,Germany
1601551268-142,https://www.oddsportal.com/soccer/germany/bundesliga/,Wolfsburg - Augsburg,https://www.oddsportal.com/soccer/germany/bundesliga/wolfsburg-augsburg-nXWPygTh/,Bundesliga,"Sunday, 04 Oct  2020, 13:30",Wolfsburg - Augsburg,,Germany
1601551258-140,https://www.oddsportal.com/soccer/germany/bundesliga/,Augsburg - RB Leipzig,https://www.oddsportal.com/soccer/germany/bundesliga/augsburg-rb-leipzig-OhGCoUdH/,Bundesliga,"Saturday, 17 Oct  2020, 13:30",Augsburg - RB Leipzig,,Germany
1601551588-198,https://www.oddsportal.com/soccer/england/championship/,Wycombe - Millwall,https://www.oddsportal.com/soccer/england/championship/wycombe-millwall-ENfZ29Rl/,Championship,"Saturday, 17 Oct  2020, 14:00",Wycombe - Millwall,,England
1601550863-71,https://www.oddsportal.com/soccer/spain/laliga/,Osasuna - Celta Vigo,https://www.oddsportal.com/soccer/spain/laliga/osasuna-celta-vigo-hh2ZOLHe/,LaLiga,"Sunday, 04 Oct  2020, 10:00",Osasuna - Celta Vigo,,Spain
1601551637-207,https://www.oddsportal.com/soccer/england/championship/,Barnsley - Bristol City,https://www.oddsportal.com/soccer/england/championship/barnsley-bristol-city-jJAj9jXN/,Championship,"Saturday, 17 Oct  2020, 14:00",Barnsley - Bristol City,,England
1601551444-173,https://www.oddsportal.com/soccer/italy/serie-a/,Udinese - AS Roma,https://www.oddsportal.com/soccer/italy/serie-a/udinese-as-roma-4tL31fvF/,Serie A,"Saturday, 03 Oct  2020, 18:45",Udinese - AS Roma,,Italy
1601551391-163,https://www.oddsportal.com/soccer/italy/serie-a/,Crotone - Juventus,https://www.oddsportal.com/soccer/italy/serie-a/crotone-juventus-C6OBaY8R/,Serie A,"Saturday, 17 Oct  2020, 18:45",Crotone - Juventus,,Italy
1601551781-233,https://www.oddsportal.com/soccer/england/premier-league/,Arsenal - Sheffield Utd,https://www.oddsportal.com/soccer/england/premier-league/arsenal-sheffield-utd-0xOh7QiR/,Premier League,"Sunday, 04 Oct  2020, 13:00",Arsenal - Sheffield Utd,,England
1601551669-213,https://www.oddsportal.com/soccer/england/championship/,Rotherham - Huddersfield,https://www.oddsportal.com/soccer/england/championship/rotherham-huddersfield-tUAREf3n/,Championship,"Saturday, 03 Oct  2020, 14:00",Rotherham - Huddersfield,,England
1601551455-175,https://www.oddsportal.com/soccer/italy/serie-a/,Sassuolo - Crotone,https://www.oddsportal.com/soccer/italy/serie-a/sassuolo-crotone-MHVb2zP8/,Serie A,"Saturday, 03 Oct  2020, 13:00",Sassuolo - Crotone,,Italy
