web-scraper-order,web-scraper-start-url,Games,Games-href,League,Date,Teams,Warning
1599412580-106,https://www.oddsportal.com/soccer/portugal/primeira-liga/,Famalicao - Benfica,https://www.oddsportal.com/soccer/portugal/primeira-liga/famalicao-benfica-21tIPoHJ/,Primeira Liga,"Friday, 18 Sep  2020, 18:00",Famalicao - Benfica,
1599412337-79,https://www.oddsportal.com/soccer/netherlands/eredivisie/,Utrecht - AZ Alkmaar,https://www.oddsportal.com/soccer/netherlands/eredivisie/utrecht-az-alkmaar-p8zrD1La/,Eredivisie,"Saturday, 12 Sep  2020, 14:30",Utrecht - AZ Alkmaar,
1599412253-70,https://www.oddsportal.com/soccer/usa/mls/,Houston Dynamo - Sporting Kansas City,https://www.oddsportal.com/soccer/usa/mls/houston-dynamo-sporting-kansas-city-CEpVUB2I/,MLS,"Today, 06 Sep  2020, 00:00",Houston Dynamo - Sporting Kansas City,Final result
1599411657-4,https://www.oddsportal.com/soccer/spain/laliga/,Huesca - Cadiz CF,https://www.oddsportal.com/soccer/spain/laliga/huesca-cadiz-rLwTLe5n/,LaLiga,"Sunday, 20 Sep  2020, 14:00",Huesca - Cadiz CF,
1599412791-129,https://www.oddsportal.com/soccer/france/ligue-1/,Paris SG - Marseille,https://www.oddsportal.com/soccer/france/ligue-1/paris-sg-marseille-nHjjI1UL/,Ligue 1,"Sunday, 13 Sep  2020, 19:00",Paris SG - Marseille,
1599412942-146,https://www.oddsportal.com/soccer/england/championship/,Bristol City - Coventry,https://www.oddsportal.com/soccer/england/championship/bristol-city-coventry-ngnYKSUq/,Championship,"Saturday, 12 Sep  2020, 14:00",Bristol City - Coventry,
1599411674-6,https://www.oddsportal.com/soccer/spain/laliga/,Villarreal - Eibar,https://www.oddsportal.com/soccer/spain/laliga/villarreal-eibar-CEpqID4B/,LaLiga,"Saturday, 19 Sep  2020, 14:00",Villarreal - Eibar,
1599412639-112,https://www.oddsportal.com/soccer/italy/serie-a/,Sassuolo - Cagliari,https://www.oddsportal.com/soccer/italy/serie-a/sassuolo-cagliari-xYwgdJiD/,Serie A,"Sunday, 20 Sep  2020, 16:00",Sassuolo - Cagliari,
1599412379-83,https://www.oddsportal.com/soccer/germany/bundesliga/,Mainz - Stuttgart,https://www.oddsportal.com/soccer/germany/bundesliga/mainz-vfb-stuttgart-fuPcYJM0/,Bundesliga,"Saturday, 26 Sep  2020, 13:30",Mainz - Stuttgart,
1599411817-22,https://www.oddsportal.com/soccer/europe/champions-league/,Dyn. Kyiv (Ukr)  - AZ Alkmaar (Ned),https://www.oddsportal.com/soccer/europe/champions-league/dynamo-kyiv-az-alkmaar-UkZH2WSc/,Champions League,"Tuesday, 15 Sep  2020, 17:00",Dyn. Kyiv (Ukr)  - AZ Alkmaar (Ned),
