AAD,ABS,Time,ACCC,ACorn,AF,AOff,AP,APass,AR,AS,ASOT,AST,ASaves,AT,ATack,AY,Attendance,Date,FTAG,FTHG,GameID,HAD,HBS,HCCC,HCorn,HF,HOff,HP,HPass,HR,HS,HSOT,HST,HSaves,HT,HTack,HY,League
38.9,3,1115,0,1,10,0,29.8,69.9,0,7,3,1,1,Sparta Rotterdam,60.0,0,"20,624.",2020-03-08,1,5,408975,61.1,2,3,7,5,1,70.2,86.3,0,15,7,6,0,FC Utrecht,58.3,0, Dutch Eredivisie
41.2,2,1830,0,4,18,1,56.8,81.8,0,14,7,5,2,Genoa,62.5,2,,2020-07-16,0,3,419402,58.8,3,2,8,20,1,43.2,75.9,0,12,4,5,5,Torino,55.0,2,Serie_A
47.4,1,1845,1,6,13,1,43.9,78.5,0,15,6,8,4,Vitesse Arnhem,66.7,2,"13,088.",2020-02-29,3,4,408963,52.6,3,2,7,17,3,56.1,82.1,0,15,4,8,5,PEC Zwolle,66.7,0, Dutch Eredivisie
76.2,1,1330,1,2,19,3,35.0,73.3,0,9,7,1,7,PEC Zwolle,53.3,2,"15,306.",2020-02-23,0,2,408952,23.8,3,2,7,11,2,65.0,82.9,0,17,5,9,1,AZ Alkmaar,68.2,0, Dutch Eredivisie
53.8,4,1900,1,5,9,3,50.6,76.4,0,16,9,3,1,Groningen,64.7,4,"13,607.",2020-02-28,1,3,408960,46.2,0,2,5,10,3,49.4,74.8,0,9,5,4,2,Willem II,72.2,0, Dutch Eredivisie
51.6,4,1545,1,9,9,0,73.5,87.1,0,12,5,3,3,Emmen,55.6,2,"10,600.",2020-03-01,1,5,408968,48.4,2,3,2,8,0,26.5,62.9,0,12,3,7,2,Sparta Rotterdam,40.0,0, Dutch Eredivisie
48.4,4,1945,1,8,9,4,39.4,72.6,0,20,5,11,6,Heerenveen,66.7,1,"27,000.",2020-02-29,3,2,408962,51.6,1,1,8,8,0,60.6,82.0,0,14,5,8,8,FC Twente,55.6,0, Dutch Eredivisie
65.2,6,1115,4,2,8,4,46.6,72.3,0,13,5,2,2,FC Twente,71.4,2,"18,491.",2020-02-23,1,2,408956,34.8,2,0,7,12,2,53.4,79.4,0,13,7,4,1,FC Utrecht,58.3,2, Dutch Eredivisie
55.6,1,1845,0,4,11,2,58.0,80.6,0,7,4,2,3,Fortuna Sittard,61.1,3,"7,115.",2020-02-29,0,0,408964,44.4,5,0,2,16,1,42.0,74.0,0,13,5,3,2,VVV-Venlo,57.1,2, Dutch Eredivisie
40.6,1,1900,5,1,10,1,38.2,77.4,0,12,5,6,5,AZ Alkmaar,52.2,2,"52,707.",2020-03-01,2,0,408965,59.4,6,0,9,4,1,61.8,86.5,0,20,9,5,4,Ajax,50.0,0, Dutch Eredivisie
50.0,4,1730,0,5,20,1,58.5,74.3,0,12,5,3,4,Heracles Almelo,58.3,2,"11,207.",2020-02-29,0,0,408961,50.0,3,1,4,15,0,41.5,62.6,1,9,2,4,3,ADO Den Haag,61.1,1, Dutch Eredivisie
38.5,4,1730,3,12,13,4,50.3,67.9,0,17,5,8,4,Real Valladolid,72.7,0,,2020-07-16,1,3,415995,61.5,1,1,3,19,0,49.7,70.1,0,13,5,7,8,Eibar,50.0,4,La_Liga
52.4,4,1830,4,8,16,1,61.1,89.9,0,19,9,6,4,Roma,61.1,2,,2020-07-11,3,0,419384,47.6,2,1,3,19,2,38.9,78.5,0,11,5,4,4,Brescia,66.7,1,Serie_A
42.9,11,200,0,22,11,1,67.8,88.7,0,30,8,11,0,San Jose Earthquakes,35.7,3,,2020-07-16,4,3,425340,57.1,2,1,4,9,2,32.2,75.4,0,7,3,2,8,Vancouver Whitecaps,33.3,1, American MLS League
57.1,5,2045,0,4,18,0,50.8,86.9,0,13,6,2,3,Atalanta,57.9,2,,2020-07-11,2,2,419389,42.9,2,1,2,11,1,49.2,86.7,0,9,2,5,0,Juventus,58.3,3,Serie_A
54.5,7,1615,2,5,7,1,63.3,87.2,0,18,8,3,0,Sassuolo,60.0,2,,2020-07-11,2,1,419390,45.5,3,0,1,13,2,36.7,78.9,0,10,6,1,1,Lazio,60.0,4,Serie_A
43.6,3,1400,0,4,17,2,47.9,77.4,0,8,3,2,3,Bordeaux,50.0,3,"24,912.",2020-03-08,1,1,408641,56.4,5,1,7,14,1,52.1,80.4,1,11,2,4,1,St Etienne,66.7,2,Ligue_1
30.8,3,130,1,7,13,1,44.0,75.7,0,9,5,1,3,Houston Dynamo,66.7,5,"21,188.",2020-03-08,0,4,421634,69.2,6,1,5,12,3,56.0,82.6,0,17,4,7,1,Sporting Kansas City,50.0,2, American MLS League
43.8,4,100,2,8,10,1,37.8,74.4,0,18,4,10,4,Minnesota United FC,44.0,1,"12,223.",2020-03-08,5,2,421894,56.3,6,1,6,7,1,62.2,84.3,0,20,8,6,5,San Jose Earthquakes,58.8,0, American MLS League
42.1,5,1200,1,3,16,1,42.3,80.4,0,14,5,4,2,FC Cincinnati,37.5,4,"69,301.",2020-03-08,1,2,421631,57.9,0,3,2,9,4,57.7,84.8,0,8,4,4,3,Atlanta United FC,36.4,1, American MLS League
76.0,2,1400,0,3,10,1,40.5,77.9,0,8,2,4,7,Philadelphia Union,63.2,3,,2020-07-09,1,0,425322,24.0,4,3,8,9,2,59.5,87.5,0,17,6,7,3,New York City FC,55.6,1, American MLS League
36.8,3,200,0,9,10,1,62.2,89.6,0,16,5,8,6,San Jose Earthquakes,80.0,1,,2020-07-11,0,0,425326,63.2,4,1,1,10,2,37.8,81.8,0,12,2,6,8,Seattle Sounders FC,60.0,1, American MLS League
63.6,5,100,1,9,6,0,44.4,86.3,0,19,10,4,2,New England Revolution,45.0,1,,2020-07-10,1,0,425325,36.4,3,1,8,12,2,55.6,84.4,0,7,2,2,3,Montreal Impact,73.3,1, American MLS League
44.7,0,100,2,2,12,0,41.9,74.4,0,8,7,1,1,Inter Miami CF,73.3,2,,2020-07-09,1,2,425323,55.3,2,3,3,17,1,58.1,81.4,0,10,5,3,0,Orlando City SC,50.0,3, American MLS League
64.3,3,420,2,6,6,2,62.1,91.1,0,13,4,6,3,Columbus Crew,72.7,1,,2020-07-12,4,0,425329,35.7,2,0,1,14,1,37.9,85.2,0,6,1,3,2,FC Cincinnati,100.0,2, American MLS League
71.0,2,230,1,4,11,7,37.5,69.2,0,9,2,5,8,Philadelphia Union,60.0,4,"22,112.",2020-03-09,3,3,421896,29.0,5,4,12,8,2,62.5,81.9,0,21,5,11,2,Los Angeles Football Club,72.0,1, American MLS League
57.1,3,330,2,2,12,0,48.3,82.9,1,12,3,6,3,Portland Timbers,75.0,1,,2020-07-14,2,1,425333,42.9,4,1,2,9,4,51.7,86.7,0,13,5,4,4,Los Angeles Galaxy,36.4,0, American MLS League
40.5,0,100,4,4,13,2,30.9,60.3,0,6,2,4,4,New York Red Bulls,61.5,1,,2020-07-12,1,0,425328,59.5,1,2,4,11,4,69.1,83.2,0,14,9,4,3,Atlanta United FC,54.5,2, American MLS League
40.0,2,100,2,0,9,2,28.5,69.5,0,9,2,5,3,Houston Dynamo,42.9,2,,2020-07-14,3,3,425334,60.0,9,3,8,13,0,71.5,84.7,0,23,8,6,2,Los Angeles Football Club,76.9,1, American MLS League
64.7,0,1400,2,5,11,0,33.6,78.0,1,8,3,5,5,D.C. United,68.8,2,,2020-07-13,2,2,425327,35.3,4,3,4,11,2,66.4,89.8,0,17,6,7,3,Toronto FC,53.8,0, American MLS League
54.2,3,1400,1,2,11,4,60.7,90.3,0,7,3,1,3,Seattle Sounders FC,66.7,3,,2020-07-14,1,2,426049,45.8,3,2,5,10,0,39.3,81.7,0,10,2,5,0,Chicago Fire,75.0,1, American MLS League
50.0,1,330,1,4,8,1,53.2,81.2,0,11,6,4,4,Colorado Rapids,62.5,3,,2020-07-13,0,2,425330,50.0,2,1,5,14,0,46.8,80.4,0,10,2,6,4,Real Salt Lake,43.8,3, American MLS League
53.6,2,330,2,5,16,2,55.2,78.5,1,10,4,4,1,Inter Miami CF,37.5,1,,2020-07-15,1,2,425349,46.4,3,0,2,19,2,44.8,74.5,0,8,2,3,3,Philadelphia Union,70.6,1, American MLS League
40.0,4,100,4,2,10,1,48.3,82.2,0,12,1,7,6,Orlando City SC,44.4,4,,2020-07-15,3,1,425335,60.0,4,3,13,12,1,51.7,82.2,0,26,15,7,4,New York City FC,38.9,3, American MLS League
66.7,5,1400,1,5,19,0,53.0,88.8,0,12,4,3,3,FC Cincinnati,81.8,3,,2020-07-16,1,0,425338,33.3,1,0,4,12,1,47.0,91.3,2,8,4,3,2,Atlanta United FC,66.7,3, American MLS League
50.0,1,100,1,3,12,3,37.7,74.4,0,9,6,2,2,Minnesota United FC,65.0,3,,2020-07-13,2,1,425331,50.0,5,1,9,14,1,62.3,83.5,1,13,5,3,1,Sporting Kansas City,66.7,2, American MLS League
53.5,1,1930,1,3,16,0,32.1,68.6,0,8,6,1,3,Cologne,78.6,2,,2020-06-17,1,3,413013,46.5,0,3,7,12,3,67.9,85.2,0,13,7,6,0,Bayer Leverkusen,75.0,2,Bundesliga
40.5,0,1730,2,3,16,7,36.1,74.0,1,7,2,5,2,Schalke,76.9,3,,2020-06-17,1,2,413016,59.5,3,4,5,9,1,63.9,83.6,0,14,7,4,3,Eintracht Frankfurt,64.7,3,Bundesliga
67.9,3,1430,1,4,16,0,50.7,77.9,0,10,2,5,2,Wolfsburg,85.2,3,,2020-06-20,4,1,413024,32.1,3,0,2,12,0,49.3,80.9,0,11,5,3,1,Schalke,55.2,4,Bundesliga
41.7,5,1430,1,8,15,3,60.8,80.8,0,18,7,6,8,Werder Bremen,57.1,3,,2020-06-20,1,3,413022,58.3,2,1,7,13,2,39.2,78.9,0,20,6,12,5,Mainz,53.8,2,Bundesliga
37.5,3,1430,5,5,13,4,50.8,86.6,0,22,8,11,0,M'gladbach,60.7,2,,2020-06-20,3,1,413028,62.5,4,1,3,11,1,49.2,84.1,1,11,6,1,8,SC Paderborn 07,57.1,2,Bundesliga
31.8,1,1430,5,1,7,3,52.8,85.9,0,11,3,7,4,Borussia Dortmund,57.9,3,,2020-06-20,2,0,413027,68.2,4,1,4,13,0,47.2,87.3,0,16,8,4,5,RB Leipzig,52.6,3,Bundesliga
60.0,4,1430,1,3,12,2,42.9,72.8,0,11,4,3,1,FC Augsburg,69.2,0,,2020-06-20,1,1,413025,40.0,2,0,5,14,0,57.1,80.9,0,8,4,2,2,Fortuna Dusseldorf,62.5,1,Bundesliga
32.3,1,1430,2,2,8,2,39.0,79.6,0,11,7,3,6,SC Freiburg,84.6,0,,2020-06-20,1,3,413023,67.7,6,1,8,13,1,61.0,86.6,0,23,8,9,2,Bayern Munich,50.0,0,Bundesliga
