HT,AT,League,Date,FTHG,FTAG,HxG,AxG,HShots,AShots,HST,AST,HDEEP,ADEEP,HPPDA,APPDA,HxPTS,AxPTS
Celta Vigo,Barcelona,La_Liga,2020-10-01,0,3,0.57,0.93,10,7,3,4,5,7,7.65,11.28,0.92,1.72
Ural,CSKA Moscow,RFPL,2020-10-03,0,2,0.31,0.97,8,12,1,3,6,12,9.35,28.22,0.68,1.96
Nice,Nantes,Ligue_1,2020-10-03,2,1,1.97,1.14,18,11,7,1,11,3,3.6,32.71,2.0,0.74
FC Ufa,FC Rotor Volgograd,RFPL,2020-10-03,0,0,0.92,0.23,13,6,4,0,2,4,8.64,16.77,1.98,0.64
Everton,Brighton,Premier_League,2020-10-03,4,2,2.34,1.17,11,11,6,3,10,7,9.06,9.17,2.26,0.53
Leicester,West Ham,Premier_League,2020-10-04,0,3,0.46,2.03,4,14,0,6,2,3,7.32,34.18,0.31,2.53
West Bromwich Albion,Burnley,Premier_League,2020-10-19,0,0,0.73,1.09,13,9,6,4,3,2,8.25,13.32,0.99,1.68
RasenBallsport Leipzig,Schalke 04,Bundesliga,2020-10-03,4,0,3.26,0.22,21,5,7,1,10,0,4.04,42.67,2.94,0.04
Fulham,Aston Villa,Premier_League,2020-09-28,0,3,0.53,2.03,16,12,3,5,5,10,5.96,9.3,0.37,2.46
Villarreal,Alaves,La_Liga,2020-09-30,3,1,2.66,0.62,10,8,6,3,6,3,7.47,10.88,2.79,0.13
Lazio,Inter,Serie_A,2020-10-04,1,1,1.21,0.72,12,12,4,3,1,8,11.92,9.42,1.77,0.93
Brest,Monaco,Ligue_1,2020-10-04,1,0,0.73,1.53,7,21,5,2,1,9,20.67,3.44,0.72,2.01
SD Huesca,Atletico Madrid,La_Liga,2020-09-30,0,0,0.63,1.79,9,16,3,2,3,11,15.43,8.91,0.49,2.31
Metz,Lorient,Ligue_1,2020-10-04,3,1,1.6,0.85,16,10,8,4,6,1,9.24,12.63,2.01,0.7
