web-scraper-order,web-scraper-start-url,Games,Games-href,HomeTeam,AwayTeam,League,Date,HGoals,AGoals,HxG,AxG,HShots,AShots,HST,AST,HDEEP,ADEEP,HPPDA,APPDA,HxPTS,AxPTS
1601206228-73,https://understat.com/league/Ligue_1,202.090.66,https://understat.com/match/14214,Lille,Nantes,Ligue 1,Sep 25 2020,2,0,2.09,0.66,12,12,4,7,9,2,8.0,10.1,2.49,0.35
1601206184-67,https://understat.com/league/Ligue_1,201.761.30,https://understat.com/match/14193,Saint-Etienne,Strasbourg,Ligue 1,Sep 12 2020,2,0,1.76,1.3,10,14,4,6,2,4,9.8,9.09,1.84,0.89
1601206213-71,https://understat.com/league/Ligue_1,110.861.11,https://understat.com/match/14216,Marseille,Metz,Ligue 1,Sep 26 2020,1,1,0.86,1.11,17,14,3,3,7,0,5.32,18.95,1.13,1.56
1601206092-56,https://understat.com/league/La_liga,231.413.86,https://understat.com/match/14157,Real Betis,Real Madrid,La liga,Sep 26 2020,2,3,1.41,3.86,15,11,5,4,5,7,15.68,10.25,0.19,2.73
1601205858-27,https://understat.com/league/Bundesliga,131.051.42,https://understat.com/match/14175,Union Berlin,Augsburg,Bundesliga,Sep 19 2020,1,3,1.05,1.42,15,9,3,5,1,0,13.22,21.25,1.02,1.69
1601206106-58,https://understat.com/league/La_liga,110.311.11,https://understat.com/match/14161,Valencia,SD Huesca,La liga,Sep 26 2020,1,1,0.31,1.11,5,17,2,4,3,3,11.63,4.83,0.6,2.07
1601206041-49,https://understat.com/league/La_liga,421.732.37,https://understat.com/match/14144,Valencia,Levante,La liga,Sep 13 2020,4,2,1.73,2.37,14,19,8,8,4,5,14.5,9.91,0.91,1.84
1601206114-59,https://understat.com/league/La_liga,000.871.31,https://understat.com/match/14154,Alaves,Getafe,La liga,Sep 26 2020,0,0,0.87,1.31,9,11,0,4,3,2,6.43,8.69,0.97,1.74
1601205880-30,https://understat.com/league/Bundesliga,131.683.10,https://understat.com/match/14188,Schalke 04,Werder Bremen,Bundesliga,Sep 26 2020,1,3,1.68,3.1,17,17,4,7,3,4,3.95,9.47,0.49,2.34
1601206132-60,https://understat.com/league/Ligue_1,012.220.50,https://understat.com/match/14200,Paris Saint Germain,Marseille,Ligue 1,Sep 13 2020,0,1,2.22,0.5,14,5,4,2,6,1,4.38,12.38,2.68,0.21
1601206191-68,https://understat.com/league/Ligue_1,311.700.38,https://understat.com/match/14192,Montpellier,Nice,Ligue 1,Sep 12 2020,3,1,1.7,0.38,20,9,13,1,8,0,11.68,7.26,2.41,0.39
1601206008-46,https://understat.com/league/EPL,232.981.58,https://understat.com/match/14106,Brighton,Manchester United,EPL,Sep 26 2020,2,3,2.98,1.58,18,7,5,3,10,6,6.64,11.13,2.34,0.48
1601205964-40,https://understat.com/league/EPL,433.150.27,https://understat.com/match/14090,Liverpool,Leeds,EPL,Sep 12 2020,4,3,3.15,0.27,22,6,6,3,19,2,9.94,9.33,2.93,0.04
1601206055-51,https://understat.com/league/La_liga,110.860.31,https://understat.com/match/14140,Real Valladolid,Real Sociedad,La liga,Sep 13 2020,1,1,0.86,0.31,8,8,3,2,2,3,10.29,6.05,1.95,0.69
1601206206-70,https://understat.com/league/Ligue_1,101.720.34,https://understat.com/match/13989,Lens,Paris Saint Germain,Ligue 1,Sep 10 2020,1,0,1.72,0.34,7,8,3,1,5,4,15.37,4.88,2.56,0.28
1601205753-14,https://understat.com/league/Serie_A,000.911.78,https://understat.com/match/14117,Verona,Roma,Serie A,Sep 19 2020,0,0,0.91,1.78,8,21,3,4,3,9,8.42,5.06,0.72,2.03
1601206048-50,https://understat.com/league/La_liga,112.020.56,https://understat.com/match/14143,Villarreal,SD Huesca,La liga,Sep 13 2020,1,1,2.02,0.56,15,8,4,2,11,3,5.62,13.24,2.48,0.35
1601205767-16,https://understat.com/league/Serie_A,431.702.25,https://understat.com/match/14126,Inter,Fiorentina,Serie A,Sep 26 2020,4,3,1.7,2.25,20,10,7,4,17,9,5.22,24.21,0.99,1.79
1601206147-62,https://understat.com/league/Ligue_1,241.012.09,https://understat.com/match/14198,Nimes,Rennes,Ligue 1,Sep 13 2020,2,4,1.01,2.09,16,10,9,6,2,5,9.54,12.11,0.59,2.21
1601206077-54,https://understat.com/league/La_liga,200.550.48,https://understat.com/match/14137,Granada,Athletic Club,La liga,Sep 12 2020,2,0,0.55,0.48,4,9,2,2,2,3,17.94,6.82,1.39,1.16
1601205829-23,https://understat.com/league/Bundesliga,301.700.51,https://understat.com/match/14179,Borussia Dortmund,Borussia M.Gladbach,Bundesliga,Sep 19 2020,3,0,1.7,0.51,10,8,4,2,7,5,28.77,12.1,2.41,0.38
1601205909-34,https://understat.com/league/Bundesliga,201.451.53,https://understat.com/match/14184,Augsburg,Borussia Dortmund,Bundesliga,Sep 26 2020,2,0,1.45,1.53,6,18,4,6,2,13,27.94,5.05,1.32,1.4
1601205667-4,https://understat.com/league/RFPL,311.801.07,https://understat.com/match/14226,Ural,Khimki,RFPL,Sep 12 2020,3,1,1.8,1.07,10,12,6,4,5,7,8.93,14.33,2.01,0.74
1601205993-44,https://understat.com/league/EPL,330.912.36,https://understat.com/match/14108,West Bromwich Albion,Chelsea,EPL,Sep 26 2020,3,3,0.91,2.36,9,22,3,10,3,12,40.82,4.52,0.41,2.42
1601205730-11,https://understat.com/league/Serie_A,112.030.96,https://understat.com/match/14120,Sassuolo,Cagliari,Serie A,Sep 20 2020,1,1,2.03,0.96,33,8,9,4,15,4,9.26,18.64,2.13,0.64
1601205815-21,https://understat.com/league/Bundesliga,001.280.44,https://understat.com/match/14181,Wolfsburg,Bayer Leverkusen,Bundesliga,Sep 20 2020,0,0,1.28,0.44,9,7,1,3,7,8,11.65,11.88,2.15,0.57
1601205949-38,https://understat.com/league/EPL,030.352.96,https://understat.com/match/14092,West Bromwich Albion,Leicester,EPL,Sep 13 2020,0,3,0.35,2.96,7,13,1,7,6,3,19.11,10.53,0.06,2.91
1601205957-39,https://understat.com/league/EPL,020.861.66,https://understat.com/match/14091,West Ham,Newcastle United,EPL,Sep 12 2020,0,2,0.86,1.66,15,15,3,2,5,10,6.41,24.18,0.7,2.05
1601206169-65,https://understat.com/league/Ligue_1,230.921.99,https://understat.com/match/14195,Lorient,Lens,Ligue 1,Sep 13 2020,2,3,0.92,1.99,6,12,3,6,3,8,6.91,7.15,0.49,2.26
1601205690-7,https://understat.com/league/RFPL,602.820.46,https://understat.com/match/14242,Zenit St. Petersburg,FC Ufa,RFPL,Sep 26 2020,6,0,2.82,0.46,23,6,8,4,16,5,31.57,32.27,2.79,0.13
1601205774-17,https://understat.com/league/Serie_A,231.361.27,https://understat.com/match/14125,Sampdoria,Benevento,Serie A,Sep 26 2020,2,3,1.36,1.27,9,14,3,5,2,5,14.43,8.31,1.43,1.25
1601205645-1,https://understat.com/league/RFPL,310.850.78,https://understat.com/match/14230,CSKA Moscow,Spartak Moscow,RFPL,Sep 13 2020,3,1,0.85,0.78,10,14,5,4,4,10,8.53,8.72,1.33,1.3
1601206070-53,https://understat.com/league/La_liga,020.600.63,https://understat.com/match/14138,Cadiz,Osasuna,La liga,Sep 12 2020,0,2,0.6,0.63,12,6,3,4,4,5,6.67,6.74,1.25,1.34
1601206001-45,https://understat.com/league/EPL,120.442.27,https://understat.com/match/14107,Crystal Palace,Everton,EPL,Sep 26 2020,1,2,0.44,2.27,8,10,1,5,4,3,12.03,7.3,0.19,2.7
1601205942-37,https://understat.com/league/EPL,010.821.27,https://understat.com/match/14093,Tottenham,Everton,EPL,Sep 13 2020,0,1,0.82,1.27,9,15,5,4,9,5,11.33,16.26,0.96,1.74
