web-scraper-order,web-scraper-start-url,Games,Games-href,HomeTeam,AwayTeam,League,Date,HGoals,AGoals,HxG,AxG,HShots,AShots,HST,AST,HDEEP,ADEEP,HPPDA,APPDA,HxPTS,AxPTS
1604424008-178,https://understat.com/league/Bundesliga,312.630.34,https://understat.com/match/15184,Bayer Leverkusen,Augsburg,Bundesliga,Oct 26 2020,3,1,2.63,0.34,16,6,8,3,6,3,7.5,19.88,2.85,0.09
1604424196-203,https://understat.com/league/Ligue_1,110.440.42,https://understat.com/match/15844,Lille,Lyon,Ligue 1,Nov 01 2020,1,1,0.44,0.42,15,8,6,1,9,6,7.94,13.8,1.25,1.25
1604424034-180,https://understat.com/league/EPL,211.970.32,https://understat.com/match/14503,Tottenham,Brighton,EPL,Nov 01 2020,2,1,1.97,0.32,9,6,3,2,3,7,9.57,14.79,2.69,0.19
1604423829-154,https://understat.com/league/RFPL,211.100.29,https://understat.com/match/14322,PFC Sochi,Lokomotiv Moscow,RFPL,Oct 31 2020,2,1,1.1,0.29,14,9,4,2,1,7,26.0,8.06,2.08,0.6
1604423854-158,https://understat.com/league/RFPL,512.660.84,https://understat.com/match/14316,CSKA Moscow,Arsenal Tula,RFPL,Oct 26 2020,5,1,2.66,0.84,23,6,8,2,21,4,8.33,17.73,2.6,0.26
1604423970-172,https://understat.com/league/Bundesliga,100.620.70,https://understat.com/match/15190,Borussia M.Gladbach,RasenBallsport Leipzig,Bundesliga,Oct 31 2020,1,0,0.62,0.7,5,15,3,3,6,5,11.46,10.06,1.24,1.35
1604423842-156,https://understat.com/league/RFPL,201.590.21,https://understat.com/match/14324,FK Akhmat,FC Krasnodar,RFPL,Oct 31 2020,2,0,1.59,0.21,11,9,6,2,3,6,8.8,8.73,2.69,0.18
1604423943-169,https://understat.com/league/Serie_A,312.521.60,https://understat.com/match/15485,Verona,Benevento,Serie A,Nov 02 2020,3,1,2.52,1.6,14,15,6,5,8,5,7.0,6.12,2.03,0.76
1604424143-196,https://understat.com/league/La_liga,111.112.08,https://understat.com/match/14845,Alaves,Barcelona,La liga,Oct 31 2020,1,1,1.11,2.08,4,25,3,9,0,24,21.22,5.88,0.68,2.07
1604424103-191,https://understat.com/league/EPL,201.620.48,https://understat.com/match/14497,Fulham,West Bromwich Albion,EPL,Nov 02 2020,2,0,1.62,0.48,13,10,6,1,4,3,12.48,5.05,2.34,0.46
1604424168-200,https://understat.com/league/La_liga,020.470.93,https://understat.com/match/14849,Eibar,Cadiz,La liga,Oct 30 2020,0,2,0.47,0.93,9,6,3,4,3,3,4.69,21.75,0.82,1.83
1604423931-167,https://understat.com/league/Serie_A,120.523.50,https://understat.com/match/15477,Crotone,Atalanta,Serie A,Oct 31 2020,1,2,0.52,3.5,6,19,1,6,0,16,13.67,5.24,0.07,2.89
1604424234-209,https://understat.com/league/Ligue_1,010.480.94,https://understat.com/match/15843,Saint-Etienne,Montpellier,Ligue 1,Nov 01 2020,0,1,0.48,0.94,8,10,0,2,5,7,8.56,12.62,0.88,1.77
1604424091-189,https://understat.com/league/EPL,110.550.30,https://understat.com/match/14487,Brighton,West Bromwich Albion,EPL,Oct 26 2020,1,1,0.55,0.3,5,9,3,3,4,4,10.71,14.42,1.58,0.94
