web-scraper-order,web-scraper-start-url,Games,Games-href,HomeTeam,AwayTeam,League,Date,HGoals,AGoals,HxG,AxG,HShots,AShots,HST,AST,HDEEP,ADEEP,HPPDA,APPDA,HxPTS,AxPTS
1600385717-90,https://understat.com/league/Ligue_1,102.150.32,https://understat.com/match/14197,Angers,Reims,Ligue 1,Sep 13 2020,1,0,2.15,0.32,20,7,7,2,2,3,15.11,18.05,2.69,0.2
1600385010-11,https://understat.com/league/RFPL,202.590.35,https://understat.com/match/14007,Spartak Moscow,FK Akhmat,RFPL,Aug 14 2020,2,0,2.59,0.35,19,7,4,3,9,4,3.69,13.16,2.84,0.1
1600385800-100,https://understat.com/league/Ligue_1,211.752.17,https://understat.com/match/14201,Montpellier,Lyon,Ligue 1,Sep 15 2020,2,1,1.75,2.17,10,19,3,7,3,10,11.09,8.74,1.04,1.67
1600385210-35,https://understat.com/league/RFPL,030.821.62,https://understat.com/match/14042,FK Akhmat,CSKA Moscow,RFPL,Aug 30 2020,0,3,0.82,1.62,19,12,5,8,6,5,9.27,9.23,0.67,2.09
1600385758-95,https://understat.com/league/Ligue_1,311.700.38,https://understat.com/match/14192,Montpellier,Nice,Ligue 1,Sep 12 2020,3,1,1.7,0.38,20,9,13,1,8,0,11.68,7.26,2.41,0.39
1600385567-72,https://understat.com/league/Ligue_1,402.150.47,https://understat.com/match/13985,Nimes,Brest,Ligue 1,Aug 23 2020,4,0,2.15,0.47,12,10,5,3,7,4,8.21,6.07,2.56,0.29
1600385219-36,https://understat.com/league/RFPL,222.100.73,https://understat.com/match/14037,Rubin Kazan,FC Tambov,RFPL,Aug 30 2020,2,2,2.1,0.73,15,7,8,3,11,2,11.41,15.83,2.39,0.43
1600385343-51,https://understat.com/league/RFPL,011.440.28,https://understat.com/match/14227,FK Akhmat,PFC Sochi,RFPL,Sep 12 2020,0,1,1.44,0.28,20,8,6,1,6,6,6.82,18.79,2.38,0.39
1600385523-68,https://understat.com/league/La_liga,020.600.63,https://understat.com/match/14138,Cadiz,Osasuna,La liga,Sep 12 2020,0,2,0.6,0.63,12,6,3,4,4,5,6.67,6.74,1.25,1.34
1600385539-70,https://understat.com/league/La_liga,000.340.78,https://understat.com/match/14136,Eibar,Celta Vigo,La liga,Sep 12 2020,0,0,0.34,0.78,8,6,1,3,1,2,4.41,5.23,0.81,1.8
1600385438-59,https://understat.com/league/EPL,433.150.27,https://understat.com/match/14090,Liverpool,Leeds,EPL,Sep 12 2020,4,3,3.15,0.27,22,6,6,3,19,2,9.94,9.33,2.93,0.04
1600385446-60,https://understat.com/league/EPL,101.401.26,https://understat.com/match/14087,Crystal Palace,Southampton,EPL,Sep 12 2020,1,0,1.4,1.26,5,9,3,5,1,14,17.33,3.61,1.48,1.22
1600385791-99,https://understat.com/league/Ligue_1,102.420.98,https://understat.com/match/14202,Paris Saint Germain,Metz,Ligue 1,Sep 16 2020,1,0,2.42,0.98,20,7,8,1,11,4,6.94,36.3,2.34,0.48
1600385625-79,https://understat.com/league/Ligue_1,201.390.21,https://understat.com/match/13995,Saint-Etienne,Lorient,Ligue 1,Aug 30 2020,2,0,1.39,0.21,13,6,5,1,2,1,9.13,6.7,2.43,0.35
1600385068-18,https://understat.com/league/RFPL,010.511.45,https://understat.com/match/14027,FC Ufa,FC Rostov,RFPL,Aug 23 2020,0,1,0.51,1.45,5,18,2,6,2,14,13.89,10.93,0.58,2.16
1600385318-48,https://understat.com/league/RFPL,010.702.17,https://understat.com/match/14029,FC Tambov,PFC Sochi,RFPL,Aug 25 2020,0,1,0.7,2.17,11,16,1,6,2,5,24.36,14.12,0.31,2.54
1600385360-53,https://understat.com/league/RFPL,200.850.34,https://understat.com/match/14225,FC Tambov,FC Ufa,RFPL,Sep 12 2020,2,0,0.85,0.34,8,9,4,3,4,7,16.71,13.53,1.83,0.78
1600385027-13,https://understat.com/league/RFPL,230.701.39,https://understat.com/match/14005,Arsenal Tula,FC Ufa,RFPL,Aug 14 2020,2,3,0.7,1.39,18,6,7,4,9,3,7.25,9.32,0.7,2.03
1600385144-27,https://understat.com/league/RFPL,313.200.58,https://understat.com/match/14018,FK Akhmat,FC Rotor Volgograd,RFPL,Aug 19 2020,3,1,3.2,0.58,25,7,9,3,11,1,6.87,15.17,2.84,0.1
1600385684-86,https://understat.com/league/Ligue_1,413.970.22,https://understat.com/match/13990,Lyon,Dijon,Ligue 1,Aug 28 2020,4,1,3.97,0.22,27,6,12,2,15,0,6.0,28.6,2.98,0.01
1600384985-8,https://understat.com/league/RFPL,211.150.91,https://understat.com/match/14010,CSKA Moscow,FC Tambov,RFPL,Aug 15 2020,2,1,1.15,0.91,12,12,4,6,8,4,12.21,28.6,1.58,1.11
1600384960-5,https://understat.com/league/RFPL,020.601.97,https://understat.com/match/13997,Khimki,CSKA Moscow,RFPL,Aug 08 2020,0,2,0.6,1.97,18,14,4,3,6,21,21.23,11.44,0.41,2.42
1600385559-71,https://understat.com/league/Ligue_1,210.183.04,https://understat.com/match/13984,Nice,Lens,Ligue 1,Aug 23 2020,2,1,0.18,3.04,4,17,2,4,3,5,7.27,12.41,0.02,2.96
1600385277-43,https://understat.com/league/RFPL,110.900.83,https://understat.com/match/14034,FC Krasnodar,CSKA Moscow,RFPL,Aug 26 2020,1,1,0.9,0.83,18,18,7,10,14,8,10.24,8.61,1.39,1.27
1600385455-61,https://understat.com/league/EPL,030.132.16,https://understat.com/match/14086,Fulham,Arsenal,EPL,Sep 12 2020,0,3,0.13,2.16,5,13,2,6,0,11,32.69,21.93,0.06,2.89
1600385335-50,https://understat.com/league/RFPL,010.601.59,https://understat.com/match/14228,Dinamo Moscow,Rubin Kazan,RFPL,Sep 13 2020,0,1,0.6,1.59,15,16,3,6,2,3,8.0,6.86,0.53,2.23
1600385700-88,https://understat.com/league/Ligue_1,212.271.11,https://understat.com/match/14199,Monaco,Nantes,Ligue 1,Sep 13 2020,2,1,2.27,1.11,18,7,5,2,8,5,9.07,17.0,2.15,0.64
1600385742-93,https://understat.com/league/Ligue_1,100.810.74,https://understat.com/match/14194,Lille,Metz,Ligue 1,Sep 13 2020,1,0,0.81,0.74,17,5,7,1,9,2,6.03,13.09,1.33,1.29
1600385531-69,https://understat.com/league/La_liga,200.550.48,https://understat.com/match/14137,Granada,Athletic Club,La liga,Sep 12 2020,2,0,0.55,0.48,4,9,2,2,2,3,17.94,6.82,1.39,1.16
1600385368-54,https://understat.com/league/RFPL,000.930.34,https://understat.com/match/14232,FC Rostov,Lokomotiv Moscow,RFPL,Sep 14 2020,0,0,0.93,0.34,11,7,3,1,10,2,8.09,12.76,1.97,0.68
