web-scraper-order,web-scraper-start-url,Games,Games-href,HomeTeam,AwayTeam,League,Date,HGoals,AGoals,HxG,AxG,HShots,AShots,HST,AST,HDEEP,ADEEP,HPPDA,APPDA,HxPTS,AxPTS
1601740699-24,https://understat.com/league/Serie_A,412.051.24,https://understat.com/match/14132,Bologna,Parma Calcio 1913,Serie A,Sep 28 2020,4,1,2.05,1.24,12,9,8,3,7,3,7.36,10.57,1.96,0.81
1601740834-39,https://understat.com/league/Bundesliga,402.070.19,https://understat.com/match/15158,Union Berlin,Mainz 05,Bundesliga,Oct 02 2020,4,0,2.07,0.19,11,5,7,0,1,2,11.08,13.35,2.72,0.17
1601741031-60,https://understat.com/league/La_liga,121.091.69,https://understat.com/match/14823,Real Valladolid,Eibar,La liga,Oct 03 2020,1,2,1.09,1.69,9,11,3,5,3,2,8.0,7.68,0.79,1.9
1601740674-21,https://understat.com/league/Serie_A,141.801.90,https://understat.com/match/14135,Lazio,Atalanta,Serie A,Sep 30 2020,1,4,1.8,1.9,14,10,6,6,9,6,8.07,16.91,1.31,1.44
1601740514-4,https://understat.com/league/RFPL,010.372.52,https://understat.com/match/14236,FC Ufa,CSKA Moscow,RFPL,Sep 20 2020,0,1,0.37,2.52,12,23,3,10,2,15,10.57,7.59,0.17,2.73
1601740953-52,https://understat.com/league/EPL,030.532.03,https://understat.com/match/14114,Fulham,Aston Villa,EPL,Sep 28 2020,0,3,0.53,2.03,16,12,3,5,5,10,5.96,9.3,0.37,2.46
1601740666-20,https://understat.com/league/Serie_A,122.032.18,https://understat.com/match/15446,Fiorentina,Sampdoria,Serie A,Oct 02 2020,1,2,2.03,2.18,22,18,5,8,5,6,8.21,12.48,1.28,1.48
1601740735-27,https://understat.com/league/Bundesliga,301.700.51,https://understat.com/match/14179,Borussia Dortmund,Borussia M.Gladbach,Bundesliga,Sep 19 2020,3,0,1.7,0.51,10,8,4,2,7,5,28.77,12.1,2.41,0.38
1601741015-58,https://understat.com/league/La_liga,100.700.49,https://understat.com/match/14145,Getafe,Osasuna,La liga,Sep 19 2020,1,0,0.7,0.49,7,10,1,3,2,3,6.17,12.5,1.54,1.05
1601740588-12,https://understat.com/league/RFPL,101.591.70,https://understat.com/match/14248,Khimki,Dinamo Moscow,RFPL,Sep 28 2020,1,0,1.59,1.7,12,26,4,9,8,12,12.17,7.28,1.31,1.42
1601741160-74,https://understat.com/league/Ligue_1,211.711.18,https://understat.com/match/14209,Metz,Reims,Ligue 1,Sep 20 2020,2,1,1.71,1.18,14,10,4,4,3,6,4.76,14.25,1.84,0.86
1601740801-35,https://understat.com/league/Bundesliga,402.830.45,https://understat.com/match/15162,Borussia Dortmund,Freiburg,Bundesliga,Oct 03 2020,4,0,2.83,0.45,16,6,7,2,15,0,8.26,23.86,2.85,0.09
1601741144-72,https://understat.com/league/Ligue_1,321.211.50,https://understat.com/match/14211,Brest,Lorient,Ligue 1,Sep 20 2020,3,2,1.21,1.5,14,9,6,4,10,1,6.08,15.05,1.11,1.6
1601741194-78,https://understat.com/league/Ligue_1,213.020.36,https://understat.com/match/14205,Lens,Bordeaux,Ligue 1,Sep 19 2020,2,1,3.02,0.36,19,7,5,3,6,2,10.0,11.76,2.87,0.08
1601740793-34,https://understat.com/league/Bundesliga,213.570.77,https://understat.com/match/15163,Eintracht Frankfurt,Hoffenheim,Bundesliga,Oct 03 2020,2,1,3.57,0.77,16,12,8,4,10,6,12.27,17.6,2.88,0.08
1601741081-66,https://understat.com/league/La_liga,312.660.62,https://understat.com/match/14172,Villarreal,Alaves,La liga,Sep 30 2020,3,1,2.66,0.62,10,8,6,3,6,3,7.47,10.88,2.79,0.13
1601741219-81,https://understat.com/league/Ligue_1,102.420.98,https://understat.com/match/14202,Paris Saint Germain,Metz,Ligue 1,Sep 16 2020,1,0,2.42,0.98,20,7,8,1,11,4,6.94,36.3,2.34,0.48
1601741048-62,https://understat.com/league/La_liga,101.050.38,https://understat.com/match/14171,Sevilla,Levante,La liga,Oct 01 2020,1,0,1.05,0.38,16,3,2,1,8,0,6.5,13.08,1.95,0.71
1601740633-16,https://understat.com/league/Serie_A,020.161.54,https://understat.com/match/14118,Parma Calcio 1913,Napoli,Serie A,Sep 20 2020,0,2,0.16,1.54,6,17,2,6,7,7,19.42,12.17,0.16,2.72
1601740854-40,https://understat.com/league/EPL,420.991.52,https://understat.com/match/14103,Leicester,Burnley,EPL,Sep 20 2020,4,2,0.99,1.52,14,16,6,5,14,6,7.47,16.1,0.95,1.78
1601740719-25,https://understat.com/league/Bundesliga,001.280.44,https://understat.com/match/14181,Wolfsburg,Bayer Leverkusen,Bundesliga,Sep 20 2020,0,0,1.28,0.44,9,7,1,3,7,8,11.65,11.88,2.15,0.57
1601741227-82,https://understat.com/league/Ligue_1,211.752.17,https://understat.com/match/14201,Montpellier,Lyon,Ligue 1,Sep 15 2020,2,1,1.75,2.17,10,19,3,7,3,10,11.09,8.74,1.04,1.67
1601740920-48,https://understat.com/league/EPL,131.441.27,https://understat.com/match/14095,Brighton,Chelsea,EPL,Sep 14 2020,1,3,1.44,1.27,13,10,3,5,3,6,9.34,12.7,1.48,1.21
1601740973-53,https://understat.com/league/La_liga,000.720.77,https://understat.com/match/14152,Real Sociedad,Real Madrid,La liga,Sep 20 2020,0,0,0.72,0.77,6,16,1,4,4,7,13.24,7.0,1.26,1.37
1601740625-15,https://understat.com/league/Serie_A,412.231.32,https://understat.com/match/14119,Genoa,Crotone,Serie A,Sep 20 2020,4,1,2.23,1.32,14,13,6,3,4,4,8.94,9.42,2.04,0.75
1601740752-29,https://understat.com/league/Bundesliga,140.502.05,https://understat.com/match/14177,Werder Bremen,Hertha Berlin,Bundesliga,Sep 19 2020,1,4,0.5,2.05,16,13,6,6,6,3,12.09,4.79,0.35,2.49
1601741007-57,https://understat.com/league/La_liga,212.340.46,https://understat.com/match/14147,Celta Vigo,Valencia,La liga,Sep 19 2020,2,1,2.34,0.46,23,9,6,3,8,2,9.41,8.82,2.69,0.2
1601740912-47,https://understat.com/league/EPL,524.160.32,https://understat.com/match/14096,Everton,West Bromwich Albion,EPL,Sep 19 2020,5,2,4.16,0.32,17,6,7,4,6,6,9.1,41.5,2.99,0.0
1601741090-67,https://understat.com/league/La_liga,000.631.79,https://understat.com/match/14168,SD Huesca,Atletico Madrid,La liga,Sep 30 2020,0,0,0.63,1.79,9,16,3,2,3,11,15.43,8.91,0.49,2.31
