web-scraper-order,web-scraper-start-url,Games,Games-href,League,Teams,Date,Time,ODDH,ODDD,ODDA,ODD_25+2,ODD_25-2,ODD_BthScore_Yes2,ODD_BthScore_No2,Tag25,TagBthScore ,ODD_1X,ODD_12,ODD_X2,TagDC
"1595158090-315","https://www.betclic.pt/futebol-s1/liga-dos-campeoes-c8","07/08/2020
20:00

                    Liga dos Campeões
                
                Juventus - Lyon
            

            
            
                

    Resultado
    
        
            
    
        Juve
        ntus
    
    1,38
    


            
    
        Emp
        ate
    
    4,15
    


            
    
        Ly
        on
    
    6,90
    


        
    


                

    Resultado duplo
    
        
            
    
        Juventus ou em
        pate
    
    1,08
    


            
    
        Juventus ou 
        Lyon
    
    1,16
    


            
    
        Lyon ou em
        pate
    
    2,70
    


        
    


                
    107
    
        apostas","https://www.betclic.pt/futebol-s1/liga-dos-campeoes-c8/juventus-lyon-m2564048","Liga dos Campeões","Juventus - Lyon","07/08/2020","20:00","1,38","4,15","6,90","null","null","1,62","1,85","null","Total de golos visitantes","1,68","1,80","null","Vencedor da eliminatória"
"1595158008-301","https://www.betclic.pt/futebol-s1/inglaterra-championship-c28","Hoje



15:00

                    Inglaterra - Championship
                
                Barnsley - Nottingham Forest
            

            
            
                

    Resultado
    
        
            
    
        Barn
        sley
    
    2,66
    


            
    
        Emp
        ate
    
    3,03
    


            
    
        Nottingham Fo
        rest
    
    2,54
    


        
    


                

    Resultado duplo
    
        
            
    
        Barnsley ou em
        pate
    
    1,42
    


            
    
        Barnsley ou Nottingham Fo
        rest
    
    1,30
    


            
    
        Nottingham Forest ou em
        pate
    
    1,40
    


        
    


                
    186
    
        apostas","https://www.betclic.pt/futebol-s1/inglaterra-championship-c28/barnsley-nottingham-forest-m2566668","Inglaterra - Championship","Barnsley - Nottingham Forest","Hoje","15:00","2,66","3,03","2,54","2,00","1,58","1,75","1,75","Acima de 2.5","As duas equipas marcam","1,42","1,30","1,40","Resultado duplo"
"1595158352-361","https://www.betclic.pt/futebol-s1/espanha-la-liga-c7","Hoje



20:00

                    Espanha - La Liga
                
                Villarreal - Eibar
            

            
            
                

    Resultado
    
        
            
    
        Villar
        real
    
    1,73
    


            
    
        Emp
        ate
    
    3,92
    


            
    
        Ei
        bar
    
    4,60
    


        
    


                

    Resultado duplo
    
        
            
    
        Villarreal ou em
        pate
    
    1,22
    


            
    
        Villarreal ou E
        ibar
    
    1,27
    


            
    
        Eibar ou em
        pate
    
    2,05
    


        
    


                
    188
    
        apostas","https://www.betclic.pt/futebol-s1/espanha-la-liga-c7/villarreal-eibar-m2572616","Espanha - La Liga","Villarreal - Eibar","Hoje","20:00","1,73","3,92","4,60","1,55","2,05","1,55","2,05","Acima de 2.5","As duas equipas marcam","1,22","1,27","2,05","Resultado duplo"
"1595157998-299","https://www.betclic.pt/futebol-s1/inglaterra-championship-c28","22/07/2020
19:30

                    Inglaterra - Championship
                
                Luton - Blackburn
            

            
            
                

    Resultado
    
        
            
    
        Lu
        ton
    
    1,73
    


            
    
        Emp
        ate
    
    3,55
    


            
    
        Blac
        kburn
    
    4,13
    


        
    


                

    Resultado duplo
    
        
            
    
        Luton ou em
        pate
    
    1,19
    


            
    
        Luton ou Black
        burn
    
    1,23
    


            
    
        Blackburn ou em
        pate
    
    1,95
    


        
    


                
    105
    
        apostas","https://www.betclic.pt/futebol-s1/inglaterra-championship-c28/luton-blackburn-m2576828","Inglaterra - Championship","Luton - Blackburn","22/07/2020","19:30","1,73","3,55","4,13","1,58","1,85","1,60","1,95","Acima de 2.5","As duas equipas marcam","1,19","1,23","1,95","Resultado duplo"
"1595157931-287","https://www.betclic.pt/futebol-s1/russia-premier-lg-c147","22/07/2020
17:00

                    Rússia - Premier Lg.
                
                Rostov - Zenit São Petersburgo
            

            
            
                

    Resultado
    
        
            
    
        Ros
        tov
    
    2,32
    


            
    
        Emp
        ate
    
    3,35
    


            
    
        Zenit São Petersb
        urgo
    
    2,70
    


        
    


                

    Resultado duplo
    
        
            
    
        Rostov ou em
        pate
    
    1,38
    


            
    
        Rostov ou Zenit São Petersb
        urgo
    
    1,27
    


            
    
        Zenit São Petersburgo ou em
        pate
    
    1,50
    


        
    


                
    106
    
        apostas","https://www.betclic.pt/futebol-s1/russia-premier-lg-c147/rostov-zenit-sao-petersburgo-m2539391","Rússia - Premier Lg.","Rostov - Zenit São Petersburgo","22/07/2020","17:00","2,32","3,35","2,70","1,60","1,80","1,55","2,05","Acima de 2.5","As duas equipas marcam","1,38","1,27","1,50","Resultado duplo"
"1595157880-278","https://www.betclic.pt/futebol-s1/escocia-premiership-c33","02/08/2020
16:30

                    Escócia - Premiership
                
                Celtic - Hamilton
            

            
            
                

    Resultado
    
        
            
    
        Cel
        tic
    
    1,11
    


            
    
        Emp
        ate
    
    7,75
    


            
    
        Hami
        lton
    
    17
    


        
    


                

    Resultado duplo
    
        
            
    
        Celtic ou em
        pate
    
    1,02
    


            
    
        Celtic ou Hami
        lton
    
    1,05
    


            
    
        Hamilton ou em
        pate
    
    5,75
    


        
    


                
    100
    
        apostas","https://www.betclic.pt/futebol-s1/escocia-premiership-c33/celtic-hamilton-m2561824","Escócia - Premiership","Celtic - Hamilton","02/08/2020","16:30","1,11","7,75","17","1,30","2,45","2,15","1,50","Acima de 2.5","As duas equipas marcam","1,02","1,05","5,75","Resultado duplo"
"1595157987-297","https://www.betclic.pt/futebol-s1/inglaterra-championship-c28","22/07/2020
19:30

                    Inglaterra - Championship
                
                Birmingham - Derby
            

            
            
                

    Resultado
    
        
            
    
        Birmin
        gham
    
    2,75
    


            
    
        Emp
        ate
    
    3,13
    


            
    
        De
        rby
    
    2,40
    


        
    


                

    Resultado duplo
    
        
            
    
        Birmingham ou em
        pate
    
    1,48
    


            
    
        Birmingham ou D
        erby
    
    1,30
    


            
    
        Derby ou em
        pate
    
    1,38
    


        
    


                
    106
    
        apostas","https://www.betclic.pt/futebol-s1/inglaterra-championship-c28/birmingham-derby-m2576830","Inglaterra - Championship","Birmingham - Derby","22/07/2020","19:30","2,75","3,13","2,40","1,72","1,68","1,60","1,95","Acima de 2.5","As duas equipas marcam","1,48","1,30","1,38","Resultado duplo"
"1595158301-352","https://www.betclic.pt/futebol-s1/italia-serie-a-c6","21/07/2020
18:30

                    Itália - Serie A
                
                Atalanta - Bolonha
            

            
            
                

    Resultado
    
        
            
    
        Atal
        anta
    
    1,26
    


            
    
        Emp
        ate
    
    5,70
    


            
    
        Bol
        onha
    
    8,50
    


        
    


                

    Resultado duplo
    
        
            
    
        Atalanta ou em
        pate
    
    1,07
    


            
    
        Atalanta ou Bol
        onha
    
    1,11
    


            
    
        Bolonha ou em
        pate
    
    3,50
    


        
    


                
    103
    
        apostas","https://www.betclic.pt/futebol-s1/italia-serie-a-c6/atalanta-bolonha-m2573570","Itália - Serie A","Atalanta - Bolonha","21/07/2020","18:30","1,26","5,70","8,50","1,68","1,80","1,55","2,00","Acima de 3.5","As duas equipas marcam","1,07","1,11","3,50","Resultado duplo"
"1595158054-309","https://www.betclic.pt/futebol-s1/liga-europa-c3453","05/08/2020
17:55

                    Liga Europa
                
                Shakhtar Donetsk - Wolfsburgo
            

            
            
                

    Resultado
    
        
            
    
        Shakhtar Don
        etsk
    
    2,52
    


            
    
        Emp
        ate
    
    3,38
    


            
    
        Wolfsb
        urgo
    
    2,58
    


        
    


                

    Resultado duplo
    
        
            
    
        Shakhtar Donetsk ou em
        pate
    
    1,42
    


            
    
        Shakhtar Donetsk ou Wolfsb
        urgo
    
    1,27
    


            
    
        Wolfsburgo ou em
        pate
    
    1,45
    


        
    


                
    109
    
        apostas","https://www.betclic.pt/futebol-s1/liga-europa-c3453/shakhtar-donetsk-wolfsburgo-m2564051","Liga Europa","Shakhtar Donetsk - Wolfsburgo","05/08/2020","17:55","2,52","3,38","2,58","null","null","1,95","1,50","null","Total de golos visitantes","1,22","3,05","null","Vencedor da eliminatória"
"1595158255-343","https://www.betclic.pt/futebol-s1/italia-serie-a-c6","23/07/2020
20:45

                    Itália - Serie A
                
                Lazio - Cagliari
            

            
            
                

    Resultado
    
        
            
    
        La
        zio
    
    1,45
    


            
    
        Emp
        ate
    
    4,40
    


            
    
        Cagl
        iari
    
    5,85
    


        
    


                

    Resultado duplo
    
        
            
    
        Lazio ou em
        pate
    
    1,12
    


            
    
        Lazio ou Cagl
        iari
    
    1,17
    


            
    
        Cagliari ou em
        pate
    
    2,55
    


        
    


                
    104
    
        apostas","https://www.betclic.pt/futebol-s1/italia-serie-a-c6/lazio-cagliari-m2573574","Itália - Serie A","Lazio - Cagliari","23/07/2020","20:45","1,45","4,40","5,85","1,42","2,20","1,58","1,95","Acima de 2.5","As duas equipas marcam","1,12","1,17","2,55","Resultado duplo"
"1595158044-307","https://www.betclic.pt/futebol-s1/liga-europa-c3453","05/08/2020
20:00

                    Liga Europa
                
                Inter - Getafe
            

            
            
                

    Resultado
    
        
            
    
        In
        ter
    
    1,95
    


            
    
        Emp
        ate
    
    3,10
    


            
    
        Get
        afe
    
    3,62
    


        
    


                

    Resultado duplo
    
        
            
    
        Inter ou em
        pate
    
    1,22
    


            
    
        Inter ou Ge
        tafe
    
    1,28
    


            
    
        Getafe ou em
        pate
    
    1,70
    


        
    


                
    108
    
        apostas","https://www.betclic.pt/futebol-s1/liga-europa-c3453/inter-getafe-m2564142","Liga Europa","Inter - Getafe","05/08/2020","20:00","1,95","3,10","3,62","null","null","1,45","2,20","null","Total de golos visitantes","1,42","2,25","null","Vencedor da eliminatória"
"1595157911-283","https://www.betclic.pt/futebol-s1/russia-premier-lg-c147","22/07/2020
17:00

                    Rússia - Premier Lg.
                
                Ural - Lokomotiv Moscovo
            

            
            
                

    Resultado
    
        
            
    
        Ur
        al
    
    6,70
    


            
    
        Emp
        ate
    
    4,43
    


            
    
        Lokomotiv Mos
        covo
    
    1,38
    


        
    


                

    Resultado duplo
    
        
            
    
        Ural ou em
        pate
    
    2,75
    


            
    
        Ural ou Lokomotiv Mos
        covo
    
    1,15
    


            
    
        Lokomotiv Moscovo ou em
        pate
    
    1,09
    


        
    


                
    104
    
        apostas","https://www.betclic.pt/futebol-s1/russia-premier-lg-c147/ural-lokomotiv-moscovo-m2539397","Rússia - Premier Lg.","Ural - Lokomotiv Moscovo","22/07/2020","17:00","6,70","4,43","1,38","1,55","1,88","1,80","1,70","Acima de 2.5","As duas equipas marcam","2,75","1,15","1,09","Resultado duplo"
