web-scraper-order,web-scraper-start-url,Games,Games-href,League,Teams,Date,Time,ODDH,ODDD,ODDA,ODD_25+2,ODD_25-2,ODD_BthScore_Yes2,ODD_BthScore_No2,Tag25,TagBthScore ,ODD_1X,ODD_12,ODD_X2,TagDC
"1595158316-355","https://www.betclic.pt/futebol-s1/italia-serie-a-c6","Hoje



18:30

                    Itália - Serie A
                
                Brescia - SPAL
            

            
            
                

    Resultado
    
        
            
    
        Bre
        scia
    
    2,34
    


            
    
        Emp
        ate
    
    3,50
    


            
    
        SP
        AL
    
    2,97
    


        
    


                

    Resultado duplo
    
        
            
    
        Brescia ou em
        pate
    
    1,40
    


            
    
        Brescia ou 
        SPAL
    
    1,32
    


            
    
        SPAL ou em
        pate
    
    1,60
    


        
    


                
    193
    
        apostas","https://www.betclic.pt/futebol-s1/italia-serie-a-c6/brescia-spal-m2567279","Itália - Serie A","Brescia - SPAL","Hoje","18:30","2,34","3,50","2,97","1,62","1,95","1,50","2,10","Acima de 2.5","As duas equipas marcam","1,40","1,32","1,60","Resultado duplo"
"1595158111-318","https://www.betclic.pt/futebol-s1/inglaterra-premier-lg-c3","22/07/2020
18:00

                    Inglaterra - Premier Lg.
                
                Manchester Utd - West Ham
            

            
            
                

    Resultado
    
        
            
    
        Manchester
         Utd
    
    1,24
    


            
    
        Emp
        ate
    
    5,50
    


            
    
        West
         Ham
    
    9,60
    


        
    


                

    Resultado duplo
    
        
            
    
        Manchester Utd ou em
        pate
    
    1,06
    


            
    
        Manchester Utd ou West
         Ham
    
    1,11
    


            
    
        West Ham ou em
        pate
    
    3,60
    


        
    


                
    151
    
        apostas","https://www.betclic.pt/futebol-s1/inglaterra-premier-lg-c3/manchester-utd-west-ham-m2570205","Inglaterra - Premier Lg.","Manchester Utd - West Ham","22/07/2020","18:00","1,24","5,50","9,60","1,38","2,35","1,75","1,70","Acima de 2.5","As duas equipas marcam","1,06","1,11","3,60","Resultado duplo"
"1595157967-293","https://www.betclic.pt/futebol-s1/inglaterra-championship-c28","22/07/2020
19:30

                    Inglaterra - Championship
                
                Sheffield Wed. - Middlesbrough
            

            
            
                

    Resultado
    
        
            
    
        Sheffield
         Wed.
    
    2,12
    


            
    
        Emp
        ate
    
    3,15
    


            
    
        Middlesbr
        ough
    
    3,20
    


        
    


                

    Resultado duplo
    
        
            
    
        Sheffield Wed. ou e
        mpate
    
    1,28
    


            
    
        Sheffield Wed. ou Middlesb
        rough
    
    1,28
    


            
    
        Middlesbrough ou em
        pate
    
    1,60
    


        
    


                
    105
    
        apostas","https://www.betclic.pt/futebol-s1/inglaterra-championship-c28/sheffield-wed-middlesbrough-m2576834","Inglaterra - Championship","Sheffield Wed. - Middlesbrough","22/07/2020","19:30","2,12","3,15","3,20","1,80","1,60","1,70","1,82","Acima de 2.5","As duas equipas marcam","1,28","1,28","1,60","Resultado duplo"
"1595158059-310","https://www.betclic.pt/futebol-s1/liga-europa-c3453","05/08/2020
17:55

                    Liga Europa
                
                Copenhaga - Istanbul Basaksehir
            

            
            
                

    Resultado
    
        
            
    
        Cope
        nhaga
    
    2,19
    


            
    
        Emp
        ate
    
    3,03
    


            
    
        Istanbul Basaks
        ehir
    
    3,08
    


        
    


                

    Resultado duplo
    
        
            
    
        Copenhaga ou em
        pate
    
    1,30
    


            
    
        Copenhaga ou Istanbul Basaks
        ehir
    
    1,30
    


            
    
        Istanbul Basaksehir ou em
        pate
    
    1,55
    


        
    


                
    108
    
        apostas","https://www.betclic.pt/futebol-s1/liga-europa-c3453/copenhaga-istanbul-basaksehir-m2564050","Liga Europa","Copenhaga - Istanbul Basaksehir","05/08/2020","17:55","2,19","3,03","3,08","null","null","2,60","1,25","null","Total de golos visitantes","2,95","1,23","null","Vencedor da eliminatória"
"1595158173-329","https://www.betclic.pt/futebol-s1/eua-mls-c504","23/07/2020
01:00

                    EUA - MLS
                
                Cincinnati - Red Bulls
            

            
            
                

    Resultado
    
        
            
    
        Cincin
        nati
    
    3,78
    


            
    
        Emp
        ate
    
    3,52
    


            
    
        Red 
        Bulls
    
    1,72
    


        
    


                

    Resultado duplo
    
        
            
    
        Cincinnati ou em
        pate
    
    1,82
    


            
    
        Cincinnati ou Red B
        ulls
    
    1,20
    


            
    
        Red Bulls ou em
        pate
    
    1,18
    


        
    


                
    105
    
        apostas","https://www.betclic.pt/futebol-s1/eua-mls-c504/cincinnati-red-bulls-m2560440","EUA - MLS","Cincinnati - Red Bulls","23/07/2020","01:00","3,78","3,52","1,72","1,52","1,90","1,52","1,95","Acima de 2.5","As duas equipas marcam","1,82","1,20","1,18","Resultado duplo"
"1595158245-342","https://www.betclic.pt/futebol-s1/portugal-primeira-liga-c32","Hoje



19:00

                    Portugal - Primeira Liga
                
                Belenenses - Gil Vicente
            

            
            
                

    Resultado
    
        
            
    
        Belene
        nses
    
    2,45
    


            
    
        Emp
        ate
    
    3,10
    


            
    
        Gil Vic
        ente
    
    3,23
    


        
    


                

    Resultado duplo
    
        
            
    
        Belenenses ou em
        pate
    
    1,35
    


            
    
        Belenenses ou Gil Vic
        ente
    
    1,38
    


            
    
        Gil Vicente ou em
        pate
    
    1,55
    


        
    


                
    211
    
        apostas","https://www.betclic.pt/futebol-s1/portugal-primeira-liga-c32/belenenses-gil-vicente-m2572545","Portugal - Primeira Liga","Belenenses - Gil Vicente","Hoje","19:00","2,45","3,10","3,23","2,10","1,55","1,82","1,75","Acima de 2.5","As duas equipas marcam","1,35","1,38","1,55","Resultado duplo"
"1595158188-332","https://www.betclic.pt/futebol-s1/eua-mls-c504","21/07/2020
14:00

                    EUA - MLS
                
                Toronto - Revolution
            

            
            
                

    Resultado
    
        
            
    
        Tor
        onto
    
    2,05
    


            
    
        Emp
        ate
    
    3,10
    


            
    
        Revolu
        tion
    
    3,12
    


        
    


                

    Resultado duplo
    
        
            
    
        Toronto ou em
        pate
    
    1,25
    


            
    
        Toronto ou Revolu
        tion
    
    1,25
    


            
    
        Revolution ou em
        pate
    
    1,58
    


        
    


                
    105
    
        apostas","https://www.betclic.pt/futebol-s1/eua-mls-c504/toronto-revolution-m2560434","EUA - MLS","Toronto - Revolution","21/07/2020","14:00","2,05","3,10","3,12","1,62","1,75","1,55","1,90","Acima de 2.5","As duas equipas marcam","1,25","1,25","1,58","Resultado duplo"
"1595158291-350","https://www.betclic.pt/futebol-s1/italia-serie-a-c6","22/07/2020
18:30

                    Itália - Serie A
                
                Parma - Nápoles
            

            
            
                

    Resultado
    
        
            
    
        Pa
        rma
    
    5,15
    


            
    
        Emp
        ate
    
    4,03
    


            
    
        Náp
        oles
    
    1,54
    


        
    


                

    Resultado duplo
    
        
            
    
        Parma ou em
        pate
    
    2,25
    


            
    
        Parma ou Náp
        oles
    
    1,20
    


            
    
        Nápoles ou em
        pate
    
    1,15
    


        
    


                
    106
    
        apostas","https://www.betclic.pt/futebol-s1/italia-serie-a-c6/parma-napoles-m2573586","Itália - Serie A","Parma - Nápoles","22/07/2020","18:30","5,15","4,03","1,54","1,50","2,05","1,58","1,95","Acima de 2.5","As duas equipas marcam","2,25","1,20","1,15","Resultado duplo"
"1595158126-321","https://www.betclic.pt/futebol-s1/inglaterra-premier-lg-c3","Amanhã


20:15

                    Inglaterra - Premier Lg.
                
                Wolves - Crystal Palace
            

            
            
                

    Resultado
    
        
            
    
        Wol
        ves
    
    1,46
    


            
    
        Emp
        ate
    
    3,80
    


            
    
        Crystal Pa
        lace
    
    7,10
    


        
    


                

    Resultado duplo
    
        
            
    
        Wolves ou em
        pate
    
    1,10
    


            
    
        Wolves ou Crystal Pa
        lace
    
    1,20
    


            
    
        Crystal Palace ou em
        pate
    
    2,45
    


        
    


                
    193
    
        apostas","https://www.betclic.pt/futebol-s1/inglaterra-premier-lg-c3/wolves-crystal-palace-m2570201","Inglaterra - Premier Lg.","Wolves - Crystal Palace","Amanhã","20:15","1,46","3,80","7,10","2,05","1,52","2,25","1,45","Acima de 2.5","As duas equipas marcam","1,10","1,20","2,45","Resultado duplo"
"1595158311-354","https://www.betclic.pt/futebol-s1/italia-serie-a-c6","Hoje



20:45

                    Itália - Serie A
                
                Roma - Inter
            

            
            
                

    Resultado
    
        
            
    
        Ro
        ma
    
    3,13
    


            
    
        Emp
        ate
    
    3,77
    


            
    
        In
        ter
    
    2,15
    


        
    


                

    Resultado duplo
    
        
            
    
        Roma ou em
        pate
    
    1,68
    


            
    
        Roma ou I
        nter
    
    1,28
    


            
    
        Inter ou em
        pate
    
    1,38
    


        
    


                
    201
    
        apostas","https://www.betclic.pt/futebol-s1/italia-serie-a-c6/roma-inter-m2567409","Itália - Serie A","Roma - Inter","Hoje","20:45","3,13","3,77","2,15","1,45","2,30","1,40","2,35","Acima de 2.5","As duas equipas marcam","1,68","1,28","1,38","Resultado duplo"
