League,Date,Time,HT,AT
Championship,2020-09-27,1200,Bristol City,Sheffield Wed
La_Liga,2020-09-27,1200,Eibar,Ath Bilbao
Eredivisie,2020-09-27,1230,Utrecht,Waalwijk
Premier_League,2020-09-27,1300,Tottenham,Newcastle
Ligue_1,2020-09-27,1300,Dijon,Montpellier
Ligue_1,2020-09-27,1300,Angers,Brest
Ligue_1,2020-09-27,1300,Monaco,Strasbourg
Ligue_1,2020-09-27,1300,Nimes,Lens
Serie_A,2020-09-27,1300,Verona,Udinese
Bundesliga,2020-09-27,1330,Hoffenheim,Bayern Munich
RFPL,2020-09-27,1330,Akhmat Grozny,Ural
Premiership,2020-09-27,1400,Celtic,Hibernian
Premiership,2020-09-27,1400,Ross County,Aberdeen
La_Liga,2020-09-27,1400,Atl. Madrid,Granada CF
Eredivisie,2020-09-27,1445,Heracles,PSV
Eredivisie,2020-09-27,1445,FC Emmen,Willem II
Championship,2020-09-27,1500,Bournemouth,Norwich
Ligue_1,2020-09-27,1500,Lorient,Lyon
Premier_League,2020-09-27,1530,Manchester City,Leicester
Serie_A,2020-09-27,1600,Napoli,Genoa
RFPL,2020-09-27,1600,R. Volgograd,Rubin Kazan
RFPL,2020-09-27,1600,CSKA Moscow,Lokomotiv Moscow
Serie_A,2020-09-27,1600,Crotone,AC Milan
Bundesliga,2020-09-27,1600,Freiburg,Wolfsburg
La_Liga,2020-09-27,1630,Cadiz CF,Sevilla
La_Liga,2020-09-27,1630,Valladolid,Celta Vigo
Premier_League,2020-09-27,1800,West Ham,Wolves
Serie_A,2020-09-27,1845,AS Roma,Juventus
La_Liga,2020-09-27,1900,Barcelona,Villarreal
Ligue_1,2020-09-27,1900,Reims,Paris SG
RFPL,2020-09-28,1600,Khimki,Dynamo Moscow
Premier_League,2020-09-28,1645,Fulham,Aston Villa
Serie_A,2020-09-28,1845,Bologna,Parma
Premier_League,2020-09-28,1900,Liverpool,Arsenal
La_Liga,2020-09-29,1700,Real Sociedad,Valencia
La_Liga,2020-09-29,1930,Getafe,Betis
Serie_A,2020-09-30,1600,Udinese,Spezia
Serie_A,2020-09-30,1600,Benevento,Inter
La_Liga,2020-09-30,1700,Huesca,Atl. Madrid
La_Liga,2020-09-30,1700,Villarreal,Alaves
Serie_A,2020-09-30,1845,Lazio,Atalanta
La_Liga,2020-09-30,1930,Real Madrid,Valladolid
La_Liga,2020-09-30,1930,Eibar,Elche
La_Liga,2020-10-01,1700,Sevilla,Levante
La_Liga,2020-10-01,1700,Ath Bilbao,Cadiz CF
La_Liga,2020-10-01,1930,Celta Vigo,Barcelona
Eredivisie,2020-10-02,1800,Utrecht,Heerenveen
Bundesliga,2020-10-02,1830,Union Berlin,Mainz
Premiership,2020-10-02,1845,Aberdeen,St. Mirren
Premiership,2020-10-02,1845,Hibernian,Hamilton
Championship,2020-10-02,1845,Coventry,Bournemouth
Premiership,2020-10-02,1845,Dundee Utd,Livingston
Serie_A,2020-10-02,1845,Fiorentina,Sampdoria
Premiership,2020-10-02,1845,Kilmarnock,Motherwell
Ligue_1,2020-10-02,1900,Paris SG,Angers
RFPL,2020-10-03,1100,Ufa,R. Volgograd
Premier_League,2020-10-03,1130,Chelsea,Crystal Palace
Championship,2020-10-03,1130,Norwich,Derby
Serie_A,2020-10-03,1300,Sassuolo,Crotone
Bundesliga,2020-10-03,1330,FC Koln,B. Monchengladbach
RFPL,2020-10-03,1330,Tambov,Arsenal Tula
Bundesliga,2020-10-03,1330,Dortmund,Freiburg
Bundesliga,2020-10-03,1330,Stuttgart,Bayer Leverkusen
Bundesliga,2020-10-03,1330,Werder Bremen,Arminia Bielefeld
