AAD,ABS,ACCC,ACorn,AF,AOff,AP,APass,AR,AS,ASOT,AST,ASaves,AT,ATack,AY,Attendance,Date,FTAG,FTHG,GameID,HAD,HBS,HCCC,HCorn,HF,HOff,HP,HPass,HR,HS,HSOT,HST,HSaves,HT,HTack,HY,League,Time
53.8,1,1,6,17,3,59.1,73.4,0,8,7,0,2,Athletic Bilbao,61.5,3,,2020-10-04,0,1,433813,46.2,1,1,0,20,2,40.9,65.9,1,8,4,3,0,Alaves,57.1,0,La_Liga,1300
56.4,1,0,5,10,3,60.8,78.6,0,9,5,3,2,Celta Vigo,68.4,3,,2020-10-04,0,2,433819,43.6,0,2,6,19,2,39.2,69.4,0,13,8,5,3,Osasuna,70.6,3,La_Liga,1100
63.2,2,1,5,18,1,45.6,87.2,0,13,10,1,4,Sevilla,50.0,1,,2020-10-04,1,1,433815,36.8,2,1,6,11,0,54.4,88.1,0,12,5,5,0,Barcelona,83.3,1,La_Liga,2000
39.4,4,1,5,16,1,58.5,79.1,0,13,4,5,3,Granada,52.2,2,,2020-10-04,1,1,433816,60.6,4,1,2,16,0,41.5,73.5,0,14,6,4,4,Cadiz,64.7,2,La_Liga,1730
57.1,0,2,11,5,1,25.2,57.8,0,14,9,5,2,Cadiz,57.1,0,,2020-10-17,1,0,433831,42.9,4,1,5,7,6,74.8,87.6,0,14,8,2,3,Real Madrid,66.7,2,La_Liga,1730
67.7,1,1,2,10,3,72.7,86.7,0,7,5,1,3,Barcelona,35.7,3,,2020-10-17,0,1,433827,32.3,1,1,7,20,1,27.3,58.1,0,9,4,4,1,Getafe,57.1,4,La_Liga,2000
50.0,1,2,4,18,0,47.9,80.0,0,9,4,4,5,Atletico Madrid,50.0,4,,2020-10-17,2,0,433825,50.0,2,3,8,16,1,52.1,79.5,0,15,8,5,2,Celta Vigo,35.7,3,La_Liga,1500
42.1,1,0,1,24,2,34.0,66.1,0,5,1,3,5,Real Valladolid,40.0,2,,2020-10-18,2,2,433829,57.9,2,1,3,14,1,66.0,83.0,0,12,3,7,1,SD Huesca,80.0,1,La_Liga,1730
41.2,1,1,2,18,9,44.4,72.4,0,8,2,5,1,Real Sociedad,54.5,1,,2020-10-18,3,0,433830,58.8,2,0,6,11,2,55.6,77.8,0,7,4,1,2,Real Betis,75.0,2,La_Liga,2000
54.8,2,1,1,11,0,48.9,79.2,1,8,3,3,2,Sevilla,84.6,2,,2020-10-17,0,1,433828,45.2,8,1,5,16,2,51.1,79.8,0,13,2,3,3,Granada,82.4,4,La_Liga,1200
28.6,2,3,12,17,1,52.3,80.3,0,15,7,6,1,Bayer Leverkusen,50.0,2,"9,500.",2020-10-03,1,1,427470,71.4,1,1,8,8,1,47.7,77.9,0,12,8,3,5,Stuttgart,60.0,3,Bundesliga,1430
58.1,1,0,2,6,4,61.0,85.9,0,9,3,5,0,Bayer Leverkusen,72.2,1,250.,2020-10-17,1,0,427473,41.9,4,0,6,12,5,39.0,76.9,0,6,2,0,4,Mainz,63.0,3,Bundesliga,1430
43.5,3,1,6,11,4,53.4,82.2,0,7,1,3,2,Elche,57.1,5,,2020-10-18,2,0,433823,56.5,4,2,2,11,4,46.6,83.8,0,13,7,2,1,Alaves,60.0,2,La_Liga,1730
61.1,3,1,7,8,2,37.9,83.3,0,11,5,3,4,Valencia,33.3,1,,2020-10-18,1,2,433832,38.9,3,0,3,13,0,62.1,89.6,1,16,7,6,2,Villarreal,55.6,2,La_Liga,1500
30.0,2,0,3,10,2,48.1,77.1,0,6,3,1,2,Levante,68.4,1,,2020-10-18,0,2,433824,70.0,3,2,9,11,3,51.9,80.1,0,14,6,5,1,Athletic Bilbao,50.0,3,La_Liga,1300
66.7,4,2,6,11,3,54.9,82.7,0,15,6,5,3,Borussia Dortmund,77.3,1,"6,030.",2020-10-17,1,0,427480,33.3,2,2,4,13,0,45.1,80.2,0,9,4,3,3,Hoffenheim,78.9,1,Bundesliga,1430
47.1,0,3,4,10,1,36.1,68.0,0,7,5,2,5,Stuttgart,61.1,2,"4,000.",2020-10-17,2,0,427478,52.9,3,1,6,14,1,63.9,83.7,0,15,8,4,0,Hertha Berlin,91.7,2,Bundesliga,1430
63.3,5,3,8,13,1,67.7,85.0,0,16,6,5,2,RB Leipzig,80.0,1,,2020-10-17,2,0,427476,36.7,2,1,5,9,5,32.3,68.9,0,5,1,2,2,FC Augsburg,68.8,0,Bundesliga,1430
61.8,2,1,4,14,1,37.3,76.3,0,13,7,4,4,Werder Bremen,58.3,3,,2020-10-17,1,1,427479,38.2,5,0,4,10,2,62.7,84.3,0,20,11,4,3,SC Freiburg,71.4,3,Bundesliga,1430
52.2,3,3,10,12,2,59.8,84.1,0,15,1,11,1,M'gladbach,82.4,3,300.,2020-10-03,3,1,427463,47.8,3,0,4,16,0,40.2,74.7,0,8,3,2,7,Cologne,72.2,3,Bundesliga,1430
57.9,3,3,5,13,1,47.4,79.1,0,21,12,6,2,PEC Zwolle,71.4,2,,2020-10-21,1,1,431770,42.1,3,0,9,12,4,52.6,75.5,0,11,5,3,4,RKC Waalwijk,91.7,2,Eredivisie,1630
40.5,0,0,7,13,2,46.4,74.2,0,11,5,6,3,1. FC Union Berlin,50.0,1,,2020-10-18,1,1,427477,59.5,3,0,5,7,2,53.6,79.3,0,8,1,4,5,Schalke,70.0,3,Bundesliga,1700
