web-scraper-order,web-scraper-start-url,Games,Games-href,Date,Teams,ODDH,ODDD,ODDA,Warning
"1600972740-416","https://www.oddsportal.com/soccer/england/championship-2019-2020/results/","Preston - Middlesbrough","https://www.oddsportal.com/soccer/england/championship-2019-2020/preston-middlesbrough-p0t3NqHB/","Wednesday, 01 Jan  2020, 14:00","Preston - Middlesbrough","1.97","3.39","4.14","Final result"
"1600972173-189","https://www.oddsportal.com/soccer/england/championship-2019-2020/results/","Stoke - Bristol City","https://www.oddsportal.com/soccer/england/championship-2019-2020/stoke-city-bristol-city-dhN9XkB8/","Saturday, 14 Sep  2019, 14:00","Stoke - Bristol City","2.12","3.45","3.55","Final result"
"1600973016-525","https://www.oddsportal.com/soccer/england/championship-2019-2020/results/","Cardiff - Nottingham","https://www.oddsportal.com/soccer/england/championship-2019-2020/cardiff-nottingham-zmxvniVo/","Tuesday, 25 Feb  2020, 18:45","Cardiff - Nottingham","2.29","3.16","3.39","Final result"
"1600972534-333","https://www.oddsportal.com/soccer/england/championship-2019-2020/results/","Nottingham - Cardiff","https://www.oddsportal.com/soccer/england/championship-2019-2020/nottingham-cardiff-SIGpUlZJ/","Saturday, 30 Nov  2019, 14:00","Nottingham - Cardiff","2.14","3.38","3.56","Final result"
"1600972536-334","https://www.oddsportal.com/soccer/england/championship-2019-2020/results/","Leeds - Middlesbrough","https://www.oddsportal.com/soccer/england/championship-2019-2020/leeds-middlesbrough-2uRoqoLs/","Saturday, 30 Nov  2019, 14:00","Leeds - Middlesbrough","1.27","5.78","12.05","Final result"
"1600972989-514","https://www.oddsportal.com/soccer/england/championship-2019-2020/results/","Stoke - Cardiff","https://www.oddsportal.com/soccer/england/championship-2019-2020/stoke-city-cardiff-QP6TvzOI/","Saturday, 22 Feb  2020, 14:00","Stoke - Cardiff","2.16","3.17","3.73","Final result"
"1600972436-294","https://www.oddsportal.com/soccer/england/championship-2019-2020/results/","Wigan - Brentford","https://www.oddsportal.com/soccer/england/championship-2019-2020/wigan-brentford-YTxpsMfI/","Saturday, 09 Nov  2019, 14:00","Wigan - Brentford","3.38","3.33","2.24","Final result"
"1600972449-299","https://www.oddsportal.com/soccer/england/championship-2019-2020/results/","Millwall - Charlton","https://www.oddsportal.com/soccer/england/championship-2019-2020/millwall-charlton-Kb46dtw8/","Saturday, 09 Nov  2019, 14:00","Millwall - Charlton","2.00","3.42","3.99","Final result"
"1600972524-329","https://www.oddsportal.com/soccer/england/championship-2019-2020/results/","Swansea - Fulham","https://www.oddsportal.com/soccer/england/championship-2019-2020/swansea-fulham-vgKlT8lQ/","Friday, 29 Nov  2019, 18:45","Swansea - Fulham","2.67","3.54","2.59","Final result"
"1600973376-670","https://www.oddsportal.com/soccer/england/championship-2019-2020/results/","Brentford - Fulham","https://www.oddsportal.com/soccer/england/championship-2019-2020/brentford-fulham-Sh5sdH7o/","Tuesday, 04 Aug  2020, 18:45","Brentford - Fulham","2.14","3.16","3.83","Final result"
