web-scraper-order,web-scraper-start-url,Games,Games-href,Date,Teams,ODDH,ODDD,ODDA,Warning
"1600979876-1583","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/results/","Kilmarnock - Hibernian","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/kilmarnock-hibernian-SbIglXb4/","Saturday, 11 May  2019, 14:00","Kilmarnock - Hibernian","1.77","3.60","4.69","Final result"
"1600979514-1449","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/results/","Rangers - Aberdeen","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/rangers-aberdeen-ptWA9IBT/","Wednesday, 05 Dec  2018, 18:45","Rangers - Aberdeen","1.45","4.50","7.09","Final result"
"1600979358-1387","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/results/","St. Mirren - Celtic","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/st-mirren-celtic-nXCLGuI3/","Friday, 14 Sep  2018, 18:45","St. Mirren - Celtic","17.11","7.38","1.17","Final result"
"1600979611-1478","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/results/","Rangers - Hibernian","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/rangers-hibernian-KfxpOxrK/","Wednesday, 26 Dec  2018, 14:00","Rangers - Hibernian","1.50","4.41","6.27","Final result"
"1600979808-1556","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/results/","Kilmarnock - St Johnstone","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/kilmarnock-st-johnstone-GIcoA4KU/","Saturday, 06 Apr  2019, 14:00","Kilmarnock - St Johnstone","1.76","3.60","4.80","Final result"
"1600979635-1487","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/results/","Hibernian - Hearts","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/hibernian-hearts-ChHOGfzf/","Saturday, 29 Dec  2018, 16:30","Hibernian - Hearts","2.25","3.26","3.35","Final result"
"1600979898-1592","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/results/","Kilmarnock - Rangers","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/kilmarnock-rangers-dvAApkbT/","Sunday, 19 May  2019, 14:00","Kilmarnock - Rangers","3.23","3.43","2.20","Final result"
"1600979848-1572","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/results/","Rangers - Aberdeen","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/rangers-aberdeen-2aaWqI7I/","Sunday, 28 Apr  2019, 14:00","Rangers - Aberdeen","1.59","3.89","5.96","Final result"
"1600979341-1380","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/results/","Celtic - Hamilton","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/celtic-hamilton-xrZD19Ca/","Sunday, 26 Aug  2018, 14:00","Celtic - Hamilton","1.12","9.23","22.79","Final result"
"1600979856-1575","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/results/","Motherwell - St. Mirren","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/motherwell-st-mirren-AszpalDM/","Saturday, 04 May  2019, 14:00","Motherwell - St. Mirren","2.02","3.38","3.79","Final result"
"1600979780-1545","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/results/","Kilmarnock - Hamilton","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/kilmarnock-hamilton-QiinEeFl/","Saturday, 30 Mar  2019, 14:00","Kilmarnock - Hamilton","1.57","3.92","6.16","Final result"
"1600979670-1501","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/results/","Kilmarnock - Hearts","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/kilmarnock-hearts-xGSXsXYh/","Friday, 01 Feb  2019, 18:45","Kilmarnock - Hearts","2.37","3.21","3.14","Final result"
"1600979878-1584","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/results/","Inverness - Ayr","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/inverness-ayr-pxhPfet0/","Saturday, 11 May  2019, 14:00","Inverness - Ayr","1.98","3.64","3.48","Final result"
"1600979850-1573","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/results/","Aberdeen - Celtic","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/aberdeen-celtic-vPMaSkxo/","Saturday, 04 May  2019, 11:30","Aberdeen - Celtic","5.53","3.97","1.61","Final result"
"1600979381-1396","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/results/","Aberdeen - Motherwell","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/aberdeen-motherwell-QNBPFaX9/","Saturday, 22 Sep  2018, 14:00","Aberdeen - Motherwell","1.81","3.51","4.68","Final result"
"1600979718-1520","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/results/","St Johnstone - Aberdeen","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/st-johnstone-aberdeen-Gro3gLwM/","Saturday, 23 Feb  2019, 14:00","St Johnstone - Aberdeen","3.68","3.21","2.12","Final result"
"1600979728-1524","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/results/","Celtic - Motherwell","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/celtic-motherwell-CEA3YJ1d/","Sunday, 24 Feb  2019, 14:00","Celtic - Motherwell","1.17","6.89","17.77","Final result"
"1600979301-1364","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/results/","Kilmarnock - St Johnstone","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/kilmarnock-st-johnstone-IJayljr0/","Saturday, 04 Aug  2018, 14:00","Kilmarnock - St Johnstone","2.11","3.21","3.75","Final result"
"1600979891-1589","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/results/","Motherwell - Livingston","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/motherwell-livingston-zoJ7ETC9/","Saturday, 18 May  2019, 11:30","Motherwell - Livingston","2.07","3.39","3.61","Final result"
"1600979331-1376","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/results/","St Johnstone - Dundee FC","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/st-johnstone-dundee-fc-xtffsuRp/","Saturday, 25 Aug  2018, 14:00","St Johnstone - Dundee FC","2.18","3.35","3.42","Final result"
"1600979509-1447","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/results/","Hearts - Rangers","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/hearts-rangers-8pv0iJko/","Sunday, 02 Dec  2018, 11:00","Hearts - Rangers","4.35","3.82","1.78","Final result"
"1600979716-1519","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/results/","Dundee FC - Hibernian","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/dundee-fc-hibernian-lWgnc3vc/","Friday, 22 Feb  2019, 18:45","Dundee FC - Hibernian","4.07","3.68","1.86","Final result"
"1600979826-1563","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/results/","Livingston - St. Mirren","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/livingston-st-mirren-Qg0tuTLj/","Saturday, 20 Apr  2019, 14:00","Livingston - St. Mirren","1.97","3.26","4.20","Final result"
"1600979711-1517","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/results/","Motherwell - Hearts","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/motherwell-hearts-v1CeztXq/","Sunday, 17 Feb  2019, 11:15","Motherwell - Hearts","3.08","3.18","2.41","Final result"
"1600979627-1484","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/results/","Kilmarnock - St. Mirren","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/kilmarnock-st-mirren-6FGSFEk0/","Saturday, 29 Dec  2018, 14:00","Kilmarnock - St. Mirren","1.47","4.12","7.45","Final result"
