,web-scraper-order,web-scraper-start-url,Games,Games-href,League,Date,HomeTeam,AwayTeam,ODDH,ODDD,ODDA,ODD_25+,ODD_25-,Tag25,ODD_15+,ODD_15-,Tag15,ODD_35+,ODD_35-,Tag35,ODD_BthScore_Yes,ODD_BthScore_No,TagBS,ODD_1X,ODD_12,ODD_X2,Tag1X,Tag12,TagX2,Current_Date
0,1596230010-30,https://www.betano.pt/sport/futebol/espanha/laliga/5/,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sexta-feira, 31 Julho 2020 22:13"
1,1596229977-26,https://www.betano.pt/sport/futebol/liga-dos-campeoes/liga-dos-campeoes-jogos/182748r/,"Bayern Munique
              
                Chelsea
                         
            Primeira mão: 3-0",https://www.betano.pt/odds/bayern-munique-chelsea/5916353/,Liga dos Campeões - Jogos,"Sábado, 8 Agosto 2020 20:00",Bayern Munique,Chelsea,1.55,4.25,5.1,-,34.0,Bayern Munique,,,,,,,-,6.95,Total de Golos Mais/Menos (alternativas),1.45,2.65,6.95,Bayern Munique,Chelsea,Sem Golos,"Sexta-feira, 31 Julho 2020 22:12"
2,1596229836-11,https://www.betano.pt/sport/futebol/russia/premier-liga/17098r/,"Spartak Moscovo
              
                PFC Sochi",https://www.betano.pt/odds/spartak-moscovo-pfc-sochi/6091934/,Premier Liga,"Domingo, 9 Agosto 2020 18:00",Spartak Moscovo,PFC Sochi,1.72,3.05,3.7,1.78,1.61,Mais de2.5,1.24,2.68,Mais de1.5,2.9,1.2,Mais de3.5,1.67,1.72,Ambas Equipas Marcam (Sim/Não),1.18,1.23,1.85,1X,12,2X,"Sexta-feira, 31 Julho 2020 22:09"
3,1596229844-12,https://www.betano.pt/sport/futebol/russia/premier-liga/17098r/,"Arsenal Tula
              
                FC Akhmat Grozny",https://www.betano.pt/odds/arsenal-tula-fc-akhmat-grozny/6091968/,Premier Liga,"Domingo, 9 Agosto 2020 17:00",Arsenal Tula,FC Akhmat Grozny,2.2,2.84,2.65,1.85,1.57,Mais de2.5,1.26,2.58,Mais de1.5,3.05,1.17,Mais de3.5,1.65,1.75,Ambas Equipas Marcam (Sim/Não),1.35,1.27,1.47,1X,12,2X,"Sexta-feira, 31 Julho 2020 22:09"
4,1596229868-15,https://www.betano.pt/sport/futebol/russia/premier-liga/17098r/,"FK Khimki
              
                CSKA Moscovo",https://www.betano.pt/odds/fk-khimki-cska-moscovo/6091972/,Premier Liga,"Sábado, 8 Agosto 2020 14:00",FK Khimki,CSKA Moscovo,4.55,3.3,1.53,1.80,1.6,Mais de2.5,1.24,2.68,Mais de1.5,2.96,1.19,Mais de3.5,1.80,1.6,Ambas Equipas Marcam (Sim/Não),2.16,1.19,1.11,1X,12,2X,"Sexta-feira, 31 Julho 2020 22:09"
5,1596230001-29,https://www.betano.pt/sport/futebol/liga-dos-campeoes/liga-dos-campeoes-jogos/182748r/,"Juventus
              
                Lyon
                         
            Primeira mão: 0-1",https://www.betano.pt/odds/juventus-lyon/5916466/,Liga dos Campeões - Jogos,"Sexta-feira, 7 Agosto 2020 20:00",Juventus,Lyon,1.4,4.55,6.85,1.67,1.91,Juventus,,,,,,,1.02,6.85,Total de Golos Mais/Menos (alternativas),1.35,3.35,6.85,Juventus,Lyon,Sem Golos,"Sexta-feira, 31 Julho 2020 22:12"
6,1596229909-19,https://www.betano.pt/sport/futebol/liga-europa/liga-europa-jogos/182761r/,"Bayer Leverkusen
              
                Rangers
                         
            Primeira mão: 3-1",https://www.betano.pt/odds/bayer-leverkusen-rangers/5916106/,Liga Europa - Jogos,"Quinta-feira, 6 Agosto 2020 17:55",Bayer Leverkusen,Rangers,1.65,3.9,4.6,-,14.4,Bayer Leverkusen,,,,,,,1.02,6.8,Total de Golos Mais/Menos (alternativas),1.53,2.64,6.8,Bayer Leverkusen,Rangers,Sem Golos,"Sexta-feira, 31 Julho 2020 22:11"
7,1596229934-22,https://www.betano.pt/sport/futebol/liga-europa/liga-europa-jogos/182761r/,"Shakhtar Donetsk
              
                Wolfsburgo
                         
            Primeira mão: 2-1",https://www.betano.pt/odds/shakhtar-donetsk-wolfsburgo/5916255/,Liga Europa - Jogos,"Quarta-feira, 5 Agosto 2020 17:55",Shakhtar Donetsk,Wolfsburgo,2.3,3.45,2.82,1.14,4.1,Shakhtar Donetsk,,,,,,,1.02,6.7,Total de Golos Mais/Menos (alternativas),1.85,2.05,6.7,Shakhtar Donetsk,Wolfsburgo,Sem Golos,"Sexta-feira, 31 Julho 2020 22:11"
8,1596230099-39,https://www.betano.pt/sport/futebol/italia/serie-a/1635/,"Spal
              
                Fiorentina",https://www.betano.pt/odds/spal-fiorentina/6097002/,Série A,"Domingo, 2 Agosto 2020 17:00",Spal,Fiorentina,6.2,4.7,1.42,1.83,1.72,Mais de3.5,1.08,4.9,Mais de1.5,1.33,2.66,Mais de2.5,1.45,2.25,Ambas Equipas Marcam (Sim/Não),2.67,1.13,1.09,1X,12,2X,"Sexta-feira, 31 Julho 2020 22:14"
9,1596230115-41,https://www.betano.pt/sport/futebol/italia/serie-a/1635/,"Juventus
              
                AS Roma
                SO",https://www.betano.pt/odds/juventus-as-roma/6097000/,Série A,"Sábado, 1 Agosto 2020 19:45",Juventus,AS Roma,2.48,4.07,2.84,2.02,1.63,Mais de3.5,1.11,4.7,Mais de1.5,1.4,2.52,Mais de2.5,1.33,2.62,Ambas Equipas Marcam (Sim/Não),1.42,1.21,1.53,1X,12,2X,"Sexta-feira, 31 Julho 2020 22:14"
10,1596230132-43,https://www.betano.pt/sport/futebol/italia/serie-a/1635/,"AC Milão
              
                Cagliari",https://www.betano.pt/odds/ac-milao-cagliari/6096997/,Série A,"Sábado, 1 Agosto 2020 19:45",AC Milão,Cagliari,1.3,5.6,7.7,1.70,1.85,Mais de3.5,1.05,5.65,Mais de1.5,1.26,2.96,Mais de2.5,1.47,2.2,Ambas Equipas Marcam (Sim/Não),1.05,1.09,3.25,1X,12,2X,"Sexta-feira, 31 Julho 2020 22:14"
11,1596229763-3,https://www.betano.pt/sport/futebol/escocia/premiership/1647r/,"Celtic
              
                Hamilton Academical",https://www.betano.pt/odds/celtic-hamilton-academical/5906399/,Premiership,"Domingo, 2 Agosto 2020 16:30",Celtic,Hamilton Academical,1.08,9.0,21.5,1.78,1.7,Mais de3.5,1.05,5.05,Mais de1.5,1.28,2.68,Mais de2.5,2.25,1.42,Ambas Equipas Marcam (Sim/Não),-,1.04,6.3,1X,12,2X,"Sexta-feira, 31 Julho 2020 22:08"
12,1596230066-35,https://www.betano.pt/sport/futebol/italia/serie-a/1635/,"Sassuolo
              
                Udinese",https://www.betano.pt/odds/sassuolo-udinese/6097008/,Série A,"Domingo, 2 Agosto 2020 19:45",Sassuolo,Udinese,1.88,3.95,3.4,1.88,1.67,Mais de3.5,1.09,4.8,Mais de1.5,1.35,2.58,Mais de2.5,1.33,2.62,Ambas Equipas Marcam (Sim/Não),1.27,1.19,1.83,1X,12,2X,"Sexta-feira, 31 Julho 2020 22:14"
13,1596229787-6,https://www.betano.pt/sport/futebol/escocia/premiership/1647r/,"Dundee United
              
                FC St Johnstone",https://www.betano.pt/odds/dundee-united-fc-st-johnstone/5906395/,Premiership,"Sábado, 1 Agosto 2020 15:00",Dundee United,FC St Johnstone,2.65,3.1,2.63,2.02,1.53,Mais de2.5,1.32,2.54,Mais de1.5,3.45,1.16,Mais de3.5,1.75,1.72,Ambas Equipas Marcam (Sim/Não),1.42,1.27,1.42,1X,12,2X,"Sexta-feira, 31 Julho 2020 22:08"
14,1596229779-5,https://www.betano.pt/sport/futebol/escocia/premiership/1647r/,"Hibernian FC
              
                Kilmarnock FC",https://www.betano.pt/odds/hibernian-fc-kilmarnock-fc/5906396/,Premiership,"Sábado, 1 Agosto 2020 15:00",Hibernian FC,Kilmarnock FC,2.1,3.35,3.3,1.83,1.65,Mais de2.5,1.26,2.82,Mais de1.5,3.1,1.21,Mais de3.5,1.67,1.8,Ambas Equipas Marcam (Sim/Não),1.28,1.24,1.65,1X,12,2X,"Sexta-feira, 31 Julho 2020 22:08"
15,1596230042-33,https://www.betano.pt/sport/futebol/eua/mls/195161/,"San Jose Earthquakes
              
                Minnesota United",https://www.betano.pt/odds/san-jose-earthquakes-minnesota-united/6093582/,MLS,"Domingo, 2 Agosto 2020 01:00",San Jose Earthquakes,Minnesota United,2.25,3.3,3.0,1.60,1.95,San Jose Earthquakes,,,,,,,-,6.55,Total de Golos Mais/Menos (alternativas),1.75,2.04,6.55,San Jose Earthquakes,Minnesota United,Sem Golos,"Sexta-feira, 31 Julho 2020 22:13"
16,1596229885-16,https://www.betano.pt/sport/futebol/liga-europa/liga-europa-jogos/182761r/,"Basileia
              
                Eintracht Frankfurt
                         
            Primeira mão: 3-0",https://www.betano.pt/odds/basileia-eintracht-frankfurt/5916075/,Liga Europa - Jogos,"Quinta-feira, 6 Agosto 2020 20:00",Basileia,Eintracht Frankfurt,2.37,3.55,2.67,-,10.0,Basileia,,,,,,,1.02,6.8,Total de Golos Mais/Menos (alternativas),1.87,2.0,6.8,Basileia,Eintracht Frankfurt,Sem Golos,"Sexta-feira, 31 Julho 2020 22:11"
17,1596229944-23,https://www.betano.pt/sport/futebol/liga-europa/liga-europa-jogos/182761r/,"FC Copenhagen
              
                Istanbul Basaksehir
                         
            Primeira mão: 0-1",https://www.betano.pt/odds/fc-copenhagen-istanbul-basaksehir/5916196/,Liga Europa - Jogos,"Quarta-feira, 5 Agosto 2020 17:55",FC Copenhagen,Istanbul Basaksehir,2.2,3.2,3.15,3.50,1.2,FC Copenhagen,,,,,,,1.03,6.25,Total de Golos Mais/Menos (alternativas),1.83,2.2,6.25,FC Copenhagen,Istanbul Basaksehir,Sem Golos,"Sexta-feira, 31 Julho 2020 22:11"
18,1596229795-7,https://www.betano.pt/sport/futebol/escocia/premiership/1647r/,"Aberdeen FC
              
                Rangers",https://www.betano.pt/odds/aberdeen-fc-rangers/5906398/,Premiership,"Sábado, 1 Agosto 2020 12:30",Aberdeen FC,Rangers,6.85,4.4,1.42,1.61,1.88,Mais de2.5,1.17,3.35,Mais de1.5,2.54,1.32,Mais de3.5,1.80,1.67,Ambas Equipas Marcam (Sim/Não),2.68,1.13,1.07,1X,12,2X,"Sexta-feira, 31 Julho 2020 22:08"
19,1596230083-37,https://www.betano.pt/sport/futebol/italia/serie-a/1635/,"Génova
              
                Hellas Verona",https://www.betano.pt/odds/genova-hellas-verona/6097006/,Série A,"Domingo, 2 Agosto 2020 19:45",Génova,Hellas Verona,1.55,4.25,5.0,2.14,1.5,Mais de3.5,1.12,4.25,Mais de1.5,1.45,2.25,Mais de2.5,1.50,2.13,Ambas Equipas Marcam (Sim/Não),1.14,1.16,2.3,1X,12,2X,"Sexta-feira, 31 Julho 2020 22:14"
20,1596230050-34,https://www.betano.pt/sport/futebol/eua/mls/195161/,"Orlando City SC
              
                Los Angeles FC",https://www.betano.pt/odds/orlando-city-sc-los-angeles-fc/6083895/,MLS,"Sábado, 1 Agosto 2020 00:30",Orlando City SC,Los Angeles FC,3.8,4.1,1.75,2.40,1.38,Orlando City SC,,,,,,,-,10.0,Total de Golos Mais/Menos (alternativas),2.13,1.53,10.0,Orlando City SC,Los Angeles FC,Sem Golos,"Sexta-feira, 31 Julho 2020 22:13"
21,1596229860-14,https://www.betano.pt/sport/futebol/russia/premier-liga/17098r/,"Tambov
              
                Rostov",https://www.betano.pt/odds/tambov-rostov/6091936/,Premier Liga,"Sábado, 8 Agosto 2020 16:30",Tambov,Rostov,3.5,2.94,1.8,1.78,1.61,Mais de2.5,1.24,2.68,Mais de1.5,2.9,1.2,Mais de3.5,1.65,1.75,Ambas Equipas Marcam (Sim/Não),1.75,1.24,1.2,1X,12,2X,"Sexta-feira, 31 Julho 2020 22:09"
22,1596230018-31,https://www.betano.pt/sport/futebol/portugal/primeira-liga/17083/,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sexta-feira, 31 Julho 2020 22:13"
