,web-scraper-order,web-scraper-start-url,Games,Games-href,League,Date,HomeTeam,AwayTeam,ODDH,ODDD,ODDA,ODD_25+,ODD_25-,Tag25,ODD_15+,ODD_15-,Tag15,ODD_35+,ODD_35-,Tag35,ODD_BthScore_Yes,ODD_BthScore_No,TagBS,ODD_1X,ODD_12,ODD_X2,Tag1X,Tag12,TagX2,Current_Date
77,1600447188-150,https://www.betano.pt/sport/futebol/inglaterra/premier-league/1/,"Leicester
              
                Burnley",https://www.betano.pt/odds/leicester-burnley/6283416/,Premier League,"Domingo, 20 Setembro 2020 19:00",Leicester,Burnley,1.6,3.85,5.1,1.80,1.75,Mais de2.5,1.24,3.1,Mais de1.5,3.0,1.26,Mais de3.5,1.83,1.72,Ambas Equipas Marcam (Sim/Não),1.13,1.19,2.2,1X,12.0,2X,"Sexta-feira, 18 Setembro 2020 17:37"
78,1600445985-24,https://www.betano.pt/sport/futebol/alemanha/bundesliga/216r/,"Augsburgo
              
                Borussia Dortmund",https://www.betano.pt/odds/augsburgo-borussia-dortmund/6172670/,Bundesliga,"Sábado, 26 Setembro 2020 14:30",Augsburgo,Borussia Dortmund,5.45,4.45,1.5,2.02,1.57,Mais de3.5,1.10,4.5,Mais de1.5,1.4,2.4,Mais de2.5,1.5,2.17,Ambas Equipas Marcam (Sim/Não),2.45,1.14,1.11,1X,12.0,2X,"Sexta-feira, 18 Setembro 2020 17:18"
79,1600446172-43,https://www.betano.pt/sport/futebol/franca/ligue-1/215r/,"Rennes
              
                Mónaco",https://www.betano.pt/odds/rennes-monaco/6374149/,Ligue 1,"Sábado, 19 Setembro 2020 20:00",Rennes,Mónaco,2.25,3.25,3.05,1.67,1.8,Mais de2.5,1.20,3.15,Mais de1.5,2.64,1.3,Mais de3.5,1.53,2.02,Ambas Equipas Marcam (Sim/Não),1.33,1.25,1.57,1X,12.0,2X,"Sexta-feira, 18 Setembro 2020 17:21"
80,1600446531-80,https://www.betano.pt/sport/futebol/russia/premier-liga/17098r/,"Ural Sverdlovskaya Oblast
              
                Zenit São Petersburgo",https://www.betano.pt/odds/ural-sverdlovskaya-oblast-zenit-sao-petersburgo/6293930/,Premier Liga,"Sábado, 19 Setembro 2020 14:30",Ural Sverdlovskaya Oblast,Zenit São Petersburgo,6.4,4.55,1.42,1.50,2.02,Mais de2.5,1.13,3.65,Mais de1.5,2.3,1.38,Mais de3.5,1.67,1.78,Ambas Equipas Marcam (Sim/Não),2.66,1.12,1.08,1X,12.0,2X,"Sexta-feira, 18 Setembro 2020 17:27"
81,1600446752-103,https://www.betano.pt/sport/futebol/portugal/primeira-liga/17083/,"FC Paços Ferreira
              
                Sporting CP",https://www.betano.pt/odds/fc-pacos-ferreira-sporting-cp/6486170/,Primeira Liga,"Domingo, 27 Setembro 2020 18:30",FC Paços Ferreira,Sporting CP,8.0,4.55,1.36,1.67,1.8,Mais de2.5,1.20,3.15,Mais de1.5,2.72,1.28,Mais de3.5,1.95,1.57,Ambas Equipas Marcam (Sim/Não),2.92,1.13,1.04,1X,12.0,2X,"Sexta-feira, 18 Setembro 2020 17:31"
82,1600446296-56,https://www.betano.pt/sport/futebol/inglaterra/championship/2r/,"Wycombe
              
                Swansea City",https://www.betano.pt/odds/wycombe-swansea-city/6347486/,Championship,"Sábado, 26 Setembro 2020 12:30",Wycombe,Swansea City,4.3,3.1,1.91,2.02,1.53,Mais de2.5,1.32,2.54,Mais de1.5,3.4,1.17,Mais de3.5,1.8,1.67,Ambas Equipas Marcam (Sim/Não),1.80,1.27,1.18,1X,12.0,2X,"Sexta-feira, 18 Setembro 2020 17:23"
83,1600446075-34,https://www.betano.pt/sport/futebol/alemanha/bundesliga/216r/,"Eintracht Frankfurt
              
                Arminia Bielefeld",https://www.betano.pt/odds/eintracht-frankfurt-arminia-bielefeld/6170553/,Bundesliga,"Sábado, 19 Setembro 2020 14:30",Eintracht Frankfurt,Arminia Bielefeld,1.63,4.0,4.65,1.50,2.15,Mais de2.5,1.14,3.95,Mais de1.5,2.25,1.45,Mais de3.5,1.53,2.11,Ambas Equipas Marcam (Sim/Não),1.15,1.18,2.15,1X,12.0,2X,"Sexta-feira, 18 Setembro 2020 17:18"
84,1600446690-97,https://www.betano.pt/sport/futebol/espanha/laliga/5/,"Huesca
              
                Cádiz CF",https://www.betano.pt/odds/huesca-cadiz-cf/6444108/,LaLiga,"Domingo, 20 Setembro 2020 15:00",Huesca,Cádiz CF,2.12,2.86,3.85,1.45,2.25,Mais de1.5,2.40,1.4,Mais de2.5,4.33,1.11,Mais de3.5,2.02,1.57,Ambas Equipas Marcam (Sim/Não),1.22,1.33,1.65,1X,12.0,2X,"Sexta-feira, 18 Setembro 2020 17:29"
85,1600447080-138,https://www.betano.pt/sport/futebol/inglaterra/premier-league/1/,"Liverpool
              
                Arsenal",https://www.betano.pt/odds/liverpool-arsenal/6422379/,Premier League,"Segunda-feira, 28 Setembro 2020 20:15",Liverpool,Arsenal,1.55,4.15,5.1,2.17,1.5,Mais de3.5,1.13,4.1,Mais de1.5,1.47,2.2,Mais de2.5,1.5,2.13,Ambas Equipas Marcam (Sim/Não),1.13,1.16,2.25,1X,12.0,2X,"Sexta-feira, 18 Setembro 2020 17:37"
86,1600447240-156,https://www.betano.pt/sport/futebol/inglaterra/premier-league/1/,"Leeds United
              
                Fulham",https://www.betano.pt/odds/leeds-united-fulham/6283414/,Premier League,"Sábado, 19 Setembro 2020 15:00",Leeds United,Fulham,1.6,3.85,5.15,1.80,1.75,Mais de2.5,1.24,3.1,Mais de1.5,2.96,1.26,Mais de3.5,1.8,1.75,Ambas Equipas Marcam (Sim/Não),1.13,1.19,2.2,1X,12.0,2X,"Sexta-feira, 18 Setembro 2020 17:37"
