,web-scraper-order,web-scraper-start-url,Games,Games-href,League,Date,HomeTeam,AwayTeam,ODDH,ODDD,ODDA,ODD_25+,ODD_25-,Tag25,ODD_15+,ODD_15-,Tag15,ODD_35+,ODD_35-,Tag35,ODD_BthScore_Yes,ODD_BthScore_No,TagBS,ODD_1X,ODD_12,ODD_X2,Tag1X,Tag12,TagX2,Current_Date
0,1595507494-410,https://www.betano.pt/sport/futebol/italia/serie-a/1635/,"Hellas Verona
              
                Lázio",https://www.betano.pt/odds/hellas-verona-lazio/6032415/,Série A,"Domingo, 26 Julho 2020 18:30",Hellas Verona,Lázio,3.4,3.45,2.02,1.57,2.02,Mais de2.5,1.17,3.65,Mais de1.5,2.4,1.4,Mais de3.5,1.50,2.19,Ambas Equipas Marcam (Sim/Não),1.70,1.24,1.27,1X,12,2X,"Quinta-feira, 23 Julho 2020 13:31"
1,1595507600-422,https://www.betano.pt/sport/futebol/inglaterra/premier-league/1/,"Southampton
              
                Sheffield United",https://www.betano.pt/odds/southampton-sheffield-united/5882508/,Premier League,"Domingo, 26 Julho 2020 16:00",Southampton,Sheffield United,2.16,3.3,3.2,1.78,1.75,Mais de2.5,1.25,3.05,Mais de1.5,2.9,1.27,Mais de3.5,1.63,1.95,Ambas Equipas Marcam (Sim/Não),1.30,1.26,1.61,1X,12,2X,"Quinta-feira, 23 Julho 2020 13:32"
2,1595507168-375,https://www.betano.pt/sport/futebol/escocia/premiership/1647r/,"Ross County
              
                Motherwell FC",https://www.betano.pt/odds/ross-county-motherwell-fc/5906394/,Premiership,"Segunda-feira, 3 Agosto 2020 19:45",Ross County,Motherwell FC,2.92,3.4,2.25,1.80,1.67,Mais de2.5,1.24,2.92,Mais de1.5,3.0,1.22,Mais de3.5,1.65,1.85,Ambas Equipas Marcam (Sim/Não),1.55,1.23,1.36,1X,12,2X,"Quinta-feira, 23 Julho 2020 13:25"
3,1595507274-387,https://www.betano.pt/sport/futebol/liga-europa/liga-europa-jogos/182761r/,"Manchester United
              
                Linz
                         
            Primeira mão: 5-0",https://www.betano.pt/odds/manchester-united-linz/5916232/,Liga Europa - Jogos,"Quarta-feira, 5 Agosto 2020 20:00",Manchester United,Linz,1.28,5.4,9.0,1.47,2.2,Mais de2.5,1.12,4.2,Mais de1.5,2.2,1.47,Mais de3.5,1.83,1.72,Ambas Equipas Marcam (Sim/Não),1.04,1.13,3.3,1X,12,2X,"Quinta-feira, 23 Julho 2020 13:26"
4,1595507657-429,https://www.betano.pt/sport/futebol/inglaterra/premier-league/1/,"Burnley
              
                Brighton",https://www.betano.pt/odds/burnley-brighton/5793746/,Premier League,"Domingo, 26 Julho 2020 16:00",Burnley,Brighton,2.25,3.3,3.0,1.80,1.75,Mais de2.5,1.26,3.0,Mais de1.5,2.98,1.26,Mais de3.5,1.65,1.91,Ambas Equipas Marcam (Sim/Não),1.33,1.26,1.55,1X,12,2X,"Quinta-feira, 23 Julho 2020 13:32"
5,1595507560-418,https://www.betano.pt/sport/futebol/italia/serie-a/1635/,"AC Milão
              
                Atalanta",https://www.betano.pt/odds/ac-milao-atalanta/6032407/,Série A,"Sexta-feira, 24 Julho 2020 20:45",AC Milão,Atalanta,2.8,3.95,2.13,1.83,1.72,Mais de3.5,1.07,5.2,Mais de1.5,1.31,2.72,Mais de2.5,1.30,2.76,Ambas Equipas Marcam (Sim/Não),1.63,1.18,1.38,1X,12,2X,"Quinta-feira, 23 Julho 2020 13:31"
6,1595507193-378,https://www.betano.pt/sport/futebol/escocia/premiership/1647r/,"St Mirren
              
                Livingston FC",https://www.betano.pt/odds/st-mirren-livingston-fc/5906397/,Premiership,"Sábado, 1 Agosto 2020 15:00",St Mirren,Livingston FC,2.54,3.2,2.68,2.02,1.53,Mais de2.5,1.32,2.56,Mais de1.5,3.45,1.16,Mais de3.5,1.75,1.72,Ambas Equipas Marcam (Sim/Não),1.40,1.26,1.45,1X,12,2X,"Quinta-feira, 23 Julho 2020 13:25"
7,1595507470-408,https://www.betano.pt/sport/futebol/eua/mls/195161/,"Chicago Fire
              
                Vancouver Whitecaps FC",https://www.betano.pt/odds/chicago-fire-vancouver-whitecaps-fc/6010032/,MLS,"Quinta-feira, 23 Julho 2020 14:00",Chicago Fire,Vancouver Whitecaps FC,1.61,4.05,4.7,1.55,1.95,Mais de2.5,1.14,3.55,Mais de1.5,2.37,1.35,Mais de3.5,1.57,1.9,Ambas Equipas Marcam (Sim/Não),1.15,1.16,2.18,1X,12,2X,"Quinta-feira, 23 Julho 2020 13:30"
8,1595507511-412,https://www.betano.pt/sport/futebol/italia/serie-a/1635/,"Cagliari
              
                Udinese",https://www.betano.pt/odds/cagliari-udinese/6032413/,Série A,"Domingo, 26 Julho 2020 18:30",Cagliari,Udinese,3.25,3.3,2.14,1.75,1.8,Mais de2.5,1.24,3.1,Mais de1.5,2.84,1.28,Mais de3.5,1.60,2.0,Ambas Equipas Marcam (Sim/Não),1.63,1.26,1.3,1X,12,2X,"Quinta-feira, 23 Julho 2020 13:31"
9,1595507453-406,https://www.betano.pt/sport/futebol/eua/mls/195161/,"Los Angeles FC
              
                Portland Timbers",https://www.betano.pt/odds/los-angeles-fc-portland-timbers/5986929/,MLS,"Sexta-feira, 24 Julho 2020 03:30",Los Angeles FC,Portland Timbers,1.61,4.15,4.55,1.80,1.65,Mais de3.5,1.07,4.5,Mais de1.5,1.31,2.52,Mais de2.5,1.35,2.4,Ambas Equipas Marcam (Sim/Não),1.16,1.15,2.16,1X,12,2X,"Quinta-feira, 23 Julho 2020 13:30"
10,1595507519-413,https://www.betano.pt/sport/futebol/italia/serie-a/1635/,"AS Roma
              
                Fiorentina",https://www.betano.pt/odds/as-roma-fiorentina/6032412/,Série A,"Domingo, 26 Julho 2020 18:30",AS Roma,Fiorentina,1.61,4.1,4.6,2.10,1.53,Mais de3.5,1.12,4.25,Mais de1.5,1.44,2.3,Mais de2.5,1.47,2.2,Ambas Equipas Marcam (Sim/Não),1.16,1.17,2.17,1X,12,2X,"Quinta-feira, 23 Julho 2020 13:31"
11,1595507315-391,https://www.betano.pt/sport/futebol/liga-dos-campeoes/liga-dos-campeoes-jogos/182748r/,"Atalanta
              
                PSG
                         
            Em local neutro",https://www.betano.pt/odds/atalanta-psg/5924176/,Liga dos Campeões - Jogos,"Quarta-feira, 12 Agosto 2020 20:00",Atalanta,PSG,3.2,3.6,2.05,2.13,1.53,Atalanta,,,,,,,1.02,6.9,Total de Golos Mais/Menos (alternativas),2.16,1.72,6.9,Atalanta,PSG,Sem Golos,"Quinta-feira, 23 Julho 2020 13:28"
12,1595507592-421,https://www.betano.pt/sport/futebol/inglaterra/premier-league/1/,"West Ham
              
                Aston Villa",https://www.betano.pt/odds/west-ham-aston-villa/5882509/,Premier League,"Domingo, 26 Julho 2020 16:00",West Ham,Aston Villa,3.05,3.4,2.19,1.55,2.05,Mais de2.5,1.16,3.7,Mais de1.5,2.37,1.42,Mais de3.5,1.47,2.2,Ambas Equipas Marcam (Sim/Não),1.60,1.24,1.33,1X,12,2X,"Quinta-feira, 23 Julho 2020 13:32"
13,1595507421-403,https://www.betano.pt/sport/futebol/portugal/primeira-liga/17083/,"Boavista
              
                Rio Ave",https://www.betano.pt/odds/boavista-rio-ave/6020638/,Primeira Liga,"Sábado, 25 Julho 2020 19:00",Boavista,Rio Ave,4.3,3.75,1.72,1.70,1.85,Mais de2.5,1.21,3.3,Mais de1.5,2.76,1.3,Mais de3.5,1.67,1.88,Ambas Equipas Marcam (Sim/Não),2.00,1.2,1.18,1X,12,2X,"Quinta-feira, 23 Julho 2020 13:29"
14,1595507234-382,https://www.betano.pt/sport/futebol/liga-europa/liga-europa-jogos/182761r/,"Basileia
              
                Eintracht Frankfurt
                         
            Primeira mão: 3-0",https://www.betano.pt/odds/basileia-eintracht-frankfurt/5916075/,Liga Europa - Jogos,"Quinta-feira, 6 Agosto 2020 20:00",Basileia,Eintracht Frankfurt,2.58,3.35,2.54,-,10.0,Basileia,,,,,,,1.02,6.65,Total de Golos Mais/Menos (alternativas),1.95,1.95,6.65,Basileia,Eintracht Frankfurt,Sem Golos,"Quinta-feira, 23 Julho 2020 13:26"
15,1595507617-424,https://www.betano.pt/sport/futebol/inglaterra/premier-league/1/,"Manchester City
              
                Norwich City",https://www.betano.pt/odds/manchester-city-norwich-city/5793767/,Premier League,"Domingo, 26 Julho 2020 16:00",Manchester City,Norwich City,1.07,10.0,23.0,2.12,1.53,Mais de4.5,1.02,6.5,Mais de1.5,1.17,3.65,Mais de2.5,2.10,1.53,Ambas Equipas Marcam (Sim/Não),-,1.03,7.15,1X,12,2X,"Quinta-feira, 23 Julho 2020 13:32"
