,web-scraper-order,web-scraper-start-url,Games,Games-href,League,Date,HomeTeam,AwayTeam,ODDH,ODDD,ODDA,ODD_25+,ODD_25-,Tag25,ODD_15+,ODD_15-,Tag15,ODD_35+,ODD_35-,Tag35,ODD_BthScore_Yes,ODD_BthScore_No,TagBS,ODD_1X,ODD_12,ODD_X2,Tag1X,Tag12,TagX2,Current_Date
0,1599607385-15,https://www.betano.pt/sport/futebol/alemanha/bundesliga/216r/,"Estugarda
              
                Friburgo",https://www.betano.pt/odds/estugarda-friburgo/6170643/,Bundesliga,"Sábado, 19 Setembro 2020 14:30",Estugarda,Friburgo,2.2,3.35,3.05,1.7,1.85,Mais de2.5,1.22,3.2,Mais de1.5,2.72,1.31,Mais de3.5,1.57,2.02,Ambas Equipas Marcam (Sim/Não),1.32,1.25,1.60,1X,12.0,2X,"Quarta-feira, 9 Setembro 2020 00:20"
1,1599607563-34,https://www.betano.pt/sport/futebol/franca/ligue-1/215r/,"Angers
              
                Stade Reims",https://www.betano.pt/odds/angers-stade-reims/6374132/,Ligue 1,"Domingo, 13 Setembro 2020 14:00",Angers,Stade Reims,2.3,2.92,3.3,1.47,2.12,Mais de1.5,2.45,1.35,Mais de2.5,4.45,1.08,Mais de3.5,2.04,1.53,Ambas Equipas Marcam (Sim/Não),1.28,1.31,1.55,1X,12.0,2X,"Quarta-feira, 9 Setembro 2020 00:23"
2,1599607952-74,https://www.betano.pt/sport/futebol/espanha/laliga/5/,"Villarreal
              
                Eibar",https://www.betano.pt/odds/villarreal-eibar/6444106/,LaLiga,"Sábado, 19 Setembro 2020 15:00",Villarreal,Eibar,1.67,3.9,4.45,1.57,2.02,Mais de2.5,1.17,3.65,Mais de1.5,2.45,1.38,Mais de3.5,1.57,2.02,Ambas Equipas Marcam (Sim/Não),1.17,1.19,2.05,1X,12.0,2X,"Quarta-feira, 9 Setembro 2020 00:31"
3,1599607767-55,https://www.betano.pt/sport/futebol/escocia/premiership/1647r/,"St Mirren
              
                Hibernian FC",https://www.betano.pt/odds/st-mirren-hibernian-fc/6222970/,Premiership,"Sábado, 12 Setembro 2020 15:00",St Mirren,Hibernian FC,3.4,3.25,2.1,1.91,1.6,Mais de2.5,1.28,2.7,Mais de1.5,3.25,1.19,Mais de3.5,1.72,1.75,Ambas Equipas Marcam (Sim/Não),1.65,1.25,1.27,1X,12.0,2X,"Quarta-feira, 9 Setembro 2020 00:28"
4,1599608298-110,https://www.betano.pt/sport/futebol/inglaterra/premier-league/1/,"Manchester United
              
                Crystal Palace FC",https://www.betano.pt/odds/manchester-united-crystal-palace-fc/6283417/,Premier League,"Sábado, 19 Setembro 2020 17:30",Manchester United,Crystal Palace FC,1.27,5.25,9.75,2.14,1.5,Mais de3.5,1.12,4.15,Mais de1.5,1.45,2.25,Mais de2.5,1.8,1.75,Ambas Equipas Marcam (Sim/Não),1.03,1.13,3.40,1X,12.0,2X,"Quarta-feira, 9 Setembro 2020 00:37"
5,1599607713-50,https://www.betano.pt/sport/futebol/inglaterra/championship/2r/,"Wycombe
              
                Rotherham",https://www.betano.pt/odds/wycombe-rotherham/6292093/,Championship,"Sábado, 12 Setembro 2020 12:30",Wycombe,Rotherham,2.72,3.15,2.54,1.75,1.72,Mais de2.5,1.23,2.96,Mais de1.5,2.82,1.26,Mais de3.5,1.57,1.95,Ambas Equipas Marcam (Sim/Não),1.45,1.26,1.40,1X,12.0,2X,"Quarta-feira, 9 Setembro 2020 00:26"
6,1599608068-86,https://www.betano.pt/sport/futebol/portugal/primeira-liga/17083/,"CD Santa Clara
              
                CS Marítimo",https://www.betano.pt/odds/cd-santa-clara-cs-maritimo/6361734/,Primeira Liga,"Domingo, 20 Setembro 2020 16:00",CD Santa Clara,CS Marítimo,2.2,3.0,3.4,2.14,1.5,Mais de2.5,1.36,2.5,Mais de1.5,3.75,1.16,Mais de3.5,1.83,1.72,Ambas Equipas Marcam (Sim/Não),1.27,1.31,1.57,1X,12.0,2X,"Quarta-feira, 9 Setembro 2020 00:33"
7,1599607519-29,https://www.betano.pt/sport/futebol/franca/ligue-1/215r/,"PSG
              
                FC Metz",https://www.betano.pt/odds/psg-fc-metz/6317840/,Ligue 1,"Quarta-feira, 16 Setembro 2020 20:00",PSG,FC Metz,1.09,9.0,20.0,2.1,1.53,Mais de4.5,1.02,6.55,Mais de1.5,1.16,3.75,Mais de2.5,1.83,1.65,Ambas Equipas Marcam (Sim/Não),-,1.04,6.20,1X,12.0,2X,"Quarta-feira, 9 Setembro 2020 00:23"
8,1599607484-25,https://www.betano.pt/sport/futebol/franca/ligue-1/215r/,"Rennes
              
                Mónaco",https://www.betano.pt/odds/rennes-monaco/6374149/,Ligue 1,"Sábado, 19 Setembro 2020 20:00",Rennes,Mónaco,2.35,3.3,2.86,1.72,1.75,Mais de2.5,1.22,3.05,Mais de1.5,2.76,1.27,Mais de3.5,1.57,1.95,Ambas Equipas Marcam (Sim/Não),1.36,1.24,1.53,1X,12.0,2X,"Quarta-feira, 9 Setembro 2020 00:23"
9,1599607554-33,https://www.betano.pt/sport/futebol/franca/ligue-1/215r/,"Dijon
              
                Stade Brestois 29",https://www.betano.pt/odds/dijon-stade-brestois-29/6374134/,Ligue 1,"Domingo, 13 Setembro 2020 14:00",Dijon,Stade Brestois 29,2.4,3.0,3.05,1.9,1.6,Mais de2.5,1.28,2.7,Mais de1.5,3.15,1.2,Mais de3.5,1.67,1.8,Ambas Equipas Marcam (Sim/Não),1.32,1.28,1.50,1X,12.0,2X,"Quarta-feira, 9 Setembro 2020 00:23"
