,web-scraper-order,web-scraper-start-url,Games,Games-href,League,Date,HomeTeam,AwayTeam,ODDH,ODDD,ODDA,ODD_25+,ODD_25-,Tag25,ODD_15+,ODD_15-,Tag15,ODD_35+,ODD_35-,Tag35,ODD_BthScore_Yes,ODD_BthScore_No,TagBS,ODD_1X,ODD_12,ODD_X2,Tag1X,Tag12,TagX2,Current_Date,SOdds
45,1601640762-119,https://www.betano.pt/sport/futebol/portugal/primeira-liga/17083/,"CD Nacional Madeira
              
                Belenenses SAD",https://www.betano.pt/odds/cd-nacional-madeira-belenenses-sad/6568907/,Primeira Liga,"Domingo, 4 Outubro 2020 15:30",CD Nacional Madeira,Belenenses SAD,2.3,2.98,3.25,2.20,1.44,Mais de2.5,1.4,2.3,Mais de1.5,3.9,1.12,Mais de3.5,1.88,1.61,Ambas Equipas Marcam (Sim/Não),1.30,1.3,1.55,1X,12.0,2X,"Sexta-feira, 2 Outubro 2020 13:10",
46,1601640376-74,https://www.betano.pt/sport/futebol/inglaterra/championship/2r/,"Rotherham
              
                Huddersfield",https://www.betano.pt/odds/rotherham-huddersfield/6411310/,Championship,"Sábado, 3 Outubro 2020 15:00",Rotherham,Huddersfield,2.35,3.0,3.1,2.05,1.50,Mais de2.5,1.33,2.5,Mais de1.5,3.5,1.16,Mais de3.5,1.75,1.72,Ambas Equipas Marcam (Sim/Não),1.31,1.28,1.53,1X,12.0,2X,"Sexta-feira, 2 Outubro 2020 13:03",
47,1601640722-114,https://www.betano.pt/sport/futebol/portugal/primeira-liga/17083/,"FC Paços Ferreira
              
                CD Santa Clara",https://www.betano.pt/odds/fc-pacos-ferreira-cd-santa-clara/6644915/,Primeira Liga,"Terça-feira, 20 Outubro 2020 20:00",FC Paços Ferreira,CD Santa Clara,2.54,3.3,2.6,2.05,1.50,Mais de2.5,1.32,2.54,Mais de1.5,3.6,1.15,Mais de3.5,1.8,1.67,Ambas Equipas Marcam (Sim/Não),1.44,1.23,1.45,1X,12.0,2X,"Sexta-feira, 2 Outubro 2020 13:10",
48,1601640494-87,https://www.betano.pt/sport/futebol/russia/premier-liga/17098r/,"PFC Sochi
              
                Rostov",https://www.betano.pt/odds/pfc-sochi-rostov/6419926/,Premier Liga,"Domingo, 4 Outubro 2020 14:30",PFC Sochi,Rostov,2.58,3.05,2.74,2.11,1.45,Mais de2.5,1.35,2.4,Mais de1.5,3.65,1.13,Mais de3.5,1.8,1.65,Ambas Equipas Marcam (Sim/Não),1.40,1.28,1.44,1X,12.0,2X,"Sexta-feira, 2 Outubro 2020 13:07",
49,1601641004-148,https://www.betano.pt/sport/futebol/inglaterra/premier-league/1/,"Leicester
              
                Aston Villa",https://www.betano.pt/odds/leicester-aston-villa/6458218/,Premier League,"Sábado, 17 Outubro 2020 16:00",Leicester,Aston Villa,1.55,3.85,5.6,1.55,2.05,Mais de2.5,1.16,3.75,Mais de1.5,2.35,1.42,Mais de3.5,1.6,2.0,Ambas Equipas Marcam (Sim/Não),1.11,1.19,2.3,1X,12.0,2X,"Sexta-feira, 2 Outubro 2020 13:15",
50,1601640309-65,https://www.betano.pt/sport/futebol/inglaterra/championship/2r/,"Swansea City
              
                Huddersfield",https://www.betano.pt/odds/swansea-city-huddersfield/6539925/,Championship,"Sábado, 17 Outubro 2020 15:00",Swansea City,Huddersfield,2.11,3.25,3.35,1.23,1.57,1X,,,,,,,,,,,,,,,,"Sexta-feira, 2 Outubro 2020 13:03",
51,1601640257-58,https://www.betano.pt/sport/futebol/inglaterra/championship/2r/,"Luton Town
              
                Stoke City",https://www.betano.pt/odds/luton-town-stoke-city/6539939/,Championship,"Sábado, 17 Outubro 2020 15:00",Luton Town,Stoke City,2.96,3.25,2.3,1.47,1.30,1X,,,,,,,,,,,,,,,,"Sexta-feira, 2 Outubro 2020 13:03",
52,1601640747-117,https://www.betano.pt/sport/futebol/portugal/primeira-liga/17083/,"SL Benfica
              
                SC Farense",https://www.betano.pt/odds/sl-benfica-sc-farense/6568911/,Primeira Liga,"Domingo, 4 Outubro 2020 18:30",SL Benfica,SC Farense,1.1,8.5,20.0,1.95,1.57,Mais de3.5,1.08,4.45,Mais de1.5,1.36,2.4,Mais de2.5,2.25,1.42,Ambas Equipas Marcam (Sim/Não),-,1.05,5.85,1X,12.0,2X,"Sexta-feira, 2 Outubro 2020 13:10",
53,1601640227-55,https://www.betano.pt/sport/futebol/franca/ligue-1/215r/,"RC Lens
              
                Saint-Étienne",https://www.betano.pt/odds/rc-lens-saint-etienne/6422097/,Ligue 1,"Sábado, 3 Outubro 2020 16:00",RC Lens,Saint-Étienne,2.0,3.3,3.6,2.00,1.55,Mais de2.5,1.31,2.6,Mais de1.5,3.4,1.17,Mais de3.5,1.8,1.67,Ambas Equipas Marcam (Sim/Não),1.25,1.24,1.72,1X,12.0,2X,"Sexta-feira, 2 Outubro 2020 13:01",
54,1601640044-32,https://www.betano.pt/sport/futebol/alemanha/bundesliga/216r/,"Werder Bremen
              
                Arminia Bielefeld",https://www.betano.pt/odds/werder-bremen-arminia-bielefeld/6562365/,Bundesliga,"Sábado, 3 Outubro 2020 14:30",Werder Bremen,Arminia Bielefeld,2.12,3.45,3.15,1.65,1.91,Mais de2.5,1.2,3.35,Mais de1.5,2.62,1.33,Mais de3.5,1.53,2.1,Ambas Equipas Marcam (Sim/Não),1.31,1.23,1.65,1X,12.0,2X,"Sexta-feira, 2 Outubro 2020 12:58",
