,web-scraper-order,web-scraper-start-url,Games,Games-href,League,Date,HomeTeam,AwayTeam,ODDH,ODDD,ODDA,ODD_25+,ODD_25-,Tag25,ODD_15+,ODD_15-,Tag15,ODD_35+,ODD_35-,Tag35,ODD_BthScore_Yes,ODD_BthScore_No,TagBS,ODD_1X,ODD_12,ODD_X2,Tag1X,Tag12,TagX2,Current_Date
0,1598789322-65,https://www.betano.pt/sport/futebol/portugal/primeira-liga/17083/,"CD Santa Clara
              
                CS Marítimo",https://www.betano.pt/odds/cd-santa-clara-cs-maritimo/6361734/,Primeira Liga,"Segunda-feira, 21 Setembro 2020 20:00",CD Santa Clara,CS Marítimo,2.45,3.15,2.82,2.11,1.53,Mais de2.5,1.35,2.56,Mais de1.5,3.75,1.16,Mais de3.5,1.83,1.72,Ambas Equipas Marcam (Sim/Não),1.38,1.28,1.47,1X,12.0,2X,"Domingo, 30 Agosto 2020 13:07"
1,1598788949-26,https://www.betano.pt/sport/futebol/franca/ligue-1/215r/,"FC Metz
              
                Mónaco",https://www.betano.pt/odds/fc-metz-monaco/6304107/,Ligue 1,"Domingo, 30 Agosto 2020 14:00",FC Metz,Mónaco,4.0,3.6,1.91,1.80,1.83,Mais de2.5,1.25,3.3,Mais de1.5,3.0,1.3,Mais de3.5,1.65,1.9,Ambas Equipas Marcam (Sim/Não),1.83,1.23,1.22,1X,12.0,2X,"Domingo, 30 Agosto 2020 13:01"
2,1598788815-12,https://www.betano.pt/sport/futebol/alemanha/bundesliga/216r/,"Wolfsburgo
              
                Bayer Leverkusen",https://www.betano.pt/odds/wolfsburgo-bayer-leverkusen/6170715/,Bundesliga,"Domingo, 20 Setembro 2020 17:00",Wolfsburgo,Bayer Leverkusen,2.78,3.45,2.33,1.63,1.95,Mais de2.5,1.19,3.45,Mais de1.5,2.54,1.36,Mais de3.5,1.5,2.14,Ambas Equipas Marcam (Sim/Não),1.53,1.23,1.38,1X,12.0,2X,"Domingo, 30 Agosto 2020 12:58"
3,1598789200-52,https://www.betano.pt/sport/futebol/russia/premier-liga/17098r/,"FC Akhmat Grozny
              
                CSKA Moscovo",https://www.betano.pt/odds/fc-akhmat-grozny-cska-moscovo/6111535/,Premier Liga,"Domingo, 30 Agosto 2020 16:00",FC Akhmat Grozny,CSKA Moscovo,3.3,3.05,1.83,1.87,1.55,Mais de2.5,1.26,2.58,Mais de1.5,3.1,1.17,Mais de3.5,1.72,1.67,Ambas Equipas Marcam (Sim/Não),1.75,1.23,1.22,1X,12.0,2X,"Domingo, 30 Agosto 2020 13:06"
4,1598789304-63,https://www.betano.pt/sport/futebol/portugal/primeira-liga/17083/,"Moreirense FC
              
                SC Farense",https://www.betano.pt/odds/moreirense-fc-sc-farense/6361740/,Primeira Liga,"Segunda-feira, 21 Setembro 2020 20:00",Moreirense FC,SC Farense,1.75,3.6,4.35,1.88,1.67,Mais de2.5,1.27,2.92,Mais de1.5,3.2,1.22,Mais de3.5,1.83,1.72,Ambas Equipas Marcam (Sim/Não),1.17,1.21,1.95,1X,12.0,2X,"Domingo, 30 Agosto 2020 13:07"
5,1598789036-35,https://www.betano.pt/sport/futebol/inglaterra/championship/2r/,"Derby County
              
                Reading",https://www.betano.pt/odds/derby-county-reading/6292087/,Championship,"Sábado, 12 Setembro 2020 15:00",Derby County,Reading,2.02,3.35,3.5,1.80,1.67,Mais de2.5,1.24,2.9,Mais de1.5,2.94,1.23,Mais de3.5,1.65,1.83,Ambas Equipas Marcam (Sim/Não),1.26,1.23,1.72,1X,12.0,2X,"Domingo, 30 Agosto 2020 13:02"
6,1598789429-76,https://www.betano.pt/sport/futebol/inglaterra/premier-league/1/,"Everton
              
                West Brom",https://www.betano.pt/odds/everton-west-brom/6283413/,Premier League,"Sábado, 19 Setembro 2020 16:00",Everton,West Brom,1.57,3.45,6.45,1.63,1.95,Mais de2.5,1.18,3.55,Mais de1.5,2.54,1.36,Mais de3.5,1.61,1.95,Ambas Equipas Marcam (Sim/Não),1.06,1.23,2.16,1X,12.0,2X,"Domingo, 30 Agosto 2020 13:09"
7,1598789217-54,https://www.betano.pt/sport/futebol/russia/premier-liga/17098r/,"Lokomotiv Moscovo
              
                Zenit São Petersburgo",https://www.betano.pt/odds/lokomotiv-moscovo-zenit-sao-petersburgo/6111561/,Premier Liga,"Domingo, 30 Agosto 2020 14:00",Lokomotiv Moscovo,Zenit São Petersburgo,4.1,3.4,1.55,1.61,1.78,Mais de2.5,1.17,3.1,Mais de1.5,2.5,1.28,Mais de3.5,1.6,1.8,Ambas Equipas Marcam (Sim/Não),2.10,1.18,1.14,1X,12.0,2X,"Domingo, 30 Agosto 2020 13:06"
8,1598788761-6,https://www.betano.pt/sport/futebol/alemanha/bundesliga/216r/,"Mainz 05
              
                Estugarda",https://www.betano.pt/odds/mainz-05-estugarda/6172676/,Bundesliga,"Sábado, 26 Setembro 2020 14:30",Mainz 05,Estugarda,2.3,3.3,2.92,2.10,1.53,Mais de3.5,1.12,4.15,Mais de1.5,1.45,2.25,Mais de2.5,1.36,2.5,Ambas Equipas Marcam (Sim/Não),1.35,1.26,1.55,1X,12.0,2X,"Domingo, 30 Agosto 2020 12:58"
9,1598788974-29,https://www.betano.pt/sport/futebol/franca/ligue-1/215r/,"Stade Reims
              
                Lille
                    AO VIVO",https://www.betano.pt/live/stade-reims-lille/6304104/,,,,,,,,,,,,,,,,,,,,,,,,,,"Domingo, 30 Agosto 2020 13:01"
