web-scraper-order,web-scraper-start-url,Games,Games-href,League,Date,HomeTeam,AwayTeam,ODDH,ODDD,ODDA,ODD_25+,ODD_25-,Tag25,ODD_15+,ODD_15-,Tag15,ODD_35+,ODD_35-,Tag35,ODD_BthScore_Yes,ODD_BthScore_No,TagBS,ODD_1X,ODD_12,ODD_X2,Tag1X,Tag12,TagX2,Current_Date,SOdds
1604422569-14,https://www.betano.pt/sport/futebol/holanda/eredivisie/17067r/,"VVV Venlo
              
                Heracles Almelo",https://www.betano.pt/odds/vvv-venlo-heracles-almelo/6741232/,Eredivisie,"Sábado, 7 Novembro 2020 17:45",VVV Venlo,Heracles Almelo,2.78,3.45,2.33,1.57,1.95,Mais de2.5,1.17,3.4,Mais de1.5,2.45,1.35,Mais de3.5,1.47,2.12,Ambas Equipas Marcam (Sim/Não),1.53,1.22,1.38,1X,12.0,2X,"Terça-feira, 3 Novembro 2020 16:54",
1604422725-34,https://www.betano.pt/sport/futebol/alemanha/bundesliga/216r/,"Borussia Mönchengladbach
              
                Augsburgo",https://www.betano.pt/odds/borussia-monchengladbach-augsburgo/6967543/,Bundesliga,"Sábado, 21 Novembro 2020 14:30",Borussia Mönchengladbach,Augsburgo,1.57,4.45,4.6,1.13,2.15,1X,,,,,,,,,,,,,,,,"Terça-feira, 3 Novembro 2020 16:56",
1604422955-61,https://www.betano.pt/sport/futebol/inglaterra/championship/2r/,"Brentford FC
              
                Middlesbrough",https://www.betano.pt/odds/brentford-fc-middlesbrough/6739856/,Championship,"Sábado, 7 Novembro 2020 15:00",Brentford FC,Middlesbrough,1.75,3.35,4.35,1.80,1.67,Mais de2.5,1.25,2.86,Mais de1.5,2.96,1.23,Mais de3.5,1.72,1.75,Ambas Equipas Marcam (Sim/Não),1.17,1.22,1.95,1X,12.0,2X,"Terça-feira, 3 Novembro 2020 17:01",
1604422844-48,https://www.betano.pt/sport/futebol/franca/ligue-1/215r/,"FC Metz
              
                Dijon",https://www.betano.pt/odds/fc-metz-dijon/6751307/,Ligue 1,"Domingo, 8 Novembro 2020 18:00",FC Metz,Dijon,1.75,3.5,4.4,1.87,1.63,Mais de2.5,1.27,2.78,Mais de1.5,3.1,1.21,Mais de3.5,1.78,1.7,Ambas Equipas Marcam (Sim/Não),1.17,1.21,1.95,1X,12.0,2X,"Terça-feira, 3 Novembro 2020 16:59",
1604423279-99,https://www.betano.pt/sport/futebol/espanha/laliga/5/,"Levante
              
                Elche CF",https://www.betano.pt/odds/levante-elche-cf/6976980/,LaLiga,"Sábado, 21 Novembro 2020 13:00",Levante,Elche CF,2.04,3.2,3.6,2.02,1.57,Mais de2.5,1.33,2.65,Mais de1.5,3.55,1.18,Mais de3.5,1.83,1.72,Ambas Equipas Marcam (Sim/Não),1.25,1.27,1.7,1X,12.0,2X,"Terça-feira, 3 Novembro 2020 17:06",
1604422963-62,https://www.betano.pt/sport/futebol/inglaterra/championship/2r/,"Blackburn Rovers
              
                Queens Park Rangers",https://www.betano.pt/odds/blackburn-rovers-queens-park-rangers/6739855/,Championship,"Sábado, 7 Novembro 2020 15:00",Blackburn Rovers,Queens Park Rangers,1.83,3.4,3.9,1.60,1.91,Mais de2.5,1.17,3.4,Mais de1.5,2.4,1.36,Mais de3.5,1.53,2.04,Ambas Equipas Marcam (Sim/Não),1.20,1.22,1.85,1X,12.0,2X,"Terça-feira, 3 Novembro 2020 17:01",
1604423072-76,https://www.betano.pt/sport/futebol/inglaterra/championship/2r/,"Huddersfield
              
                Bristol City",https://www.betano.pt/odds/huddersfield-bristol-city/6704632/,Championship,"Terça-feira, 3 Novembro 2020 19:00",Huddersfield,Bristol City,2.45,2.98,2.84,1.91,1.6,Mais de2.5,1.28,2.67,Mais de1.5,3.2,1.19,Mais de3.5,1.67,1.8,Ambas Equipas Marcam (Sim/Não),1.36,1.28,1.47,1X,12.0,2X,"Terça-feira, 3 Novembro 2020 17:01",
1604422741-36,https://www.betano.pt/sport/futebol/alemanha/bundesliga/216r/,"Wolfsburgo
              
                Hoffenheim",https://www.betano.pt/odds/wolfsburgo-hoffenheim/6886188/,Bundesliga,"Domingo, 8 Novembro 2020 14:30",Wolfsburgo,Hoffenheim,2.05,3.6,3.2,1.55,2.05,Mais de2.5,1.16,3.7,Mais de1.5,2.4,1.4,Mais de3.5,1.47,2.2,Ambas Equipas Marcam (Sim/Não),1.31,1.22,1.67,1X,12.0,2X,"Terça-feira, 3 Novembro 2020 16:56",
1604423118-81,https://www.betano.pt/sport/futebol/escocia/premiership/1647r/,"Ross County
              
                Livingston FC",https://www.betano.pt/odds/ross-county-livingston-fc/6732448/,Premiership,"Sexta-feira, 6 Novembro 2020 19:45",Ross County,Livingston FC,2.86,3.25,2.25,1.87,1.63,Mais de2.5,1.26,2.8,Mais de1.5,3.15,1.2,Mais de3.5,1.67,1.8,Ambas Equipas Marcam (Sim/Não),1.55,1.24,1.35,1X,12.0,2X,"Terça-feira, 3 Novembro 2020 17:04",
1604422577-15,https://www.betano.pt/sport/futebol/holanda/eredivisie/17067r/,"Den Haag
              
                FC Twente Enschede",https://www.betano.pt/odds/den-haag-fc-twente-enschede/6740216/,Eredivisie,"Sábado, 7 Novembro 2020 15:30",Den Haag,FC Twente Enschede,3.45,3.6,1.95,1.60,1.91,Mais de2.5,1.17,3.4,Mais de1.5,2.5,1.33,Mais de3.5,1.53,2.04,Ambas Equipas Marcam (Sim/Não),1.75,1.2,1.26,1X,12.0,2X,"Terça-feira, 3 Novembro 2020 16:54",
1604422666-26,https://www.betano.pt/sport/futebol/alemanha/bundesliga/216r/,"Colónia
              
                1. FC Union Berlin",https://www.betano.pt/odds/colonia-1-fc-union-berlin/6967550/,Bundesliga,"Domingo, 22 Novembro 2020 17:00",Colónia,1. FC Union Berlin,2.35,3.45,2.74,1.36,1.47,1X,,,,,,,,,,,,,,,,"Terça-feira, 3 Novembro 2020 16:56",
1604423166-86,https://www.betano.pt/sport/futebol/russia/premier-liga/17098r/,"FK Khimki
              
                Rubin Kazan",https://www.betano.pt/odds/fk-khimki-rubin-kazan/6748000/,Premier Liga,"Domingo, 8 Novembro 2020 11:00",FK Khimki,Rubin Kazan,3.15,3.3,2.1,1.80,1.65,Mais de2.5,1.24,2.82,Mais de1.5,3.0,1.21,Mais de3.5,1.65,1.8,Ambas Equipas Marcam (Sim/Não),1.63,1.23,1.3,1X,12.0,2X,"Terça-feira, 3 Novembro 2020 17:05",
1604423676-146,https://www.betano.pt/sport/futebol/inglaterra/premier-league/1/,"Crystal Palace FC
              
                Leeds United",https://www.betano.pt/odds/crystal-palace-fc-leeds-united/6493635/,Premier League,"Sábado, 7 Novembro 2020 15:00",Crystal Palace FC,Leeds United,2.96,3.2,2.33,1.83,1.72,Mais de2.5,1.26,2.96,Mais de1.5,3.05,1.25,Mais de3.5,1.65,1.91,Ambas Equipas Marcam (Sim/Não),1.53,1.27,1.35,1X,12.0,2X,"Terça-feira, 3 Novembro 2020 17:12",
1604422994-66,https://www.betano.pt/sport/futebol/inglaterra/championship/2r/,"Rotherham
              
                Luton Town",https://www.betano.pt/odds/rotherham-luton-town/6713850/,Championship,"Quarta-feira, 4 Novembro 2020 19:45",Rotherham,Luton Town,2.25,3.0,3.1,2.04,1.53,Mais de2.5,1.33,2.5,Mais de1.5,3.45,1.16,Mais de3.5,1.75,1.72,Ambas Equipas Marcam (Sim/Não),1.32,1.28,1.55,1X,12.0,2X,"Terça-feira, 3 Novembro 2020 17:01",
1604423485-123,https://www.betano.pt/sport/futebol/italia/serie-a/1635/,"Torino
              
                FC Crotone",https://www.betano.pt/odds/torino-fc-crotone/6910873/,Série A,"Domingo, 8 Novembro 2020 14:00",Torino,FC Crotone,2.05,3.45,3.25,1.65,1.9,Mais de2.5,1.2,3.35,Mais de1.5,2.62,1.33,Mais de3.5,1.55,2.05,Ambas Equipas Marcam (Sim/Não),1.30,1.24,1.67,1X,12.0,2X,"Terça-feira, 3 Novembro 2020 17:10",
1604423303-102,https://www.betano.pt/sport/futebol/espanha/laliga/5/,"Real Valladolid
              
                Athletic Bilbao",https://www.betano.pt/odds/real-valladolid-athletic-bilbao/6903493/,LaLiga,"Domingo, 8 Novembro 2020 17:30",Real Valladolid,Athletic Bilbao,3.15,2.82,2.45,1.50,2.17,Mais de1.5,2.45,1.38,Mais de2.5,4.6,1.1,Mais de3.5,2.02,1.57,Ambas Equipas Marcam (Sim/Não),1.47,1.33,1.31,1X,12.0,2X,"Terça-feira, 3 Novembro 2020 17:06",
1604423635-141,https://www.betano.pt/sport/futebol/inglaterra/premier-league/1/,"Manchester City
              
                Liverpool",https://www.betano.pt/odds/manchester-city-liverpool/6457878/,Premier League,"Domingo, 8 Novembro 2020 16:30",Manchester City,Liverpool,1.91,4.0,3.25,2.05,1.55,Mais de3.5,1.09,4.65,Mais de1.5,1.4,2.4,Mais de2.5,1.4,2.4,Ambas Equipas Marcam (Sim/Não),1.30,1.18,1.78,1X,12.0,2X,"Terça-feira, 3 Novembro 2020 17:12",
1604422899-54,https://www.betano.pt/sport/futebol/inglaterra/championship/2r/,"Watford
              
                Coventry City",https://www.betano.pt/odds/watford-coventry-city/6739879/,Championship,"Sábado, 7 Novembro 2020 15:00",Watford,Coventry City,1.67,3.5,4.65,1.87,1.63,Mais de2.5,1.27,2.78,Mais de1.5,3.1,1.21,Mais de3.5,1.8,1.67,Ambas Equipas Marcam (Sim/Não),1.15,1.21,2.05,1X,12.0,2X,"Terça-feira, 3 Novembro 2020 17:01",
1604423700-149,https://www.betano.pt/sport/futebol/inglaterra/premier-league/1/,"Brighton
              
                Burnley",https://www.betano.pt/odds/brighton-burnley/6457876/,Premier League,"Sexta-feira, 6 Novembro 2020 17:30",Brighton,Burnley,1.85,3.4,4.05,1.83,1.72,Mais de2.5,1.26,2.96,Mais de1.5,3.05,1.25,Mais de3.5,1.72,1.83,Ambas Equipas Marcam (Sim/Não),1.20,1.24,1.85,1X,12.0,2X,"Terça-feira, 3 Novembro 2020 17:12",
1604423352-108,https://www.betano.pt/sport/futebol/espanha/laliga/5/,"Barcelona
              
                Bétis",https://www.betano.pt/odds/barcelona-betis/6903487/,LaLiga,"Sábado, 7 Novembro 2020 15:15",Barcelona,Bétis,1.38,4.8,6.7,2.15,1.5,Mais de3.5,1.12,4.25,Mais de1.5,1.45,2.25,Mais de2.5,1.65,1.91,Ambas Equipas Marcam (Sim/Não),1.07,1.13,2.8,1X,12.0,2X,"Terça-feira, 3 Novembro 2020 17:06",
1604422545-11,https://www.betano.pt/sport/futebol/holanda/eredivisie/17067r/,"Feyenoord
              
                FC Groningen",https://www.betano.pt/odds/feyenoord-fc-groningen/6750037/,Eredivisie,"Domingo, 8 Novembro 2020 13:30",Feyenoord,FC Groningen,1.61,3.7,5.35,1.60,1.9,Mais de2.5,1.17,3.35,Mais de1.5,2.45,1.35,Mais de3.5,1.61,1.9,Ambas Equipas Marcam (Sim/Não),1.12,1.19,2.19,1X,12.0,2X,"Terça-feira, 3 Novembro 2020 16:54",
1604422923-57,https://www.betano.pt/sport/futebol/inglaterra/championship/2r/,"Nottingham Forest
              
                Wycombe",https://www.betano.pt/odds/nottingham-forest-wycombe/6739865/,Championship,"Sábado, 7 Novembro 2020 15:00",Nottingham Forest,Wycombe,1.55,3.65,5.5,1.75,1.72,Mais de2.5,1.23,2.94,Mais de1.5,2.86,1.25,Mais de3.5,1.78,1.7,Ambas Equipas Marcam (Sim/Não),1.10,1.19,2.25,1X,12.0,2X,"Terça-feira, 3 Novembro 2020 17:01",
1604423469-121,https://www.betano.pt/sport/futebol/italia/serie-a/1635/,"Génova
              
                AS Roma",https://www.betano.pt/odds/genova-as-roma/6956659/,Série A,"Domingo, 8 Novembro 2020 14:00",Génova,AS Roma,5.0,4.25,1.55,1.50,2.19,Mais de2.5,1.13,4.1,Mais de1.5,2.2,1.47,Mais de3.5,1.55,2.05,Ambas Equipas Marcam (Sim/Não),2.25,1.16,1.14,1X,12.0,2X,"Terça-feira, 3 Novembro 2020 17:10",
1604423026-70,https://www.betano.pt/sport/futebol/inglaterra/championship/2r/,"Reading
              
                Preston",https://www.betano.pt/odds/reading-preston/6713892/,Championship,"Quarta-feira, 4 Novembro 2020 19:00",Reading,Preston,2.45,2.98,2.8,2.02,1.53,Mais de2.5,1.33,2.52,Mais de1.5,3.45,1.16,Mais de3.5,1.72,1.75,Ambas Equipas Marcam (Sim/Não),1.36,1.28,1.47,1X,12.0,2X,"Terça-feira, 3 Novembro 2020 17:01",
1604423564-132,https://www.betano.pt/sport/futebol/inglaterra/premier-league/1/,"Fulham
              
                Everton",https://www.betano.pt/odds/fulham-everton/6592993/,Premier League,"Sábado, 21 Novembro 2020 15:00",Fulham,Everton,4.15,3.5,1.8,1.63,1.95,Mais de2.5,1.18,3.5,Mais de1.5,2.45,1.38,Mais de3.5,1.55,2.05,Ambas Equipas Marcam (Sim/Não),1.88,1.23,1.19,1X,12.0,2X,"Terça-feira, 3 Novembro 2020 17:12",
