,web-scraper-order,web-scraper-start-url,Games,Games-href,League,Date,HomeTeam,AwayTeam,ODDH,ODDD,ODDA,ODD_25+,ODD_25-,Tag25,ODD_15+,ODD_15-,Tag15,ODD_35+,ODD_35-,Tag35,ODD_BthScore_Yes,ODD_BthScore_No,TagBS,ODD_1X,ODD_12,ODD_X2,Tag1X,Tag12,TagX2,Current_Date,SOdds
0,1601297928-32,https://www.betano.pt/sport/futebol/franca/ligue-1/215r/,"FC Metz
              
                FC Lorient",https://www.betano.pt/odds/fc-metz-fc-lorient/6422091/,Ligue 1,"Domingo, 4 Outubro 2020 14:00",FC Metz,FC Lorient,2.35,3.1,3.0,2.17,1.45,Mais de2.5,1.36,2.4,Mais de1.5,3.85,1.12,Mais de3.5,1.87,1.63,Ambas Equipas Marcam (Sim/Não),1.33,1.27,1.53,1X,12.0,2X,"Segunda-feira, 28 Setembro 2020 13:57",
1,1601299070-137,https://www.betano.pt/sport/futebol/inglaterra/premier-league/1/,"Newcastle
              
                Burnley",https://www.betano.pt/odds/newcastle-burnley/6458226/,Premier League,"Sábado, 3 Outubro 2020 20:00",Newcastle,Burnley,2.37,3.0,3.1,2.13,1.5,Mais de2.5,1.36,2.5,Mais de1.5,3.75,1.16,Mais de3.5,1.83,1.72,Ambas Equipas Marcam (Sim/Não),1.32,1.31,1.5,1X,12.0,2X,"Segunda-feira, 28 Setembro 2020 14:14",
2,1601298022-42,https://www.betano.pt/sport/futebol/inglaterra/championship/2r/,"Blackburn Rovers
              
                Nottingham Forest",https://www.betano.pt/odds/blackburn-rovers-nottingham-forest/6539929/,Championship,"Sábado, 17 Outubro 2020 15:00",Blackburn Rovers,Nottingham Forest,2.25,3.35,2.96,1.3,1.5,1X,,,,,,,,,,,,,,,,"Segunda-feira, 28 Setembro 2020 13:59",
3,1601297839-23,https://www.betano.pt/sport/futebol/alemanha/bundesliga/216r/,"Werder Bremen
              
                Arminia Bielefeld",https://www.betano.pt/odds/werder-bremen-arminia-bielefeld/6562365/,Bundesliga,"Sábado, 3 Outubro 2020 14:30",Werder Bremen,Arminia Bielefeld,2.1,3.4,3.25,1.65,1.9,Mais de2.5,1.2,3.35,Mais de1.5,2.62,1.33,Mais de3.5,1.55,2.05,Ambas Equipas Marcam (Sim/Não),1.30,1.24,1.65,1X,12.0,2X,"Segunda-feira, 28 Setembro 2020 13:55",
4,1601298783-114,https://www.betano.pt/sport/futebol/italia/serie-a/1635/,"Atalanta
              
                Cagliari",https://www.betano.pt/odds/atalanta-cagliari/6595029/,Série A,"Domingo, 4 Outubro 2020 11:30",Atalanta,Cagliari,1.25,5.7,9.5,1.8,1.75,Mais de3.5,1.07,5.1,Mais de1.5,1.31,2.72,Mais de2.5,1.61,1.95,Ambas Equipas Marcam (Sim/Não),1.03,1.12,3.55,1X,12.0,2X,"Segunda-feira, 28 Setembro 2020 14:10",
5,1601298971-134,https://www.betano.pt/sport/futebol/inglaterra/premier-league/1/,"Wolverhampton
              
                Fulham",https://www.betano.pt/odds/wolverhampton-fulham/6479800/,Premier League,"Domingo, 4 Outubro 2020 14:00",Wolverhampton,Fulham,1.53,3.75,6.35,2.02,1.57,Mais de2.5,1.33,2.66,Mais de1.5,3.55,1.18,Mais de3.5,2.1,1.53,Ambas Equipas Marcam (Sim/Não),1.08,1.2,2.35,1X,12.0,2X,"Segunda-feira, 28 Setembro 2020 14:14",
6,1601298152-57,https://www.betano.pt/sport/futebol/inglaterra/championship/2r/,"Nottingham Forest
              
                Bristol City",https://www.betano.pt/odds/nottingham-forest-bristol-city/6411304/,Championship,"Sábado, 3 Outubro 2020 15:00",Nottingham Forest,Bristol City,2.37,3.15,2.94,2.02,1.53,Mais de2.5,1.32,2.54,Mais de1.5,3.45,1.16,Mais de3.5,1.75,1.72,Ambas Equipas Marcam (Sim/Não),1.35,1.26,1.53,1X,12.0,2X,"Segunda-feira, 28 Setembro 2020 13:59",
7,1601298989-136,https://www.betano.pt/sport/futebol/inglaterra/premier-league/1/,"Southampton
              
                West Brom",https://www.betano.pt/odds/southampton-west-brom/6479799/,Premier League,"Domingo, 4 Outubro 2020 12:00",Southampton,West Brom,1.72,3.75,4.33,1.72,1.83,Mais de2.5,1.22,3.25,Mais de1.5,2.82,1.28,Mais de3.5,1.7,1.85,Ambas Equipas Marcam (Sim/Não),1.18,1.2,2.0,1X,12.0,2X,"Segunda-feira, 28 Setembro 2020 14:14",
8,1601298563-99,https://www.betano.pt/sport/futebol/portugal/primeira-liga/17083/,"Portimonense
              
                Sporting CP",https://www.betano.pt/odds/portimonense-sporting-cp/6568910/,Primeira Liga,"Domingo, 4 Outubro 2020 21:00",Portimonense,Sporting CP,4.9,3.75,1.65,1.6,1.91,Mais de2.5,1.17,3.4,Mais de1.5,2.4,1.36,Mais de3.5,1.57,1.95,Ambas Equipas Marcam (Sim/Não),2.12,1.19,1.14,1X,12.0,2X,"Segunda-feira, 28 Setembro 2020 14:09",
9,1601298189-61,https://www.betano.pt/sport/futebol/inglaterra/championship/2r/,"Coventry City
              
                Bournemouth",https://www.betano.pt/odds/coventry-city-bournemouth/6411336/,Championship,"Sexta-feira, 2 Outubro 2020 19:45",Coventry City,Bournemouth,3.6,3.0,2.14,1.9,1.61,Mais de2.5,1.27,2.74,Mais de1.5,3.1,1.21,Mais de3.5,1.67,1.8,Ambas Equipas Marcam (Sim/Não),1.63,1.28,1.25,1X,12.0,2X,"Segunda-feira, 28 Setembro 2020 13:59",
