web-scraper-order,web-scraper-start-url,Games,Games-href,League,Date,HomeTeam,AwayTeam,ODDH,ODDD,ODDA,ODD_25+,ODD_25-,Tag25,ODD_15+,ODD_15-,Tag15,ODD_35+,ODD_35-,Tag35,ODD_BthScore_Yes,ODD_BthScore_No,TagBS,ODD_1X,ODD_12,ODD_X2,Tag1X,Tag12,TagX2,Current_Date,SOdds
"1603308148-138","https://www.betano.pt/sport/futebol/italia/serie-a/1635/","Lázio
              
                Bolonha","https://www.betano.pt/odds/lazio-bolonha/6797417/","Série A","Sábado, 24 Outubro 2020 19:45","Lázio","Bolonha","1.70","4.00","4.15","2.16","1.50","Mais de3.5","1.12","4.20","Mais de1.5","1.45","2.25","Mais de2.5","1.47","2.20","Ambas Equipas Marcam (Sim/Não)","1.19","1.18","2.04","1X","12","2X","Quarta-feira, 21 Outubro 2020 20:20","null"
"1603307782-99","https://www.betano.pt/sport/futebol/espanha/laliga/5/","Granada CF
              
                Levante","https://www.betano.pt/odds/granada-cf-levante/6830252/","LaLiga","Domingo, 1 Novembro 2020 17:30","Granada CF","Levante","2.18","3.10","3.35","2.15","1.50","Mais de2.5","1.36","2.50","Mais de1.5","3.85","1.15","Mais de3.5","1.88","1.67","Ambas Equipas Marcam (Sim/Não)","1.28","1.28","1.61","1X","12","2X","Quarta-feira, 21 Outubro 2020 20:15","null"
"1603307910-113","https://www.betano.pt/sport/futebol/espanha/laliga/5/","Sevilha
              
                Eibar","https://www.betano.pt/odds/sevilha-eibar/6711918/","LaLiga","Sábado, 24 Outubro 2020 17:30","Sevilha","Eibar","1.44","4.33","6.45","1.78","1.75","Mais de2.5","1.23","3.15","Mais de1.5","2.96","1.26","Mais de3.5","1.95","1.63","Ambas Equipas Marcam (Sim/Não)","1.08","1.15","2.58","1X","12","2X","Quarta-feira, 21 Outubro 2020 20:15","null"
"1603307492-70","https://www.betano.pt/sport/futebol/inglaterra/championship/2r/","Queens Park Rangers
              
                Birmingham","https://www.betano.pt/odds/queens-park-rangers-birmingham/6604626/","Championship","Sábado, 24 Outubro 2020 15:00","Queens Park Rangers","Birmingham","2.37","3.10","2.98","1.95","1.57","Mais de2.5","1.31","2.60","Mais de1.5","3.30","1.18","Mais de3.5","1.72","1.75","Ambas Equipas Marcam (Sim/Não)","1.33","1.27","1.53","1X","12","2X","Quarta-feira, 21 Outubro 2020 20:09","null"
"1603306953-13","https://www.betano.pt/sport/futebol/holanda/eredivisie/17067r/","RKC Waalwijk
              
                Feyenoord","https://www.betano.pt/odds/rkc-waalwijk-feyenoord/6614298/","Eredivisie","Domingo, 25 Outubro 2020 11:15","RKC Waalwijk","Feyenoord","9.00","5.80","1.26","1.83","1.65","Mais de3.5","1.06","4.75","Mais de1.5","1.32","2.56","Mais de2.5","1.63","1.87","Ambas Equipas Marcam (Sim/Não)","3.55","1.11","1.03","1X","12","2X","Quarta-feira, 21 Outubro 2020 20:00","null"
"1603307302-50","https://www.betano.pt/sport/futebol/franca/ligue-1/215r/","FC Metz
              
                Saint-Étienne","https://www.betano.pt/odds/fc-metz-saint-etienne/6618963/","Ligue 1","Domingo, 25 Outubro 2020 14:00","FC Metz","Saint-Étienne","2.37","3.20","2.90","2.02","1.53","Mais de2.5","1.32","2.54","Mais de1.5","3.50","1.16","Mais de3.5","1.78","1.70","Ambas Equipas Marcam (Sim/Não)","1.36","1.25","1.53","1X","12","2X","Quarta-feira, 21 Outubro 2020 20:06","null"
"1603306892-6","https://www.betano.pt/sport/futebol/holanda/eredivisie/17067r/","Willem II Tilburg
              
                Vitesse","https://www.betano.pt/odds/willem-ii-tilburg-vitesse/6685632/","Eredivisie","Sábado, 31 Outubro 2020 20:00","Willem II Tilburg","Vitesse","3.20","3.55","2.05","1.60","1.25","1X","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Quarta-feira, 21 Outubro 2020 20:00","null"
"1603308259-149","https://www.betano.pt/sport/futebol/inglaterra/premier-league/1/","Burnley
              
                Chelsea","https://www.betano.pt/odds/burnley-chelsea/6457845/","Premier League","Sábado, 31 Outubro 2020 15:00","Burnley","Chelsea","5.15","4.30","1.53","1.50","2.13","Mais de2.5","1.14","4.00","Mais de1.5","2.30","1.44","Mais de3.5","1.61","1.95","Ambas Equipas Marcam (Sim/Não)","2.35","1.15","1.13","1X","12","2X","Quarta-feira, 21 Outubro 2020 20:22","null"
"1603307802-101","https://www.betano.pt/sport/futebol/espanha/laliga/5/","Bétis
              
                Elche CF","https://www.betano.pt/odds/betis-elche-cf/6828738/","LaLiga","Domingo, 1 Novembro 2020 13:00","Bétis","Elche CF","1.57","3.80","5.40","2.02","1.57","Mais de2.5","1.31","2.72","Mais de1.5","3.55","1.18","Mais de3.5","2.02","1.57","Ambas Equipas Marcam (Sim/Não)","1.11","1.20","2.20","1X","12","2X","Quarta-feira, 21 Outubro 2020 20:15","null"
"1603307585-80","https://www.betano.pt/sport/futebol/inglaterra/championship/2r/","Watford
              
                Blackburn Rovers
                    AO VIVO","https://www.betano.pt/live/watford-blackburn-rovers/6579726/","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Quarta-feira, 21 Outubro 2020 20:09","null"
