web-scraper-order,web-scraper-start-url,Games,Games-href,League,Date,HomeTeam,AwayTeam,ODDH,ODDD,ODDA,ODD_25+,ODD_25-,Tag25,ODD_15+,ODD_15-,Tag15,ODD_35+,ODD_35-,Tag35,ODD_BthScore_Yes,ODD_BthScore_No,TagBS,ODD_1X,ODD_12,ODD_X2,Tag1X,Tag12,TagX2,Current_Date,SOdds
1601720677-97,https://www.betano.pt/sport/futebol/espanha/laliga/5/,"Real Sociedad
              
                Getafe",https://www.betano.pt/odds/real-sociedad-getafe/6641035/,LaLiga,"Sábado, 3 Outubro 2020 17:30",Real Sociedad,Getafe,2.19,2.94,3.55,1.45,2.25,Mais de1.5,2.4,1.4,Mais de2.5,4.35,1.11,Mais de3.5,2.02,1.57,Ambas Equipas Marcam (Sim/Não),1.25,1.32,1.61,1X,12.0,2X,"Sábado, 3 Outubro 2020 11:23",
1601720707-100,https://www.betano.pt/sport/futebol/portugal/primeira-liga/17083/,"Sporting CP
              
                FC Porto",https://www.betano.pt/odds/sporting-cp-fc-porto/6644925/,Primeira Liga,"Terça-feira, 20 Outubro 2020 20:00",Sporting CP,FC Porto,3.05,3.3,2.25,1.83,1.65,Mais de2.5,1.25,2.84,Mais de1.5,3.05,1.22,Mais de3.5,1.65,1.83,Ambas Equipas Marcam (Sim/Não),1.57,1.25,1.33,1X,12.0,2X,"Sábado, 3 Outubro 2020 11:24",
1601720747-105,https://www.betano.pt/sport/futebol/portugal/primeira-liga/17083/,"Boavista FC
              
                Vitória Guimarães",https://www.betano.pt/odds/boavista-fc-vitoria-guimaraes/6644919/,Primeira Liga,"Terça-feira, 20 Outubro 2020 20:00",Boavista FC,Vitória Guimarães,3.2,3.2,2.2,2.05,1.5,Mais de2.5,1.33,2.5,Mais de1.5,3.6,1.15,Mais de3.5,1.8,1.67,Ambas Equipas Marcam (Sim/Não),1.57,1.26,1.31,1X,12.0,2X,"Sábado, 3 Outubro 2020 11:24",
1601720491-76,https://www.betano.pt/sport/futebol/inglaterra/championship/2r/,"Norwich City
              
                Derby County",https://www.betano.pt/odds/norwich-city-derby-county/6411301/,Championship,"Sábado, 3 Outubro 2020 12:30",Norwich City,Derby County,1.7,3.8,4.45,1.57,1.95,Mais de2.5,1.16,3.45,Mais de1.5,2.4,1.36,Mais de3.5,1.57,1.95,Ambas Equipas Marcam (Sim/Não),1.17,1.19,2.05,1X,12.0,2X,"Sábado, 3 Outubro 2020 11:18",
1601720943-129,https://www.betano.pt/sport/futebol/italia/serie-a/1635/,"Benevento Calcio
              
                Bolonha",https://www.betano.pt/odds/benevento-calcio-bolonha/6595030/,Série A,"Domingo, 4 Outubro 2020 14:00",Benevento Calcio,Bolonha,3.0,3.5,2.17,1.57,2.02,Mais de2.5,1.17,3.65,Mais de1.5,2.4,1.4,Mais de3.5,1.5,2.19,Ambas Equipas Marcam (Sim/Não),1.61,1.23,1.33,1X,12.0,2X,"Sábado, 3 Outubro 2020 11:27",
1601719945-11,https://www.betano.pt/sport/futebol/holanda/eredivisie/17067r/,"Willem II Tilburg
              
                Feyenoord",https://www.betano.pt/odds/willem-ii-tilburg-feyenoord/6419535/,Eredivisie,"Domingo, 4 Outubro 2020 13:30",Willem II Tilburg,Feyenoord,3.8,3.9,1.78,1.47,2.13,Mais de2.5,1.12,3.9,Mais de1.5,2.2,1.44,Mais de3.5,1.45,2.16,Ambas Equipas Marcam (Sim/Não),1.91,1.17,1.22,1X,12.0,2X,"Sábado, 3 Outubro 2020 11:10",
1601720950-130,https://www.betano.pt/sport/futebol/italia/serie-a/1635/,"Atalanta
              
                Cagliari",https://www.betano.pt/odds/atalanta-cagliari/6595029/,Série A,"Domingo, 4 Outubro 2020 11:30",Atalanta,Cagliari,1.24,5.85,9.75,1.80,1.75,Mais de3.5,1.07,5.15,Mais de1.5,1.3,2.76,Mais de2.5,1.61,1.95,Ambas Equipas Marcam (Sim/Não),1.03,1.11,3.65,1X,12.0,2X,"Sábado, 3 Outubro 2020 11:27",
1601721098-148,https://www.betano.pt/sport/futebol/inglaterra/premier-league/1/,"Newcastle
              
                Burnley",https://www.betano.pt/odds/newcastle-burnley/6458226/,Premier League,"Sábado, 3 Outubro 2020 20:00",Newcastle,Burnley,2.5,3.05,2.82,2.05,1.55,Mais de2.5,1.33,2.62,Mais de1.5,3.55,1.18,Mais de3.5,1.78,1.75,Ambas Equipas Marcam (Sim/Não),1.38,1.28,1.47,1X,12.0,2X,"Sábado, 3 Outubro 2020 11:29",
1601720887-122,https://www.betano.pt/sport/futebol/italia/serie-a/1635/,"Sampdoria
              
                Lázio",https://www.betano.pt/odds/sampdoria-lazio/6650713/,Série A,"Sábado, 17 Outubro 2020 17:00",Sampdoria,Lázio,4.4,3.8,1.7,1.57,2.02,Mais de2.5,1.17,3.65,Mais de1.5,2.4,1.4,Mais de3.5,1.55,2.05,Ambas Equipas Marcam (Sim/Não),2.02,1.2,1.17,1X,12.0,2X,"Sábado, 3 Outubro 2020 11:27",
1601720058-24,https://www.betano.pt/sport/futebol/alemanha/bundesliga/216r/,"Hertha Berlin
              
                Estugarda",https://www.betano.pt/odds/hertha-berlin-estugarda/6632979/,Bundesliga,"Sábado, 17 Outubro 2020 14:30",Hertha Berlin,Estugarda,2.11,3.45,3.15,1.50,2.14,Mais de2.5,1.15,3.85,Mais de1.5,2.25,1.45,Mais de3.5,1.42,2.33,Ambas Equipas Marcam (Sim/Não),1.31,1.23,1.65,1X,12.0,2X,"Sábado, 3 Outubro 2020 11:13",
