web-scraper-order,web-scraper-start-url,Leagues,Leagues-href,Games,Games-href,League,Date,HomeTeam,AwayTeam,ODDH,ODDD,ODDA,ODD_BthScore_Yes,ODD_BthScore_No,ODD_1X,ODD_12,ODD_X2
"1595017235-31","https://www.betano.pt/sport/futebol/","Série A","https://www.betano.pt/sport/futebol/italia/serie-a/1635r/","US Lecce
              
                Brescia Calcio","https://www.betano.pt/odds/us-lecce-brescia-calcio/5976746/","Série A","Quarta-feira, 22 Julho 2020 20:45","US Lecce","Brescia Calcio","1.83","3.85","3.65","1.47","2.20","1.24","1.19","1.87"
"1595017133-13","https://www.betano.pt/sport/futebol/","MLS","https://www.betano.pt/sport/futebol/eua/mls/195161r/","Inter Miami CF
              
                New York City FC","https://www.betano.pt/odds/inter-miami-cf-new-york-city-fc/5986895/","MLS","Segunda-feira, 20 Julho 2020 14:00","Inter Miami CF","New York City FC","3.05","3.45","2.16","1.50","2.02","1.61","1.22","1.33"
"1595017335-50","https://www.betano.pt/sport/futebol/","LaLiga","https://www.betano.pt/sport/futebol/espanha/laliga/5r/","Granada CF
              
                Athletic Bilbao","https://www.betano.pt/odds/granada-cf-athletic-bilbao/5979283/","LaLiga","Domingo, 19 Julho 2020 20:00","Granada CF","Athletic Bilbao","2.02","3.35","3.50","1.78","1.75","1.26","1.25","1.70"
"1595017174-20","https://www.betano.pt/sport/futebol/","Premier Liga","https://www.betano.pt/sport/futebol/russia/premier-liga/17098r/","Ural Sverdlovskaya Oblast
              
                Lokomotiv Moscovo","https://www.betano.pt/odds/ural-sverdlovskaya-oblast-lokomotiv-moscovo/5984760/","Premier Liga","Quarta-feira, 22 Julho 2020 17:00","Ural Sverdlovskaya Oblast","Lokomotiv Moscovo","5.30","4.10","1.33","1.70","1.70","2.67","1.11","1.07"
"1595017507-81","https://www.betano.pt/sport/futebol/","Primeira Liga","https://www.betano.pt/sport/futebol/portugal/primeira-liga/17083r/","Rio Ave
              
                Santa Clara","https://www.betano.pt/odds/rio-ave-santa-clara/5968130/","Primeira Liga","Sábado, 18 Julho 2020 19:00","Rio Ave","Santa Clara","1.53","4.20","6.45","1.90","1.65","1.09","1.18","2.40"
"1595017395-61","https://www.betano.pt/sport/futebol/","Championship","https://www.betano.pt/sport/futebol/inglaterra/championship/2r/","Hull City
              
                Luton Town","https://www.betano.pt/odds/hull-city-luton-town/5735083/","Championship","Sábado, 18 Julho 2020 15:00","Hull City","Luton Town","2.65","3.40","2.45","1.53","2.02","1.47","1.23","1.42"
"1595017406-63","https://www.betano.pt/sport/futebol/","Championship","https://www.betano.pt/sport/futebol/inglaterra/championship/2r/","Fulham
              
                Sheffield Wednesday","https://www.betano.pt/odds/fulham-sheffield-wednesday/5735056/","Championship","Sábado, 18 Julho 2020 15:00","Fulham","Sheffield Wednesday","1.95","3.25","3.85","1.70","1.78","1.22","1.24","1.75"
"1595017380-58","https://www.betano.pt/sport/futebol/","Championship","https://www.betano.pt/sport/futebol/inglaterra/championship/2r/","Middlesbrough
              
                Cardiff","https://www.betano.pt/odds/middlesbrough-cardiff/5735088/","Championship","Sábado, 18 Julho 2020 15:00","Middlesbrough","Cardiff","2.74","3.05","2.58","1.72","1.75","1.44","1.28","1.40"
"1595017103-7","https://www.betano.pt/sport/futebol/","MLS","https://www.betano.pt/sport/futebol/eua/mls/195161r/","Los Angeles Galaxy
              
                Houston Dynamo","https://www.betano.pt/odds/los-angeles-galaxy-houston-dynamo/5986928/","MLS","Sexta-feira, 24 Julho 2020 01:00","Los Angeles Galaxy","Houston Dynamo","1.91","3.45","3.75","null","null","null","null","null"
"1595017123-11","https://www.betano.pt/sport/futebol/","MLS","https://www.betano.pt/sport/futebol/eua/mls/195161r/","Toronto FC
              
                New England Revolution","https://www.betano.pt/odds/toronto-fc-new-england-revolution/5986894/","MLS","Terça-feira, 21 Julho 2020 14:00","Toronto FC","New England Revolution","2.10","3.50","3.15","1.55","1.95","1.31","1.22","1.65"
