web-scraper-order,web-scraper-start-url,Games,Games-href,League,Date,HomeTeam,AwayTeam,ODDH,ODDD,ODDA,ODD_25+,ODD_25-,Tag25,ODD_15+,ODD_15-,Tag15,ODD_35+,ODD_35-,Tag35,ODD_BthScore_Yes,ODD_BthScore_No,TagBS,ODD_1X,ODD_12,ODD_X2,Tag1X,Tag12,TagX2,Current_Date,SOdds
"1603112041-129","https://www.betano.pt/sport/futebol/inglaterra/premier-league/1/","Aston Villa
              
                Leeds United","https://www.betano.pt/odds/aston-villa-leeds-united/6493493/","Premier League","Sexta-feira, 23 Outubro 2020 20:00","Aston Villa","Leeds United","2.35","3.35","2.80","1.70","1.85","Mais de2.5","1.21","3.30","Mais de1.5","2.72","1.31","Mais de3.5","1.55","2.05","Ambas Equipas Marcam (Sim/Não)","1.38","1.25","1.53","1X","12","2X","Segunda-feira, 19 Outubro 2020 13:51","null"
"1603111132-21","https://www.betano.pt/sport/futebol/alemanha/bundesliga/216r/","Werder Bremen
              
                Hoffenheim","https://www.betano.pt/odds/werder-bremen-hoffenheim/6700534/","Bundesliga","Domingo, 25 Outubro 2020 17:00","Werder Bremen","Hoffenheim","2.84","3.55","2.25","2.19","1.50","Mais de3.5","1.14","4.00","Mais de1.5","1.47","2.20","Mais de2.5","1.40","2.40","Ambas Equipas Marcam (Sim/Não)","1.57","1.23","1.36","1X","12","2X","Segunda-feira, 19 Outubro 2020 13:37","null"
"1603111029-9","https://www.betano.pt/sport/futebol/holanda/eredivisie/17067r/","VVV Venlo
              
                Ajax","https://www.betano.pt/odds/vvv-venlo-ajax/6605078/","Eredivisie","Sábado, 24 Outubro 2020 15:30","VVV Venlo","Ajax","11.75","6.50","1.19","1.78","1.70","Mais de3.5","1.06","4.85","Mais de1.5","1.30","2.64","Mais de2.5","1.70","1.78","Ambas Equipas Marcam (Sim/Não)","4.20","1.08","1.02","1X","12","2X","Segunda-feira, 19 Outubro 2020 13:35","null"
"1603111781-98","https://www.betano.pt/sport/futebol/portugal/primeira-liga/17083/","Famalicão
              
                Boavista FC","https://www.betano.pt/odds/famalicao-boavista-fc/6820091/","Primeira Liga","Domingo, 25 Outubro 2020 17:30","Famalicão","Boavista FC","2.30","3.20","3.00","1.91","1.60","Mais de2.5","1.28","2.68","Mais de1.5","3.25","1.19","Mais de3.5","1.70","1.78","Ambas Equipas Marcam (Sim/Não)","1.33","1.26","1.55","1X","12","2X","Segunda-feira, 19 Outubro 2020 13:49","null"
"1603111296-40","https://www.betano.pt/sport/futebol/inglaterra/championship/2r/","Reading
              
                Rotherham","https://www.betano.pt/odds/reading-rotherham/6604627/","Championship","Sábado, 24 Outubro 2020 15:00","Reading","Rotherham","1.95","3.40","3.65","1.91","1.60","Mais de2.5","1.28","2.72","Mais de1.5","3.25","1.19","Mais de3.5","1.75","1.72","Ambas Equipas Marcam (Sim/Não)","1.24","1.22","1.75","1X","12","2X","Segunda-feira, 19 Outubro 2020 13:41","null"
"1603111211-30","https://www.betano.pt/sport/futebol/franca/ligue-1/215r/","Nice
              
                Lille","https://www.betano.pt/odds/nice-lille/6618973/","Ligue 1","Domingo, 25 Outubro 2020 16:00","Nice","Lille","3.15","3.25","2.20","1.95","1.57","Mais de2.5","1.30","2.63","Mais de1.5","3.35","1.17","Mais de3.5","1.75","1.72","Ambas Equipas Marcam (Sim/Não)","1.60","1.25","1.31","1X","12","2X","Segunda-feira, 19 Outubro 2020 13:39","null"
"1603111341-46","https://www.betano.pt/sport/futebol/inglaterra/championship/2r/","Cardiff
              
                Middlesbrough","https://www.betano.pt/odds/cardiff-middlesbrough/6604620/","Championship","Sábado, 24 Outubro 2020 15:00","Cardiff","Middlesbrough","2.25","3.05","3.20","2.05","1.50","Mais de2.5","1.35","2.45","Mais de1.5","3.55","1.15","Mais de3.5","1.78","1.70","Ambas Equipas Marcam (Sim/Não)","1.30","1.28","1.55","1X","12","2X","Segunda-feira, 19 Outubro 2020 13:41","null"
"1603111750-95","https://www.betano.pt/sport/futebol/espanha/laliga/5/","Elche CF
              
                Valência","https://www.betano.pt/odds/elche-cf-valencia/6711920/","LaLiga","Sexta-feira, 23 Outubro 2020 20:00","Elche CF","Valência","3.25","3.15","2.20","2.05","1.55","Mais de2.5","1.35","2.60","Mais de1.5","3.65","1.17","Mais de3.5","1.83","1.72","Ambas Equipas Marcam (Sim/Não)","1.60","1.28","1.30","1X","12","2X","Segunda-feira, 19 Outubro 2020 13:46","null"
"1603111866-108","https://www.betano.pt/sport/futebol/italia/serie-a/1635/","Cagliari
              
                FC Crotone","https://www.betano.pt/odds/cagliari-fc-crotone/6797418/","Série A","Domingo, 25 Outubro 2020 11:30","Cagliari","FC Crotone","1.90","3.55","3.70","1.72","1.83","Mais de2.5","1.21","3.30","Mais de1.5","2.76","1.30","Mais de3.5","1.63","1.95","Ambas Equipas Marcam (Sim/Não)","1.23","1.22","1.80","1X","12","2X","Segunda-feira, 19 Outubro 2020 13:50","null"
"1603111108-18","https://www.betano.pt/sport/futebol/alemanha/bundesliga/216r/","Colónia
              
                Bayern Munique","https://www.betano.pt/odds/colonia-bayern-munique/6710245/","Bundesliga","Sábado, 31 Outubro 2020 14:30","Colónia","Bayern Munique","11.50","6.60","1.19","1.61","1.95","Mais de3.5","1.04","5.95","Mais de1.5","1.23","3.15","Mais de2.5","1.57","2.02","Ambas Equipas Marcam (Sim/Não)","4.15","1.09","1.02","1X","12","2X","Segunda-feira, 19 Outubro 2020 13:37","null"
"1603111013-7","https://www.betano.pt/sport/futebol/holanda/eredivisie/17067r/","Den Haag
              
                AZ Alkmaar","https://www.betano.pt/odds/den-haag-az-alkmaar/6607273/","Eredivisie","Sábado, 24 Outubro 2020 19:00","Den Haag","AZ Alkmaar","6.00","4.05","1.50","1.47","2.11","Mais de2.5","1.13","3.75","Mais de1.5","2.17","1.45","Mais de3.5","1.55","2.00","Ambas Equipas Marcam (Sim/Não)","2.40","1.16","1.09","1X","12","2X","Segunda-feira, 19 Outubro 2020 13:35","null"
"1603111672-85","https://www.betano.pt/sport/futebol/espanha/laliga/5/","Eibar
              
                Cádiz CF","https://www.betano.pt/odds/eibar-cadiz-cf/6828735/","LaLiga","Sexta-feira, 30 Outubro 2020 20:00","Eibar","Cádiz CF","2.15","3.15","3.35","1.45","2.25","Mais de1.5","2.40","1.40","Mais de2.5","4.50","1.10","Mais de3.5","2.05","1.55","Ambas Equipas Marcam (Sim/Não)","1.27","1.28","1.63","1X","12","2X","Segunda-feira, 19 Outubro 2020 13:46","null"
"1603111227-32","https://www.betano.pt/sport/futebol/franca/ligue-1/215r/","Bordéus
              
                Nimes","https://www.betano.pt/odds/bordeus-nimes/6618966/","Ligue 1","Domingo, 25 Outubro 2020 14:00","Bordéus","Nimes","1.91","3.25","3.95","1.87","1.63","Mais de2.5","1.27","2.76","Mais de1.5","3.05","1.22","Mais de3.5","1.70","1.78","Ambas Equipas Marcam (Sim/Não)","1.21","1.26","1.78","1X","12","2X","Segunda-feira, 19 Outubro 2020 13:39","null"
"1603111428-57","https://www.betano.pt/sport/futebol/inglaterra/championship/2r/","Millwall FC
              
                Luton Town","https://www.betano.pt/odds/millwall-fc-luton-town/6569746/","Championship","Terça-feira, 20 Outubro 2020 19:45","Millwall FC","Luton Town","1.95","3.25","3.85","2.00","1.53","Mais de2.5","1.32","2.56","Mais de1.5","3.45","1.16","Mais de3.5","1.80","1.67","Ambas Equipas Marcam (Sim/Não)","1.21","1.25","1.75","1X","12","2X","Segunda-feira, 19 Outubro 2020 13:41","null"
"1603110965-1","https://www.betano.pt/sport/futebol/holanda/eredivisie/17067r/","Sparta Rotterdam
              
                Heracles Almelo","https://www.betano.pt/odds/sparta-rotterdam-heracles-almelo/6616595/","Eredivisie","Domingo, 25 Outubro 2020 15:45","Sparta Rotterdam","Heracles Almelo","2.11","3.45","3.15","1.57","1.95","Mais de2.5","1.16","3.45","Mais de1.5","2.37","1.38","Mais de3.5","1.47","2.15","Ambas Equipas Marcam (Sim/Não)","1.31","1.22","1.65","1X","12","2X","Segunda-feira, 19 Outubro 2020 13:35","null"
