web-scraper-order,web-scraper-start-url,Games,Games-href,League,Date,HomeTeam,AwayTeam,ODDH,ODDD,ODDA,ODD_25+,ODD_25-,Tag25,ODD_15+,ODD_15-,Tag15,ODD_35+,ODD_35-,Tag35,ODD_BthScore_Yes,ODD_BthScore_No,TagBS,ODD_1X,ODD_12,ODD_X2,Tag1X,Tag12,TagX2,Current_Date,SOdds
1603142199-110,https://www.betano.pt/sport/futebol/portugal/primeira-liga/17083/,"FC Porto
              
                Gil Vicente FC",https://www.betano.pt/odds/fc-porto-gil-vicente-fc/6820088/,Primeira Liga,"Sábado, 24 Outubro 2020 20:30",FC Porto,Gil Vicente FC,1.22,6.3,10.0,1.50,2.05,Mais de2.5,1.13,3.75,Mais de1.5,2.3,1.4,Mais de3.5,2.05,1.5,Ambas Equipas Marcam (Sim/Não),1.03,1.09,3.85,1X,12.0,2X,"Segunda-feira, 19 Outubro 2020 22:15",
1603141735-55,https://www.betano.pt/sport/futebol/inglaterra/championship/2r/,"Cardiff
              
                Middlesbrough",https://www.betano.pt/odds/cardiff-middlesbrough/6604620/,Championship,"Sábado, 24 Outubro 2020 15:00",Cardiff,Middlesbrough,2.25,3.05,3.2,2.05,1.5,Mais de2.5,1.35,2.45,Mais de1.5,3.55,1.15,Mais de3.5,1.78,1.7,Ambas Equipas Marcam (Sim/Não),1.30,1.28,1.55,1X,12.0,2X,"Segunda-feira, 19 Outubro 2020 22:07",
1603141656-46,https://www.betano.pt/sport/futebol/franca/ligue-1/215r/,"Rennes
              
                Angers",https://www.betano.pt/odds/rennes-angers/6618974/,Ligue 1,"Sexta-feira, 23 Outubro 2020 20:00",Rennes,Angers,1.75,3.4,4.6,1.87,1.63,Mais de2.5,1.27,2.76,Mais de1.5,3.1,1.21,Mais de3.5,1.75,1.72,Ambas Equipas Marcam (Sim/Não),1.16,1.23,1.95,1X,12.0,2X,"Segunda-feira, 19 Outubro 2020 22:06",
1603141687-49,https://www.betano.pt/sport/futebol/inglaterra/championship/2r/,"Reading
              
                Rotherham",https://www.betano.pt/odds/reading-rotherham/6604627/,Championship,"Sábado, 24 Outubro 2020 15:00",Reading,Rotherham,1.95,3.4,3.65,1.91,1.6,Mais de2.5,1.28,2.72,Mais de1.5,3.25,1.19,Mais de3.5,1.75,1.72,Ambas Equipas Marcam (Sim/Não),1.24,1.22,1.75,1X,12.0,2X,"Segunda-feira, 19 Outubro 2020 22:07",
1603141969-83,https://www.betano.pt/sport/futebol/russia/premier-liga/17098r/,"Zenit São Petersburgo
              
                Rubin Kazan",https://www.betano.pt/odds/zenit-sao-petersburgo-rubin-kazan/6615686/,Premier Liga,"Sábado, 24 Outubro 2020 14:30",Zenit São Petersburgo,Rubin Kazan,1.4,4.65,6.6,1.55,1.95,Mais de2.5,1.14,3.5,Mais de1.5,2.4,1.35,Mais de3.5,1.75,1.7,Ambas Equipas Marcam (Sim/Não),1.07,1.12,2.72,1X,12.0,2X,"Segunda-feira, 19 Outubro 2020 22:11",
1603141953-81,https://www.betano.pt/sport/futebol/russia/premier-liga/17098r/,"Krasnodar
              
                Spartak Moscovo",https://www.betano.pt/odds/krasnodar-spartak-moscovo/6615688/,Premier Liga,"Sábado, 24 Outubro 2020 17:00",Krasnodar,Spartak Moscovo,2.25,3.45,2.9,1.63,1.83,Mais de2.5,1.18,3.2,Mais de1.5,2.56,1.3,Mais de3.5,1.53,2.0,Ambas Equipas Marcam (Sim/Não),1.36,1.22,1.55,1X,12.0,2X,"Segunda-feira, 19 Outubro 2020 22:11",
1603141977-84,https://www.betano.pt/sport/futebol/russia/premier-liga/17098r/,"Dinamo Moscovo
              
                PFC Sochi",https://www.betano.pt/odds/dinamo-moscovo-pfc-sochi/6615674/,Premier Liga,"Sábado, 24 Outubro 2020 12:00",Dinamo Moscovo,PFC Sochi,1.95,3.3,3.7,1.95,1.55,Mais de2.5,1.30,2.56,Mais de1.5,3.35,1.16,Mais de3.5,1.78,1.67,Ambas Equipas Marcam (Sim/Não),1.23,1.24,1.72,1X,12.0,2X,"Segunda-feira, 19 Outubro 2020 22:11",
1603141341-9,https://www.betano.pt/sport/futebol/holanda/eredivisie/17067r/,"FC Twente Enschede
              
                PEC Zwolle",https://www.betano.pt/odds/fc-twente-enschede-pec-zwolle/6677228/,Eredivisie,"Sábado, 31 Outubro 2020 17:45",FC Twente Enschede,PEC Zwolle,1.78,3.7,4.05,1.16,1.83,1X,,,,,,,,,,,,,,,,"Segunda-feira, 19 Outubro 2020 22:01",
1603142434-138,https://www.betano.pt/sport/futebol/inglaterra/premier-league/1/,"Aston Villa
              
                Leeds United",https://www.betano.pt/odds/aston-villa-leeds-united/6493493/,Premier League,"Sexta-feira, 23 Outubro 2020 20:00",Aston Villa,Leeds United,2.25,3.45,2.9,1.63,1.95,Mais de2.5,1.19,3.45,Mais de1.5,2.54,1.36,Mais de3.5,1.5,2.15,Ambas Equipas Marcam (Sim/Não),1.36,1.24,1.55,1X,12.0,2X,"Segunda-feira, 19 Outubro 2020 22:17",
1603141758-58,https://www.betano.pt/sport/futebol/inglaterra/championship/2r/,"Nottingham Forest
              
                Derby County",https://www.betano.pt/odds/nottingham-forest-derby-county/6597600/,Championship,"Sexta-feira, 23 Outubro 2020 19:45",Nottingham Forest,Derby County,1.95,3.35,3.75,2.02,1.53,Mais de2.5,1.31,2.58,Mais de1.5,3.5,1.16,Mais de3.5,1.83,1.65,Ambas Equipas Marcam (Sim/Não),1.23,1.23,1.75,1X,12.0,2X,"Segunda-feira, 19 Outubro 2020 22:07",
