web-scraper-order,web-scraper-start-url,Games,Games-href,League,Date,HomeTeam,AwayTeam,ODDH,ODDD,ODDA,ODD_25+,ODD_25-,Tag25,ODD_15+,ODD_15-,Tag15,ODD_35+,ODD_35-,Tag35,ODD_BthScore_Yes,ODD_BthScore_No,TagBS,ODD_1X,ODD_12,ODD_X2,Tag1X,Tag12,TagX2,Current_Date,SOdds
1602255011-132,https://www.betano.pt/sport/futebol/liga-dos-campeoes/liga-dos-campeoes-jogos/182748r/,"Salzburgo
              
                Bayern Munique",https://www.betano.pt/odds/salzburgo-bayern-munique/6692723/,Liga dos Campeões - Jogos,"Terça-feira, 3 Novembro 2020 20:00",Salzburgo,Bayern Munique,5.1,4.3,1.53,1.85,1.70,Mais de3.5,1.08,4.85,Mais de1.5,1.33,2.62,Mais de2.5,1.4,2.4,Ambas Equipas Marcam (Sim/Não),2.33,1.16,1.13,1X,12.0,2X,"Sexta-feira, 9 Outubro 2020 15:48",
1602254801-107,https://www.betano.pt/sport/futebol/liga-europa/liga-europa-jogos/182761r/,"Tottenham
              
                Linz",https://www.betano.pt/odds/tottenham-linz/6692847/,Liga Europa - Jogos,"Quinta-feira, 22 Outubro 2020 20:00",Tottenham,Linz,1.4,4.7,6.5,1.47,2.10,Mais de2.5,1.12,3.85,Mais de1.5,2.25,1.42,Mais de3.5,1.67,1.8,Ambas Equipas Marcam (Sim/Não),1.08,1.11,2.72,1X,12.0,2X,"Sexta-feira, 9 Outubro 2020 15:44",
1602254339-53,https://www.betano.pt/sport/futebol/franca/ligue-1/215r/,"Stade Reims
              
                FC Lorient",https://www.betano.pt/odds/stade-reims-fc-lorient/6551760/,Ligue 1,"Sábado, 17 Outubro 2020 16:00",Stade Reims,FC Lorient,2.1,3.15,3.55,1.95,1.57,Mais de2.5,1.31,2.6,Mais de1.5,3.3,1.18,Mais de3.5,1.75,1.72,Ambas Equipas Marcam (Sim/Não),1.26,1.26,1.67,1X,12.0,2X,"Sexta-feira, 9 Outubro 2020 15:37",
1602255068-139,https://www.betano.pt/sport/futebol/liga-dos-campeoes/liga-dos-campeoes-jogos/182748r/,"Lokomotiv Moscovo
              
                Atlético de Madrid",https://www.betano.pt/odds/lokomotiv-moscovo-atletico-de-madrid/6692716/,Liga dos Campeões - Jogos,"Terça-feira, 3 Novembro 2020 17:55",Lokomotiv Moscovo,Atlético de Madrid,4.85,3.5,1.7,2.10,1.53,Mais de2.5,1.35,2.6,Mais de1.5,3.7,1.16,Mais de3.5,2.0,1.6,Ambas Equipas Marcam (Sim/Não),2.04,1.23,1.14,1X,12.0,2X,"Sexta-feira, 9 Outubro 2020 15:48",
1602254857-114,https://www.betano.pt/sport/futebol/liga-europa/liga-europa-jogos/182761r/,"PSV Eindhoven
              
                Granada CF",https://www.betano.pt/odds/psv-eindhoven-granada-cf/6692839/,Liga Europa - Jogos,"Quinta-feira, 22 Outubro 2020 17:55",PSV Eindhoven,Granada CF,2.3,3.25,2.96,1.87,1.63,Mais de2.5,1.27,2.76,Mais de1.5,3.15,1.2,Mais de3.5,1.67,1.8,Ambas Equipas Marcam (Sim/Não),1.35,1.25,1.55,1X,12.0,2X,"Sexta-feira, 9 Outubro 2020 15:44",
1602255116-145,https://www.betano.pt/sport/futebol/liga-dos-campeoes/liga-dos-campeoes-jogos/182748r/,"Juventus
              
                Barcelona",https://www.betano.pt/odds/juventus-barcelona/6687923/,Liga dos Campeões - Jogos,"Quarta-feira, 28 Outubro 2020 20:00",Juventus,Barcelona,2.33,3.1,3.05,1.75,1.80,Mais de2.5,1.23,3.15,Mais de1.5,2.8,1.3,Mais de3.5,1.57,2.02,Ambas Equipas Marcam (Sim/Não),1.33,1.28,1.53,1X,12.0,2X,"Sexta-feira, 9 Outubro 2020 15:48",
1602254729-98,https://www.betano.pt/sport/futebol/liga-europa/liga-europa-jogos/182761r/,"AEK Atenas
              
                Leicester",https://www.betano.pt/odds/aek-atenas-leicester/6710334/,Liga Europa - Jogos,"Quinta-feira, 29 Outubro 2020 17:55",AEK Atenas,Leicester,4.2,3.35,1.85,1.65,1.83,Mais de2.5,1.19,3.25,Mais de1.5,2.56,1.32,Mais de3.5,1.57,1.95,Ambas Equipas Marcam (Sim/Não),1.85,1.23,1.19,1X,12.0,2X,"Sexta-feira, 9 Outubro 2020 15:44",
1602254242-42,https://www.betano.pt/sport/futebol/alemanha/bundesliga/216r/,"Mainz 05
              
                Bayer Leverkusen",https://www.betano.pt/odds/mainz-05-bayer-leverkusen/6632980/,Bundesliga,"Sábado, 17 Outubro 2020 14:30",Mainz 05,Bayer Leverkusen,4.9,4.0,1.6,1.95,1.63,Mais de3.5,1.1,4.55,Mais de1.5,1.38,2.45,Mais de2.5,1.42,2.35,Ambas Equipas Marcam (Sim/Não),2.20,1.17,1.14,1X,12.0,2X,"Sexta-feira, 9 Outubro 2020 15:34",
1602254385-58,https://www.betano.pt/sport/futebol/inglaterra/championship/2r/,"Sheffield Wednesday
              
                Brentford FC",https://www.betano.pt/odds/sheffield-wednesday-brentford-fc/6579724/,Championship,"Quarta-feira, 21 Outubro 2020 19:45",Sheffield Wednesday,Brentford FC,3.35,3.25,2.11,1.57,1.23,1X,,,,,,,,,,,,,,,,"Sexta-feira, 9 Outubro 2020 15:39",
1602255296-163,https://www.betano.pt/sport/futebol/liga-dos-campeoes/liga-dos-campeoes-jogos/182748r/,"Rennes
              
                Krasnodar",https://www.betano.pt/odds/rennes-krasnodar/6687596/,Liga dos Campeões - Jogos,"Terça-feira, 20 Outubro 2020 20:00",Rennes,Krasnodar,1.8,3.6,4.05,1.78,1.75,Mais de2.5,1.24,3.1,Mais de1.5,2.94,1.27,Mais de3.5,1.7,1.85,Ambas Equipas Marcam (Sim/Não),1.20,1.22,1.91,1X,12.0,2X,"Sexta-feira, 9 Outubro 2020 15:48",
