,HT,AT,League,Date,FTHG,FTAG,HxG,AxG,HShots,AShots,HST,AST,HDEEP,ADEEP,HPPDA,APPDA,HxPTS,AxPTS
38,Arsenal,Leicester,Premier_League,2020-07-07,1,1,1.29,1.0,11,13,7,5,8,5,17.11,8.0,1.61,1.08
39,Watford,Norwich,Premier_League,2020-07-07,2,1,0.73,1.13,9,12,4,3,6,7,11.23,9.0,0.92,1.76
40,Crystal Palace,Chelsea,Premier_League,2020-07-07,2,3,1.29,2.66,13,14,4,6,7,8,14.0,7.38,0.49,2.32
41,Manchester City,Newcastle United,Premier_League,2020-07-08,5,0,3.29,0.22,23,6,9,1,23,1,6.38,33.33,2.91,0.05
42,Sheffield United,Wolverhampton Wanderers,Premier_League,2020-07-08,1,0,0.47,0.33,7,6,3,1,7,2,18.89,11.85,1.41,1.08
43,West Ham,Burnley,Premier_League,2020-07-08,0,1,2.0,1.05,22,8,5,4,8,6,10.94,24.13,2.07,0.71
44,Brighton,Liverpool,Premier_League,2020-07-08,1,3,2.36,2.62,12,19,2,8,5,15,20.92,8.65,1.27,1.51
45,Everton,Southampton,Premier_League,2020-07-09,1,1,0.67,2.3,11,17,4,4,2,13,14.41,6.93,0.27,2.6
46,Bournemouth,Tottenham,Premier_League,2020-07-09,0,0,0.96,0.48,8,9,2,0,6,5,12.29,6.47,1.82,0.83
47,Aston Villa,Manchester United,Premier_League,2020-07-09,0,3,0.6,2.87,9,14,1,6,2,13,21.24,8.0,0.15,2.77
48,Liverpool,Burnley,Premier_League,2020-07-11,1,1,2.18,0.45,23,6,9,2,19,2,8.69,23.47,2.56,0.29
49,Sheffield United,Chelsea,Premier_League,2020-07-11,3,0,2.01,1.18,9,15,4,4,5,3,45.91,4.73,2.04,0.73
50,Brighton,Manchester City,Premier_League,2020-07-11,0,5,0.15,5.52,3,26,0,8,5,14,27.06,9.6,0.0,3.0
51,Watford,Newcastle United,Premier_League,2020-07-11,2,1,3.13,1.49,17,8,5,4,11,1,6.25,12.08,2.5,0.35
52,Norwich,West Ham,Premier_League,2020-07-11,0,4,0.61,3.81,11,19,2,7,7,9,14.11,20.88,0.05,2.92
53,Aston Villa,Crystal Palace,Premier_League,2020-07-12,2,0,1.7,0.97,12,9,9,5,4,3,8.92,7.45,1.95,0.8
54,Tottenham,Arsenal,Premier_League,2020-07-12,2,1,1.82,0.69,15,13,9,4,4,6,17.04,13.06,2.26,0.53
55,Bournemouth,Leicester,Premier_League,2020-07-12,4,1,2.54,1.66,10,13,4,5,3,14,18.47,9.35,2.08,0.7
56,Wolverhampton Wanderers,Everton,Premier_League,2020-07-12,3,0,2.87,0.29,14,6,7,2,4,3,14.35,18.63,2.89,0.07
57,Granada,Real Madrid,La_Liga,2020-07-13,1,2,0.93,0.53,13,11,4,5,4,3,13.23,8.0,1.7,0.94
58,Alaves,Getafe,La_Liga,2020-07-13,0,0,0.12,0.6,3,14,1,4,2,8,3.61,4.18,0.7,1.78
59,Villarreal,Real Sociedad,La_Liga,2020-07-13,1,2,0.37,1.25,9,11,3,6,3,9,12.0,14.19,0.57,2.15
60,Inter,Torino,Serie_A,2020-07-13,3,1,2.52,1.7,24,11,10,3,12,2,6.03,11.32,1.92,0.87
61,Atalanta,Brescia,Serie_A,2020-07-14,6,2,2.44,0.87,14,6,7,4,13,1,7.33,23.61,2.44,0.39
62,Roma,Verona,Serie_A,2020-07-15,2,1,2.66,0.88,20,7,6,1,8,6,13.76,9.71,2.61,0.26
63,Udinese,Lazio,Serie_A,2020-07-15,0,0,1.03,0.72,14,16,5,2,3,11,18.6,14.19,1.62,1.05
64,Lecce,Fiorentina,Serie_A,2020-07-15,1,3,0.45,2.59,10,14,2,8,7,6,15.5,19.6,0.16,2.75
65,Sassuolo,Juventus,Serie_A,2020-07-15,3,3,1.9,2.43,22,21,11,5,10,5,10.9,12.22,1.06,1.72
66,Sampdoria,Cagliari,Serie_A,2020-07-15,3,0,1.61,0.5,11,15,4,2,6,4,17.06,17.33,2.31,0.47
67,AC Milan,Parma Calcio 1913,Serie_A,2020-07-15,3,1,1.77,0.71,27,12,7,3,14,6,8.7,16.35,2.15,0.63
68,Bologna,Napoli,Serie_A,2020-07-15,1,1,0.67,0.87,13,9,1,3,10,5,9.46,19.14,1.14,1.51
69,SPAL 2013,Inter,Serie_A,2020-07-16,0,4,0.81,2.53,12,16,0,6,7,8,15.68,9.69,0.29,2.57
70,Real Betis,Alaves,La_Liga,2020-07-16,1,2,1.8,2.31,14,9,7,5,13,5,6.53,33.67,0.99,1.77
71,Barcelona,Osasuna,La_Liga,2020-07-16,1,2,1.15,0.67,18,9,2,5,16,3,5.88,28.0,1.71,0.96
72,Getafe,Atletico Madrid,La_Liga,2020-07-16,0,2,1.14,1.74,15,11,6,3,3,8,10.5,6.47,0.87,1.88
73,Athletic Club,Leganes,La_Liga,2020-07-16,0,2,0.62,1.85,10,16,3,4,5,8,5.66,13.35,0.47,2.33
74,Torino,Genoa,Serie_A,2020-07-16,3,0,1.42,1.07,12,14,5,5,3,4,8.71,7.88,1.7,1.01
75,Mallorca,Granada,La_Liga,2020-07-16,1,2,1.22,1.09,18,14,5,6,3,9,9.5,7.0,1.45,1.25
76,Celta Vigo,Levante,La_Liga,2020-07-16,2,3,1.65,1.4,15,8,6,4,9,3,5.29,9.08,1.54,1.17
77,Real Madrid,Villarreal,La_Liga,2020-07-16,2,1,1.7,1.14,12,8,7,4,8,1,11.92,13.38,1.82,0.86
78,Eibar,Real Valladolid,La_Liga,2020-07-16,3,1,2.6,2.15,13,17,7,8,3,2,5.23,8.19,1.75,0.98
