web-scraper-order,web-scraper-start-url,Games,Games-href,Date,Teams,ODDH,ODDD,ODDA,Warning
"1600978200-1230","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/results/","Groningen - Feyenoord","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/groningen-feyenoord-WbDB8FAa/","Sunday, 17 Feb  2019, 12:30","Groningen - Feyenoord","5.01","4.08","1.65","Final result"
"1600978018-1157","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/results/","Heracles - Venlo","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/heracles-venlo-8p0yXzyR/","Sunday, 02 Dec  2018, 12:30","Heracles - Venlo","1.71","4.03","4.48","Final result"
"1600978250-1250","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/results/","Utrecht - Groningen","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/utrecht-groningen-84jyYVwB/","Friday, 08 Mar  2019, 18:00","Utrecht - Groningen","1.79","3.92","4.21","Final result"
"1600977968-1137","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/results/","Venlo - Sittard","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/venlo-sittard-MgsG80h9/","Saturday, 10 Nov  2018, 18:45","Venlo - Sittard","2.38","3.36","2.99","Final result"
"1600978471-1338","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/results/","Sittard - Feyenoord","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/sittard-feyenoord-IBq6Viz3/","Wednesday, 15 May  2019, 17:30","Sittard - Feyenoord","8.63","6.14","1.29","Final result"
"1600978290-1266","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/results/","Groningen - Den Haag","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/groningen-den-haag-G2gsm2qF/","Sunday, 17 Mar  2019, 12:30","Groningen - Den Haag","1.60","4.29","5.20","Final result"
"1600978126-1200","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/results/","Excelsior - Graafschap","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/excelsior-de-graafschap-UTZp4u2G/","Saturday, 26 Jan  2019, 17:45","Excelsior - Graafschap","2.07","3.64","3.40","Final result"
"1600978448-1329","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/results/","Heerenveen - Breda","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/heerenveen-breda-IZRhMmck/","Sunday, 12 May  2019, 12:30","Heerenveen - Breda","1.69","4.19","4.51","Final result"
"1600977876-1100","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/results/","Zwolle - Excelsior","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/zwolle-excelsior-rsVsoowl/","Saturday, 06 Oct  2018, 17:45","Zwolle - Excelsior","1.83","3.78","4.15","Final result"
"1600978310-1274","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/results/","Breda - Venlo","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/breda-venlo-tjQYxIL7/","Sunday, 31 Mar  2019, 10:15","Breda - Venlo","2.41","3.40","2.92","Final result"
