web-scraper-order,web-scraper-start-url,Games,Games-href,Date,Teams,ODDH,ODDD,ODDA,Warning
"1600976855-917","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Waalwijk - Groningen","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/waalwijk-groningen-QagHEQEg/","Sunday, 15 Mar  2020, 12:30","Waalwijk - Groningen","-","-","-","Canceled"
"1600976292-695","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Heerenveen - Feyenoord","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/heerenveen-feyenoord-ILtGxqXH/","Sunday, 11 Aug  2019, 12:30","Heerenveen - Feyenoord","4.55","4.36","1.66","Final result"
"1600976843-912","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Willem II - Heerenveen","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/willem-ii-heerenveen-bVMnaoF6/","Saturday, 14 Mar  2020, 16:30","Willem II - Heerenveen","-","-","-","Canceled"
"1600976689-851","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Heerenveen - AZ Alkmaar","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/heerenveen-az-alkmaar-KMjxvSPE/","Saturday, 25 Jan  2020, 16:30","Heerenveen - AZ Alkmaar","3.83","3.87","1.87","Final result"
"1600976399-738","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","PSV - Ajax","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/psv-ajax-6JGqFrzm/","Sunday, 22 Sep  2019, 14:45","PSV - Ajax","3.08","3.90","2.14","Final result"
"1600976835-909","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Feyenoord - Willem II","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/feyenoord-willem-ii-xIDcLyW8/","Sunday, 08 Mar  2020, 12:30","Feyenoord - Willem II","1.44","4.70","6.81","Final result"
"1600976431-751","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","AZ Alkmaar - Heracles","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/az-alkmaar-heracles-za80B0ZB/","Sunday, 29 Sep  2019, 14:45","AZ Alkmaar - Heracles","1.49","4.55","6.08","Final result"
"1600976830-907","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Utrecht - Sparta Rotterdam","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/utrecht-sparta-rotterdam-ABLBcYw2/","Sunday, 08 Mar  2020, 10:15","Utrecht - Sparta Rotterdam","1.66","4.03","5.00","Final result"
"1600976669-843","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Twente - Groningen","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/twente-groningen-n9WbQ8eF/","Saturday, 18 Jan  2020, 17:45","Twente - Groningen","2.88","3.28","2.49","Final result"
"1600976438-754","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Vitesse - Utrecht","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/vitesse-utrecht-tGT6HJBi/","Saturday, 05 Oct  2019, 17:45","Vitesse - Utrecht","2.38","3.72","2.74","Final result"
"1600976304-700","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Den Haag - Sparta Rotterdam","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/den-haag-sparta-rotterdam-bwovsbO3/","Saturday, 17 Aug  2019, 16:30","Den Haag - Sparta Rotterdam","3.25","3.80","2.08","Final result"
"1600976282-691","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Ajax - FC Emmen","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/ajax-fc-emmen-GdpatRXh/","Saturday, 10 Aug  2019, 17:45","Ajax - FC Emmen","1.05","13.44","36.55","Final result"
"1600976426-749","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Utrecht - Willem II","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/utrecht-willem-ii-txVRRLJh/","Sunday, 29 Sep  2019, 12:30","Utrecht - Willem II","1.60","4.21","5.35","Final result"
"1600976327-709","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Heerenveen - Twente","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/heerenveen-twente-zwFLgy89/","Saturday, 24 Aug  2019, 18:45","Heerenveen - Twente","1.92","3.80","3.76","Final result"
"1600976541-794","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Twente - Zwolle","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/twente-zwolle-I10gZrwf/","Sunday, 10 Nov  2019, 12:30","Twente - Zwolle","1.95","3.89","3.55","Final result"
"1600976769-883","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Willem II - Utrecht","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/willem-ii-utrecht-j36tR03N/","Sunday, 16 Feb  2020, 14:45","Willem II - Utrecht","3.18","3.53","2.20","Final result"
"1600976379-730","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Sittard - Twente","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/sittard-twente-GWICCkEl/","Sunday, 15 Sep  2019, 14:45","Sittard - Twente","3.23","3.80","2.08","Final result"
"1600976594-813","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","FC Emmen - PSV","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/fc-emmen-psv-OCUZ1mVm/","Sunday, 01 Dec  2019, 18:00","FC Emmen - PSV","5.89","4.80","1.48","Final result"
"1600976735-869","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Groningen - Vitesse","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/groningen-vitesse-2q55PmSI/","Saturday, 08 Feb  2020, 16:30","Groningen - Vitesse","2.10","3.32","3.66","Final result"
"1600976828-906","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Heerenveen - Ajax","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/heerenveen-ajax-zgTb0zfq/","Saturday, 07 Mar  2020, 18:45","Heerenveen - Ajax","5.96","5.22","1.44","Final result"
"1600976871-923","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Vitesse - Willem II","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/vitesse-willem-ii-lhJpfEk0/","Saturday, 21 Mar  2020, 17:45","Vitesse - Willem II","-","-","-","Canceled"
"1600976414-744","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Venlo - Heerenveen","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/venlo-heerenveen-tx9dCtK5/","Saturday, 28 Sep  2019, 16:30","Venlo - Heerenveen","3.54","3.74","1.99","Final result"
"1600976845-913","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Zwolle - Heracles","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/zwolle-heracles-804wM8MJ/","Saturday, 14 Mar  2020, 17:45","Zwolle - Heracles","-","-","-","Canceled"
"1600976730-867","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Ajax - PSV","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/ajax-psv-dWZ4R9c6/","Sunday, 02 Feb  2020, 14:45","Ajax - PSV","1.39","5.31","6.79","Final result"
"1600976648-835","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","PSV - Zwolle","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/psv-zwolle-0beUATeS/","Saturday, 21 Dec  2019, 17:45","PSV - Zwolle","1.27","6.08","9.97","Final result"
"1600976523-787","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Den Haag - Heerenveen","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/den-haag-heerenveen-K6UOJ3w7/","Sunday, 03 Nov  2019, 14:45","Den Haag - Heerenveen","3.04","3.79","2.18","Final result"
