web-scraper-order,web-scraper-start-url,Games,Games-href,League,Date,Time,HomeTeam,AwayTeam,ODDH,ODDD,ODDA
"1595157601-264","https://betway.pt/desportos/futebol/espanha-la-liga/","EspanyolCelta VigoHoje20:00","https://betway.pt/desportos/futebol/espanha-la-liga/20200719/espanyol-vs-celta-vigo/","Espanha - La Liga","19 Julho","20:00","Espanyol","Celta Vigo","5,10","3,55","1,66"
"1595157410-232","https://betway.pt/desportos/futebol/liga-dos-campe%C3%B5es/","Man CityReal Madrid7 Agosto20:00","https://betway.pt/desportos/futebol/liga-dos-campe%C3%B5es/20200807/man-city-vs-real-madrid/","null","null","null","null","null","null","null","null"
"1595157503-248","https://betway.pt/desportos/futebol/inglaterra-premier-league/","WatfordMan City21 Julho18:00","https://betway.pt/desportos/futebol/inglaterra-premier-league/20200721/watford-vs-man-city/","Inglaterra - Premier League","21 Julho","18:00","Watford","Man City","8,25","5,45","1,31"
"1595157312-215","https://betway.pt/desportos/futebol/portugal-primeira-liga/","FC PortoMoreirenseAmanhã21:15","https://betway.pt/desportos/futebol/portugal-primeira-liga/20200720/fc-porto-vs-moreirense/","null","null","null","null","null","null","null","null"
"1595157570-260","https://betway.pt/desportos/futebol/it%C3%A1lia-s%C3%A9rie-a/","ParmaSampdoriaHoje16:15","https://betway.pt/desportos/futebol/it%C3%A1lia-s%C3%A9rie-a/20200719/parma-vs-sampdoria/","Itália - Série A","19 Julho","16:15","Parma","Sampdoria","3,05","2,95","2,45"
"1595157369-225","https://betway.pt/desportos/futebol/liga-europa/","LeverkusenRangers5 Agosto17:55","https://betway.pt/desportos/futebol/liga-europa/20200805/leverkusen-vs-rangers/","Liga Europa","5 Agosto","17:55","Leverkusen","Rangers","1,62","3,80","4,50"
"1595157508-249","https://betway.pt/desportos/futebol/inglaterra-premier-league/","WolvesCrystal PalaceAmanhã20:15","https://betway.pt/desportos/futebol/inglaterra-premier-league/20200720/wolves-vs-crystal-palace/","Inglaterra - Premier League","20 Julho","20:15","Wolves","Crystal Palace","1,45","4,00","7,50"
"1595157528-253","https://betway.pt/desportos/futebol/inglaterra-premier-league/","BournemouthSouthamptonHoje14:00","https://betway.pt/desportos/futebol/inglaterra-premier-league/20200719/bournemouth-vs-southampton/","Inglaterra - Premier League","19 Julho","14:00","Bournemouth","Southampton","2,30","3,65","2,80"
"1595157364-224","https://betway.pt/desportos/futebol/liga-europa/","Man UtdLASK Linz5 Agosto17:55","https://betway.pt/desportos/futebol/liga-europa/20200805/man-utd-vs-lask-linz/","Liga Europa","5 Agosto","17:55","Man Utd","LASK Linz","1,27","5,20","8,25"
"1595157595-263","https://betway.pt/desportos/futebol/espanha-la-liga/","LevanteGetafeHoje20:00","https://betway.pt/desportos/futebol/espanha-la-liga/20200719/levante-vs-getafe/","Espanha - La Liga","19 Julho","20:00","Levante","Getafe","4,75","3,50","1,71"
"1595157544-255","https://betway.pt/desportos/futebol/it%C3%A1lia-s%C3%A9rie-a/","AS RomaInter de MilãoHoje20:45","https://betway.pt/desportos/futebol/it%C3%A1lia-s%C3%A9rie-a/20200719/as-roma-vs-inter-de-mil%C3%A3o/","Itália - Série A","19 Julho","20:45","AS Roma","Inter de Milão","3,05","3,60","2,15"
"1595157333-219","https://betway.pt/desportos/futebol/portugal-primeira-liga/","BelenensesGil VicenteHoje19:00","https://betway.pt/desportos/futebol/portugal-primeira-liga/20200719/belenenses-vs-gil-vicente/","Portugal - Primeira Liga","19 Julho","19:00","Belenenses","Gil Vicente","2,30","2,90","2,85"
"1595157626-269","https://betway.pt/desportos/futebol/espanha-la-liga/","ValladolidReal BetisHoje17:30","https://betway.pt/desportos/futebol/espanha-la-liga/20200719/valladolid-vs-real-betis/","Espanha - La Liga","19 Julho","17:30","Valladolid","Real Betis","2,60","3,35","2,60"
"1595157616-267","https://betway.pt/desportos/futebol/espanha-la-liga/","SevillaValenciaHoje20:00","https://betway.pt/desportos/futebol/espanha-la-liga/20200719/sevilla-vs-valencia/","Espanha - La Liga","19 Julho","20:00","Sevilla","Valencia","1,71","3,90","4,15"
"1595157565-259","https://betway.pt/desportos/futebol/it%C3%A1lia-s%C3%A9rie-a/","BresciaSpalHoje18:30","https://betway.pt/desportos/futebol/it%C3%A1lia-s%C3%A9rie-a/20200719/brescia-vs-spal/","Itália - Série A","19 Julho","18:30","Brescia","Spal","2,30","3,35","2,95"
"1595157450-239","https://betway.pt/desportos/futebol/inglaterra-campeonato/","Luton TownBlackburn22 Julho19:30","https://betway.pt/desportos/futebol/inglaterra-campeonato/20200722/luton-town-vs-blackburn/","Inglaterra - Campeonato","22 Julho","19:30","Luton Town","Blackburn","1,74","3,50","4,20"
"1595157652-273","https://betway.pt/desportos/futebol/esc%C3%B3cia-premiership/","AberdeedRangers1 Agosto17:30","https://betway.pt/desportos/futebol/esc%C3%B3cia-premiership/20200801/aberdeed-vs-rangers/","Escócia - Premiership","1 Agosto","17:30","Aberdeed","Rangers","6,30","4,10","1,32"
"1595157518-251","https://betway.pt/desportos/futebol/inglaterra-premier-league/","BrightonNewcastleAmanhã18:00","https://betway.pt/desportos/futebol/inglaterra-premier-league/20200720/brighton-vs-newcastle/","Inglaterra - Premier League","20 Julho","18:00","Brighton","Newcastle","1,80","3,55","4,45"
"1595157559-258","https://betway.pt/desportos/futebol/it%C3%A1lia-s%C3%A9rie-a/","FiorentinaTorinoHoje18:30","https://betway.pt/desportos/futebol/it%C3%A1lia-s%C3%A9rie-a/20200719/fiorentina-vs-torino/","Itália - Série A","19 Julho","18:30","Fiorentina","Torino","1,86","3,35","4,10"
"1595157611-266","https://betway.pt/desportos/futebol/espanha-la-liga/","OsasunaMaiorcaHoje20:00","https://betway.pt/desportos/futebol/espanha-la-liga/20200719/osasuna-vs-maiorca/","Espanha - La Liga","19 Julho","20:00","Osasuna","Maiorca","1,80","3,70","3,95"
"1595157554-257","https://betway.pt/desportos/futebol/it%C3%A1lia-s%C3%A9rie-a/","GénovaLecceHoje18:30","https://betway.pt/desportos/futebol/it%C3%A1lia-s%C3%A9rie-a/20200719/g%C3%A9nova-vs-lecce/","Itália - Série A","19 Julho","18:30","Génova","Lecce","1,80","3,70","4,05"
"1595157445-238","https://betway.pt/desportos/futebol/inglaterra-campeonato/","LeedsCharlton22 Julho19:30","https://betway.pt/desportos/futebol/inglaterra-campeonato/20200722/leeds-vs-charlton/","Inglaterra - Campeonato","22 Julho","19:30","Leeds","Charlton","1,62","3,75","4,60"
"1595157513-250","https://betway.pt/desportos/futebol/inglaterra-premier-league/","Sheffield UtdEvertonAmanhã18:00","https://betway.pt/desportos/futebol/inglaterra-premier-league/20200720/sheffield-utd-vs-everton/","Inglaterra - Premier League","20 Julho","18:00","Sheffield Utd","Everton","2,10","3,30","3,50"
"1595157374-226","https://betway.pt/desportos/futebol/liga-europa/","Inter de MilãoGetafe5 Agosto17:55","https://betway.pt/desportos/futebol/liga-europa/20200805/inter-de-mil%C3%A3o-vs-getafe/","Liga Europa","5 Agosto","17:55","Inter de Milão","Getafe","1,95","3,20","3,65"
"1595157621-268","https://betway.pt/desportos/futebol/espanha-la-liga/","VillarrealEibarHoje17:30","https://betway.pt/desportos/futebol/espanha-la-liga/20200719/villarreal-vs-eibar/","Espanha - La Liga","19 Julho","17:30","Villarreal","Eibar","1,68","3,75","4,60"
"1595157549-256","https://betway.pt/desportos/futebol/it%C3%A1lia-s%C3%A9rie-a/","NapoliUdineseHoje18:30","https://betway.pt/desportos/futebol/it%C3%A1lia-s%C3%A9rie-a/20200719/napoli-vs-udinese/","Itália - Série A","19 Julho","18:30","Napoli","Udinese","1,54","3,90","5,95"
"1595157440-237","https://betway.pt/desportos/futebol/inglaterra-campeonato/","Cardiff CityHull City22 Julho19:30","https://betway.pt/desportos/futebol/inglaterra-campeonato/20200722/cardiff-city-vs-hull-city/","Inglaterra - Campeonato","22 Julho","19:30","Cardiff City","Hull City","1,33","4,70","7,25"
"1595157420-233","https://betway.pt/desportos/futebol/inglaterra-campeonato/","WiganFulham22 Julho19:30","https://betway.pt/desportos/futebol/inglaterra-campeonato/20200722/wigan-vs-fulham/","Inglaterra - Campeonato","22 Julho","19:30","Wigan","Fulham","2,55","3,40","2,45"
"1595157642-271","https://betway.pt/desportos/futebol/esc%C3%B3cia-premiership/","Ross CountyMotherwell3 Agosto19:45","https://betway.pt/desportos/futebol/esc%C3%B3cia-premiership/20200803/ross-county-vs-motherwell/","Escócia - Premiership","3 Agosto","19:45","Ross County","Motherwell","2,75","3,05","2,15"
"1595157425-234","https://betway.pt/desportos/futebol/inglaterra-campeonato/","BirminghamDerby County22 Julho19:30","https://betway.pt/desportos/futebol/inglaterra-campeonato/20200722/birmingham-vs-derby-county/","Inglaterra - Campeonato","22 Julho","19:30","Birmingham","Derby County","2,75","3,10","2,40"
"1595157359-223","https://betway.pt/desportos/futebol/liga-europa/","WolvesOlympiacos5 Agosto17:55","https://betway.pt/desportos/futebol/liga-europa/20200805/wolves-vs-olympiacos/","Liga Europa","5 Agosto","17:55","Wolves","Olympiakos","1,80","3,25","4,20"
"1595157471-243","https://betway.pt/desportos/futebol/inglaterra-campeonato/","Sheffield WedMiddlesbrough22 Julho19:30","https://betway.pt/desportos/futebol/inglaterra-campeonato/20200722/sheffield-wed-vs-middlesbrough/","Inglaterra - Campeonato","22 Julho","19:30","Sheffield Wed","Middlesbrough","2,05","3,15","3,35"
"1595157632-270","https://betway.pt/desportos/futebol/espanha-la-liga/","AlavésBarcelonaHoje16:00","https://betway.pt/desportos/futebol/espanha-la-liga/20200719/alav%C3%A9s-vs-barcelona/","Espanha - La Liga","19 Julho","16:00","Alavés","Barcelona","6,55","4,30","1,44"
"1595157435-236","https://betway.pt/desportos/futebol/inglaterra-campeonato/","Bristol CityPreston22 Julho19:30","https://betway.pt/desportos/futebol/inglaterra-campeonato/20200722/bristol-city-vs-preston/","Inglaterra - Campeonato","22 Julho","19:30","Bristol City","Preston","2,60","3,10","2,55"
"1595157400-230","https://betway.pt/desportos/futebol/liga-dos-campe%C3%B5es/","Bayern de MuniqueChelsea8 Agosto20:00","https://betway.pt/desportos/futebol/liga-dos-campe%C3%B5es/20200808/bayern-de-munique-vs-chelsea/","null","null","null","null","null","null","null","null"
"1595157482-245","https://betway.pt/desportos/futebol/inglaterra-campeonato/","BarnsleyNottingham ForestHoje15:00","https://betway.pt/desportos/futebol/inglaterra-campeonato/20200719/barnsley-vs-nottingham-forest/","Inglaterra - Campeonato","19 Julho","15:00","Barnsley","Nottingham Forest","2,65","3,10","2,55"
"1595157328-218","https://betway.pt/desportos/futebol/portugal-primeira-liga/","Vitória de GuimarãesMarítimoHoje21:15","https://betway.pt/desportos/futebol/portugal-primeira-liga/20200719/vit%C3%B3ria-de-guimar%C3%A3es-vs-mar%C3%ADtimo/","Portugal - Primeira Liga","19 Julho","21:15","Vitória de Guimarães","Marítimo","1,55","3,65","4,85"
"1595157461-241","https://betway.pt/desportos/futebol/inglaterra-campeonato/","Nottingham ForestStoke City22 Julho19:30","https://betway.pt/desportos/futebol/inglaterra-campeonato/20200722/nottingham-forest-vs-stoke-city/","Inglaterra - Campeonato","22 Julho","19:30","Nottingham Forest","Stoke City","2,05","3,15","3,40"
"1595157523-252","https://betway.pt/desportos/futebol/inglaterra-premier-league/","TottenhamLeicesterHoje16:00","https://betway.pt/desportos/futebol/inglaterra-premier-league/20200719/tottenham-vs-leicester/","Inglaterra - Premier League","19 Julho","16:00","Tottenham","Leicester","2,30","3,30","3,05"
"1595157466-242","https://betway.pt/desportos/futebol/inglaterra-campeonato/","ReadingSwansea22 Julho19:30","https://betway.pt/desportos/futebol/inglaterra-campeonato/20200722/reading-vs-swansea/","Inglaterra - Campeonato","22 Julho","19:30","Reading","Swansea","3,70","3,35","1,90"
"1595157662-275","https://betway.pt/desportos/futebol/esc%C3%B3cia-premiership/","Dundee UtdSaint Johnstone1 Agosto15:00","https://betway.pt/desportos/futebol/esc%C3%B3cia-premiership/20200801/dundee-utd-vs-saint-johnstone/","Escócia - Premiership","1 Agosto","15:00","Dundee Utd","Saint Johnstone","2,55","2,90","2,40"
"1595157497-247","https://betway.pt/desportos/futebol/inglaterra-premier-league/","Aston VillaArsenal21 Julho20:15","https://betway.pt/desportos/futebol/inglaterra-premier-league/20200721/aston-villa-vs-arsenal/","Inglaterra - Premier League","21 Julho","20:15","Aston Villa","Arsenal","3,10","3,80","2,10"
"1595157307-214","https://betway.pt/desportos/futebol/portugal-primeira-liga/","Sporting CPSetúbal21 Julho19:00","https://betway.pt/desportos/futebol/portugal-primeira-liga/20200721/sporting-cp-vs-set%C3%BAbal/","Portugal - Primeira Liga","21 Julho","19:00","Sporting CP","Setúbal","1,31","4,35","7,00"
"1595157322-217","https://betway.pt/desportos/futebol/portugal-primeira-liga/","Paços de FerreiraPortimonenseAmanhã17:00","https://betway.pt/desportos/futebol/portugal-primeira-liga/20200720/pa%C3%A7os-de-ferreira-vs-portimonense/","Portugal - Primeira Liga","20 Julho","17:00","Paços de Ferreira","Portimonense","2,80","3,15","2,25"
"1595157487-246","https://betway.pt/desportos/futebol/inglaterra-campeonato/","Derby CountyLeedsHoje14:00","https://betway.pt/desportos/futebol/inglaterra-campeonato/20200719/derby-county-vs-leeds/","Inglaterra - Campeonato","19 Julho","14:00","Derby County","Leeds","3,00","3,30","2,15"
"1595157667-276","https://betway.pt/desportos/futebol/esc%C3%B3cia-premiership/","HibernianKilmarnock1 Agosto15:00","https://betway.pt/desportos/futebol/esc%C3%B3cia-premiership/20200801/hibernian-vs-kilmarnock/","Escócia - Premiership","1 Agosto","15:00","Hibernian","Kilmarnock","1,95","3,15","3,15"
"1595157539-254","https://betway.pt/desportos/futebol/it%C3%A1lia-s%C3%A9rie-a/","JuventusLázioAmanhã20:45","https://betway.pt/desportos/futebol/it%C3%A1lia-s%C3%A9rie-a/20200720/juventus-vs-l%C3%A1zio/","Itália - Série A","20 Julho","20:45","Juventus","Lázio","1,57","4,10","5,10"
"1595157585-261","https://betway.pt/desportos/futebol/espanha-la-liga/","Granada CFAtlético de BilbauHoje20:00","https://betway.pt/desportos/futebol/espanha-la-liga/20200719/granada-cf-vs-atl%C3%A9tico-de-bilbau/","Espanha - La Liga","19 Julho","20:00","Granada CF","Atlético de Bilbau","2,05","3,25","3,55"
"1595157389-228","https://betway.pt/desportos/futebol/liga-dos-campe%C3%B5es/","AtalantaParis St-Germain12 Agosto20:00","https://betway.pt/desportos/futebol/liga-dos-campe%C3%B5es/20200812/atalanta-vs-paris-st-germain/","null","null","null","null","null","null","null","null"
"1595157349-221","https://betway.pt/desportos/futebol/liga-europa/","BasileiaEintracht Frankfurt5 Agosto17:55","https://betway.pt/desportos/futebol/liga-europa/20200805/basileia-vs-eintracht-frankfurt/","null","null","null","null","null","null","null","null"
"1595157476-244","https://betway.pt/desportos/futebol/inglaterra-campeonato/","West BromQueens Park Rangers22 Julho19:30","https://betway.pt/desportos/futebol/inglaterra-campeonato/20200722/west-brom-vs-queens-park-rangers/","Inglaterra - Campeonato","22 Julho","19:30","West Brom","Queens Park Rangers","1,19","5,80","11,00"
"1595157647-272","https://betway.pt/desportos/futebol/esc%C3%B3cia-premiership/","CelticHamilton Accies2 Agosto16:30","https://betway.pt/desportos/futebol/esc%C3%B3cia-premiership/20200802/celtic-vs-hamilton-accies/","Escócia - Premiership","2 Agosto","16:30","Celtic","Hamilton Accies","1,07","7,00","13,50"
"1595157456-240","https://betway.pt/desportos/futebol/inglaterra-campeonato/","MillwallHuddersfield Town22 Julho19:30","https://betway.pt/desportos/futebol/inglaterra-campeonato/20200722/millwall-vs-huddersfield-town/","Inglaterra - Campeonato","22 Julho","19:30","Millwall","Huddersfield Town","2,30","3,25","2,85"
"1595157343-220","https://betway.pt/desportos/futebol/liga-europa/","Shakhtar DonetskWolfsburg5 Agosto17:55","https://betway.pt/desportos/futebol/liga-europa/20200805/shakhtar-donetsk-vs-wolfsburg/","Liga Europa","5 Agosto","17:55","Shakhtar Donetsk","Wolfsburg","2,45","3,35","2,55"
"1595157590-262","https://betway.pt/desportos/futebol/espanha-la-liga/","LeganésReal MadridHoje20:00","https://betway.pt/desportos/futebol/espanha-la-liga/20200719/legan%C3%A9s-vs-real-madrid/","Espanha - La Liga","19 Julho","20:00","Leganés","Real Madrid","3,30","3,50","2,05"
"1595157606-265","https://betway.pt/desportos/futebol/espanha-la-liga/","Atlético de MadridReal SociedadHoje20:00","https://betway.pt/desportos/futebol/espanha-la-liga/20200719/atl%C3%A9tico-de-madrid-vs-real-sociedad/","Espanha - La Liga","19 Julho","20:00","Atlético de Madrid","Real Sociedad","2,05","2,95","4,05"
"1595157430-235","https://betway.pt/desportos/futebol/inglaterra-campeonato/","BrentfordBarnsley22 Julho19:30","https://betway.pt/desportos/futebol/inglaterra-campeonato/20200722/brentford-vs-barnsley/","Inglaterra - Campeonato","22 Julho","19:30","Brentford","Barnsley","1,28","4,95","8,25"
"1595157317-216","https://betway.pt/desportos/futebol/portugal-primeira-liga/","CD TondelaBragaAmanhã19:15","https://betway.pt/desportos/futebol/portugal-primeira-liga/20200720/cd-tondela-vs-braga/","Portugal - Primeira Liga","20 Julho","19:15","CD Tondela","Braga","5,30","3,90","1,47"
"1595157394-229","https://betway.pt/desportos/futebol/liga-dos-campe%C3%B5es/","BarcelonaNapoli8 Agosto20:00","https://betway.pt/desportos/futebol/liga-dos-campe%C3%B5es/20200808/barcelona-vs-napoli/","Liga dos Campeões","8 Agosto","20:00","Barcelona","Napoli","1,64","4,00","4,85"
"1595157379-227","https://betway.pt/desportos/futebol/liga-europa/","SevillaAS Roma5 Agosto17:55","https://betway.pt/desportos/futebol/liga-europa/20200805/sevilla-vs-as-roma/","Liga Europa","5 Agosto","17:55","Sevilla","AS Roma","2,30","3,15","2,90"
"1595157405-231","https://betway.pt/desportos/futebol/liga-dos-campe%C3%B5es/","JuventusLyon7 Agosto20:00","https://betway.pt/desportos/futebol/liga-dos-campe%C3%B5es/20200807/juventus-vs-lyon/","Liga dos Campeões","7 Agosto","20:00","Juventus","Lyon","1,38","4,45","8,25"
"1595157657-274","https://betway.pt/desportos/futebol/esc%C3%B3cia-premiership/","St MirrenLivingston1 Agosto15:00","https://betway.pt/desportos/futebol/esc%C3%B3cia-premiership/20200801/st-mirren-vs-livingston/","Escócia - Premiership","1 Agosto","15:00","St Mirren","Livingston","2,40","2,95","2,55"
"1595157354-222","https://betway.pt/desportos/futebol/liga-europa/","FC CopenhagenIstanbul Basaksehir5 Agosto17:55","https://betway.pt/desportos/futebol/liga-europa/20200805/fc-copenhagen-vs-istanbul-basaksehir/","Liga Europa","5 Agosto","17:55","FC Copenhagen","Istanbul Basaksehir","2,20","3,05","3,15"
