HT,AT,League,Date,FTHG,FTAG,HxG,AxG,HShots,AShots,HST,AST,HDEEP,ADEEP,HPPDA,APPDA,HxPTS,AxPTS
Lazio,Bologna,Serie_A,2020-10-24,2,1,1.43,1.76,10,21,3,5,3,9,9.21,8.97,1.13,1.61
Atletico Madrid,Real Betis,La_Liga,2020-10-24,2,0,1.24,1.02,13,12,6,3,8,5,10.97,7.0,1.51,1.18
Brest,Strasbourg,Ligue_1,2020-10-25,0,3,0.73,1.29,14,7,4,5,10,3,10.61,25.93,0.78,1.93
Mainz 05,Borussia M.Gladbach,Bundesliga,2020-10-24,2,3,1.9,3.08,15,22,7,11,13,7,13.9,6.06,0.69,2.13
Wolverhampton Wanderers,Newcastle United,Premier_League,2020-10-25,1,1,0.76,0.25,16,5,3,2,5,4,10.19,31.31,1.79,0.78
Wolfsburg,Arminia Bielefeld,Bundesliga,2020-10-25,2,1,2.78,0.66,14,9,4,1,12,3,13.35,10.71,2.68,0.22
Metz,Saint-Etienne,Ligue_1,2020-10-25,2,0,0.33,0.63,6,10,3,0,1,4,7.18,4.94,0.91,1.64
Lokomotiv Moscow,FC Rotor Volgograd,RFPL,2020-10-24,1,2,1.95,1.0,20,5,3,3,18,1,3.2,22.54,2.2,0.53
Aston Villa,Leeds,Premier_League,2020-10-23,0,3,1.5,2.38,12,27,4,9,7,20,13.24,3.65,0.82,1.97
Lorient,Marseille,Ligue_1,2020-10-24,0,1,0.85,0.88,12,15,3,3,2,4,9.78,4.82,1.31,1.35
Zenit St. Petersburg,Rubin Kazan,RFPL,2020-10-24,1,2,1.05,0.97,8,9,2,2,8,2,5.1,20.93,1.41,1.26
Werder Bremen,Hoffenheim,Bundesliga,2020-10-25,1,1,0.23,0.87,5,14,2,4,1,5,16.06,12.91,0.65,1.95
