League,Date,Time,HT,AT,ODDH,ODDD,ODDA,ODD_25+,ODD_25-,ODD_BthScore_Yes,ODD_BthScore_No,ODD_1X,ODD_12,ODD_X2,Scrape_Date,Scrape_Time
Ligue_1,2020-08-28,2000,Lyon,Dijon,1.32,6.42,11.35,1.53,2.25,1.87,1.67,1.04,None,3.35,2020-08-28,1855
Premiership,2020-08-29,1500,Kilmarnock FC,Dundee United,2.37,3.15,2.92,2.02,1.53,1.75,1.72,1.36,None,1.53,2020-08-28,1858
Premiership,2020-08-29,1500,FC St Johnstone,St Mirren,2.16,3.1,3.4,2.19,1.44,1.9,1.6,1.27,None,1.63,2020-08-28,1858
Premiership,2020-08-29,1500,Livingston FC,Ross County,2.05,3.25,3.5,2.05,1.50,1.83,1.65,1.26,None,1.67,2020-08-28,1858
Ligue_1,2020-08-29,1600,Rennes,Montpellier,2.02,3.2,3.7,2.11,1.53,1.87,1.67,1.23,None,1.70,2020-08-28,1855
RFPL,2020-08-29,1600,Spartak Moscovo,Arsenal Tula,1.5,3.4,4.55,1.78,1.63,1.78,1.61,1.11,None,2.20,2020-08-28,1900
Premiership,2020-08-29,1730,Hamilton Academical,Rangers,16.75,6.5,1.15,1.42,2.25,2.11,1.47,4.70,None,-,2020-08-28,1858
RFPL,2020-08-29,1800,FK Khimki,Rotor Volgograd,2.16,2.78,2.8,2.13,1.40,1.85,1.57,1.31,None,1.53,2020-08-28,1900
Ligue_1,2020-08-29,2000,Estrasburgo,Nice,2.2,3.2,3.2,1.91,1.65,1.7,1.85,1.30,None,1.60,2020-08-28,1855
Ligue_1,2020-08-30,1200,Stade Reims,Lille,2.96,2.92,2.5,2.25,1.45,1.91,1.65,1.47,None,1.35,2020-08-28,1855
RFPL,2020-08-30,1200,FC Ufa,Dinamo Moscovo,3.6,2.72,1.87,2.33,1.33,2.02,1.47,1.70,None,1.19,2020-08-28,1900
Ligue_1,2020-08-30,1400,Angers,Bordeus,2.25,3.05,3.3,2.33,1.42,1.95,1.61,1.28,None,1.57,2020-08-28,1855
Ligue_1,2020-08-30,1400,FC Metz,Monaco,3.6,3.35,2.0,1.85,1.70,1.7,1.85,1.72,None,1.25,2020-08-28,1855
RFPL,2020-08-30,1400,Lokomotiv Moscovo,Zenit Sao Petersburgo,3.6,3.2,1.7,1.72,1.67,1.65,1.75,1.88,None,1.19,2020-08-28,1900
Ligue_1,2020-08-30,1400,Nantes,Nimes,1.95,3.2,3.95,2.10,1.53,1.88,1.67,1.21,None,1.75,2020-08-28,1855
Ligue_1,2020-08-30,1400,Saint-Etienne,FC Lorient,2.25,3.15,3.15,2.05,1.55,1.83,1.72,1.31,None,1.57,2020-08-28,1855
Premiership,2020-08-30,1500,Celtic,Motherwell FC,1.12,7.1,21.0,1.45,2.16,2.45,1.35,-,None,5.30,2020-08-28,1858
RFPL,2020-08-30,1600,FC Akhmat Grozny,CSKA Moscovo,3.1,2.98,1.91,1.88,1.55,1.7,1.7,1.67,None,1.25,2020-08-28,1900
RFPL,2020-08-30,1600,Rubin Kazan,Tambov,1.6,3.1,4.3,2.05,1.44,2.0,1.47,1.13,None,2.02,2020-08-28,1900
Premiership,2020-08-30,1630,Hibernian FC,Aberdeen FC,2.33,3.2,2.94,1.95,1.57,1.72,1.75,1.35,None,1.53,2020-08-28,1858
