League,Date,Time,HT,AT,ODDH,ODDD,ODDA,ODD_25+,ODD_25-,ODD_BthScore_Yes,ODD_BthScore_No,ODD_1X,ODD_12,ODD_X2,Scrape_Date,Scrape_Time
Primeira_Liga,2020-09-26,2100,Boavista FC,FC Porto,10.0,4.85,1.33,1.65,1.83,2.02,1.53,3.15,None,1.03,2020-09-26,2039
La_Liga,2020-09-27,1100,CA Osasuna,Levante,2.2,3.3,3.1,1.85,1.7,1.65,1.9,1.32,None,1.6,2020-09-26,2036
Eredivisie,2020-09-27,1115,Feyenoord,Den Haag,1.21,6.5,10.0,1.26,2.8,1.63,1.87,1.03,None,4.0,2020-09-26,2024
Serie_A,2020-09-27,1130,Spezia,Sassuolo,4.65,3.85,1.65,1.63,1.95,1.63,1.95,2.10,None,1.16,2020-09-26,2041
Premier_League,2020-09-27,1200,Sheffield United,Leeds United,2.7,3.2,2.52,1.83,1.72,1.65,1.91,1.45,None,1.4,2020-09-26,2044
Ligue_1,2020-09-27,1200,Bordeus,Nice,2.1,3.05,3.6,2.12,1.47,1.85,1.65,1.24,None,1.65,2020-09-26,2028
RFPL,2020-09-27,1200,Arsenal Tula,Rostov,3.0,2.94,2.45,2.13,1.45,1.8,1.65,1.47,None,1.33,2020-09-26,2034
Premiership,2020-09-27,1200,Motherwell FC,Rangers,8.0,5.15,1.31,1.47,2.1,1.8,1.67,3.15,None,1.04,2020-09-26,2034
Championship,2020-09-27,1300,Bristol City,Sheffield Wednesday,2.72,3.05,2.6,2.02,1.53,1.72,1.75,1.44,None,1.4,2020-09-26,2030
La_Liga,2020-09-27,1300,Eibar,Athletic Bilbao,2.98,2.82,2.56,2.45,1.38,2.0,1.6,1.45,None,1.35,2020-09-26,2036
Eredivisie,2020-09-27,1330,FC Utrecht,RKC Waalwijk,1.25,5.95,9.0,1.27,2.76,1.57,1.95,1.03,None,3.6,2020-09-26,2024
Ligue_1,2020-09-27,1400,Dijon,Montpellier,4.2,3.6,1.78,1.75,1.72,1.67,1.8,1.95,None,1.19,2020-09-26,2028
Ligue_1,2020-09-27,1400,Nimes,RC Lens,2.68,3.2,2.54,1.83,1.65,1.63,1.87,1.45,None,1.4,2020-09-26,2028
Ligue_1,2020-09-27,1400,Monaco,Estrasburgo,1.8,3.45,4.3,1.75,1.72,1.67,1.8,1.18,None,1.91,2020-09-26,2028
Ligue_1,2020-09-27,1400,Angers,Stade Brestois 29,2.05,3.15,3.6,1.95,1.57,1.72,1.75,1.25,None,1.67,2020-09-26,2028
Serie_A,2020-09-27,1400,Hellas Verona,Udinese,2.66,3.0,2.7,2.10,1.53,1.8,1.75,1.40,None,1.42,2020-09-26,2041
Premier_League,2020-09-27,1400,Tottenham,Newcastle,1.45,4.45,5.95,1.63,1.95,1.78,1.75,1.09,None,2.54,2020-09-26,2044
RFPL,2020-09-27,1430,FC Akhmat Grozny,Ural Sverdlovskaya Oblast,1.88,3.45,3.85,1.87,1.6,1.75,1.7,1.22,None,1.83,2020-09-26,2034
Bundesliga,2020-09-27,1430,Hoffenheim,Bayern Munique,9.0,6.45,1.23,1.19,3.45,1.45,2.25,3.75,None,1.03,2020-09-26,2026
Premiership,2020-09-27,1500,Celtic,Hibernian FC,1.31,5.4,7.75,1.47,2.15,1.78,1.7,1.05,None,3.15,2020-09-26,2034
Premiership,2020-09-27,1500,Ross County,Aberdeen FC,4.15,3.3,1.87,2.00,1.53,1.83,1.65,1.83,None,1.19,2020-09-26,2034
La_Liga,2020-09-27,1500,Atletico de Madrid,Granada CF,1.5,3.95,6.15,2.05,1.55,2.19,1.5,1.09,None,2.4,2020-09-26,2036
Primeira_Liga,2020-09-27,1530,SC Farense,CD Nacional Madeira,2.15,3.2,3.3,2.00,1.53,1.78,1.7,1.28,None,1.63,2020-09-26,2039
Eredivisie,2020-09-27,1545,FC Emmen,Willem II Tilburg,2.64,3.4,2.45,1.61,1.88,1.5,2.05,1.47,None,1.42,2020-09-26,2024
Eredivisie,2020-09-27,1545,Heracles Almelo,PSV Eindhoven,3.85,3.85,1.78,1.47,2.13,1.47,2.15,1.91,None,1.22,2020-09-26,2024
Primeira_Liga,2020-09-27,1600,Gil Vicente FC,Portimonense,2.7,2.98,2.68,2.12,1.47,1.8,1.67,1.42,None,1.4,2020-09-26,2039
Ligue_1,2020-09-27,1600,FC Lorient,Lyon,5.1,4.05,1.57,1.61,1.88,1.67,1.8,2.25,None,1.13,2020-09-26,2028
Championship,2020-09-27,1600,Bournemouth,Norwich City,2.4,3.25,2.82,1.78,1.7,1.6,1.91,1.38,None,1.5,2020-09-26,2030
Premier_League,2020-09-27,1630,Manchester City,Leicester,1.31,5.55,7.3,1.35,2.6,1.61,1.95,1.06,None,3.15,2020-09-26,2044
Serie_A,2020-09-27,1700,FC Crotone,AC Milao,5.3,4.2,1.53,1.57,2.02,1.67,1.88,2.33,None,1.12,2020-09-26,2041
RFPL,2020-09-27,1700,Rotor Volgograd,Rubin Kazan,6.05,3.85,1.53,1.91,1.57,2.0,1.53,2.37,None,1.09,2020-09-26,2034
RFPL,2020-09-27,1700,CSKA Moscovo,Lokomotiv Moscovo,2.16,3.2,3.3,1.91,1.57,1.72,1.72,1.30,None,1.61,2020-09-26,2034
Bundesliga,2020-09-27,1700,Friburgo,Wolfsburgo,3.05,3.35,2.2,1.75,1.8,1.6,2.0,1.57,None,1.33,2020-09-26,2026
Serie_A,2020-09-27,1700,Napoles,Genova,1.3,5.25,8.5,1.47,2.2,1.8,1.75,1.04,None,3.25,2020-09-26,2041
La_Liga,2020-09-27,1730,Cadiz CF,Sevilha,5.05,3.3,1.72,2.25,1.45,2.1,1.53,2.00,None,1.13,2020-09-26,2036
La_Liga,2020-09-27,1730,Real Valladolid,Celta de Vigo,2.84,2.8,2.7,2.45,1.38,2.02,1.57,1.40,None,1.36,2020-09-26,2036
Primeira_Liga,2020-09-27,1830,FC Pacos Ferreira,Sporting CP,3.35,3.1,2.18,1.91,1.6,1.7,1.78,1.61,None,1.28,2020-09-26,2039
Premier_League,2020-09-27,1900,West Ham,Wolverhampton,3.84,3.54,2.18,1.95,1.63,1.75,1.8,1.67,None,1.26,2020-09-26,2044
Serie_A,2020-09-27,1945,AS Roma,Juventus,3.85,3.71,2.12,1.63,1.95,1.53,2.11,1.72,None,1.26,2020-09-26,2041
