League,Date,Time,HT,AT,ODDH,ODDD,ODDA,ODD_25+,ODD_25-,ODD_BthScore_Yes,ODD_BthScore_No,ODD_1X,ODD_12,ODD_X2,Scrape_Date,Scrape_Time
Championship,2020-07-27,1945,Cardiff,Fulham,2.96,2.96,2.45,None,None,None,None,None,None,None,2020-07-27,1635
MLS,2020-07-28,130,San Jose Earthquakes,Real Salt Lake,2.1,3.3,3.3,None,None,None,None,None,None,None,2020-07-27,1639
MLS,2020-07-28,400,Seattle Sounders,Los Angeles FC,3.5,3.8,1.88,None,None,None,None,None,None,None,2020-07-27,1639
Serie_A,2020-07-28,1830,Parma,Atalanta,6.85,5.15,1.35,1.33,2.64,1.50,2.13,2.92,1.1,1.07,2020-07-27,1639
Serie_A,2020-07-28,2045,Inter de Milao,Napoles,2.0,3.55,3.35,1.63,1.95,1.53,2.11,1.28,1.23,1.72,2020-07-27,1639
MLS,2020-07-29,100,Columbus Crew,Minnesota United,2.05,3.4,3.3,None,None,None,None,None,None,None,2020-07-27,1639
MLS,2020-07-29,330,Portland Timbers,FC Cincinnati,1.75,3.8,4.05,None,None,None,None,None,None,None,2020-07-27,1639
Serie_A,2020-07-29,1830,Udinese,US Lecce,2.2,3.55,2.9,1.55,2.05,1.45,2.25,1.36,1.22,1.57,2020-07-27,1639
Serie_A,2020-07-29,1830,Lazio,Brescia Calcio,1.19,6.9,11.0,1.24,3.1,1.63,1.95,1.02,1.09,4.2,2020-07-27,1639
Serie_A,2020-07-29,1830,Sampdoria,AC Milao,4.9,3.9,1.61,1.55,2.05,1.57,2.04,2.16,1.19,1.14,2020-07-27,1639
Serie_A,2020-07-29,1830,Sassuolo,Genova,2.25,3.5,2.82,1.50,2.16,1.42,2.37,1.38,1.23,1.55,2020-07-27,1639
Serie_A,2020-07-29,1830,Hellas Verona,Spal,1.5,4.3,5.35,1.55,2.05,1.65,1.91,1.12,1.16,2.37,2020-07-27,1639
Championship,2020-07-29,1945,Brentford FC,Swansea City,1.61,3.8,5.05,None,None,None,None,None,None,None,2020-07-27,1635
Serie_A,2020-07-29,2045,Fiorentina,Bolonha,2.0,3.55,3.35,1.57,2.02,1.50,2.16,1.28,1.22,1.72,2020-07-27,1639
Serie_A,2020-07-29,2045,Cagliari,Juventus,5.75,4.25,1.5,1.53,2.1,1.63,1.95,2.45,1.16,1.1,2020-07-27,1639
Serie_A,2020-07-29,2045,Torino,AS Roma,4.6,4.05,1.63,1.45,2.25,1.47,2.2,2.15,1.18,1.16,2020-07-27,1639
Premiership,2020-08-01,1230,Aberdeen FC,Rangers,6.55,4.4,1.42,1.60,1.91,1.75,1.72,2.62,1.14,1.07,2020-07-27,1635
Premiership,2020-08-01,1500,Dundee United,FC St Johnstone,2.74,3.05,2.58,2.02,1.53,1.72,1.75,1.44,1.27,1.4,2020-07-27,1635
Premiership,2020-08-01,1500,St Mirren,Livingston FC,2.8,3.15,2.45,2.02,1.53,1.75,1.72,1.47,1.26,1.38,2020-07-27,1635
Premiership,2020-08-01,1500,Hibernian FC,Kilmarnock FC,2.12,3.3,3.3,1.87,1.63,1.70,1.78,1.28,1.24,1.65,2020-07-27,1635
Premiership,2020-08-02,1630,Celtic,Hamilton Academical,1.1,8.5,20.0,1.3,2.62,2.17,1.45,-,1.05,5.85,2020-07-27,1635
Premiership,2020-08-03,1945,Ross County,Motherwell FC,2.96,3.35,2.25,1.83,1.65,1.65,1.83,1.57,1.23,1.35,2020-07-27,1635
Liga_Europa,2020-08-05,1755,Shakhtar Donetsk,Wolfsburgo,2.54,3.35,2.58,None,None,None,None,None,None,None,2020-07-27,1636
Liga_Europa,2020-08-05,1755,FC Copenhagen,Istanbul Basaksehir,2.2,3.2,3.15,None,None,None,None,None,None,None,2020-07-27,1636
Liga_Europa,2020-08-05,2000,Inter de Milao,Getafe,1.95,3.3,3.8,None,None,None,None,None,None,None,2020-07-27,1636
Liga_Europa,2020-08-05,2000,Manchester United,Linz,1.28,5.45,8.5,None,None,None,None,None,None,None,2020-07-27,1636
Liga_Europa,2020-08-06,1755,Bayer Leverkusen,Rangers,1.65,3.9,4.55,None,None,None,None,None,None,None,2020-07-27,1636
Liga_Europa,2020-08-06,1755,Sevilha,AS Roma,2.4,3.2,2.84,None,None,None,None,None,None,None,2020-07-27,1636
Liga_Europa,2020-08-06,2000,Wolverhampton,Olympiacos,1.8,3.35,4.45,None,None,None,None,None,None,None,2020-07-27,1636
Liga_Europa,2020-08-06,2000,Basileia,Eintracht Frankfurt,2.58,3.35,2.54,None,None,None,None,None,None,None,2020-07-27,1636
Champions,2020-08-07,2000,Juventus,Lyon,1.4,4.45,7.3,None,None,None,None,None,None,None,2020-07-27,1637
Champions,2020-08-07,2000,Manchester City,Real Madrid,1.7,4.15,4.0,None,None,None,None,None,None,None,2020-07-27,1637
Champions,2020-08-08,2000,Bayern Munique,Chelsea,1.55,4.25,5.1,None,None,None,None,None,None,None,2020-07-27,1637
Champions,2020-08-08,2000,Barcelona,Napoles,1.6,3.75,5.35,None,None,None,None,None,None,None,2020-07-27,1637
Champions,2020-08-12,2000,Atalanta,PSG,2.8,3.65,2.25,None,None,None,None,None,None,None,2020-07-27,1637
Champions,2020-08-13,2000,RB Leipzig,Atletico de Madrid,3.25,3.15,2.2,None,None,None,None,None,None,None,2020-07-27,1637
