League,Date,Time,HT,AT,ODDH,ODDD,ODDA,ODD_25+,ODD_25-,ODD_BthScore_Yes,ODD_BthScore_No,ODD_1X,ODD_12,ODD_X2,Scrape_Date,Scrape_Time
Primeira_Liga,2020-07-24,1900,Santa Clara,Vitoria Guimaraes,3.1,3.3,2.2,1.63,1.95,1.50,2.18,1.60,1.26,1.32,2020-07-24,1527
Serie_A,2020-07-24,2045,AC Milao,Atalanta,2.86,3.85,2.35,1.44,2.37,1.36,2.52,1.57,1.21,1.38,2020-07-24,1529
Primeira_Liga,2020-07-24,2115,Gil Vicente,Pacos Ferreira,2.58,3.35,2.92,1.91,1.67,1.67,1.87,1.38,1.27,1.47,2020-07-24,1527
Serie_A,2020-07-25,1830,Genova,Inter de Milao,4.7,3.95,1.63,1.47,2.2,1.50,2.16,2.15,1.18,1.15,2020-07-24,1529
Primeira_Liga,2020-07-25,1900,Boavista,Rio Ave,4.35,3.8,1.7,1.70,1.85,1.67,1.87,2.04,1.19,1.18,2020-07-24,1527
Primeira_Liga,2020-07-25,1900,Maritimo,Famalicao,3.65,3.55,1.91,1.80,1.75,1.70,1.85,1.78,1.23,1.24,2020-07-24,1527
Serie_A,2020-07-25,2045,Napoles,Sassuolo,1.53,4.33,5.05,1.42,2.35,1.50,2.18,1.13,1.16,2.33,2020-07-24,1529
Primeira_Liga,2020-07-25,2115,SC Braga,FC Porto,2.67,3.55,2.35,1.55,2.05,1.47,2.2,1.53,1.22,1.42,2020-07-24,1527
Primeira_Liga,2020-07-25,2115,SL Benfica,Sporting CP,1.9,3.45,3.8,1.72,1.83,1.61,1.95,1.22,1.24,1.8,2020-07-24,1527
MLS,2020-07-26,100,Orlando City SC,Montreal Impact,1.88,3.65,3.65,None,None,None,None,None,None,None,2020-07-24,1528
MLS,2020-07-26,330,Philadelphia Union,New England Revolution,2.5,3.45,2.56,None,None,None,None,None,None,None,2020-07-24,1528
Premier_League,2020-07-26,1600,Burnley,Brighton,2.25,3.35,2.96,1.75,1.8,1.61,1.95,1.35,1.25,1.57,2020-07-24,1531
Premier_League,2020-07-26,1600,Southampton,Sheffield United,2.11,3.35,3.25,1.72,1.83,1.60,2.0,1.30,1.25,1.65,2020-07-24,1531
Premier_League,2020-07-26,1600,Crystal Palace FC,Tottenham,5.8,4.05,1.5,1.65,1.91,1.72,1.83,2.37,1.18,1.1,2020-07-24,1531
