League,Date,Time,HT,AT,ODDH,ODDD,ODDA,ODD_25+,ODD_25-,ODD_BthScore_Yes,ODD_BthScore_No,ODD_1X,ODD_12,ODD_X2,SO,Scrape_Date,Scrape_Time
Bundesliga,2020-10-23,1930,Estugarda,Colonia,1.95,3.7,3.35,1.50,2.16,1.45,2.25,1.28,None,1.75,None,2020-10-22,2147
Serie_A,2020-10-23,1945,Sassuolo,Torino,1.55,4.33,4.85,1.38,2.45,1.45,2.25,1.14,None,2.3,None,2020-10-22,2203
Championship,2020-10-23,1945,Nottingham Forest,Derby County,1.95,3.2,3.95,2.05,1.5,1.83,1.65,1.21,None,1.78,None,2020-10-22,2152
Ligue_1,2020-10-23,2000,Rennes,Angers,1.78,3.5,4.3,1.83,1.65,1.72,1.75,1.18,None,1.91,None,2020-10-22,2149
La_Liga,2020-10-23,2000,Elche CF,Valencia,3.15,3.1,2.25,2.05,1.55,1.8,1.75,1.55,None,1.31,None,2020-10-22,2158
Premier_League,2020-10-23,2000,Aston Villa,Leeds United,2.17,3.45,3.05,1.61,1.95,1.5,2.17,1.33,None,1.61,None,2020-10-22,2205
Primeira_Liga,2020-10-23,2030,CD Tondela,Portimonense,3.25,3.2,2.17,2.05,1.5,1.8,1.67,1.61,None,1.28,None,2020-10-22,2201
RFPL,2020-10-24,1200,Dinamo Moscovo,PFC Sochi,2.11,3.1,3.55,2.30,1.38,2.0,1.53,1.25,None,1.65,None,2020-10-22,2157
Premier_League,2020-10-24,1230,West Ham,Manchester City,6.6,4.75,1.4,1.35,2.56,1.5,2.17,2.76,None,1.07,None,2020-10-22,2205
Championship,2020-10-24,1230,Watford,Bournemouth,2.25,3.15,3.15,1.95,1.57,1.72,1.75,1.31,None,1.57,None,2020-10-22,2152
Serie_A,2020-10-24,1400,Atalanta,Sampdoria,1.4,4.85,6.25,1.28,2.86,1.4,2.4,1.09,None,2.72,None,2020-10-22,2203
Bundesliga,2020-10-24,1430,Bayern Munique,Eintracht Frankfurt,1.21,6.6,10.0,1.18,3.55,1.45,2.25,1.03,None,4.0,None,2020-10-22,2147
Bundesliga,2020-10-24,1430,RB Leipzig,Hertha Berlin,1.44,4.5,6.1,1.35,2.56,1.45,2.25,1.09,None,2.58,None,2020-10-22,2147
