League,Date,Time,HT,AT,ODDH,ODDD,ODDA,ODD_25+,ODD_25-,ODD_BthScore_Yes,ODD_BthScore_No,ODD_1X,ODD_12,ODD_X2,SO,Scrape_Date,Scrape_Time
Eredivisie,2020-10-18,1330,Den Haag,Vitesse,3.7,3.8,1.83,1.55,2.0,1.53,2.02,1.88,None,1.23,None,2020-10-04,2246
Serie_A,2020-10-18,1400,Torino,Cagliari,2.2,3.45,2.94,1.67,1.87,1.55,2.05,1.35,None,1.57,None,2020-10-04,2308
Premier_League,2020-10-18,1400,Crystal Palace FC,Brighton,2.6,3.1,2.7,2.02,1.57,1.75,1.78,1.40,None,1.44,None,2020-10-04,2309
Bundesliga,2020-10-18,1430,Colonia,Eintracht Frankfurt,2.8,3.45,2.3,1.45,2.25,1.36,2.5,1.55,None,1.38,None,2020-10-04,2247
RFPL,2020-10-18,1500,Zenit Sao Petersburgo,PFC Sochi,1.4,4.33,7.2,1.67,1.78,1.85,1.61,1.06,None,2.7,None,2020-10-04,2254
RFPL,2020-10-18,1500,Rotor Volgograd,Tambov,2.64,3.1,2.64,None,None,None,None,None,None,None,None,2020-10-04,2254
RFPL,2020-10-18,1500,Lokomotiv Moscovo,FC Ufa,1.55,3.65,6.2,2.10,1.47,2.11,1.45,1.08,None,2.3,None,2020-10-04,2254
RFPL,2020-10-18,1500,FK Khimki,Spartak Moscovo,6.55,3.8,1.5,1.85,1.61,1.91,1.57,2.40,None,1.07,None,2020-10-04,2254
RFPL,2020-10-18,1500,CSKA Moscovo,Dinamo Moscovo,2.02,3.2,3.7,2.00,1.53,1.78,1.67,1.23,None,1.7,None,2020-10-04,2254
RFPL,2020-10-18,1500,Rostov,FC Akhmat Grozny,2.0,3.2,3.75,1.91,1.57,1.72,1.72,1.23,None,1.72,None,2020-10-04,2254
RFPL,2020-10-18,1500,Arsenal Tula,Ural Sverdlovskaya Oblast,2.3,3.2,3.0,1.87,1.6,1.67,1.78,1.33,None,1.55,None,2020-10-04,2254
RFPL,2020-10-18,1500,Krasnodar,Rubin Kazan,1.78,3.55,4.3,1.70,1.75,1.63,1.83,1.18,None,1.91,None,2020-10-04,2254
Eredivisie,2020-10-18,1545,FC Groningen,FC Utrecht,2.94,3.65,2.15,1.57,1.95,1.5,2.05,1.63,None,1.35,None,2020-10-04,2246
Eredivisie,2020-10-18,1545,PEC Zwolle,PSV Eindhoven,5.3,4.3,1.53,1.42,2.25,1.5,2.05,2.37,None,1.12,None,2020-10-04,2246
Premier_League,2020-10-18,1630,Tottenham,West Ham,1.61,3.85,5.0,1.63,1.95,1.63,1.95,1.13,None,2.18,None,2020-10-04,2309
Serie_A,2020-10-18,1700,Udinese,Parma,2.17,3.2,3.25,1.85,1.7,1.65,1.91,1.28,None,1.61,None,2020-10-04,2308
Ligue_1,2020-10-18,1900,Saint-Etienne,Nice,2.05,3.25,3.5,1.80,1.67,1.63,1.87,1.26,None,1.67,None,2020-10-04,2250
Ligue_1,2020-10-18,1900,Monaco,Montpellier,1.87,3.5,3.85,1.75,1.72,1.65,1.83,1.22,None,1.83,None,2020-10-04,2250
Ligue_1,2020-10-18,1900,Estrasburgo,Lyon,2.94,3.2,2.35,1.90,1.6,1.67,1.8,1.53,None,1.35,None,2020-10-04,2250
Ligue_1,2020-10-18,1900,Nantes,Stade Brestois 29,2.25,3.1,3.2,2.04,1.53,1.78,1.7,1.31,None,1.55,None,2020-10-04,2250
Ligue_1,2020-10-18,1900,Lille,RC Lens,1.63,3.5,5.5,1.90,1.6,1.87,1.63,1.11,None,2.14,None,2020-10-04,2250
Ligue_1,2020-10-18,1900,Dijon,Rennes,3.85,3.2,1.95,1.90,1.6,1.72,1.75,1.72,None,1.22,None,2020-10-04,2250
Ligue_1,2020-10-18,1900,Angers,FC Metz,2.05,3.3,3.45,2.05,1.5,1.85,1.65,1.27,None,1.67,None,2020-10-04,2250
Ligue_1,2020-10-18,1900,Nimes,PSG,11.0,6.1,1.21,1.3,2.66,1.65,1.85,3.90,None,1.02,None,2020-10-04,2250
Ligue_1,2020-10-18,1900,Marselha,Bordeus,1.87,3.55,3.8,1.72,1.75,1.65,1.83,1.22,None,1.83,None,2020-10-04,2250
Ligue_1,2020-10-18,1900,Stade Reims,FC Lorient,2.05,3.25,3.5,1.80,1.67,1.63,1.87,1.26,None,1.67,None,2020-10-04,2250
Serie_A,2020-10-18,1945,AS Roma,Benevento Calcio,1.31,5.0,8.5,1.42,2.33,1.7,1.85,1.03,None,3.15,None,2020-10-04,2308
La_Liga,2020-10-18,2000,Alaves,Elche CF,2.05,3.0,3.8,2.58,1.35,2.18,1.5,1.23,None,1.67,None,2020-10-04,2305
La_Liga,2020-10-18,2000,Betis,Real Sociedad,2.5,3.3,2.66,1.75,1.78,1.6,2.0,1.42,None,1.47,None,2020-10-04,2305
La_Liga,2020-10-18,2000,Celta de Vigo,Atletico de Madrid,4.5,3.3,1.8,2.25,1.45,2.05,1.55,1.91,None,1.17,None,2020-10-04,2305
La_Liga,2020-10-18,2000,Huesca,Real Valladolid,2.58,2.86,2.92,2.63,1.33,2.13,1.5,1.35,None,1.44,None,2020-10-04,2305
La_Liga,2020-10-18,2000,Getafe,Barcelona,4.2,3.55,1.78,1.67,1.87,1.63,1.95,1.91,None,1.19,None,2020-10-04,2305
La_Liga,2020-10-18,2000,Villarreal,Valencia,1.8,3.55,4.15,1.72,1.83,1.65,1.91,1.19,None,1.91,None,2020-10-04,2305
La_Liga,2020-10-18,2000,Real Madrid,Cadiz CF,1.21,6.05,11.5,1.50,2.18,2.05,1.55,1.02,None,3.95,None,2020-10-04,2305
La_Liga,2020-10-18,2000,Eibar,CA Osasuna,2.33,3.05,3.1,2.25,1.45,1.91,1.65,1.32,None,1.53,None,2020-10-04,2305
La_Liga,2020-10-18,2000,Granada CF,Sevilha,3.3,3.25,2.13,1.95,1.63,1.75,1.8,1.63,None,1.28,None,2020-10-04,2305
La_Liga,2020-10-18,2000,Athletic Bilbao,Levante,1.95,3.2,3.95,2.25,1.45,2.02,1.57,1.21,None,1.75,None,2020-10-04,2305
Premier_League,2020-10-19,2000,Leeds United,Wolverhampton,2.62,3.1,2.67,1.95,1.61,1.72,1.83,1.42,None,1.44,None,2020-10-04,2309
Champions,2020-10-20,1755,Zenit Sao Petersburgo,Club Brugge,1.72,3.65,4.45,None,None,None,None,None,None,None,None,2020-10-04,2259
Champions,2020-10-20,1755,Dinamo Kiev,Juventus,5.4,3.8,1.57,None,None,None,None,None,None,None,None,2020-10-04,2259
Championship,2020-10-20,1945,Coventry City,Swansea City,2.56,3.2,2.66,None,None,None,None,None,None,None,None,2020-10-04,2251
Championship,2020-10-20,1945,Nottingham Forest,Rotherham,1.85,3.35,4.15,None,None,None,None,None,None,None,None,2020-10-04,2251
Championship,2020-10-20,1945,Bristol City,Middlesbrough,2.4,3.25,2.82,None,None,None,None,None,None,None,None,2020-10-04,2251
Championship,2020-10-20,1945,Norwich City,Birmingham,1.72,3.65,4.4,None,None,None,None,None,None,None,None,2020-10-04,2251
Championship,2020-10-20,1945,Millwall FC,Luton Town,1.9,3.4,3.85,None,None,None,None,None,None,None,None,2020-10-04,2251
Primeira_Liga,2020-10-20,2000,FC Pacos Ferreira,CD Santa Clara,2.54,3.3,2.6,2.05,1.5,1.8,1.67,1.44,None,1.45,None,2020-10-04,2307
Primeira_Liga,2020-10-20,2000,Boavista FC,Vitoria Guimaraes,3.2,3.2,2.2,2.05,1.5,1.8,1.67,1.57,None,1.31,None,2020-10-04,2307
Championship,2020-10-20,2000,Reading,Wycombe,1.6,4.1,4.85,None,None,None,None,None,None,None,None,2020-10-04,2251
Primeira_Liga,2020-10-20,2000,SC Farense,Famalicao,3.55,3.45,1.95,1.75,1.72,1.65,1.85,1.75,None,1.25,None,2020-10-04,2307
