League,Date,Time,HT,AT,ODDH,ODDD,ODDA,ODD_25+,ODD_25-,ODD_BthScore_Yes,ODD_BthScore_No,ODD_1X,ODD_12,ODD_X2,Scrape_Date,Scrape_Time
Eredivisie,2020-09-12,1745,SC Heerenveen,Willem II Tilburg,2.45,3.5,2.58,1.55,2.0,1.44,2.19,1.45,None,1.47,2020-09-11,1349
Eredivisie,2020-09-12,1900,PEC Zwolle,Feyenoord,4.15,3.9,1.72,1.47,2.1,1.47,2.11,2.0,None,1.19,2020-09-11,1349
Eredivisie,2020-09-12,2000,FC Twente Enschede,Fortuna Sittard,1.85,3.65,3.75,1.60,1.91,1.53,2.02,1.23,None,1.85,2020-09-11,1349
Eredivisie,2020-09-13,1115,FC Emmen,VVV Venlo,1.88,3.55,3.75,1.67,1.8,1.6,1.91,1.22,None,1.83,2020-09-11,1349
Eredivisie,2020-09-13,1330,Heracles Almelo,Den Haag,1.75,3.75,4.15,1.57,1.95,1.57,1.95,1.19,None,1.95,2020-09-11,1349
Eredivisie,2020-09-13,1330,Sparta Rotterdam,Ajax,9.0,6.2,1.24,1.23,2.96,1.53,2.04,3.65,None,1.03,2020-09-11,1349
Eredivisie,2020-09-13,1545,FC Groningen,PSV Eindhoven,3.35,3.3,2.1,1.80,1.67,1.65,1.85,1.65,None,1.28,2020-09-11,1349
Eredivisie,2020-09-13,1545,RKC Waalwijk,Vitesse,4.6,4.1,1.61,1.42,2.25,1.44,2.2,2.16,None,1.16,2020-09-11,1349
Eredivisie,2020-09-18,1900,VVV Venlo,FC Utrecht,4.1,3.7,1.78,None,None,None,None,None,None,None,2020-09-11,1349
Eredivisie,2020-09-19,1530,AZ Alkmaar,PEC Zwolle,1.33,5.05,7.7,None,None,None,None,None,None,None,2020-09-11,1349
Eredivisie,2020-09-19,1745,Vitesse,Sparta Rotterdam,1.53,4.15,5.45,None,None,None,None,None,None,None,2020-09-11,1349
Eredivisie,2020-09-19,1900,PSV Eindhoven,FC Emmen,1.17,6.2,15.5,None,None,None,None,None,None,None,2020-09-11,1349
Eredivisie,2020-09-19,2000,Fortuna Sittard,SC Heerenveen,2.45,3.45,2.62,None,None,None,None,None,None,None,2020-09-11,1349
Eredivisie,2020-09-20,1115,Den Haag,FC Groningen,2.45,3.45,2.62,None,None,None,None,None,None,None,2020-09-11,1349
Eredivisie,2020-09-20,1330,Willem II Tilburg,Heracles Almelo,1.87,3.55,3.8,None,None,None,None,None,None,None,2020-09-11,1349
Eredivisie,2020-09-20,1330,Feyenoord,FC Twente Enschede,1.33,5.0,7.85,None,None,None,None,None,None,None,2020-09-11,1349
Eredivisie,2020-09-20,1545,Ajax,RKC Waalwijk,1.05,12.25,22.0,None,None,None,None,None,None,None,2020-09-11,1349
